,Word,Value,Freq
16966,medications,-0.12430604531985523,1
16877,tome,-0.11542456109691557,2
16968,russians,-0.11265638492955077,1
18651,shanghai,-0.10765964520973625,1
23364,soto,-0.10682821425461952,1
7358,roots,-0.10595732596038943,1
11346,confronts,-0.10256944804081058,1
12500,afb,-0.10219494404645957,1
12379,brewing,-0.10039714473964523,2
2950,witch,-0.09408777448980032,1
11784,crafted,-0.09296413542131177,3
17245,presidential,-0.0928885623543465,1
19202,modeling,-0.09195522321851968,1
6622,salmon,-0.08739109858649385,2
1478,inspect,-0.08559616929534286,3
7027,screening,-0.08388567097178641,3
3437,marilyn,-0.083291472264591,1
10595,indonesian,-0.08264202331946535,2
7433,pledge,-0.08218324831705104,2
21707,descriptive,-0.08048725269918577,1
22069,lindsey,-0.0786053330426455,1
15487,restroom,-0.07807878393407464,1
8717,forensic,-0.07738452569833498,1
17226,linen,-0.07700565398818071,2
12232,thermal,-0.07698394107194417,2
1693,disorder,-0.07624881766577829,1
14732,maximus,-0.07347350903597771,1
12227,marching,-0.07329098574984982,1
14420,cliffs,-0.0731176994127054,1
2170,knockout,-0.07292201707281265,2
14368,ward,-0.07257745449464892,2
14926,troops,-0.07244190530764172,1
19237,breaux,-0.07243553966674376,1
18114,index,-0.07241242384009183,1
22248,adaptation,-0.07228208479091336,2
21186,commander,-0.07199175648202782,1
8522,nhl,-0.07195920169300507,2
13196,stacy,-0.07159799573560122,1
7051,mc,-0.07145323296703054,2
5803,stein,-0.07141061527372017,2
7242,vip,-0.07128043189743494,1
3530,sham,-0.07056740474897083,1
12309,independence,-0.07056212563790609,1
9473,intentionally,-0.06991476576658862,1
17488,sophomore,-0.06953153912362116,3
1931,sins,-0.06949519668410176,2
16528,adobe,-0.06918208116174185,2
22436,balancing,-0.06893963354366406,1
15138,flaming,-0.06877914115902684,2
937,malice,-0.06825765526420469,1
5971,eastenders,-0.06821494197732493,7
10209,shelley,-0.06799196582392142,1
16495,veterans,-0.06793087115994467,1
17180,lineup,-0.06726875934941745,1
2124,involvement,-0.06720658841317118,1
16199,exit,-0.06672014783819691,2
3089,republicans,-0.06661532442814178,1
13887,karl,-0.06642807896997738,1
20903,edinburgh,-0.06631839064840506,3
13722,@alexandrachua,-0.06585800123239476,1
10398,ocean,-0.06584506519877209,4
5268,parked,-0.0653281153534806,1
10677,contestants,-0.06525484646478574,1
6667,rank,-0.06513900792424465,1
15080,steaming,-0.06498533440270648,1
4846,grady,-0.0647700053538216,1
10555,blogger,-0.06412920604373085,1
6239,hanson,-0.06400640778764455,1
18747,diego,-0.06400445305585833,1
19447,courtney,-0.06253910332783619,1
13482,airplanes,-0.06252843763871851,2
22851,napoleon,-0.06216855188225168,1
11463,arcade,-0.06182563372874483,1
23063,secretive,-0.061725726597614994,1
6187,mesa,-0.06149318942482296,1
8910,correlated,-0.06119887536635815,1
15767,boob,-0.061101068758262045,1
16733,andre,-0.061014934060741176,3
20378,maestro,-0.06091475448462447,1
7831,magician,-0.06089985808181707,7
16895,camps,-0.06080455309145805,1
3047,lookout,-0.060530165960642535,2
20132,hardware,-0.060519040539247726,1
598,salts,-0.059705452719697405,1
10199,ark,-0.059540296981325014,1
7307,norway,-0.05931323511137757,3
20057,pinned,-0.059281144429746746,1
17663,plunged,-0.05919432288629878,1
19240,rebellious,-0.059170890574250734,1
14892,uprising,-0.05903178183507407,1
16783,<333,-0.05902762422488905,1
20444,georgetown,-0.058606300410019685,1
12777,cuba,-0.0580607114717111,1
15268,ikr,-0.058028942698285846,2
18468,expose,-0.05802706421377479,1
1285,sensory,-0.057822820090223104,1
16484,officials,-0.057817561506738,1
18388,consultant,-0.05772689637160511,1
3599,mach,-0.05754208745645428,1
23215,geek,-0.05752720499344832,1
3348,continually,-0.0574288131183304,3
23363,fiancee,-0.0572806037804412,1
3430,demons,-0.057188777507974464,1
8022,arguably,-0.05696207263770248,2
19760,throwback,-0.05693467906274918,2
20705,performace,-0.05661026529492119,2
