,Word,Value,Freq
9800,het,-0.042498414402999174,5
20328,participation,-0.040715108956021595,1
8831,locking,-0.03626465510961907,1
5395,captivating,-0.03487608328713243,1
20099,aspect,-0.03477640341679944,1
20211,processes,-0.03412820415999818,1
14474,youthfulness,-0.03376116905300819,1
8717,forensic,-0.033714138736911536,1
10499,aft,-0.03320447653020864,1
16295,produced,-0.032963060234973085,1
11143,abandonment,-0.03276681306458329,7
17215,posing,-0.030000823582071234,1
19856,hiba,-0.029322122316684407,1
8259,fareal,-0.028999037836918262,1
22720,daring,-0.02896562007117609,1
16665,tempers,-0.02876276946477674,1
11642,rescues,-0.02833143914210723,1
14403,anisa,-0.028005393527045896,1
3783,alfred,-0.0278426446985236,1
10920,climatic,-0.027757142175175886,1
6585,partake,-0.027741034986616953,1
23195,meî,-0.027268366749467532,1
18620,integrate,-0.02721676964923747,1
11943,hardwood,-0.027198341827272543,1
15965,windsor,-0.027150883262976322,1
20551,boutta,-0.026886024104925355,4
11675,ins,-0.026843441453053174,5
22955,reg,-0.026838676205954926,1
5406,treating,-0.026795795546419754,1
10744,rado,-0.02675879471077991,1
17835,hihi,-0.026744425473125943,1
7416,contend,-0.026677529532960875,1
8513,concerns,-0.02663990390689719,1
15644,praises,-0.02657842833724544,1
15195,kaw,-0.02643262403050528,1
17079,affect.also,-0.026334280141514437,1
15127,tatted,-0.02633361647488819,1
7441,sexual,-0.026250390105474697,8
23297,gr,-0.02622054619132541,1
21686,temp,-0.0261689687284985,1
19036,adds,-0.026078738268381585,1
7555,slay,-0.02595191584506651,6
5537,he'lk,-0.02589856597882445,1
16234,sahih,-0.025664536419340113,2
4274,-#joy,-0.025474656859291993,4
9485,haaa,-0.025069823350975184,1
12049,truartent,-0.02503915789213096,1
10563,maturity,-0.024951080547507942,2
12080,mowface,-0.02490194995444502,5
13526,redemption,-0.024817070799599605,5
9837,undertake,-0.024815208405044586,1
18760,catch'em,-0.02475065341708434,1
3753,truepower,-0.024725340065632817,1
17175,passionate,-0.024714463326233727,1
22581,of'em,-0.02469254369594272,1
4034,sightings,-0.02456157271881665,1
23405,intermission,-0.024542532923366167,1
20210,coastal,-0.0245011283649319,1
12232,thermal,-0.024420437843799547,1
14209,foreal,-0.024275380729999796,1
10947,translated,-0.024265379544374355,1
22257,fates,-0.02413458780777944,8
15538,wed,-0.02410692053906871,1
5451,execute,-0.02407837990408801,2
23430,fr,-0.023707249953773157,1
4556,extremesarcasm,-0.02351175170167963,1
23048,"-,-",-0.023480685949841984,1
9855,kaddy,-0.02344159577935301,1
9307,dayy,-0.0233978346743271,1
12894,comet,-0.02333845085635744,1
3229,alongside,-0.023208600644301844,9
4315,causee,-0.0230111616782267,1
4291,firstdates,-0.022982650287023176,1
9913,locations,-0.022952209821325908,5
11561,luckiest,-0.02290033531824065,1
22505,promotional,-0.022850961141571702,4
619,tel,-0.02280286851342339,1
13581,60minutes,-0.022747555712363976,3
12180,present'',-0.02271897948717812,1
22142,deploy,-0.022715549163990545,1
20867,deux,-0.022642835690305674,1
20353,hime,-0.022617044715204315,1
22410,99.7,-0.022613401666069066,1
10833,attended,-0.022548040482320175,1
9544,grasp,-0.0224696095099457,2
23302,xr,-0.022430398749762714,1
18145,maxim,-0.022399603858019645,2
14479,immanuel,-0.022379638823551616,2
11855,ogod,-0.022303370169296954,3
7242,vip,-0.022301930402420567,1
16814,unelectable,-0.0222720360130495,1
18682,vibrating,-0.022060332381613534,1
18586,useable,-0.02205995837258712,1
18034,toker,-0.022036763624248223,1
2549,2mrw,-0.02197747695663388,3
19054,parameters,-0.021898485368254228,1
16091,xxiii,-0.021875713915221695,1
4852,annymore,-0.021855823389971125,3
6041,lovehashtags,-0.021855395337077255,2
5170,1992,-0.02181393068282489,1
6800,invades,-0.021792543475676496,1
7167,silencing,-0.02179138668650212,1
15389,"medicine""-",-0.02174051259032513,1
17158,migrane,-0.02168867264998653,1
1607,digitour,-0.02164281409625346,3
16498,seasons,-0.02162725736702953,1
15908,rapidly,-0.021626026522554298,1
22751,undies,-0.02158534448275562,1
15189,refresher,-0.02155488758837265,4
6284,co.,-0.021522023522592804,4
15970,monthers,-0.02146449368351,1
14495,opposing,-0.021424579697679746,1
16122,spike,-0.021402757262279692,1
15099,catalyst,-0.02135637867746709,1
14424,bottling,-0.021338936496235306,1
7193,scales,-0.021257501727745876,2
19066,harvest,-0.021226206288019966,1
20577,cheater,-0.021222189088557997,1
