,Word,Value,Freq
21655,fires,-0.13719534148560797,6
19551,backing,-0.13428127014557845,4
20119,contracting,-0.11895770097390823,6
619,tel,-0.11195192185232372,1
18649,ties,-0.10334254302790669,5
8073,immortal,-0.1033398192038501,9
23274,cloaks,-0.09962757498449548,4
14949,taunting,-0.09758713778273886,1
10925,sulking,-0.0972241501048643,9
5003,37,-0.09493513896084621,13
21131,offender,-0.09282731830762714,7
15122,empire,-0.09189778226379985,1
8659,enraged,-0.09100196297890761,3
12356,dost,-0.09006058175828002,3
17884,sampath,-0.0899889258026576,5
17043,ite,-0.08993793361656799,8
22720,daring,-0.08949411063446178,4
3654,maintains,-0.08911612133533708,8
4950,boom,-0.08902059524817574,8
20710,weep,-0.08832061945952319,1
20820,glendening,-0.08651210847074253,3
764,away,-0.085798542789347,385
14289,dragged,-0.08400132490942269,1
13919,crust,-0.08385672703357727,5
18267,wew,-0.08373630733053972,2
13463,vowed,-0.0834427714887056,1
11905,backside,-0.0831254495479925,1
11031,valiant,-0.08276746453785222,7
18088,fold,-0.08128668523604574,5
6069,southern,-0.08125978267982485,3
11226,shan,-0.0810125952149292,3
5982,bows,-0.08094283266109414,1
18684,ahmad,-0.08073295402039093,1
6994,footballers,-0.08069336865264631,11
1394,winged,-0.08035463744204208,5
21684,1949,-0.07689350661163985,1
15143,wherever,-0.0761836923435229,9
2713,karen,-0.07503929955554156,2
4991,jake,-0.07476887156724997,7
4910,moody,-0.07472611864767487,6
11472,penguins,-0.07469888869286478,2
17678,assassin,-0.07412759485747245,1
3928,babys,-0.07338239104416289,6
23368,attendant,-0.07308875847138552,3
17206,patrick,-0.07304906103062032,7
14173,columbus,-0.0728158667680974,9
9780,rte,-0.0726640886598986,1
2478,kw,-0.07243256179162927,4
10495,mp,-0.07238715071306956,4
5959,landsend,-0.0722906341531484,1
22779,langa,-0.07216082983755645,1
18379,mongering,-0.07202796751451028,1
12584,sang,-0.07185803889860125,15
21285,vengeance,-0.07158905982805663,1
19988,null,-0.07126891859979878,8
12003,flew,-0.07098466396765397,14
11888,whales,-0.07033442904719323,1
4398,novak,-0.07020856864437519,6
14196,wham,-0.07002818875454864,9
7679,sustain,-0.06988744001955638,1
8337,confronted,-0.06954728487198736,1
8764,thus,-0.06946924452117287,1
14162,links,-0.0691303320385046,2
23210,masih,-0.06895832503960264,1
13574,gcmf,-0.0685850332184584,7
12399,taio,-0.06836313835636076,9
11675,ins,-0.06788511080719672,1
14587,welcomeback,-0.06784443753224423,10
16459,firo,-0.06781642730425119,6
17875,varied,-0.06781599205783095,5
3696,previously,-0.06747512021127022,2
15908,rapidly,-0.06747295694725253,1
10141,sinking,-0.06700671819089621,1
12079,replacement,-0.0664441504228147,11
17153,citizen,-0.0657827179437902,8
7833,shunt,-0.0653306412348229,3
19267,decree,-0.06525776782700632,1
18022,sided,-0.06522530281036332,1
14265,purbi,-0.0652200810125881,5
12886,flames,-0.06502328596288365,16
18771,smyth,-0.06501639968541895,5
1043,responsibility,-0.06485098957364244,1
16503,colin,-0.06469243311771677,5
7407,shoved,-0.06465028927277672,5
2273,concerts,-0.06453998284217732,1
21898,105,-0.06428676107429965,1
4205,witnessed,-0.0640509905667841,1
19646,jet,-0.0639333666575307,7
17528,undead,-0.06390821875720576,1
3802,akward,-0.06384251290957207,9
7416,contend,-0.06383815707505391,1
18493,whistling,-0.0637475253716957,1
19053,output,-0.06358186752899186,1
13897,sumthn,-0.0635233118904542,5
22222,fabulously,-0.06349809390061978,2
15887,divisions,-0.06349063663049037,6
21186,commander,-0.06332740553443728,1
8564,defend,-0.06290260347395815,1
15191,vanish,-0.06285617282546241,3
19660,runner,-0.06283016666418462,1
10920,climatic,-0.06236664199769848,1
20116,allllllll,-0.062295645914360875,4
19560,tats,-0.06219742200488554,6
9181,6000,-0.06215846553703841,1
20723,remembers,-0.06215648737287438,3
3126,fukkn,-0.06210862510897641,1
17898,intimidated,-0.06206164735412756,1
20191,drums,-0.06201621573359262,3
21779,spinal,-0.06189771770812058,1
20701,zillion,-0.06184030610091421,1
3512,gma,-0.06180125797836971,7
20793,ewe,-0.06177576661934836,8
15618,asserts,-0.061562352347550586,1
5356,bombed,-0.06152946004355009,2
14709,snowy,-0.061460013194320595,1
7330,inaugural,-0.06143110834109167,1
22969,yonks,-0.06129065961185158,7
19074,geese,-0.06123880296263451,1
6341,chanting,-0.06117593130683,6
19957,pints,-0.060944995646110556,11
8517,boulder,-0.06074378808614256,6
4237,thanksgivingbreak,-0.060181865383015065,6
13562,hawk,-0.06016086823819933,1
14668,continuously,-0.06005987623643705,1
16430,regretting,-0.06005706569828817,1
9464,brent,-0.060037083936725466,1
18671,christwist,-0.06003049505953584,3
19030,dialer,-0.05986461482976324,5
3039,arrg,-0.059811979331398035,1
12301,indicate,-0.0597061326570838,1
11528,vom,-0.05954799133752431,1
12456,feared,-0.05941191895410114,2
13718,pete,-0.0591942201490383,1
22563,bys,-0.05908149540977092,1
15627,1500,-0.059027272037837974,1
22993,margin,-0.05889724418223352,1
21587,lurking,-0.058745972190763496,1
20475,increasing,-0.05866631481370632,1
11571,swap,-0.058619506373645436,8
19288,notts,-0.058581995041350865,1
486,calling,-0.058457350559553214,38
20776,pointing,-0.0583846925612761,2
17881,soundtrack,-0.05837119367138636,6
9196,apart,-0.058111082520137004,14
17899,bn,-0.058030569136178656,1
22436,balancing,-0.05802822910300165,9
6207,jonny,-0.05788677860061853,1
9192,closing,-0.05733969794147242,1
15671,relieved,-0.05712581991817833,2
14829,manipulates,-0.057093292870490586,2
7208,determination,-0.057045408491262606,1
16792,bffmoment,-0.05704497873624348,4
18281,saintfrancis,-0.056900057233246315,1
4147,punching,-0.05677444331586656,8
6961,van,-0.05673193249750739,10
13651,b4hand,-0.056627710039758014,7
18430,fighters,-0.056608827072807344,1
867,bou,-0.05655904056813199,16
2124,involvement,-0.05640465109560466,1
19172,gloss,-0.056344734528920526,6
12668,thankfulforwine,-0.05630293161289993,3
19123,vasyl,-0.056170293831636776,1
10711,invincible,-0.05611256957990918,1
14544,eliminate,-0.05609069367071662,8
22518,fugitive,-0.05609046936297091,5
14721,no-,-0.05601980900149783,7
19352,semitic,-0.05595773247797098,8
8273,ek,-0.055916753722272006,4
21272,applause,-0.055862931042554465,4
22167,render,-0.0558486318885798,1
7012,spoke,-0.05582541647760877,5
20840,petersen,-0.05576934406917644,1
8234,gd,-0.05573252490009801,7
23254,wpb,-0.05555352747565697,1
10158,chats,-0.05530197504793932,1
9909,mfs,-0.055298778769213186,5
15249,strategically,-0.0552923574229105,8
15341,â˜›,-0.05526490329869915,2
22595,wheeew,-0.05517820406658321,1
9719,helpline,-0.055175037365124524,1
3789,nearness,-0.055173549178505255,1
15773,announces,-0.05515633732875358,1
210,previous,-0.055148756329676495,12
19211,predicted,-0.05509588741665539,1
19828,repeatedly,-0.054893357127241416,1
611,wewe,-0.05469484930580393,1
22905,forwards,-0.05467486571627944,1
22860,looka,-0.054642467187875354,9
6340,torment,-0.05450743894384402,1
4049,tgif,-0.054493922953739116,8
20411,tooooo,-0.054462746218919264,7
7670,sacked,-0.05438758270349808,6
20529,caitlin,-0.05438748410324479,1
6051,gh,-0.054375494195340934,4
12160,converting,-0.054246793132939786,1
3348,continually,-0.05424610891551159,3
10226,skynews,-0.054199140766035415,1
19517,tek,-0.054196915235372956,1
9103,preach,-0.05418868002675481,2
17174,downed,-0.05416885514785008,1
7742,severity,-0.054083517307844886,1
2759,bound,-0.05402031252015465,18
22149,oshit,-0.054018821595803956,3
18439,konw,-0.0540013026003218,1
20084,reassuring,-0.05395220206157347,1
19210,dickmania,-0.05394979522344556,1
3449,awwww,-0.053851588484383636,7
19028,aamir,-0.05377608170346093,5
21527,judas,-0.05377095201401971,1
16994,eyed,-0.053764594313494264,6
23167,dismissive,-0.053752751202068794,4
5204,hurtful,-0.053663735348742136,1
20819,cale,-0.053647500320494146,3
11418,effectively,-0.053502069930800644,1
446,contacting,-0.053475315516952136,6
10399,withdraw,-0.05344109161568156,2
3299,stands,-0.05341875429110132,5
11995,relocate,-0.05339578019288638,1
10675,libyan,-0.05317192007646554,1
3873,sameness,-0.05306777620682368,5
16603,comprehends,-0.05302176891531474,8
18443,dddd,-0.052987484529468665,5
5920,shouting,-0.052978943662037974,17
15301,sides,-0.052973557083532796,1
23339,93,-0.05297256979719123,1
21865,convincing,-0.05283708360127548,4
21487,:],-0.05276349372273614,4
15733,pigeon,-0.05276131489553867,3
10030,struggled,-0.05265254852412227,1
6060,suggestion,-0.05257766617933157,5
