,Word,Value,Freq
2267,nightmare,-3.3674535751342773,3
14092,deleted,-3.1528968811035156,8
13655,pathetic,-2.9784436225891113,3
16460,productive,-2.535353422164917,2
4274,unclear,-2.385645866394043,3
12688,dumb,-2.3389225006103516,5
10840,repulsed,-2.3230020999908447,1
10839,fine-,-2.3230020999908447,1
13888,prilosec,-2.2444801330566406,1
3597,frightening,-2.167222685284085,9
11830,gag,-2.0145177602767945,5
14262,punishment,-1.9943873882293701,5
15821,instructions.<br,-1.9155482053756714,2
10597,ruined,-1.6733774055134167,22
5787,subjective,-1.6528299003839493,24
14894,testing,-1.501955235004425,10
10542,unacceptable,-1.4690694037605734,17
3189,failed,-1.4620174407958983,15
9908,pilsner,-1.456051230430603,6
10176,rely,-1.4471630215644837,10
6442,parlor,-1.4219049215316772,1
1003,rollups,-1.4216049909591675,1
15948,pricce,-1.4028124809265137,1
13819,splendidly,-1.4025579690933228,5
11013,coupons,-1.3446066776911418,3
11140,emergencies,-1.326101690530777,4
11176,cheaply,-1.3200393915176392,6
14208,centerpiece,-1.3113210371562414,7
11897,dissipate,-1.252092957496643,7
6462,cheeseburger,-1.1406963268915813,2
14848,dispense,-1.1390732328097026,6
8025,wan,-1.1364891529083252,10
16474,complicated,-1.135825276374817,1
16947,blind,-1.128591775894165,1
3066,burned,-1.1149875688552857,25
7336,prey,-1.1008645125797816,7
3202,essentially,-1.0493410229682922,4
12034,disliked,-1.0334490060806274,5
3775,survived,-1.0146472454071045,2
8018,justice,-1.0097817012241908,7
11388,deceitful,-0.9803284406661987,3
14694,unofficial,-0.9594445824623108,7
11968,marginal,-0.9480680227279663,2
13368,canceled,-0.945431635929988,13
459,poorly,-0.937359646956126,30
3274,suprised,-0.9155088190048459,21
3572,producer,-0.9154171293432062,11
9293,passed,-0.8993974640255883,21
10473,palatable.<br,-0.8953489065170288,8
12047,september,-0.8920613129933676,6
16279,peary,-0.8900800347328186,1
10029,usda,-0.8818355628422329,7
4731,sugar.<br,-0.8799481267730395,24
11202,mmm,-0.8746853321790695,8
4011,disbelief,-0.8628838062286377,7
15585,completing,-0.8619818687438965,6
17053,extruded,-0.8607868949572245,4
11314,overtime,-0.8553415536880493,1
11420,so.there,-0.8520210981369019,4
17016,/>oddly,-0.8508013884226481,4
7185,reputation,-0.8470170037312941,22
13062,crooked,-0.8386251926422119,1
5992,refer,-0.8246983528137207,15
4720,lacks,-0.8240872270920697,51
1116,cancelled,-0.8210173203394964,26
2931,misleading,-0.8126357604156841,44
1163,nevertheless,-0.8125818534330889,11
8184,unexpectedly,-0.8112979585474188,11
11681,issued,-0.7584324479103088,6
505,disappointed,-0.7462644744566569,571
8222,distinctions,-0.7448020577430725,1
6088,ruins,-0.7212319374084473,15
5873,confusing,-0.7201265752315521,20
9204,manufacturers,-0.7104926645755768,20
8683,frustration,-0.7037869691848755,6
14517,spunky,-0.7014838457107544,1
6111,annoying,-0.6922618606511284,34
8885,specify,-0.6813919246196747,8
14504,sentence,-0.6713930368423462,1
15202,period-,-0.6638953685760498,3
3243,aim,-0.6634048223495483,1
13364,ordinary.<br,-0.6583237946033478,5
12480,capful,-0.6549797654151917,5
12481,package].,-0.6549797654151917,5
3997,profiles,-0.6544849872589111,2
14217,shameful,-0.6490718126296997,5
16500,aggravating.<br,-0.6314074397087097,1
10959,toll,-0.6278576254844666,5
12209,chip.<br,-0.621161937713623,5
13835,neumans,-0.607735276222229,12
7584,pluses,-0.6065395474433899,2
5493,crushed,-0.5977034739085606,28
3577,understand,-0.5955342088426863,70
12180,superhots,-0.5895761847496033,1
6441,loses,-0.5882713079452515,5
9445,cosmetic,-0.5766888856887817,10
483,disappointing,-0.5696862305282916,189
8786,hurts,-0.566693514585495,8
14731,flopped,-0.5652003288269043,4
13784,/>buster,-0.563301682472229,1
1208,terrible,-0.5613315327843623,201
13525,aggressive,-0.5509232997894287,5
3198,tasteless,-0.5503006899597669,99
12398,someplace,-0.5464065074920654,2
16735,"horrible""",-0.5445836186408997,6
2230,ill,-0.5396666441644941,28
13298,offensive,-0.5374501744906107,12
6327,damaging,-0.533964604139328,2
7235,pollux,-0.5220778538630559,13
5358,28-ounce,-0.5220479965209961,5
9529,disgusted,-0.5213626654524552,19
2921,smells.<br,-0.5171986818313599,8
2920,dishwashing,-0.5171986818313599,8
17273,failing,-0.5010387897491455,1
8209,rude,-0.4980897009372711,2
3298,unpleasant,-0.49653905363225226,67
3171,awful,-0.4919475036508897,204
9254,depends,-0.48862808400934393,11
9323,disputed,-0.4882175922393799,1
1930,disappointment,-0.48679144176647815,139
15158,trippy,-0.48544013500213623,1
15575,urges,-0.4808206260204315,1
2343,messy,-0.4806637680807779,43
14997,appealing.<br,-0.4803016185760498,3
13328,quarter,-0.47999441623687744,4
4096,neither,-0.4742301883119525,33
5605,pricing,-0.4738863706588745,20
1267,noise,-0.4729957990348339,16
14201,drastic,-0.4692502021789551,1
1418,farts,-0.46425141607012066,7
13840,vendor.<br,-0.45591123402118683,5
9765,dominated,-0.45350773135821026,3
16626,expected.<br,-0.4534803628921509,1
5192,contributed,-0.4525701105594635,1
5380,stray,-0.4519132375717163,3
10494,dangerous,-0.44977041085561115,6
1190,necessary,-0.4473580305392926,13
6700,territorial,-0.4461362361907959,2
6374,tolerant,-0.4442341753414699,7
1972,weak,-0.4434536643867386,358
1517,worst,-0.442489094845283,279
2989,dilemma,-0.4416372776031494,1
13288,forbidden,-0.43946242332458496,1
4576,defeat,-0.43935184478759765,10
4652,basket,-0.4373195486910203,34
1747,tore,-0.4349542061487834,12
2330,webpage,-0.43337368965148926,4
16581,delayed,-0.4328434467315674,9
13516,repulsive,-0.4320283532142639,5
1925,design,-0.4314285240522245,41
9601,reconcile,-0.4278104305267334,3
4648,cheated,-0.427262544631958,8
11326,game,-0.42624726295471194,20
5425,frustrating,-0.426059365272522,2
15254,unenjoyable.<br,-0.4206892337117876,2
6473,odd.<br,-0.416848748922348,1
4584,pill,-0.4166074253263928,42
14066,sweetest,-0.41547487179438275,6
5340,appear,-0.41037081820624216,14
3369,perked,-0.40923086496499866,13
7370,preservative,-0.40858761966228485,4
6153,irritating,-0.407240092754364,18
15245,frills,-0.4059164524078369,2
8109,metropolitian,-0.40332770347595215,1
5913,dead,-0.40312767245552755,55
8176,traced,-0.40259265899658203,3
12196,drier,-0.39994797285865336,17
2364,/>*intestinal,-0.39774179458618164,4
2365,/>*severe,-0.39774179458618164,4
11870,pureness,-0.3969295024871826,1
10845,discarded,-0.39075403412183124,6
15895,irradiated,-0.38286638259887695,7
1345,spoil,-0.38204195350408554,8
11060,treating,-0.38193848729133606,2
8119,hid,-0.38188064098358154,1
3610,walks,-0.3808635581623424,11
9372,small!!!the,-0.3793344497680664,6
3080,hesitate,-0.37917442321777345,25
5668,frustrates,-0.37686816851298016,1
8806,infested,-0.3765624165534973,1
4517,becoming,-0.3755587674677372,16
10724,soot,-0.3740825653076172,2
2223,ridiculous,-0.3738304635752802,69
17052,asset,-0.3731195330619812,4
11958,gouge,-0.37223100662231445,1
3828,begin,-0.37209518389268353,22
16906,opinion-,-0.37147456407546997,1
15683,scarf,-0.3701362609863281,1
7541,execution,-0.3699023723602295,1
9801,awful.<br,-0.36712491512298584,2
7651,marked,-0.3667306900024414,18
8019,demands,-0.3632831573486328,2
10078,expects,-0.3623819351196289,1
2037,pulled,-0.36075257301330566,25
504,available.<br,-0.35876335416521343,7
15042,poster,-0.3585518002510071,3
17274,scores,-0.3584316372871399,1
9550,weak.<br,-0.35794520378112793,2
2429,apply,-0.3562171879936667,17
7745,worthless,-0.35469290484552796,23
3140,bland,-0.3530723625613797,155
17284,weaknesses,-0.35143744945526123,1
3850,lays,-0.3512041237619188,18
4353,horrible,-0.34946627435037647,236
2719,peppery,-0.34878175258636473,5
3721,spitting,-0.3478369265794754,2
8701,sucks,-0.3470167432512556,7
11285,rapping,-0.3464559316635132,4
5671,shocked,-0.34375016336087827,27
14257,unfortunately.<br,-0.34356579184532166,5
2946,mild.<br,-0.34161993861198425,1
15651,clarify,-0.33995285630226135,5
1574,promptly,-0.33900322318077086,30
2826,poor,-0.3334809530456111,106
2602,lost,-0.33340679109096527,46
15017,sanitary,-0.3318521976470947,1
3422,damage,-0.32993095236666065,34
10836,outraged,-0.3287796974182129,1
9736,incapable,-0.32793450355529785,1
7564,dying,-0.3239981333414714,24
4211,missed,-0.32323305173353717,33
6640,straightforward,-0.32000792026519775,1
10803,staged,-0.3186117112636566,2
11226,electrolites,-0.31840983033180237,1
5373,example,-0.31790777343384763,47
8351,leary,-0.3151100533349173,7
4893,carbohydrates,-0.31337282131699956,17
8710,angry,-0.31214479889188496,14
16948,reckon,-0.31122642755508423,1
367,distrust,-0.31115996837615967,1
1074,greasy,-0.3101847404140537,59
6695,removes,-0.309314489364624,1
3996,settles,-0.3091707229614258,4
10088,illicit,-0.306349515914917,1
8797,fingernails,-0.30585813522338867,4
12448,resent,-0.30357587337493896,4
7400,bated,-0.3006117343902588,1
2655,worse,-0.300057259030067,104
13318,boo,-0.2976742386817932,16
16195,orangish,-0.2972737153371175,1
6872,insanity,-0.2964613437652588,5
3894,assumed,-0.2949286903653826,35
2647,honest,-0.29489819849691085,62
8011,explanation,-0.2945636510848999,4
16396,resolution,-0.292826771736145,1
4399,stuck,-0.29206657807032266,135
16347,alters,-0.2900983691215515,1
8244,curiosity,-0.28898759682973224,3
8626,mounted,-0.28862464427948,1
9438,propylene,-0.28805404901504517,20
9248,confusion,-0.2873222827911377,1
15423,stinks.<br,-0.28711915016174316,1
3531,gross,-0.28676275312900545,80
14191,/>horrible,-0.2864306370417277,5
17396,prohibitively,-0.2859347462654114,1
6826,origin,-0.28576881544930594,7
178,not,-0.28525320023389267,7532
9394,start.<br,-0.28466999530792236,6
15469,unscrupulous,-0.28462502360343933,9
6332,damaged.<br,-0.2840237617492676,7
3276,watery,-0.28386418425708737,109
3421,throws,-0.2837339751422405,16
2512,impress,-0.283392438521752,26
5094,exceedingly,-0.28234604001045227,2
17155,hysterical,-0.28145408630371094,1
7296,doggies,-0.27970412373542786,1
5749,price.<br,-0.27946455776691437,14
10488,evidently,-0.27920813858509064,8
11602,cambells,-0.27902865409851074,5
17092,represents,-0.2790148854255676,1
3340,view,-0.27872124840231505,17
14778,beaten,-0.27762120962142944,6
14930,/>nothing,-0.27729300657908124,1
2366,persons,-0.27708232402801514,6
10182,snatched,-0.27647435665130615,1
5059,uploaded,-0.27539896965026855,1
13608,skeptical.<br,-0.27520138025283813,1
3473,reorder,-0.27485035239039246,37
5398,criteria,-0.27359580993652344,1
10652,puggies,-0.27128708362579346,5
11713,meh,-0.2709141969680786,4
15256,bummer,-0.2694125175476074,7
4712,suffer,-0.2680561912280542,27
14776,stanky,-0.2676438093185425,1
4867,pages,-0.2671928405761719,1
1429,finish,-0.26595510356128216,128
5919,branded,-0.2657582759857178,7
15660,aftermath,-0.2648674249649048,5
6095,enjoyable,-0.2642546721867153,49
1658,stopped,-0.26353063246830793,147
6667,ought,-0.26335692405700684,1
7659,blame,-0.2620168361398909,18
2664,smoker,-0.26094329357147217,3
2044,palatable,-0.2590927965939045,32
16499,why?<br,-0.25900221802294254,1
9503,emitted,-0.2570447325706482,1
9795,cooperate,-0.2564464807510376,2
6787,officially,-0.25240981578826904,1
5797,bearable,-0.25124034711292814,14
8225,release,-0.2511563982282366,7
8181,hoopla,-0.25053250789642334,5
11979,gobbling,-0.25042691826820374,1
5474,premise,-0.2503774166107178,1
8611,puking,-0.2492220401763916,9
