,Word,Value,Freq
7595,deleted,-1.7724404335021973,1
12448,breaker,-0.9573996067047119,1
7906,"horrible""",-0.9488433301448822,1
10571,vague,-0.8823604583740234,1
8801,cheated,-0.8527467250823975,3
2137,canceled,-0.7708949595689774,4
16574,destroy,-0.6974509954452515,1
2090,poorly,-0.677132534980774,10
14353,failed,-0.6411599218845367,4
9933,paranoid,-0.6185742020606995,2
12981,unofficial,-0.6092846393585205,1
8731,detrimental,-0.5974300503730774,3
8511,defeat,-0.5817227363586426,2
10753,neumans,-0.5495107173919678,1
7553,perked,-0.5458569526672363,2
12056,pigs,-0.542198896408081,1
16590,disappears,-0.5349140167236328,1
13059,disclosure,-0.5010831356048584,1
770,disappointing,-0.4990140532338342,43
7493,tiring,-0.4941549301147461,1
7597,cannot,-0.4894847869873047,1
8907,offensive,-0.4792047142982483,6
3497,misleading,-0.47897807289572325,17
6710,starred,-0.471876859664917,1
9648,tame,-0.4675476948420207,3
12953,memphis,-0.46470117568969727,2
12337,clueless,-0.4638030529022217,1
2895,louisiana,-0.462536096572876,2
5686,prey,-0.4613808790842692,3
8906,ghastly,-0.45401986440022785,1
7542,trippy,-0.44932878017425537,1
4571,rant,-0.43832170963287354,1
421,a+,-0.43700456619262695,4
1983,worst,-0.4350906600554784,60
9340,this-,-0.43178296089172363,1
15022,murky,-0.4260856956243515,2
4679,/>ding,-0.41974647839864093,1
2553,defeats,-0.41683098673820496,4
16683,acceptable.<br,-0.40876317024230957,1
9070,redesign,-0.4045393466949463,2
6531,ruined,-0.40360329832349506,7
17460,upsetting,-0.3971068859100342,1
8067,cancelled,-0.39381090232304167,7
14000,promising,-0.39143243432044983,2
1769,terrible,-0.389419995654713,55
14598,yuck.<br,-0.3818685293197632,1
9250,lame,-0.3782188892364502,2
1512,dead,-0.3753816539591009,11
16924,sustained,-0.3716907501220703,1
15862,wold,-0.3588947057723999,1
5659,annoying,-0.3587099313735962,10
15188,satifying,-0.3540966510772705,1
4758,nevertheless,-0.35117483139038086,5
444,disappointed,-0.34948157349591535,189
15468,repulsive,-0.33660390973091125,2
8985,dependable,-0.33523329099019367,3
8661,void,-0.33330005407333374,4
10418,bugged,-0.3281508684158325,2
16141,unsulphured,-0.32448434829711914,1
4680,alloy,-0.32403039932250977,1
6774,collects,-0.31827807426452637,1
7584,nostalgia,-0.316281795501709,1
15808,/>horrible,-0.3154626687367757,1
13419,respects,-0.31467223167419434,1
8808,fragments,-0.31214404106140137,1
13764,resent,-0.31140780448913574,1
14161,ugly,-0.3105149269104004,1
7079,triggering,-0.30008363723754883,1
4211,baffled,-0.298907995223999,1
4641,criticism,-0.29800546169281006,2
13883,furthered,-0.29540759325027466,1
14429,interpreter,-0.2953665256500244,1
13232,deceptive,-0.2950139244397481,3
8279,bushed,-0.29458558559417725,1
4727,awful.<br,-0.29281235486268997,2
13729,identifiable,-0.2896082401275635,1
12445,cambells,-0.28890812397003174,1
15902,damaged.<br,-0.2887896001338959,1
11215,yuck,-0.2883394956588745,11
1693,awful,-0.2870227075972647,53
12823,"awful,",-0.28628915548324585,1
1995,headline,-0.28363287448883057,1
7509,leaked,-0.2808120052019755,9
13284,lands,-0.2783496379852295,1
1791,horrible,-0.27711425829624786,69
12980,patents,-0.2750983238220215,1
12459,mereingues,-0.2725995381673177,1
3559,neither,-0.2724154654302095,19
11840,nitty,-0.27020788192749023,1
10457,reflect,-0.2636911869049072,1
13968,decidedly,-0.26315760612487793,1
10580,bunnies,-0.2626652717590332,2
10697,lingers,-0.26032114028930664,1
8575,unacceptable,-0.26017703115940094,4
16845,/>sept,-0.2595860958099365,1
9186,overpowering.<br,-0.2577142000198364,1
14821,appealingly,-0.25575971603393555,1
13962,forbidden,-0.2552754878997803,1
15726,connesiur,-0.2535586357116699,1
9190,alley,-0.2517964839935303,1
3018,disappointment,-0.2512275479935311,37
9381,disliked,-0.24994250138600668,3
16344,confused-,-0.24730056524276733,1
1070,weak,-0.24593782033363398,137
15455,contends,-0.24507349729537964,1
7322,resulted,-0.2435425122578939,3
13519,specify,-0.24332177639007568,2
3821,horribly,-0.24251705408096313,5
9072,constitutes,-0.24208933115005493,2
15320,small!!!the,-0.23939967155456543,1
7095,walks,-0.23906856775283813,4
13830,standout,-0.23723292350769043,1
15117,defense,-0.23479485511779785,1
10157,tolerant,-0.23411214351654053,1
6859,yellowish,-0.23084452748298645,2
17334,",but",-0.22809672355651855,1
9185,distinguishes,-0.22754907608032227,1
15923,"otherwise,<br",-0.22446328401565552,1
13918,presenting,-0.22422075271606445,1
13001,bordering,-0.22275018692016602,2
15281,yelling,-0.2214421033859253,1
3730,confusing,-0.22030543287595114,6
7669,translucent,-0.21909165382385254,1
10285,horrifically,-0.21794599294662476,1
8167,wan,-0.2177518606185913,2
14813,electing,-0.2158348560333252,1
320,yucky,-0.21545396000146866,4
10926,compromise,-0.2153817117214203,8
9117,vial,-0.21509242057800293,2
4958,character,-0.21467280387878418,6
17451,limited.<br,-0.2143346071243286,1
1119,brittle,-0.21399195194244386,5
9708,fleeting.<br,-0.2123519778251648,1
4047,pant,-0.21184223890304565,1
16136,soluble,-0.21106767654418945,1
13060,targeting,-0.209162175655365,2
6601,aggressive,-0.20862416426340738,3
11850,investigate,-0.20796829462051392,2
3949,burns,-0.20630118250846863,2
7077,ranks,-0.20628345012664795,3
15471,unimpressed,-0.20627331733703613,1
4261,uprising,-0.2057785987854004,1
9071,caloric,-0.20550964772701263,4
13909,demos,-0.20482993125915527,1
7483,nutri,-0.20295308530330658,2
15282,suspension,-0.20162296295166016,1
13474,/>edited,-0.20091025034586588,1
11017,rust,-0.20059287548065186,1
9996,manager,-0.19986611604690552,4
10141,tackle,-0.19964861869812012,1
14493,ed,-0.19896793365478516,2
13560,arise,-0.19832074642181396,2
17087,paticular,-0.1979517936706543,1
13367,contributed,-0.19789576530456543,1
12240,desperation,-0.1978464126586914,2
15342,howdy,-0.19771361351013184,1
10343,however-,-0.197678804397583,1
5311,ruins,-0.19631418585777283,4
4147,tore,-0.19587310155232748,3
1987,whammy,-0.19556633631388348,2
4531,halving,-0.19548940658569336,1
16139,results.<br,-0.1921834945678711,1
11477,starchy,-0.19141238927841187,2
15873,deceided,-0.1912548542022705,1
3996,nastiest,-0.19066462914148966,3
12018,lacked,-0.19062376022338867,3
8452,fixing,-0.19031214714050293,1
14019,decorative,-0.1897728443145752,1
9647,variability,-0.18947714567184448,2
12287,milled,-0.18947631120681763,2
16899,discernable,-0.1887392203013102,1
15093,unwieldy,-0.1884995698928833,1
15438,charms,-0.18798065185546875,1
10177,counterpart,-0.1876540184020996,2
6549,wrinkled,-0.1869400590658188,4
5136,sickening,-0.1867056985696157,3
16238,setbacks,-0.1864837408065796,1
6215,awarding,-0.1861882209777832,1
15989,/>nope,-0.1855500141779582,2
7130,died,-0.1844691038131714,12
6243,roe,-0.18364965915679932,2
5836,nonetheless,-0.18332314491271973,8
10749,ash,-0.18182814121246338,1
1815,lack,-0.1810090286391122,21
8690,violent,-0.18085908889770508,1
8244,cycling,-0.18039560317993164,1
14597,aftermath,-0.18008065223693848,1
3953,throwing,-0.17969046115875245,25
5168,flaw,-0.17932099103927612,4
4835,acceptable,-0.17881603326116288,14
13464,coors,-0.17851650714874268,2
15922,/>blew,-0.17811218897501627,1
13964,repeated,-0.17705094814300537,1
11040,hardened,-0.17649316787719727,1
9274,straightforward,-0.17548179626464844,1
5099,missing,-0.17534173280000687,24
8687,swayed,-0.17453265190124512,1
9916,newer,-0.17449069023132324,2
16341,stamped,-0.1744859218597412,1
2700,usefulness,-0.1739656925201416,3
10396,devoid,-0.173919677734375,1
8945,explore,-0.17357492446899414,1
15938,begging,-0.1731613278388977,3
11896,highlighted,-0.1720569928487142,3
7758,annoyed,-0.17186543345451355,2
15227,dogs.<br,-0.171159029006958,1
1363,tasteless,-0.17090612238851086,29
23,unpleasant,-0.17070024354117258,21
14669,unclear,-0.17036598920822144,1
10159,calculated,-0.1701563596725464,1
6816,subjective,-0.16964150137371486,9
10485,"natural""<br",-0.1695852279663086,1
16825,horrific.<br,-0.16926133632659912,1
11376,choices-,-0.16899919509887695,1
4738,poor,-0.16872842184134892,28
13452,tormented,-0.16817212104797363,1
13122,cracks,-0.16757401823997498,2
12654,sediment,-0.16731083393096924,2
1550,powdery,-0.16664386457867092,9
5087,hull,-0.16607538291386195,7
9831,worthless,-0.1656792312860489,4
9514,objectively,-0.16529083251953125,1
2329,island,-0.16519037882486978,12
14017,jewels,-0.16503453254699707,1
6467,davidsons,-0.1649610996246338,1
13713,positioned,-0.16400957107543945,1
8046,distinctly,-0.1634352058172226,4
6915,exceedingly,-0.16311299800872803,2
7030,umm,-0.16303735971450806,2
923,possibilities,-0.1611495018005371,3
9906,enemy,-0.16107511520385742,1
5888,salty!!!<br,-0.16100229819615683,1
672,disapppointed,-0.16043919324874878,2
15450,frills,-0.16027164459228516,2
4917,retrospect,-0.16003179550170898,1
5577,contamination,-0.15926197171211243,2
13863,realistic,-0.15882086753845215,1
7154,opinion-,-0.15879201889038086,1
12959,descript,-0.1585170030593872,1
7100,frustration,-0.15843507647514343,4
15379,gravel,-0.15782129764556885,2
15748,satisfied.<br,-0.15722113847732544,1
2467,grainy,-0.15719232120011983,19
4088,throws,-0.15630016724268594,3
2337,ultimately,-0.1560942530632019,4
1507,scary,-0.15558930238087973,3
15927,tastefull,-0.15550692876180014,1
6071,dhall,-0.15483307838439941,1
12822,wantned,-0.1546921730041504,1
13403,altering,-0.15443706512451172,1
4033,yields,-0.1542530059814453,3
13397,pathetic,-0.15421825647354126,1
15118,family-,-0.15307021141052246,1
11909,backward,-0.15234947204589844,1
13842,size!<br,-0.15221548080444336,1
13843,prepare.<br,-0.15221548080444336,1
15341,finace,-0.15219533443450928,1
5538,lied,-0.1519564986228943,2
12257,disaster,-0.1518273949623108,1
3834,lacks,-0.15176389614741007,15
1487,fake,-0.15150817980368933,24
1697,disgusting,-0.15111693739891052,14
11263,slimed,-0.15110546350479126,1
2139,cancel,-0.14955953189304896,7
8104,memorable,-0.14953255653381348,4
11016,yielded,-0.14880633354187012,1
7099,act,-0.14818716049194336,1
2278,tossed,-0.14692389965057373,14
12023,rapping,-0.14637446403503418,1
11018,tinged,-0.14568984508514404,1
4795,ripped,-0.143829474846522,6
10662,writes,-0.143355131149292,2
7076,23,-0.14288055896759033,2
2918,m2,-0.14270234107971191,1
6830,dumb,-0.14266884326934814,1
6698,brisker,-0.14147889614105225,1
11375,adjusting,-0.141432523727417,1
15216,uncontrollable,-0.14142487049102784,1
6440,entitlement,-0.14028247197469076,1
14270,poster,-0.14015042781829834,1
16993,discrete,-0.14003968238830566,1
10112,reliability,-0.13962006568908691,1
12146,it.<a,-0.13907352089881897,1
2957,scheduled,-0.1389652887980143,3
8527,roger,-0.1388235092163086,1
481,noticeable,-0.1387441098690033,10
6075,vomit,-0.13832804361979167,15
8712,insane,-0.1379568874835968,4
11601,useless.<br,-0.13755673170089722,1
7574,wetting,-0.1367044448852539,1
6311,robbery.<br,-0.135801762342453,1
7451,portrayed,-0.1356145143508911,2
9239,forgo,-0.13547205924987793,2
10805,ir,-0.13539600372314453,1
5111,boring,-0.135252731187003,7
9120,leaks,-0.13478968540827432,9
3223,blame,-0.1346729482923235,7
13985,norway,-0.13386082649230957,2
14618,changed!<br,-0.13368213176727295,1
13197,identifying,-0.13362085819244385,1
10073,inevitable,-0.13354003429412842,2
14256,excitedness,-0.1334705352783203,1
10297,proved,-0.13300712903340658,3
17443,progressive,-0.1329813003540039,1
7179,irritating,-0.13274480402469635,4
10324,distorted,-0.13232159614562988,1
12526,combimation,-0.13199218114217123,1
4559,costly,-0.13191781725202287,7
14770,warps,-0.13180625438690186,1
10804,decaf.<br,-0.13178060054779053,1
13805,hearted,-0.13174915313720703,1
14645,executed,-0.13137823343276978,1
7800,goop,-0.13116499781608582,4
3182,disappointed.<br,-0.13115538656711578,4
5680,bummer,-0.13098416328430176,5
14703,improvised,-0.13086938858032227,1
1981,announcement,-0.13041633367538452,2
6532,gamble,-0.12936711311340332,1
9019,reveals,-0.12882214784622192,2
8578,suspicious,-0.12827630043029786,5
2340,happened,-0.12706190539944556,31
8441,removable,-0.12646543979644775,1
13330,darned,-0.12645912170410156,2
2116,though.<br,-0.12625147898991904,3
6742,scorched,-0.12607699632644653,2
14876,utterly,-0.12599778175354004,2
9151,depends,-0.125104029973348,6
5770,heft,-0.12454462051391602,1
12525,tos,-0.12449091672897339,1
11961,woudl,-0.12413835525512695,3
12075,busted,-0.12312110265096028,6
12681,chowder.not,-0.12303584814071655,1
9443,disposal,-0.1222684383392334,1
10026,cringed,-0.12222123146057129,1
6182,joke,-0.1218930333852768,4
9510,wikipedia,-0.12185359001159668,1
4590,bulked,-0.12178730964660645,1
6595,dude,-0.12137881914774577,3
7714,powderized,-0.12125194072723389,1
7702,poison,-0.12114717960357665,5
14907,so.there,-0.12111961841583252,1
15143,frustrating,-0.12098312377929688,2
5895,trashcan,-0.120541512966156,1
2917,assuming,-0.120301468031747,7
12306,disappointing.<br,-0.12019089857737224,3
11755,/>pissed,-0.11984783411026001,1
