,Word,Value,Freq
7956,reeks,-9.367639780044556,1
12570,livid,-7.6461358070373535,1
7211,crammed,-5.019366025924683,1
14177,flawed,-4.952286131241742,17
10109,brittle,-4.746433734893799,1
11540,shabby,-4.6432530879974365,1
6061,hill!unfortunately,-4.373842239379883,5
15942,stink,-4.34568452835083,16
12738,frustrating!i,-3.8064966201782227,1
4316,sturdily,-3.616553008556366,4
16270,slighty,-3.599991500377655,1
9159,unwieldy,-3.2587213118871055,3
4781,outlandish,-2.6319953918457033,10
9067,recommmend,-2.5010006427764893,2
6968,irritating,-2.3770260562499366,24
16009,cheap!&#34,-2.3029555678367615,1
6783,value!!add,-2.1619943380355835,1
14345,furious,-2.0496785640716553,1
16103,unfair,-1.9608250856399536,1
8602,bother!other,-1.9165360927581787,1
7951,grossly,-1.8703844547271729,1
11061,unreal,-1.8608440160751343,1
11879,squealing,-1.8361592292785645,1
816,wobbly,-1.8029728174209594,5
15624,most!trouble,-1.7777938842773438,1
10304,inconvenience,-1.6679494455456734,2
5178,fickle,-1.580993890762329,1
5297,unforunately,-1.5612454414367676,1
12997,fascinates,-1.5588715076446533,1
5541,34;too,-1.5546854138374329,2
9818,soometimes,-1.503186196088791,1
16063,upsetting,-1.4855897426605225,1
2176,careening,-1.4649691581726074,1
13481,ouch,-1.454406589269638,16
3929,regret,-1.3853416564513226,49
14422,unuseable,-1.3664007782936096,1
3989,cumbersome,-1.2879076997439067,3
13903,indispensible,-1.268561840057373,1
10784,macabre,-1.2475998401641846,12
10602,invalid,-1.1788194179534912,1
8900,"later:""ok",-1.1444000005722046,1
15123,crumbled,-1.1382905840873718,1
11333,creasing,-1.1220906972885132,1
6677,falsely,-1.0996273756027222,1
11928,shoddy,-1.0767382032731,17
15419,slumped,-1.0706474781036377,1
1016,inescapable,-1.042008399963379,1
11304,derails,-1.0185654163360596,2
10232,shapestill,-1.0074005126953125,12
16049,lied,-0.9904679656028748,1
7288,realistic&#34,-0.9690301418304443,1
15269,goner,-0.9551762342453003,1
13591,thereweren't,-0.9404367208480835,1
13997,"buy""",-0.9370324611663818,1
1791,lousy,-0.9273545742034912,21
13469,inexplicable,-0.9258644580841064,1
7732,struggled,-0.9203136563301086,4
8013,loses,-0.9174303478664823,36
1486,occurrence,-0.9118722081184387,1
12682,wrinkles,-0.8688246011734009,1
10073,shattered,-0.8404983282089233,1
10316,suffed,-0.8361384868621826,1
7054,delirious,-0.8305106163024902,1
10923,hunkered,-0.8089151978492737,1
6194,"55""",-0.8011093735694885,1
2495,34;lock&#34,-0.7974809408187866,1
8511,costing,-0.7930949330329895,1
9577,morbid,-0.7577972412109375,1
16010,34;we,-0.7534343004226685,1
16445,dank,-0.7525026798248291,1
6187,bottom2,-0.7341328859329224,1
9783,discontinued,-0.7213635245958964,3
6442,again--,-0.7101554870605469,1
16159,quot;sorting&quot,-0.7075089812278748,1
10927,quivered,-0.6911084055900574,1
6441,sharing,-0.6850685165041969,21
10317,girly&#34;.,-0.6843700408935547,1
4251,conceit,-0.6790204346179962,4
16157,"kid,""they're",-0.6772746443748474,1
2997,alas,-0.6686742782592774,5
8644,dolts,-0.6683332920074463,9
6945,annoys,-0.6582145690917969,2
15314,fray,-0.6526614427566528,1
12340,34;reluctant,-0.6407909393310547,16
3961,re)designed,-0.6129629611968994,1
3830,zero,-0.6025457041604179,7
6188,cushy3,-0.5991616174578667,1
3104,savvy,-0.595532238483429,4
12567,jams,-0.5906051397323608,1
11309,son.my,-0.5880334377288818,1
2892,uninterested,-0.5865248971515231,9
7535,quizzed,-0.5790716707706451,1
6896,negatives,-0.5620090246200562,25
13184,disruption,-0.5613290071487427,1
11613,11-year,-0.5590029954910278,1
2115,screwed,-0.557762622833252,2
11570,skeptic,-0.548462986946106,1
2867,disappointment,-0.5418006598949432,160
9154,agains,-0.5392193794250488,1
5418,caps,-0.5364412546157837,5
15292,grace,-0.5344169735908508,1
10562,lackluster,-0.5320336818695068,18
6189,valves,-0.5243300199508667,1
13758,baught,-0.5221925973892212,2
13569,ug,-0.5194212794303894,1
8514,gamesmaster,-0.5186666250228882,1
6690,playhouse,-0.5111495435237885,20
15335,eek,-0.5107018947601318,1
10905,destructable,-0.5086624622344971,1
7134,enforces,-0.5057440400123596,1
8934,tigger,-0.49969689051310223,3
3513,intimidate,-0.4935237467288971,2
6769,fun-,-0.4884459773699443,3
7289,"proportionate,&#34",-0.4774339199066162,1
5518,chews,-0.4773159424463908,6
3519,poor,-0.4761894670113054,189
3987,detracted,-0.4704172611236572,1
6827,drawbacks,-0.46961782773335775,15
4678,blame,-0.46880388259887695,3
12566,made.-the,-0.46859490871429443,1
7897,frustratingly,-0.46604233980178833,2
15583,calmer,-0.45932191610336304,1
10529,collapsed,-0.4572908878326416,2
12885,wiggling,-0.4564824104309082,2
1103,poorly,-0.4536766281918339,184
7114,lame,-0.45150597890218097,3
7287,34;isn't,-0.4508344531059265,2
15992,doom!i,-0.4450179934501648,1
13400,start).as,-0.44468510150909424,1
12413,gnomic,-0.43427038192749023,1
11614,14-month,-0.433349609375,1
7937,laughable,-0.433243989944458,12
2505,tedious,-0.43300624515699304,46
14055,7-minutes,-0.42487215995788574,1
11885,puzzling,-0.4233982563018799,2
2488,address,-0.41644787788391113,3
11739,concot,-0.4142022132873535,1
16051,rectifie,-0.4099317789077759,1
11573,precautions,-0.40950441360473633,1
672,boring,-0.4092503168561437,222
11830,misstep,-0.4080904722213745,1
1477,abused,-0.40541486740112304,5
15799,misconstrued,-0.4016551971435547,1
3993,maggots,-0.395105741918087,1
15333,34;swiping,-0.394600510597229,1
15743,consumer,-0.3941676616668701,16
12718,freak,-0.39307379722595215,2
9150,years.-silly,-0.3927445411682129,1
13397,smoked,-0.39236462116241455,1
5642,rubbish,-0.3917554303219444,19
15934,repairable,-0.3908531665802002,17
11469,sloppy,-0.3903709650039673,2
4888,developments,-0.38871169090270996,1
6781,guffaws,-0.38657569885253906,1
5889,cheapest,-0.3863528464969836,38
15099,backboard,-0.3824168344338735,3
8454,lacks,-0.3801679061009334,13
11485,here.because,-0.37563371658325195,1
4461,earpieces,-0.37046298384666443,2
10124,slim,-0.36723164717356366,3
14298,radical,-0.36435914039611816,1
12262,sucessful,-0.36435699462890625,1
12261,playing!it,-0.36171746253967285,1
5234,remembered,-0.361365584226755,39
7611,12-months,-0.3610842376947403,16
6465,fails,-0.3600354963733304,31
13568,renditionsof,-0.3599400520324707,1
10883,transfer,-0.35457303126653034,12
7721,firstly,-0.3488607406616211,3
8172,venom,-0.348325252532959,1
15807,gypsy,-0.34689807891845703,1
1506,players).so,-0.3451414704322815,1
7684,sail,-0.3449810743331909,1
15177,unusally,-0.3444709777832031,1
7398,playmat,-0.34320068359375,12
12998,daugthers,-0.341949462890625,1
7612,3-years,-0.3414294719696045,17
5644,presumed,-0.3405904769897461,9
11320,picturing,-0.33686089515686035,1
7996,copies,-0.3365397850672404,6
1987,jealous,-0.3361166715621948,2
5759,c'est,-0.3357408046722412,1
8604,color)a,-0.33450043201446533,1
831,buzzard,-0.3321700096130371,2
8505,slept,-0.3306965430577596,3
13018,ruins,-0.3293154239654541,1
1637,aesthetically,-0.3262127637863159,2
3545,ruined,-0.3256741921106974,30
5094,deter,-0.32467641433080036,3
2405,angle,-0.32405654191970823,20
8763,equipped,-0.3237278461456299,12
647,missing,-0.32286520339240715,121
13308,anymore;fret,-0.320542573928833,1
12903,sorcha,-0.3168942928314209,1
4682,manufactures,-0.3160075545310974,1
16273,mutliplication,-0.31528252363204956,1
15589,dontt,-0.312900185585022,1
10071,straps,-0.3111370439114778,23
7360,fort&#34,-0.30988675355911255,1
4982,definately,-0.308274283295586,21
8389,adhensive,-0.3073916435241699,1
2669,steal,-0.30557217200597125,12
14431,grating,-0.30497363209724426,2
8075,wantto,-0.3041656017303467,1
3936,death,-0.301271743244595,9
4742,dislike,-0.2981550395488739,20
9628,devasted,-0.29530882835388184,14
8610,gimpy,-0.29411864280700684,1
13840,itcons,-0.2918691635131836,1
11873,underwhelming,-0.2917506694793701,1
6468,forgotten,-0.28645206414736235,13
3731,suspicion,-0.28618574142456055,1
16107,bites,-0.28527653217315674,2
8073,thelimit,-0.28510618209838867,1
2172,envisioned,-0.28443819284439087,1
11929,deplorable,-0.2825617790222168,9
10090,blur,-0.2819502353668213,1
