,Word,Value,Freq
7118,paranoid,-0.3297903537750244,1
6230,vaughn,-0.2457427978515625,1
7374,locking,-0.23880314826965332,1
1239,speculation,-0.2372722625732422,1
2499,executives,-0.2344038486480713,1
7983,controversial,-0.2323920726776123,1
3586,fuck,-0.21635115146636963,6
8606,fraud,-0.20536375045776367,1
6730,generic,-0.2040410041809082,1
3833,insulted,-0.1874525547027588,1
7767,pump,-0.18532991409301758,1
4547,cheap,-0.18178093433380127,2
4000,messy,-0.17945241928100586,1
6617,oblivious,-0.17874360084533691,1
4620,creeps,-0.177467942237854,1
5807,alarms,-0.17549681663513184,1
5711,annoying,-0.1732802391052246,2
2500,bucks,-0.17302513122558594,2
4880,khloe,-0.17118461926778158,1
7908,jets,-0.1700882911682129,1
4737,fringe,-0.16841602325439453,1
5412,senator,-0.16791176795959473,1
5125,dictator,-0.16741108894348145,1
8239,sneaking,-0.16649627685546875,1
5375,club,-0.16632342338562012,4
1628,ridiculous,-0.16386070618262658,26
8346,immature,-0.16332387924194336,1
7354,pizza,-0.16324925422668457,1
8572,plaintiffs,-0.1629645824432373,1
4018,shady,-0.16290360689163208,4
934,pretend,-0.1622641682624817,4
8441,associate,-0.16207122802734375,1
2879,pseudo,-0.16085481643676758,1
5833,sucker,-0.16062068939208984,1
1784,crap,-0.15997275114059448,10
8561,figured,-0.15872979164123535,1
8409,gag,-0.15826177597045898,1
1582,approve,-0.15756845474243164,1
3343,joke,-0.157323956489563,7
2631,outrageous,-0.15679693222045898,4
2748,idiot,-0.15585923194885254,6
7181,dick,-0.1550295352935791,1
6189,favors,-0.15497303009033203,1
5933,murderous,-0.15455842018127441,1
2080,idiots,-0.15318240438188827,7
8538,targets,-0.1525862216949463,1
7515,loser,-0.1522228717803955,1
2323,compromising,-0.1518305540084839,1
1791,bored,-0.1509714126586914,1
4585,suck,-0.15049344301223755,4
4778,privileges,-0.14995241165161133,1
2639,bet,-0.14883105754852294,10
3976,refrain,-0.14826440811157227,1
2142,option,-0.1476745307445526,8
8045,dismiss,-0.14745616912841797,1
2275,taxation,-0.14735126495361328,1
2238,shit,-0.14690485170909337,14
4120,cynical,-0.14633822441101074,1
3589,betray,-0.14605212211608887,1
126,weird,-0.14563494570115032,17
4824,appearances,-0.14495062828063965,1
5463,slang,-0.14478278160095215,1
6637,kidding,-0.14361751079559326,2
1037,surprisingly,-0.1435704231262207,1
5712,tricky,-0.1428205966949463,1
5611,screwing,-0.14267563819885254,1
7134,alleged,-0.141892671585083,1
6379,slightest,-0.14110159873962402,1
5604,arrogant,-0.14062809944152832,1
2570,privacy,-0.14007306098937988,2
5204,fro,-0.13782024383544922,1
3431,annoyed,-0.13776171207427979,2
5455,nose,-0.1375868320465088,1
7753,league,-0.1368703842163086,1
3588,embarrassment,-0.13632965087890625,1
2235,buddies,-0.13596463203430176,1
2989,interfering,-0.13551998138427734,1
3041,casual,-0.1349649429321289,1
7105,scrutiny,-0.1345975399017334,1
3230,tagged,-0.1339702606201172,1
6616,overly,-0.13302397727966309,1
3208,limit,-0.1328901449839274,3
2225,laser,-0.13256263732910156,1
8285,detect,-0.13216757774353027,1
6184,conspiracy,-0.1318063735961914,1
5628,boycott,-0.1316382884979248,1
4298,dial,-0.13069558143615723,1
5776,naturally,-0.12993192672729492,1
815,nasty,-0.12976173559824625,6
3681,disguised,-0.12969374656677246,1
8456,misunderstanding,-0.12949323654174805,1
6338,soo,-0.12924742698669434,1
456,antics,-0.12903892993927002,2
5091,trick,-0.12827539443969727,1
7863,rebel,-0.1282355785369873,1
7819,cam,-0.12754607200622559,1
2700,pinning,-0.12731122970581055,1
843,capitalist,-0.12721681594848633,1
2126,rob,-0.12695074081420898,1
8391,taxpayers,-0.1269216537475586,1
2827,undermine,-0.12691259384155273,1
2175,sham,-0.125654935836792,1
7430,freaks,-0.12508106231689453,1
3427,spite,-0.12504339218139648,1
2676,screwed,-0.12461272875467937,3
6845,paperwork,-0.12460792064666748,2
8053,reversal,-0.12358283996582031,1
4400,dumb,-0.1232459545135498,2
1545,incorrect,-0.12306952476501465,1
8079,kardashians,-0.12215584516525269,1
4877,provocative,-0.12168943881988525,2
5966,museums,-0.12154674530029297,1
7670,breakdown,-0.12133526802062988,1
8651,fraudulent,-0.12114143371582031,1
7845,lobby,-0.12108564376831055,2
6970,tricks,-0.1208045482635498,1
1110,guidelines,-0.12077784538269043,1
4309,teeth,-0.12058615684509277,1
7292,couch,-0.12039303779602051,1
7485,ballot,-0.12037849426269531,1
900,radicals,-0.12018871307373047,1
6340,fuckers,-0.12018203735351562,1
2792,flip,-0.11993968486785889,2
5581,financing,-0.11888408660888672,1
1394,exploit,-0.118740975856781,4
8214,mouthed,-0.11873269081115723,1
3038,morbid,-0.11859989166259766,1
2550,measles,-0.11828494071960449,1
2424,giants,-0.1182403564453125,1
4576,fines,-0.11727285385131836,2
5097,heck,-0.11722087860107422,1
2617,attract,-0.11706066131591797,2
1607,norm,-0.11696267127990723,2
2844,lawsuits,-0.11692404747009277,2
6745,tabloid,-0.11683845520019531,1
1573,scum,-0.11673811078071594,4
3699,bullshit,-0.11660659313201904,2
2597,dirty,-0.11623454093933105,1
2601,amusing,-0.11597597599029541,2
3707,biased,-0.11594182252883911,4
8664,profitable,-0.11588788032531738,1
1833,radar,-0.11550271511077881,1
8287,lab,-0.11548256874084473,1
8051,bounce,-0.11542057991027832,1
1995,dude,-0.11539278711591448,7
5809,bizarre,-0.11521347363789876,3
4787,techniques,-0.1151123046875,1
8374,hush,-0.11504769325256348,1
647,morons,-0.11473572254180908,2
853,enemies,-0.11472105979919434,2
7674,connections,-0.11457180976867676,1
7414,checking,-0.11399149894714355,1
2542,cheaper,-0.11376309394836426,3
8199,violations,-0.11367273330688477,1
1275,tax,-0.11359850565592448,6
6087,suggestion,-0.1135866641998291,1
8190,gross,-0.11350882053375244,2
3141,info,-0.11306214332580566,2
8338,nut,-0.11260867118835449,1
5351,explicit,-0.11201763153076172,1
6562,legitimate,-0.11201715469360352,2
6392,glare,-0.11200881004333496,1
1872,fucking,-0.1119457653590611,7
8440,disbanded,-0.11189031600952148,1
373,guess,-0.11175816762642782,61
5282,prep,-0.1110696792602539,1
4628,sabotage,-0.1109766960144043,1
2829,rude,-0.11074888706207275,4
3998,suite,-0.11057186126708984,1
8364,aisle,-0.11047840118408203,1
7752,hood,-0.11027932167053223,1
7174,outdated,-0.10992431640625,1
3774,louisiana,-0.10985994338989258,2
3823,arguments,-0.108917236328125,1
5785,furious,-0.10870647430419922,2
6395,openly,-0.10859203338623047,2
4844,suitcase,-0.10856771469116211,1
6898,restrictive,-0.10804343223571777,1
4595,weasels,-0.10773956775665283,1
2665,bother,-0.10754427909851075,5
4489,tag,-0.10751152038574219,1
5589,angle,-0.10735118389129639,2
5041,exposing,-0.10716128349304199,1
6283,predictable,-0.10715878009796143,2
6169,curves,-0.10697245597839355,1
3389,lock,-0.10650110244750977,1
7649,vacuum,-0.10641360282897949,1
2391,yeah,-0.1062947776582506,9
6813,lingo,-0.10606157779693604,1
3320,stick,-0.10574712753295898,5
4725,excuse,-0.1056941422549161,11
1363,ignore,-0.10564931801387242,7
8007,limelight,-0.10558593273162842,1
8612,phony,-0.10558414459228516,1
5702,tactics,-0.10557675361633301,2
1631,messing,-0.10508718093236287,6
4805,tabs,-0.1050492525100708,1
5087,criticism,-0.10473799705505371,1
8366,thwart,-0.10435736179351807,1
395,inflated,-0.10435271263122559,2
3912,deliberately,-0.10422849655151367,1
7063,heated,-0.10420739650726318,2
5426,dismissed,-0.10406923294067383,1
7951,obey,-0.10379958152770996,1
4337,fucker,-0.10376238822937012,2
3540,strict,-0.10311859846115112,4
3580,arrogance,-0.1030731201171875,1
4648,fiction,-0.10305190086364746,2
1260,agenda,-0.10272804896036784,6
3884,fooled,-0.10215103626251221,2
3900,jokes,-0.1019750436147054,3
2227,hell,-0.10189884901046753,12
8412,misleading,-0.10175609588623047,1
6036,terminal,-0.10167169570922852,1
29,shitty,-0.10061663389205933,4
2929,backup,-0.10036468505859375,2
4382,hat,-0.10023021697998047,1
2600,score,-0.10014986991882324,1
6630,tense,-0.10013103485107422,1
8662,lmao,-0.09985494613647461,1
7985,skimmed,-0.09984612464904785,1
3529,ol',-0.09956169128417969,1
4105,quotes,-0.09953498840332031,1
299,disgust,-0.09925210475921631,2
3299,booths,-0.09888982772827148,1
3052,opponents,-0.09854245185852051,1
844,interests,-0.09841609001159668,2
3918,fist,-0.0982743501663208,2
1011,cancel,-0.09826624393463135,2
50,bounds,-0.09814190864562988,1
7136,blowing,-0.09806227684020996,1
5635,spat,-0.09754753112792969,1
262,illegally,-0.09747794270515442,8
3913,penalty,-0.09738516807556152,4
3029,boring,-0.09725626309712727,3
4308,sink,-0.09725427627563477,1
1044,publicity,-0.09714341163635254,1
5308,habit,-0.09696364402770996,1
8608,invest,-0.0968480110168457,1
4777,unless,-0.09668476240975517,7
7905,unfounded,-0.09659802913665771,1
2489,punch,-0.09632134437561035,1
410,freak,-0.09609544277191162,4
2972,ostensibly,-0.09605836868286133,1
2604,usual,-0.09599035978317261,4
4825,losers,-0.09595417976379395,1
5596,clue,-0.09567809104919434,1
8250,economics,-0.09554839134216309,1
1972,ton,-0.09546113014221191,1
1235,type,-0.09520202080408732,30
3736,sue,-0.09505897760391235,4
3564,crazier,-0.09497451782226562,1
4918,homophobic,-0.09478950500488281,1
8459,markets,-0.09451055526733398,1
6722,extremes,-0.09425568580627441,1
6098,formal,-0.0942387580871582,1
3228,dumbass,-0.09394526481628418,1
6295,ownership,-0.09384763240814209,2
6234,fmous,-0.09366309642791748,1
3410,foisted,-0.09342662493387859,1
5392,narco,-0.0934213399887085,2
4625,backwater,-0.09338796138763428,1
7293,potatoes,-0.0931086540222168,1
4110,pun,-0.09307444095611572,2
5892,trashy,-0.09300351142883301,1
3657,refuse,-0.09295921325683594,5
837,sanctioned,-0.09294235706329346,2
1470,damn,-0.09283328056335449,3
2969,remark,-0.09267520904541016,1
6973,monger,-0.0926058292388916,1
