,Word,Value,Freq
22716,daring,-3.275991439819336,1
16000,busses,-2.8650197982788086,1
17378,zion,-2.797194480895996,1
18112,expansion,-2.56554913520813,1
20083,torch,-2.4692344665527344,1
9240,mademynight,-2.347469170888265,1
15689,devotion,-2.2626349925994873,1
2562,senses,-2.0525922775268555,1
16159,queasy,-2.031283140182495,1
1886,endofstory,-2.0191352367401123,1
13387,shuttleride,-2.0059868693351746,1
21751,arbor,-1.927241563796997,1
21984,filipino,-1.918117642402649,1
10268,pimple,-1.8836663961410522,1
5685,gonnagetkilled,-1.8792819380760193,2
14822,global,-1.8603664636611938,1
11610,backgrounds,-1.7015464305877686,1
18044,retiring,-1.655949354171753,1
18944,homer,-1.6220588684082031,1
11370,jackie,-1.577921986579895,2
10855,46,-1.564176321029663,1
11472,penguins,-1.5324970483779907,1
1639,believing,-1.5229098796844482,2
13989,acquire,-1.5094361305236816,1
6133,sage,-1.4927996397018433,1
8624,adventures,-1.4799699783325195,1
10678,snout,-1.471651554107666,1
23006,politician,-1.443927526473999,1
3571,depend,-1.4438772201538086,1
2903,pirates,-1.4271013736724854,2
12607,botched,-1.4169667959213257,1
4438,tragedy,-1.3901007175445557,1
22901,forwards,-1.3876277208328247,1
4290,firstdates,-1.3670870065689087,1
10716,silva,-1.3413842618465424,1
15502,grades,-1.3365814685821533,2
21680,naming,-1.3282876014709473,1
18037,abortion,-1.3265488147735596,1
13563,conner,-1.3056131601333618,1
20718,neverforgiven,-1.3047123104333878,1
1613,sumo,-1.302340805530548,1
10970,mat,-1.3018224239349365,1
11535,manicureneeded,-1.2998810410499573,1
13858,pbr,-1.2918360233306885,1
20464,noses,-1.2650766372680664,1
7688,cheers,-1.2635103225708009,5
17940,maverick,-1.2618447542190552,1
13984,somali,-1.2541251182556152,1
4856,debbie,-1.2480967044830322,1
7378,glorious,-1.2387606501579285,2
13139,imagination,-1.2366073727607727,4
10058,huey,-1.2287429571151733,1
21012,tod,-1.2240965366363525,1
16436,nfc,-1.2237037420272827,1
21700,pleasures,-1.2202211618423462,1
15569,attending,-1.21724271774292,1
12691,originality,-1.2168218493461609,1
14169,snowfall,-1.213611364364624,2
18502,leo,-1.209511250257492,1
12447,overjoyed,-1.2086690266927083,1
15706,flashbacks,-1.2045762538909912,1
22348,loom,-1.1916343569755554,1
14128,detail,-1.1615712642669678,1
17616,splitting,-1.1558774709701538,1
9383,assists,-1.1372250318527222,1
17021,breast,-1.135622501373291,1
19613,cycling,-1.128217101097107,1
75,trinidad,-1.125004768371582,2
9337,cotton,-1.1201577186584473,1
15934,vibrant,-1.114746332168579,2
16982,leaf,-1.111366629600525,1
15371,wacky,-1.1097137331962585,1
13166,goodwilltoallmen,-1.0998654067516327,1
3599,probe,-1.0966657400131226,1
15052,promotion,-1.094860315322876,1
18563,invitation,-1.081669569015503,2
12028,drifting,-1.0782057046890259,2
2359,getunited,-1.0751626094182332,1
3671,sweets,-1.0751384258270265,5
2564,dawn,-1.074538916349411,12
5363,sponsorship,-1.0632506608963013,1
2021,appealing,-1.0617451071739197,2
8976,genus,-1.0531758069992065,1
2683,apparentyl,-1.0427967309951782,1
830,therapeutics,-1.0424420237541199,1
10568,trump,-1.0368173122406006,1
16384,lamar,-1.0336061716079712,1
17932,chicks,-1.031158447265625,1
10201,lt,-1.0301031271616619,3
18978,lure,-1.0291393995285034,1
19676,piercings,-1.0252040028572083,1
18467,expose,-1.023433804512024,1
12546,struggles,-1.015437364578247,2
7171,"neither""watch",-1.0110535621643066,1
20240,addict,-1.0088069438934326,1
20796,dieinafire,-0.9982224702835083,1
5917,fatima,-0.9979725480079651,1
14970,initiation,-0.997581958770752,1
23032,shoutsout,-0.9967663288116455,1
2366,chorus,-0.9944971799850464,3
19282,reassure,-0.9929956793785095,1
576,relief,-0.9875430583953857,10
10489,kissing,-0.9786910613377889,3
13993,catcher,-0.9784567356109619,1
14840,rosy,-0.9706262350082397,1
14154,screwjeans,-0.9660415252049764,1
19199,salesman,-0.9644440412521362,1
19801,fuckemall,-0.9637296597162882,1
18012,twice;a,-0.9635639389355978,1
15940,nowplaying,-0.9598184823989868,2
15671,relieved,-0.9574974775314331,2
2062,dyke,-0.9571912288665771,1
22510,hyu,-0.955737829208374,1
7813,staircase,-0.9546857476234436,2
14762,gravity,-0.9543577432632446,1
11711,studyingsucks,-0.9528069297472636,1
22300,costco,-0.940963625907898,1
2196,appetite,-0.9404141902923584,1
19878,toosober,-0.9392005602518717,1
22325,trinity,-0.9373608231544495,1
14848,bhopal,-0.9323333303133646,1
9885,eerie,-0.9309642314910889,2
15919,pennstate,-0.9254940946896871,1
15939,sprinting,-0.9241332411766052,1
18758,stefanie,-0.9204325079917908,1
12683,pdaing,-0.9191282590230306,1
16192,bwaha,-0.9113763570785522,1
13990,obp,-0.9107436537742615,1
16012,kindhearted,-0.9089111387729645,1
16264,slightlyracist,-0.9088029861450195,1
11752,hopes,-0.9052638411521912,4
6292,explaining,-0.9022108912467957,2
9384,ppg,-0.9021301567554474,1
4491,browns,-0.900727391242981,3
20835,thanking,-0.9005242586135864,1
23149,chichester,-0.8996031284332275,1
12423,softball,-0.8978745937347412,3
22070,tia,-0.8952318429946899,1
10360,boating,-0.8932210206985474,1
9166,costumes,-0.88837730884552,2
22682,brushes,-0.886792778968811,1
9880,@kissagod,-0.8863285556435585,1
13389,crawford,-0.884905219078064,1
15335,rey,-0.8842251896858215,2
19626,shooter,-0.8832771182060242,1
9304,crops,-0.880895733833313,1
7503,cracked,-0.8773977160453796,1
11348,renewed,-0.8708760738372803,1
9622,vomiting,-0.8692735433578491,1
19194,niceness,-0.868262767791748,1
17298,stepforward,-0.8656337658564249,1
22534,blowout,-0.8643801808357239,1
659,boxset,-0.861850917339325,1
7335,winnin,-0.8572338223457336,1
18508,spawning,-0.856255292892456,1
18859,staggered,-0.8521976470947266,1
2265,cables,-0.8517417907714844,1
10844,lupus,-0.8490949869155884,1
23234,taxis,-0.8483651876449585,1
9499,exon,-0.8445181846618652,1
4512,ridges,-0.843631386756897,1
5457,conjectures,-0.842680811882019,1
12018,nl,-0.8402978181838989,1
17910,harassed,-0.8394732475280762,1
20000,hamlet,-0.8359112739562988,1
16434,49ers,-0.8339856266975403,1
21790,jest,-0.8338334560394287,1
19391,brewer,-0.8286726474761963,1
11885,calvin,-0.8273228406906128,1
20085,threes,-0.8262845873832703,1
6942,beetle,-0.8243988752365112,1
5549,envious,-0.8241830468177795,1
14433,variations,-0.8228720426559448,1
16926,scraping,-0.8195789456367493,1
1184,104,-0.8157559633255005,1
12140,groups+nat,-0.8145947456359863,1
15029,cities,-0.8123398125171661,1
5642,steelers,-0.8109172979990641,3
10718,vital,-0.8045011758804321,1
22164,render,-0.8015521764755249,1
21639,crickets,-0.8006700078646342,1
7376,jeesh,-0.7987536191940308,1
15559,jokey,-0.7985762357711792,1
15575,softness,-0.7981422543525696,2
9056,bino,-0.7974876761436462,1
12544,tme,-0.7926772832870483,1
9078,toes,-0.7925209601720175,3
18011,error,-0.7920693755149841,2
17814,@naughty_virgin,-0.7916427850723267,1
22035,jessica,-0.7886704206466675,1
19335,emory,-0.7860702872276306,1
22365,barcelona,-0.7835268974304199,1
14437,elation,-0.7829370498657227,1
1455,1400th,-0.781851202249527,1
18956,lovemyfamilia,-0.7811344623565674,1
11056,lawd,-0.7798809210459391,1
3119,sorrii,-0.7797114253044128,1
16124,dd,-0.7712435722351074,2
4668,sayin,-0.7688816040754318,2
7631,connie,-0.7677671909332275,1
12886,flames,-0.7663259903589884,3
19047,willies,-0.7663195133209229,1
16031,licked,-0.7630876302719116,1
22053,redo,-0.7618269622325897,2
10800,demolish,-0.7607915997505188,1
5498,hospitals,-0.7602658271789551,1
15348,truefact,-0.7593927284081777,1
2083,gohome,-0.7531391382217407,1
102,liq,-0.7529762089252472,1
14114,hoax,-0.7513027191162109,1
22570,simplicity,-0.7492146193981171,2
3324,tomorrowâ€,-0.7455608050028483,1
13899,mega,-0.7439678907394409,2
22784,bittersweet,-0.7437949975331625,1
18423,musty,-0.7432833909988403,2
22793,@b_notay,-0.7419239759445191,1
20082,reassuring,-0.7412501573562622,1
8656,koreans,-0.7406438589096069,1
7605,compass,-0.7381153106689453,3
9475,cdfu,-0.7371107737223307,1
10964,magically,-0.734388142824173,2
19334,economy,-0.7316416501998901,2
22168,shattered,-0.7310096025466919,1
16901,picket,-0.7305797338485718,1
6478,shadiness,-0.7286684463421503,1
16346,goodwill,-0.7251489162445068,1
16112,inactive,-0.7243314981460571,1
17885,ronchy,-0.7235482633113861,1
7618,weddingplusones,-0.723503589630127,1
7178,lizard,-0.7178774476051331,1
5776,pret,-0.7168874740600586,1
15627,1500,-0.7148950099945068,1
21776,noticing,-0.7146068811416626,1
16684,bump,-0.7116204500198364,3
17162,urgency,-0.7108415365219116,1
22037,drip,-0.7103431224822998,1
8135,feminine,-0.7102702856063843,1
11334,nike,-0.709798276424408,2
11405,reese,-0.7077130973339081,4
21811,@mugz25,-0.7060860395431519,1
1774,snakes,-0.7038547694683075,4
7876,butcher,-0.7028889656066895,2
11173,mortgage,-0.7022144794464111,1
14298,backoff,-0.7012118101119995,1
16666,sheryl,-0.6999159256617228,1
6619,cara,-0.6980124711990356,1
5485,rolex,-0.6979506611824036,1
12378,skeptic,-0.6974157492319742,1
4921,gags,-0.6967234015464783,1
2650,moore,-0.6949468851089478,1
20065,decreased,-0.6941045522689819,1
5771,trousers,-0.6938154300053915,3
22480,stephenie,-0.6918159425258636,1
8930,marijuana,-0.6912630796432495,3
15018,introduction,-0.690873384475708,1
21167,gucci,-0.6903080344200134,1
10136,yarn,-0.6854867935180664,1
9669,butterflies,-0.6854137182235718,1
10935,hugs,-0.6853681008021036,3
19007,secretsunday,-0.6847205758094788,1
6508,rapture,-0.684135913848877,3
13995,mathis,-0.6830480694770813,1
1520,cheered,-0.6818364858627319,1
21401,bids,-0.6795281171798706,1
17002,@ipithom,-0.6776622235774994,1
21851,@annahuxy,-0.677605003118515,1
4423,camping,-0.675633043050766,2
22555,uproar,-0.6739797194798788,1
10677,contestants,-0.6738132834434509,1
9108,rogers,-0.673377513885498,1
7078,consensual,-0.6690588593482971,1
18979,granite,-0.668362021446228,1
13428,demi,-0.6674365997314453,3
23232,income,-0.6664756536483765,1
17524,buyer,-0.6663506031036377,1
5384,scare,-0.6659953925344679,9
17662,trusted,-0.6643193960189819,1
15839,culture,-0.6624274253845215,1
13841,homecoming,-0.659659226735433,3
12737,outstanding,-0.6594226360321045,1
17047,southeastern,-0.6589614152908325,1
11716,ruth,-0.6576888263225555,2
6030,armani,-0.6573981046676636,1
3243,cedric,-0.6572906970977783,1
15528,cruel.~the,-0.6571023762226105,13
18254,postin,-0.6558537483215332,1
22649,clevelander,-0.6548870652914047,1
14434,astronomical,-0.6546789407730103,1
1291,riots,-0.6545258363087972,3
19503,poverty,-0.6539390484491984,3
6848,flirt,-0.650775671005249,1
18394,randomlatenightthoughts,-0.6501989165941874,1
10822,experiments,-0.6487067639827728,2
