,Word,Value,Freq
21009,tod,-2.364729404449463,1
10748,indifferent,-2.248932361602783,1
20080,torch,-1.8419550657272339,1
830,therapeutics,-1.7361276149749756,1
14967,initiation,-1.4403852224349976,1
2620,gaze,-1.4164810180664062,1
21307,poker,-1.3858283758163452,1
19070,geese,-1.3405979871749878,1
15527,panicking,-1.3395421504974365,1
21727,nate,-1.319717526435852,1
14321,seth,-1.31194007396698,1
19098,riches,-1.2884613275527954,1
13246,hatewinter,-1.2648799816767375,1
21815,entertained,-1.2634636163711548,1
19476,ideaa,-1.2582646906375885,1
9573,reins,-1.2267532348632812,1
10504,buggie,-1.221563071012497,1
22914,conclusions,-1.2202155590057373,1
21954,clap,-1.183174967765808,1
15687,devotion,-1.1625179052352905,1
22658,arab,-1.1557615995407104,1
14310,penguin,-1.1550160646438599,2
8785,bruise,-1.132552146911621,1
17900,missions,-1.1212570667266846,1
15906,deteriorated,-1.0989702939987183,1
21351,seedling,-1.0882440209388733,1
12744,blockbuster,-1.0878843069076538,1
20079,reassuring,-1.0851151943206787,1
15878,anxioussss,-1.0746427178382874,1
9889,rioters,-1.0722360610961914,1
4933,refreshing,-1.067510724067688,2
19480,sprites,-1.0617848634719849,1
19201,evelyn,-1.0591609477996826,1
22712,daring,-1.0578480958938599,1
18295,colombia,-1.0549980401992798,1
18041,retiring,-1.0535794496536255,1
18941,homer,-1.0511037111282349,1
7558,dragons,-1.0501554012298584,1
8136,feminine,-1.0426065921783447,1
8032,unpredictable,-1.0325922966003418,1
11607,backgrounds,-1.02672278881073,1
13564,@bimbolal,-1.0223293155431747,1
14455,bruins,-1.0200676918029785,1
14418,despair,-1.0087543328603108,3
12568,realities,-1.0086954832077026,1
16248,injuries,-1.0060594081878662,1
2903,pirates,-1.0031238198280334,2
5364,sponsorship,-1.00209379196167,1
10265,pimple,-0.9964998960494995,1
6187,darkest,-0.9957154393196106,2
576,relief,-0.9929541647434235,10
8774,manicans,-0.9919251799583435,1
18631,polishes,-0.9880803823471069,1
16319,certification,-0.9879440069198608,1
22531,ducks,-0.9795966148376465,1
17533,candidates,-0.9655629992485046,1
16500,colin,-0.9641140103340149,1
16445,disparity,-0.9617312749226888,1
17236,brushing,-0.9614523649215698,1
19192,@maryroseo,-0.9540360569953918,1
12762,hateschool,-0.9501717885335287,1
19279,reassure,-0.948776125907898,1
3089,republicans,-0.943105161190033,1
7690,cheers,-0.9428238153457642,5
21772,noticing,-0.9348760843276978,1
12164,@kshitemi,-0.9145175218582153,1
14284,sweetness,-0.8938506841659546,1
15572,softness,-0.889674723148346,2
16968,sebastian,-0.8819833993911743,1
11367,jackie,-0.8774656057357788,2
15743,bandits,-0.8714550733566284,1
15669,relieved,-0.8691320419311523,2
22296,costco,-0.8655251264572144,1
16317,dolls,-0.8605245351791382,1
15815,eternally,-0.8554129600524902,1
9739,familiarity,-0.8507704734802246,2
20553,scientology,-0.8414825797080994,1
2279,gobble,-0.8330194354057312,1
7524,wetness,-0.8256580978631973,1
11713,ruth,-0.8255521059036255,2
20304,teary,-0.8104603886604309,1
12478,suspect,-0.8104087114334106,7
21060,gracefully,-0.8099995255470276,1
19332,emory,-0.8090698719024658,1
23255,thrive,-0.8083264827728271,1
22866,bats,-0.8055579662322998,1
16814,convertible,-0.8038821220397949,1
8041,mascara,-0.802208662033081,1
15851,shameless,-0.7903950810432434,1
14306,vest,-0.7886908054351807,1
22222,vulnerable,-0.7835507392883301,1
10852,46,-0.7816910147666931,1
17802,wannabe,-0.7799433767795563,2
2083,gohome,-0.7797675530115763,1
18372,oap,-0.7773881256580353,1
17910,lieing,-0.7759576837221781,1
9697,nightmares,-0.7748898267745972,3
17531,cnn,-0.7713433504104614,1
21635,crickets,-0.7657329638799032,1
21362,@jameswyl,-0.7638247211774191,1
17441,@gcraige,-0.7624061584472657,1
14093,vegetables,-0.7617498636245728,1
3810,classy,-0.7584156394004822,2
14272,@shellyasquith,-0.7549615204334259,1
15756,@occupationally,-0.7512657245000204,1
15631,desserts,-0.7503942847251892,1
2564,dawn,-0.7489603459835052,12
6462,oyster,-0.7481896877288818,1
5456,certainty,-0.7407391667366028,1
22049,redo,-0.7400889694690704,2
4692,hunched,-0.739411473274231,2
22727,@sarahbakere,-0.7353648662567138,1
7380,glorious,-0.735004723072052,2
11749,hopes,-0.7344920337200165,4
