,Word,Value,Freq
17638,so.sick,-5.737193763256073,1
14232,sharting,-4.2611565589904785,1
18499,leo,-4.025232434272766,1
14434,elation,-3.4653642177581787,1
20189,children+water,-3.3778324723243713,1
15278,seein,-3.328252673149109,1
3769,baddecision2012,-3.3081547915935516,1
21273,loove,-3.1146163940429688,1
21234,getoverit,-3.0973768830299377,1
15033,someimes,-3.0932443141937256,1
14870,webwork,-3.0160754919052124,1
7141,governance,-3.007303237915039,1
6134,sage,-2.9786789417266846,1
659,boxset,-2.955635190010071,1
7633,connie,-2.91137433052063,1
2696,#notgood,-2.8798277974128723,1
14884,boos,-2.862664818763733,1
18475,lksjdgkjsgiuerjkzdfdnfnjdfgn,-2.8526335954666138,1
18936,farted,-2.675268769264221,2
14614,@kopiganja,-2.6673709750175476,1
12189,joyness,-2.6216118931770325,2
15738,computicket,-2.6023733615875244,1
21179,seriously?did,-2.560628294944763,1
3571,frostedtips,-2.549035370349884,1
22167,roost,-2.538294732570648,1
14823,innately,-2.5250858664512634,1
17649,reek,-2.52314031124115,1
17000,shrink,-2.491483449935913,1
19391,@melissatrunzo,-2.471301317214966,1
19363,cuss,-2.436656653881073,2
21446,irritates,-2.4308427572250366,1
22004,fundraiser,-2.4273414611816406,1
9480,@sunshineoctopus,-2.393573522567749,1
3044,sub-$3,-2.3743348121643066,1
20884,elliptical,-2.3517982959747314,1
20320,arresting,-2.336174488067627,1
14021,b3arfruit,-2.3320262730121613,1
23371,jan2,-2.318067193031311,1
14987,@narcissebreed,-2.3176740407943726,1
12545,@meghanpickett,-2.291348457336426,1
12808,cate,-2.284684181213379,1
7360,fontenelle,-2.2825041711330414,1
21094,hurtfulpeople,-2.243290066719055,1
19140,snore,-2.242727518081665,1
3462,"nonsense,,i",-2.239158660173416,1
15733,multiplex,-2.216654598712921,1
16851,se1,-2.2090855836868286,1
17929,chicks,-2.2029104232788086,1
22706,asthma,-2.1899983882904053,1
1012,deficient,-2.188843309879303,1
5550,envious,-2.183942198753357,1
2511,thousandth,-2.182984232902527,1
3750,seduced,-2.1764447689056396,1
7475,separation,-2.1471664905548096,1
15931,vibrant,-2.116523861885071,2
6422,infidelities,-2.115401327610016,1
8512,poodle,-2.0959137678146362,1
5117,waronwomen,-2.0957558155059814,1
6552,scrabble,-2.085454225540161,1
16222,lonelyness,-2.079385995864868,1
22164,shattered,-2.077465295791626,1
21954,clap,-2.075474500656128,7
20043,onside,-2.0676536560058594,1
6808,boils,-2.055539906024933,2
13464,@gracie_dehaven,-2.051816463470459,1
13560,conner,-2.033296585083008,1
21492,spams,-2.024366557598114,1
15692,day-,-2.022526741027832,1
8287,accuse,-2.017938713232676,3
11230,vegetarian,-2.010769844055176,1
21174,inability,-2.0102107524871826,1
22404,neglect,-2.009428024291992,1
5035,popcornanyone,-2.0089914798736572,1
22338,lifeskills,-2.006363809108734,1
14290,goucherâ€,-2.005783051252365,2
20617,adjusment,-1.9916578531265259,1
19905,recitation,-1.988511562347412,1
7924,kneel,-1.982212781906128,1
10771,podcasts,-1.9787099361419678,1
17380,foreheads,-1.9745476841926575,1
11801,tutoring,-1.9698224067687988,1
19104,stickers,-1.9619730710983276,1
17059,tailgating,-1.958127498626709,1
5777,pret,-1.9501806497573853,1
10935,virtues,-1.944987416267395,1
220,caregiver,-1.9402884244918823,1
11053,lawd,-1.933201789855957,1
18062,"supported""#peace",-1.9307793378829956,1
6177,interzone,-1.9101853966712952,1
13109,gishwhes,-1.9011496305465698,1
10099,damage,-1.8949840068817139,1
13438,ladyface,-1.894776165485382,1
23007,happytears,-1.8943121433258057,1
6068,hometown,-1.8844873905181885,1
19789,gamestop,-1.8756139278411865,1
9893,itsmoney,-1.8540940284729004,1
18641,howlovely,-1.8462892770767212,1
17093,sharers,-1.8435948193073273,1
23376,dickriders,-1.8306174278259277,1
21353,sunshine.tots,-1.8287271857261658,1
16702,pinterest,-1.821703553199768,1
5455,@henryrollins,-1.8190906643867493,1
7523,lotion,-1.818200707435608,1
7679,-'for,-1.8163490295410156,1
10794,infuriating,-1.8050552606582642,1
8815,leino,-1.7980183362960815,1
16427,regretting,-1.793143630027771,1
12325,mothertheresa,-1.7787723541259766,1
16156,queasy,-1.7778998613357544,1
9801,simba,-1.7731998562812805,1
16330,solemnity,-1.7623766660690308,1
4841,through.#luv,-1.7606285214424133,1
18296,uglytruth,-1.7584806680679321,1
20753,customs,-1.7536065578460693,1
9836,uplifted,-1.743715524673462,1
14901,fangirls,-1.7407004833221436,1
10959,facebook?freedom,-1.7280519008636475,1
17694,@victoriamembry,-1.7230305671691895,1
16052,appreciated,-1.7161293029785156,1
21321,remake,-1.713557243347168,2
7524,wetness,-1.7049577236175537,1
15729,merrychristmas,-1.69165700674057,2
18302,coupã,-1.6862897872924805,1
21548,cookerâ€,-1.6803264617919922,1
15557,aff,-1.6764013767242432,1
12707,choke,-1.6730167865753174,1
21445,aggravating,-1.6643191874027252,1
13856,balled,-1.6563754081726074,1
6322,soulless,-1.6476179361343384,1
21080,fluseason,-1.6449249982833862,1
6069,garner,-1.6410366296768188,1
19620,bereavement,-1.6365247964859009,1
18250,losers,-1.6309483051300049,1
23028,shoutsout,-1.6293883323669434,1
14956,funsight,-1.6274422407150269,1
15167,midsummer,-1.6264630556106567,1
19036,tienight,-1.6264454126358032,1
19623,shooter,-1.6254171133041382,1
9149,rhyme/,-1.621185064315796,1
9631,@jessica_smelly,-1.618719458580017,1
18114,snows,-1.6132467985153198,1
15657,attraction,-1.60792076587677,1
12288,chewys,-1.6069940328598022,1
8337,nemo,-1.6030739545822144,1
18605,cheerleader,-1.5990164279937744,1
15512,memorizing,-1.598984956741333,1
21049,needamiracle,-1.5974574089050293,1
14928,swaggggiiinnnn,-1.5954906940460205,1
9073,quits,-1.5947062969207764,1
15119,empire,-1.5931808948516846,1
11975,compensate,-1.5890436172485352,1
8299,running.~kara,-1.5886345088481904,5
14408,everythingwillgetbetter,-1.5857744216918945,1
16361,#bored,-1.5840089321136475,1
18634,@deadmau5_satour,-1.5837541222572327,1
11971,mr.carter,-1.583161473274231,1
9754,elated,-1.5781902074813843,1
10934,extolling,-1.575800210237503,1
21376,vela,-1.5734750032424927,1
20573,clueless,-1.5720903873443604,1
1157,noddy,-1.566462755203247,1
893,introduce,-1.5657574534416199,2
19405,@kaleighbrewer,-1.5610761046409607,1
7557,slay,-1.5567057132720947,1
13302,vomitar,-1.5525936484336853,1
22710,santas,-1.5507214069366455,1
13146,sherry,-1.5498017072677612,1
18332,downpoor,-1.5471550226211548,1
2458,treadmill,-1.5457923114299774,2
12682,bryantproblems,-1.5454435348510742,1
11884,@popsmear80,-1.5374188125133514,1
8852,ruff,-1.535388708114624,1
21201,cure=,-1.5329257249832153,1
17080,despicable,-1.5305989384651184,2
7610,finance,-1.5295593738555908,2
10198,lt,-1.525810182094574,3
19427,imagined,-1.5241293907165527,1
3967,premiere,-1.5142961740493774,1
7489,logs,-1.5119162797927856,2
3476,sims,-1.5068836212158203,1
6712,rewatching,-1.502447485923767,2
15750,greenwich,-1.499245285987854,1
21477,officemate,-1.4991081953048706,1
16444,lovethislifeâ€givee,-1.4877910614013672,1
13162,equivalent,-1.4875304698944092,1
8484,bitching,-1.486640214920044,1
17524,swtor,-1.482534408569336,1
22510,fugitive,-1.479118824005127,1
17210,jonathan,-1.4778318405151367,1
896,paraplegic,-1.4774445295333862,1
20504,reunited,-1.477315902709961,1
22238,mcfly,-1.4743414521217346,1
17371,reruns,-1.4713746309280396,2
22916,conclude,-1.4682509899139404,1
8741,aback,-1.457465410232544,1
22677,2ma,-1.4510254859924316,1
8719,bioscience,-1.448087751865387,1
17029,drains,-1.4480599164962769,1
3314,deficiency,-1.445996880531311,1
12420,softball,-1.4454207022984822,3
5154,51:11,-1.4449129402637482,1
17283,itwillbeagrandtime,-1.4417213201522827,1
17018,breast,-1.4411613941192627,1
6308,bitchless,-1.4410145282745361,1
22794,vagrant,-1.4391940832138062,1
16580,sighsofrelief,-1.4351816475391388,1
22125,dill,-1.4346379041671753,1
20223,work.ugh,-1.4272555708885193,1
1725,toothpick,-1.4256564378738403,1
13191,brokenheart,-1.4252320528030396,1
18648,sleeps,-1.4241002798080444,1
19008,@emily_renwick,-1.4238154292106628,1
21457,sacking,-1.420348882675171,1
14376,shame-,-1.4163209199905396,1
10744,commentators,-1.4117718935012817,1
17198,suddenandrelentlessdisappointment,-1.4113683700561523,1
18226,concession,-1.4090304374694824,1
10385,sliders,-1.4051464796066284,1
