,Word,Value,Freq
13329,butchering,-7.957167625427246,1
13572,greysonators,-7.7130913734436035,1
12264,sergio,-7.20234751701355,1
12265,busquets,-4.930841565132141,1
21211,sappy,-4.901738405227661,1
14376,shame-,-4.828420877456665,1
18638,gradschoolproblems,-4.776723861694336,1
21683,youtube.com/watch?v=2cqfrs,-4.7014994621276855,1
18024,skipped,-4.591395378112793,1
14584,welcomeback,-4.465360164642334,1
17392,howdoyouevenlosethosewtf,-4.216182291507721,1
6017,gonnabealongnight,-4.151613116264343,1
19237,plowed,-4.026255011558533,1
11868,recklessestimations,-3.9767470359802246,1
12082,scariest,-3.97294420003891,2
6981,kidnap,-3.950296640396118,1
16549,evaluating,-3.9278383255004883,1
11929,@declasm,-3.8841540217399597,1
15581,degraded,-3.831702470779419,1
6872,day!!î,-3.7719534039497375,1
20662,makeee,-3.7437551021575928,1
15202,@_missfendi,-3.7115370333194733,1
12204,kindergartener,-3.648679733276367,1
21540,b*tches,-3.5631834268569946,1
17179,gatecrashing,-3.5361921191215515,1
7474,@holldoll2,-3.5215277075767517,1
14783,decembergrad,-3.512044310569763,1
397,underachieving,-3.465869188308716,1
14203,lazyday,-3.368219256401062,1
1641,rejects,-3.357924699783325,1
9076,improper,-3.344409942626953,1
15906,deteriorated,-3.318045139312744,1
1765,missin,-3.3117972016334534,2
10883,distress,-3.3037710189819336,1
11697,@jessnicole210,-3.2870761156082153,1
14143,@alisoncrockett,-3.239185333251953,1
11842,dissappointed,-3.2048749923706055,1
10518,@baileybug4,-3.1412795782089233,1
1505,hesitant,-3.1289823055267334,1
14066,callers,-3.1142865419387817,1
17140,gonnabeagreatnight,-3.038215398788452,1
2104,chooses,-2.9943084716796875,1
12495,freezinghands,-2.9485349655151367,1
8505,@comiskularperk,-2.9477885961532593,1
10519,aggie,-2.9445230960845947,1
9694,unaware,-2.938922643661499,2
14606,bfff,-2.9091920852661133,1
7117,mourn,-2.8966439366340637,2
17173,@insaneserenade,-2.8723983764648438,1
19691,kwoker,-2.8138312697410583,1
17716,ihatemyself,-2.809999704360962,1
16752,@tahickling,-2.799231469631195,1
6339,cocky,-2.79361629486084,1
15228,bordering,-2.788789749145508,1
13998,@thirdmanrecords,-2.7515611052513123,1
1643,iminmiddleschool,-2.7504639625549316,1
10557,@recovengineer,-2.747884511947632,1
15068,frequent,-2.743967056274414,1
6858,aerobics,-2.735684394836426,1
14865,canibesmartinmathforonceplease,-2.732292413711548,1
20466,inevitable,-2.706807851791382,1
19400,revengewillbemine,-2.7004551887512207,1
22986,secondthoughts,-2.688219904899597,1
21672,@ralphie559,-2.6706613302230835,1
10614,gibson,-2.639648914337158,1
22048,wasn't,-2.6008487343788147,1
23263,bye~,-2.5661617517471313,1
3327,sickie,-2.5607656240463257,1
10454,whatttttttttt,-2.5592480897903442,1
14782,devoted,-2.5368828773498535,1
15216,bloodsport,-2.534456431865692,1
5427,@alexashleys,-2.5304979756474495,2
15907,@paulyv12,-2.5112743377685547,1
18240,wlh,-2.4654332399368286,1
17878,soundtrack,-2.451062321662903,2
21401,leavin,-2.440394163131714,2
20547,defeated,-2.420379638671875,1
20151,@wesleywes16,-2.41303950548172,1
19101,didn,-2.405178427696228,2
10048,lols,-2.399979829788208,1
20359,@steelcityknight,-2.3941233158111572,1
20435,shiftâ€â€¢â€¢â€¢haaay,-2.393622547388077,1
3332,diaries,-2.3810582756996155,2
6963,luckily,-2.3771150708198547,2
13855,pbr,-2.347182035446167,1
22039,ican't,-2.345130980014801,1
15394,@boohoofashion,-2.331628918647766,1
3502,ambivalence,-2.3145828247070312,1
9672,rememberthat,-2.2952072620391846,1
3058,farmers,-2.291217803955078,1
23127,mylifeisaverage,-2.2715375423431396,1
20889,brickingit,-2.2696192264556885,1
17833,frustrating,-2.2602752447128296,2
13548,beleive,-2.248159646987915,1
15950,@xkrissyyalicia,-2.2391327619552612,1
9860,ahsfx,-2.230894684791565,1
2932,disease'-,-2.2297749519348145,1
20525,@herbracefaceass,-2.2275567054748535,1
9119,whatstheanswer,-2.2148719429969788,1
22450,fresnost,-2.2133305072784424,1
17869,missingthesouth,-2.2114461064338684,1
7992,mafia,-2.2092292308807373,1
21208,@logankellams,-2.2072601318359375,1
20665,chirpchirp,-2.18784636259079,1
6491,nosedive,-2.176222801208496,1
10257,selfloathing,-2.1734208464622498,2
19442,indecision,-2.1729745864868164,3
9963,ell,-2.1601730585098267,1
18475,lksjdgkjsgiuerjkzdfdnfnjdfgn,-2.1589595079421997,1
3060,angst,-2.1432860493659973,2
7368,baldhead,-2.139638900756836,1
8328,spontaniousplanning,-2.128654718399048,1
7354,usingcorrectpunctuationfordramatic,-2.1186553239822388,1
12065,happyhousewarming,-2.1148805022239685,1
17593,tomorrow!=/,-2.1118497252464294,1
17339,hummus,-2.102540135383606,1
2367,whydidentmypartnerdoanything,-2.0989089012145996,1
8398,revelationsfromthetech,-2.097359299659729,1
4338,ihatemymathprof,-2.0887492299079895,1
17346,@hunterhudson,-2.086093306541443,1
10225,roomies,-2.0824881196022034,1
1970,badsurprise,-2.0758827924728394,1
21379,bonamana,-2.0659632682800293,1
17510,santorum,-2.0641047954559326,1
21242,curling,-2.0398290157318115,1
21907,hugee,-2.0385360717773438,1
14185,meanie,-2.038175344467163,1
8573,@wakaflockabsm,-2.0370678901672363,1
20989,thingsthirstypeopledo,-2.0357587039470673,1
7738,thatspark,-2.03346848487854,2
6786,truededication,-2.0328129529953003,1
2457,hitt,-2.022834062576294,1
3161,manila,-2.0015954971313477,1
19601,mustgoshopping,-1.9981982707977295,1
20015,shrooommmsrt,-1.9939862489700317,1
13400,terribleluck,-1.9934712648391724,1
11276,standstill,-1.9821293354034424,1
13439,@kvandivort,-1.9782214164733887,1
22262,@imran173,-1.9776248931884766,1
15002,@shamsmith,-1.9714984893798828,1
17557,@imax,-1.9598302841186523,1
19246,smokesuminden,-1.9566888809204102,1
14042,wellnottotallyaslongasyouhaveacokeordietcokewithlime,-1.9508229494094849,1
11410,holidayplans,-1.9484688639640808,1
15107,homework~,-1.943655252456665,1
17433,harden,-1.9316589832305908,1
12937,nigger,-1.9298601150512695,1
4235,@sealingwax,-1.9037011861801147,1
13889,@frostyvampire,-1.8916316032409668,1
15033,someimes,-1.8904950618743896,1
10707,@wadebarrett,-1.8805383443832397,1
907,@samnicholass,-1.8795069456100464,1
19076,@totaltrafficla,-1.870222806930542,1
