,Word,Value,Freq
6981,kidnap,-2.453519582748413,1
1433,sabotage,-1.5060495138168335,1
18290,wrecks,-1.4979462027549744,1
2104,chooses,-1.4476126432418823,1
18024,skipped,-1.4475736618041992,1
13094,vanished,-1.4310380220413208,1
1641,rejects,-1.243879795074463,1
15704,flashbacks,-1.2418153285980225,1
4808,unauthorized,-1.2067211866378784,2
17060,bane,-1.1926761865615845,1
5412,ruins,-1.1710705637931824,5
8032,unpredictable,-1.0804836750030518,1
11602,terrified,-1.0697965919971466,8
9766,endings,-1.0507349967956543,1
7623,conflict,-1.0504460334777832,2
5919,battered,-1.048573613166809,1
23027,declined,-1.046075463294983,1
5224,rebel,-1.0323531925678253,2
7668,mayhem,-1.020534723997116,2
19964,detest,-0.997453361749649,1
22222,vulnerable,-0.9826285243034363,1
1505,hesitant,-0.9732354879379272,1
3460,destroyed,-0.9617120424906412,3
17539,spoils,-0.9458401501178741,1
8741,aback,-0.930105447769165,1
1595,protected,-0.9271753159436312,11
7449,stumbled,-0.9253746271133423,1
23055,secretive,-0.897607684135437,1
9731,disaster,-0.8849468231201172,2
17611,smashing,-0.8689455986022949,1
20062,decreased,-0.8598051071166992,1
6372,exposed,-0.8522044122219086,2
11931,escaped,-0.8364375531673431,2
9710,reveal,-0.8334829807281494,2
23341,fades,-0.8315881490707397,1
14286,dragged,-0.8291791081428528,1
2832,vol,-0.8279687166213989,1
15906,deteriorated,-0.8261354565620422,1
15581,degraded,-0.8212864398956299,1
12453,feared,-0.8189864754676819,2
13329,butchering,-0.8176978826522827,1
1816,prevents,-0.8132544159889221,2
9289,betrayal,-0.8012175559997559,4
16249,detrimental,-0.7898643612861633,1
23281,sacrifice,-0.7839254140853882,1
11283,sank,-0.782454788684845,1
17258,satiated,-0.765645444393158,1
17356,obstacles,-0.7462044954299927,1
7955,curses,-0.732027530670166,1
8185,chose,-0.7174822092056274,5
19695,froze,-0.7056951522827148,1
492,succumbed,-0.7039221525192261,1
8567,punishment,-0.6981042772531509,2
20091,demolishing,-0.6967313488324484,1
10621,dire,-0.6940606832504272,1
8451,garbage,-0.6906017959117889,3
11189,dislike,-0.6876089175542196,6
16944,venom,-0.6858817338943481,1
14214,dumped,-0.6817935109138489,2
6111,cajuns,-0.6764666040738424,1
9076,improper,-0.6749056577682495,1
11217,unlikely,-0.6735711097717285,1
21015,solitude,-0.6724275946617126,1
9355,threaten,-0.6706650853157043,2
19819,juvenile,-0.6662330627441406,1
21415,dubious,-0.6660852432250977,1
17514,teachings,-0.6632758975028992,1
2631,refusing,-0.6589527368545532,5
23364,dares,-0.6539912223815918,1
22457,rapper,-0.6532257795333862,1
11276,standstill,-0.6442872285842896,1
10856,@jesus,-0.6432741284370422,1
21580,lurking,-0.6403450965881348,2
5911,spencer,-0.6373432874679565,1
12883,flames,-0.6337182720502218,3
22900,flooding,-0.6336619257926941,1
17948,redundant,-0.6306444406509399,1
9456,ridic,-0.6293486058712006,1
21357,fright,-0.6289513111114502,1
4887,dread,-0.6281648278236389,3
12449,ashamed,-0.6266703605651855,3
17234,careless,-0.6234748959541321,2
10629,pirate,-0.618323028087616,1
6185,incorrectly,-0.616989940404892,2
3331,vampire,-0.6136559098958969,2
11769,repay,-0.6111366152763367,1
11648,denial,-0.6103980342547098,3
8698,spill,-0.6095659633477529,3
21215,wildcats,-0.6087489128112793,1
1679,fearful,-0.6085067192713419,3
20610,hardcore,-0.6058571934700012,1
3041,fury,-0.6022420525550842,4
16279,insecure,-0.5991624295711517,1
8060,ruin,-0.5979367216428121,15
4647,terrifying,-0.5912648290395737,4
21896,coward,-0.5869626700878143,2
15105,exploded,-0.5830265283584595,1
14922,wwe,-0.5766116380691528,1
20955,precursor,-0.5755950808525085,1
409,regrets,-0.5689558267593384,5
3005,finale,-0.5678186648421817,9
4713,avoiding,-0.5664989471435546,5
22288,stale,-0.5640647411346436,1
5872,fears,-0.5617151826620101,10
3602,ajax,-0.5597276091575623,1
1422,miss,-0.5574752367920612,199
4970,cult,-0.556015133857727,2
13160,downs,-0.55327308177948,1
8288,hostile,-0.5523574948310852,2
19276,murdered,-0.5520282983779907,1
15266,rumors,-0.548426608244578,3
175,contradiction,-0.5479843378067016,5
22391,peaceout,-0.5472218990325928,1
11942,fuckdiversion,-0.5470929741859436,1
10266,explodes,-0.5461045900980631,3
9694,unaware,-0.5447307527065277,2
17433,harden,-0.5429677963256836,1
4797,frightening,-0.5424895048141479,15
4206,rage,-0.5417944125153802,22
2228,subjected,-0.5394048765301704,4
14936,lilly,-0.5393216013908386,1
13587,happinessis,-0.5388379096984863,1
8535,luxury,-0.5384248495101929,1
17253,illegally,-0.5378541946411133,1
3332,diaries,-0.5372255146503448,2
2278,lonely,-0.5353980830737523,21
12728,repress,-0.534693568944931,1
8409,fear.#life,-0.5341785252094269,1
10767,translations,-0.5331296324729919,1
3654,maintains,-0.5322611927986145,1
16115,thissucks,-0.5318734447161356,1
14563,unfortunate,-0.5300532579421997,1
21070,stupidgirl,-0.5293048918247223,1
18677,hurled,-0.5289384126663208,1
15379,curiously,-0.5286568999290466,2
1828,ruined,-0.526668992307451,9
13878,shush,-0.5246843099594116,1
8433,zombies,-0.5203288495540619,2
1121,hate,-0.5196312498181097,310
21102,snuck,-0.5148284435272217,1
17106,writes,-0.5135244131088257,2
3047,lookout,-0.513318806886673,2
21157,frighten,-0.5118335485458374,1
882,conspire,-0.5087406833966573,1
1718,erase,-0.5076193809509277,3
5799,badnight,-0.5072822868824005,1
8241,cautious,-0.5068908631801605,2
13931,tosh,-0.5059594511985779,1
14376,shame-,-0.5058347582817078,1
6061,suggestion,-0.5058267116546631,1
10257,selfloathing,-0.5048674841721853,2
21444,invaded,-0.5039650201797485,1
21657,cease,-0.5037024617195129,1
19443,courtney,-0.502069354057312,1
10769,romeo,-0.5010440349578857,1
12508,molest,-0.5005250573158264,1
21243,landen,-0.4994899332523346,1
14633,chosen,-0.49846311410268146,3
12082,scariest,-0.4951828569173813,2
17833,frustrating,-0.4937867820262909,2
17675,assassin,-0.49228376150131226,1
1912,aggressive,-0.49150869250297546,6
5079,gene,-0.49144411087036133,1
10926,travis,-0.4908570945262909,1
23264,startle,-0.487430214881897,1
9590,sunk,-0.48694074153900146,1
16667,permanently,-0.4864429831504822,1
9879,loathing,-0.48506097610180193,13
10745,darren,-0.48493507504463196,1
6183,lantern,-0.48441046476364136,1
84,losing,-0.4829606164146114,37
21383,ginter,-0.48273321986198425,1
5906,participate,-0.479855015873909,4
15872,satanic,-0.4786444306373596,5
10008,tragic,-0.47746793429056805,3
5207,scoff,-0.4769200384616852,1
15480,prank,-0.4753839373588562,1
18274,destroy,-0.473954439163208,2
10794,infuriating,-0.47352949778238934,1
20512,#movie,-0.4731651395559311,1
6865,zombie,-0.4708012789487839,6
17179,gatecrashing,-0.47034553438425064,1
1035,closed,-0.4696789522965749,15
7330,fooled,-0.46897974610328674,2
22510,fugitive,-0.4687851667404175,1
19101,didn,-0.46859967708587646,2
22931,ally,-0.4677981734275818,1
22682,inquisition,-0.4671453833580017,1
13190,unreal,-0.467017337679863,2
4162,wasting,-0.46672213077545166,6
4461,surrender,-0.46637294441461563,8
1721,sad,-0.46593656736825195,140
8313,harm,-0.46442002058029175,4
3200,karma,-0.46425265073776245,4
10614,gibson,-0.4640553593635559,1
20075,blindside,-0.4635125696659088,1
8201,jaguars,-0.46341196695963544,3
10480,ships,-0.46313345432281494,1
9989,riot,-0.4630725383758545,3
18041,retiring,-0.4629312753677368,1
1975,uncomfortable,-0.4607113514627729,7
6953,nashville,-0.46056097745895386,1
3869,died,-0.45970506579787646,27
13799,eliminated,-0.45716583728790283,2
20517,consent,-0.45606571435928345,1
6150,ganna,-0.455673411488533,1
18355,escaping,-0.4546869993209839,1
15228,bordering,-0.45441997051239014,1
9611,worstdayever,-0.4522915879885356,1
17566,promo,-0.4513443857431412,4
3621,stalled,-0.4502408504486084,1
15679,remix,-0.44735778868198395,2
8429,#surprise,-0.4471566081047058,2
5946,jealousy,-0.4460768461227417,5
19624,reservations,-0.44577208161354065,1
15068,frequent,-0.4453524947166443,1
17649,reek,-0.44460564851760864,1
12191,monsters,-0.4427458941936493,2
12655,spends,-0.44215938448905945,2
