,Word,Value,Freq
22971,sundays,-1.7039390802383423,1
1370,assaulted,-1.6487383842468262,1
7195,impress,-1.5202165842056274,1
17611,smashing,-1.466944694519043,1
15748,bratty,-1.4522876739501953,1
20543,stalked,-1.425776481628418,1
7410,shoved,-1.4176045656204224,1
6965,noisy,-1.3868045806884766,1
22076,testimony,-1.3692028522491455,1
10984,foe,-1.3176599740982056,1
16821,skiing,-1.2891604900360107,1
20830,consulting,-1.288283348083496,1
16944,venom,-1.2489917278289795,1
21486,mischief,-1.1215016841888428,2
22558,unusual,-1.1001973152160645,1
13565,rudeness,-1.0911581814289093,1
830,therapeutics,-1.0679911375045776,1
12508,molest,-1.0463401228189468,1
6094,sheffield,-1.0173102617263794,1
6844,booming,-0.9880282580852509,2
13593,growling,-0.9849358201026917,1
8842,bathing,-0.9796387553215027,1
4205,witnessed,-0.9767786860466003,1
19758,eden,-0.9643471240997314,1
9111,absurd,-0.9577047824859619,1
17296,boiling,-0.9496240019798279,1
9191,huff,-0.9471566677093506,1
7924,kneel,-0.9398275017738342,1
7690,cheers,-0.9373237729072571,5
13034,childishness,-0.9156943410634995,1
21861,abdomen,-0.9004607200622559,1
21954,clap,-0.9000242948532104,1
7728,experiencing,-0.8895415663719177,1
11345,renewed,-0.8853427767753601,1
1800,excellence,-0.845946729183197,2
7681,sustain,-0.8303000330924988,1
18120,predictable,-0.8101296424865723,1
19363,cuss,-0.8047761023044586,2
4647,terrifying,-0.804337352514267,4
12310,gushed,-0.8020914494991302,1
16570,filthy,-0.7994774580001831,1
11602,terrified,-0.7850338593125343,8
15696,gunny,-0.7807749807834625,1
17210,jonathan,-0.7807050943374634,1
10371,royalty,-0.7783275445302328,3
19910,îƒîœîšîˆ,-0.7606189250946045,1
390,wait,-0.7562796540938255,353
15018,6am,-0.754454493522644,1
22045,8),-0.747298926115036,1
12453,feared,-0.7407386004924774,2
12688,originality,-0.7403756976127625,1
15669,relieved,-0.7386235296726227,2
14929,rhythm,-0.7351857423782349,1
15113,blending,-0.7276685237884521,1
18583,defiant,-0.7271333932876587,1
11343,confronts,-0.7268495559692383,1
721,whisper,-0.7264989614486694,1
9449,scams,-0.7258651554584503,1
14984,cluster,-0.7254645228385925,1
22224,approaches,-0.722146213054657,1
18753,repulsive,-0.7219918370246887,1
12336,highness,-0.7190062999725342,1
12115,exercises,-0.71894770860672,1
20729,danced,-0.7159298658370972,1
19833,calculations,-0.7140945196151733,1
19623,shooter,-0.7138322442770004,1
9109,rogers,-0.7135720252990723,1
11252,centres,-0.7132443189620972,1
16082,ian,-0.7093724757432938,2
7703,lug,-0.7081922590732574,1
2316,(:,-0.7081212474104877,52
5571,inspecting,-0.707191526889801,1
15574,"""#islam",-0.7009009122848511,1
14875,executed,-0.7004290223121643,1
21470,unclear,-0.696500837802887,1
21795,counselor,-0.6955085396766663,1
9839,causing,-0.6937810182571411,3
3757,installing,-0.6909876465797424,1
22806,niqqa,-0.6886113782723745,1
2205,inspections,-0.6869646310806274,1
17444,smilee,-0.6869497746229172,1
10852,46,-0.6816519498825073,1
10912,bummy,-0.6810168623924255,1
20876,punished,-0.6769750118255615,1
22906,poke,-0.6746310591697693,1
6247,hostility,-0.6741095781326294,1
1661,task,-0.6725138902664185,5
12577,stupidity,-0.6719915986061096,5
21460,resonating,-0.6713354190190634,1
3620,outlook,-0.6706647872924805,1
20831,approve,-0.6679909229278564,1
7586,developing,-0.6668717861175537,2
11398,misunderstood,-0.6651549339294434,2
9435,horizon,-0.6629592776298523,1
16664,counseling,-0.6606881618499756,2
11036,resi,-0.6597494781017303,2
4090,nicely,-0.6591325998306274,1
14917,excluding,-0.658821314573288,2
7633,connie,-0.656294584274292,1
18081,forsaken,-0.6543458104133606,1
18124,fundamental,-0.6530938744544983,1
1272,conditioning,-0.6503690958023072,5
3506,councillor,-0.6500977277755737,4
13555,benjamin,-0.6484672427177429,1
11840,subtle,-0.64702507853508,2
8465,shocked,-0.6428343653678894,3
3766,surprising,-0.6427320837974548,7
20750,advised,-0.6412209868431091,1
4737,stalky,-0.6408942937850952,1
3107,chilling,-0.6400301286152431,7
15929,demonstrating,-0.6398354768753052,1
4776,pam,-0.6384824514389038,1
5659,topped,-0.6341400742530823,2
14232,sharting,-0.6335422992706299,1
21089,dint,-0.6332100033760071,1
20429,designs,-0.6318731904029846,1
1351,convergence,-0.6317116320133209,2
21333,blocking,-0.6298819780349731,1
20486,stoned,-0.6291560977697372,1
20252,fuckers,-0.6254349648952484,1
5815,priceless,-0.6251283623278141,6
17883,ruthless,-0.6231527328491211,1
13427,repeated,-0.6227930784225464,1
