,Word,Value,Freq
16465,surgeon,-11.537391662597656,1
23149,dilemma,-11.145503997802734,1
6219,caring,-11.102422714233398,1
20087,threatened,-10.618663787841797,1
4746,tyres,-10.053634643554688,1
13115,justify,-10.04062271118164,1
21464,annabelle,-10.002121925354004,1
16821,skiing,-9.587640762329102,1
12530,sms,-9.541717529296875,1
7395,bitchin,-9.078263759613037,1
8977,genus,-9.007078170776367,1
18454,sequel,-8.998106956481934,1
20241,troll,-8.653704643249512,1
13037,belize,-8.647493362426758,1
22082,functioning,-8.5179443359375,1
19070,geese,-8.41831111907959,1
6491,nosedive,-8.357717752456665,1
7501,archie,-8.330076217651367,1
22323,crippled,-8.1538667678833,1
20062,decreased,-7.9019670486450195,1
17932,patethic,-7.687795003255208,1
11130,ranks,-7.685009002685547,1
7333,inaugural,-7.549096584320068,1
11437,prohibit,-7.317560911178589,2
20628,foul,-7.013631820678711,1
17748,petty,-7.009479999542236,1
13487,directions,-6.911251068115234,1
15836,culture,-6.8718976974487305,1
16424,buddhism,-6.840301990509033,1
19009,bowties,-6.83799421787262,1
6710,peanuts,-6.709836959838867,1
11135,needle,-6.559850692749023,1
8567,punishment,-6.5002381801605225,2
7493,recruiting,-6.454488754272461,1
13611,army,-6.2918548583984375,1
14099,10000th,-5.857403755187988,1
8522,destroying,-5.694220542907715,2
17998,illegal,-5.691226005554199,1
9274,walnuts,-5.50663685798645,1
18559,vh1,-5.4234299659729,1
1150,jurassic,-5.419004440307617,1
20646,showin,-5.328588247299194,1
20244,dmed,-5.283639192581177,1
12920,responding,-5.256367444992065,2
12258,bundling,-5.249874591827393,1
15271,lover,-5.204346179962158,2
22812,jazzed,-5.185840606689453,1
4383,50mill,-5.125765681266785,1
14639,ruining,-5.091629981994629,1
20063,dramatically,-5.053395748138428,1
6122,useless,-4.97848383585612,6
14024,conscience,-4.941691160202026,2
20936,effer,-4.923893451690674,1
15848,friendz,-4.881849765777588,1
18811,twerk,-4.85546088218689,1
3404,coal,-4.817242860794067,2
13532,talaga,-4.756494402885437,1
16220,jain,-4.739774227142334,1
22396,(hope,-4.709449768066406,1
13266,headline,-4.612123966217041,2
10140,offended,-4.509652853012085,2
11420,productivity,-4.430481672286987,2
9498,newburgh,-4.311028003692627,1
4647,terrifying,-4.310522198677063,4
6911,stabbed,-4.268136660257976,3
12760,#hate,-4.254132986068726,1
18919,breakk,-4.227227687835693,1
19910,îƒîœîšîˆ,-4.225264549255371,1
18390,nickname,-4.085777521133423,2
9104,preach,-4.081042766571045,2
11992,relocate,-4.060194969177246,1
5996,heidi,-4.013871908187866,2
5518,nanny,-3.998445749282837,2
1375,badminton,-3.971599578857422,1
5854,hallway,-3.9584412574768066,2
22617,tedious,-3.9556121826171875,1
21767,retire,-3.911989450454712,2
17452,finishes,-3.9095098972320557,1
19826,ank,-3.893194079399109,1
19561,km,-3.851876735687256,2
13132,rotted,-3.843194007873535,1
21455,fracture,-3.81512713432312,1
15319,rival,-3.792245864868164,2
9943,generations,-3.7801384925842285,2
3938,numbered,-3.7559491793314614,3
21581,skeleton,-3.6843786239624023,1
17080,despicable,-3.6833108266194663,2
4771,opposites,-3.6242570877075195,1
10958,kinder,-3.596865177154541,3
18783,twelve,-3.594696044921875,1
12999,individuals,-3.553640127182007,2
5349,mist,-3.5504493713378906,1
3109,surly,-3.5420072078704834,1
8154,irritable,-3.5216290950775146,1
11282,consumption,-3.5194880962371826,2
16960,appraise,-3.4817845026652017,1
8946,injury,-3.465803305308024,3
20694,pug,-3.4549849033355713,2
22813,estudiantes,-3.412003676096598,1
11073,deaths,-3.4092721939086914,2
11036,resi,-3.402710437774658,2
481,litter,-3.399103323618571,3
18813,twerking,-3.3864208459854126,1
10678,homesick,-3.3831229209899902,2
12643,designing,-3.375525951385498,1
1193,ripping,-3.3592869440714517,3
7523,lotion,-3.339558720588684,1
15083,kaka,-3.311361789703369,1
6106,autism,-3.3111705780029297,3
15084,accidently,-3.29673433303833,1
14875,executed,-3.2475223541259766,1
1175,macro,-3.2300796508789062,2
19804,lido,-3.2086148858070374,2
6197,premises,-3.204291343688965,1
20341,yarnz,-3.1742842197418213,1
16092,struggling,-3.139234940210978,3
3439,fever,-3.104902684688568,8
9715,penny,-3.0883185267448425,4
4397,bikeride,-3.087125778198242,1
19569,livinthedream,-3.0676371574401857,1
15144,covering,-3.0017903645833335,3
7194,painted,-2.9969074726104736,2
7931,unsure,-2.989428758621216,1
8306,millennium,-2.969943364461263,3
6826,gore,-2.9084059397379556,3
13417,exercise,-2.902663071950277,3
18814,saysomethin,-2.865650087594986,1
5677,hated,-2.829700197492327,7
4978,disappeared,-2.8265923261642456,4
17689,betting,-2.814791679382324,1
3685,edges,-2.8052914142608643,1
17774,liene,-2.7867023944854736,1
20105,neverbroke,-2.775808413823446,1
21662,otthappiness,-2.6790668964385986,1
4822,youngest,-2.678687572479248,2
10607,munters,-2.6696149508158364,1
8811,._.,-2.5926615397135415,3
6767,spokesperson,-2.5710995197296143,1
15016,phrases,-2.563152551651001,1
22268,palin,-2.5405787229537964,1
5845,hv,-2.5386362075805664,4
23071,efo,-2.532562732696533,1
19407,percent,-2.522324800491333,2
11494,slob,-2.504920721054077,3
13787,toward,-2.4981529712677,2
1272,conditioning,-2.4921080350875853,5
10000,"3,000",-2.486991802851359,1
7729,receiving,-2.4695457220077515,4
17196,chickenpox,-2.4304792881011963,1
14011,opposition,-2.426880359649658,1
14214,dumped,-2.4240236282348633,1
21966,relays,-2.394718885421753,1
7415,everlast,-2.3927098910013833,1
11506,tillys,-2.3891804218292236,1
15109,scholarships,-2.3549656867980957,1
7872,fitness,-2.351814556121826,5
5606,dreamed,-2.3477166493733725,3
7184,fled,-2.3429341316223145,1
7373,nevergoingback,-2.341123660405477,2
19060,iheartweed,-2.3313690026601157,1
9779,facing,-2.3269397417704263,3
20601,shakingmyfist,-2.3248060941696167,1
10453,ohwell,-2.31686004002889,3
5998,blocked,-2.295261192321777,5
19997,hamlet,-2.2851462364196777,1
19243,o!god,-2.282144069671631,1
5982,observing,-2.2665843963623047,4
12886,rem,-2.259829878807068,1
10239,bearable,-2.259458363056183,2
5853,warming,-2.2549896240234375,3
15435,recieved,-2.2402952512105307,1
3261,option,-2.2275757789611816,7
8407,cycle,-2.223530387878418,5
5602,uncertainty,-2.2226099014282226,5
615,morrison,-2.2158581415812173,3
11482,@taydeath,-2.171154707670212,1
2197,reminder,-2.1706813176472983,6
1104,causes,-2.1528368949890138,5
10069,partytime,-2.1417407989501953,2
9304,crops,-2.1347615718841553,1
14200,unsafe,-2.119258721669515,3
8521,discipline,-2.1146748542785643,5
12240,clients,-2.0960339307785034,2
10211,thirsty,-2.085535168647766,4
9521,electric,-2.0853145122528076,1
1041,fck,-2.0843061208724976,2
16053,arthritis,-2.0726871490478516,1
6310,gospel,-2.0464949078030057,9
6586,traditions,-2.028217315673828,2
21333,blocking,-1.9953196048736572,1
10423,cage,-1.992374579111735,3
7629,@tiny_trauma,-1.9867950677871704,1
5887,spam,-1.9858182867368062,6
5523,directors,-1.9750030040740967,1
4222,elimination,-1.9742069244384766,1
2352,oblivion,-1.9724469184875488,1
5478,clarkston,-1.969659447669983,1
6808,boils,-1.9677973985671997,2
18978,kidney,-1.956303358078003,1
11203,whendutycalls,-1.9555137634277344,1
20136,cosmetic,-1.936330795288086,1
17087,@mtnng,-1.9259016513824463,1
13954,dormant,-1.916088342666626,1
16362,baba,-1.907763957977295,1
8592,fag,-1.9008487860361736,3
6455,@depresseddarth,-1.897884488105774,1
4257,dictionary,-1.888724684715271,2
11231,butthole,-1.86638605594635,1
7839,ignoring,-1.8554240862528484,6
667,fired,-1.846420955657959,5
16795,meninuniform,-1.8234474658966064,1
3597,lens,-1.8147211074829102,3
23342,iquit,-1.8104274272918701,1
18162,@tokunboadegbuyi,-1.8092449638578627,1
4428,exhaustion,-1.806811809539795,1
18448,ceremony,-1.8056144714355469,1
1661,task,-1.8002520561218263,5
17201,nds,-1.7977691292762756,1
10683,crashed,-1.7805136442184448,2
23041,1700,-1.778590202331543,1
4206,rage,-1.7777289095379056,21
8804,blasted,-1.7714669704437256,1
15001,pain!â€,-1.7614028453826904,1
8226,weekends,-1.7596771240234375,5
11125,collision,-1.7586277723312378,2
18841,disclosed,-1.7578215599060059,1
20167,seventh,-1.7555499076843262,1
11213,safely,-1.7537693977355957,1
7502,manning,-1.7503536939620972,2
150,dollar,-1.7487219174702961,6
19542,rn,-1.7467515468597412,1
11179,woods,-1.7413173913955688,4
22678,brushes,-1.735785961151123,1
1929,savior,-1.7224753697713215,6
23350,cared,-1.7177463531494142,5
10595,repression,-1.7134043375651042,3
10226,petra,-1.695765495300293,1
21284,christmad,-1.6897729237874348,1
5311,miracle,-1.6852033138275146,6
9945,midget,-1.6798291206359863,1
16759,dogged,-1.6794476509094238,1
7313,pudding,-1.663788080215454,4
