,Word,Value,Freq
16465,surgeon,-5.8925604820251465,1
21773,spinal,-5.198151588439941,1
2273,concerts,-4.5557122230529785,1
4428,exhaustion,-4.484197616577148,1
23149,dilemma,-4.426331043243408,1
6219,caring,-4.421459674835205,1
8567,punishment,-4.227968096733093,2
17570,spaghettios,-4.093242168426514,1
17932,patethic,-4.0762637456258135,1
12258,bundling,-4.03446364402771,1
18588,melting,-4.004230499267578,1
14107,pity,-4.000744342803955,1
13954,dormant,-3.972219228744507,1
21774,tap,-3.9626879692077637,1
6411,labor,-3.9168217182159424,1
21960,desi,-3.7232555150985718,1
12115,exercises,-3.6852610111236572,1
11801,tutoring,-3.6412103176116943,1
13877,stampede,-3.5803511142730713,1
21464,annabelle,-3.47601318359375,1
19009,bowties,-3.466482400894165,1
13611,army,-3.4070167541503906,1
16904,stc,-3.3764355182647705,1
11037,disappears,-3.3172483444213867,1
20646,showin,-3.2679428458213806,1
22001,repetitive,-3.264540195465088,1
13037,belize,-3.2592878341674805,1
18152,owning,-3.2450759410858154,1
19262,reset,-3.231961727142334,2
18978,kidney,-3.230242967605591,1
22218,rime,-3.130033016204834,1
9337,cotton,-3.1012496948242188,1
22966,boxed,-3.0952348709106445,1
4668,shivering,-3.088554859161377,1
16242,dismay,-3.0423336029052734,1
22323,crippled,-3.0242807865142822,1
13294,emo,-2.998704969882965,1
7859,problematic,-2.9233944416046143,1
14639,ruining,-2.9177916049957275,1
15928,itstooearly,-2.913563346862793,1
12275,bucketlist,-2.909811645746231,2
7595,addicting,-2.8859918117523193,1
14232,sharting,-2.8810524145762124,1
7925,gray,-2.866635799407959,1
12604,botched,-2.8220564126968384,1
8522,destroying,-2.790948212146759,2
22826,advertising,-2.771566390991211,1
9199,conformation,-2.7603005170822144,1
5217,family1st,-2.7586963176727295,1
15795,stripes,-2.756753444671631,1
6111,cajuns,-2.75026535987854,1
8811,._.,-2.720615108807882,3
5284,fella,-2.703432947397232,2
14948,circles,-2.6943135261535645,2
6340,derm,-2.67634916305542,1
20576,described,-2.6608755588531494,1
1375,badminton,-2.65982723236084,1
17853,rue,-2.6412246227264404,1
13403,reject,-2.6288673877716064,1
4222,elimination,-2.613291025161743,1
6676,112,-2.604175090789795,1
4059,junction,-2.5901331901550293,1
12220,cologne,-2.579398363828659,2
21780,eminemlookalike,-2.5652299404144285,1
12052,naptime,-2.5620921850204468,1
14231,springer,-2.548835277557373,1
6464,shovelled,-2.548403024673462,1
8305,1999,-2.525419235229492,1
2558,tws,-2.522819459438324,1
9904,understands,-2.5228161811828613,1
18081,forsaken,-2.5134668350219727,1
13119,lancome,-2.4890987873077393,1
19109,fiction,-2.4844179153442383,1
10073,loogie,-2.477736155192057,1
3415,homelesspeople,-2.4765707651774087,1
5853,warming,-2.4673147996266684,3
5738,upon.â€,-2.4634559750556946,1
21966,relays,-2.4545587301254272,1
16202,channeling,-2.4452563524246216,2
15708,wanging,-2.4435020089149475,1
21273,loove,-2.4398914575576782,1
15228,bordering,-2.433018684387207,1
7931,unsure,-2.42578387260437,1
10796,busybusy,-2.4234670797983804,1
17432,hooping,-2.414122223854065,1
21070,stupidgirl,-2.4118734002113342,1
8971,dragonsong,-2.4088204503059387,1
18019,sided,-2.407703399658203,1
21212,westbound,-2.4059767723083496,1
20601,shakingmyfist,-2.4040147364139557,1
14024,conscience,-2.4031736850738525,2
13159,invites,-2.3994064331054688,1
10678,homesick,-2.398706376552582,2
12025,drifting,-2.3808393478393555,2
14764,disbelief,-2.37621808052063,1
19337,bhumi,-2.369593540827433,1
19060,iheartweed,-2.3678956826527915,1
13925,thatwasamazing,-2.360692024230957,1
12530,sms,-2.3333914279937744,1
19886,babywithdrawal,-2.319625735282898,1
15689,cn,-2.310554265975952,1
8253,shutup,-2.307468831539154,2
10534,accountants,-2.306849718093872,1
15018,6am,-2.3037105798721313,1
20137,brands,-2.2930753231048584,1
16424,buddhism,-2.28082275390625,1
9722,cocaphobia,-2.2806197802225747,1
20819,thomas,-2.2698111534118652,1
14564,regift,-2.268773396809896,1
19428,musicallyfullfilled,-2.267467498779297,1
7191,histology,-2.2635791301727295,1
16515,gulp,-2.260129690170288,1
17641,drained,-2.25580096244812,1
14369,rant,-2.2527239322662354,2
3404,coal,-2.25054132938385,2
10265,pimple,-2.240510582923889,1
11218,recover,-2.2303261756896973,1
21440,lovefamily,-2.2260637283325195,1
14730,rofl,-2.222897946834564,2
22260,lifechanging,-2.219203472137451,1
10453,ohwell,-2.2137617568174996,3
8407,cycle,-2.1999579429626466,5
21316,musicalgeek,-2.1967204411824546,1
9997,3d.,-2.1924428939819336,1
21593,snazzy,-2.190403620402018,1
12939,hiv-,-2.187815845012665,1
16742,apologetic,-2.1787829399108887,1
22192,chirunning,-2.177726705869039,1
22658,arab,-2.1717770099639893,1
19964,detest,-2.1528773307800293,1
14225,jealousofyourdad,-2.151208281517029,1
21373,biddies,-2.1499255895614624,1
14984,cluster,-2.149564266204834,1
12120,yoway,-2.1479524970054626,1
17541,diettime,-2.143407702445984,1
13341,justbringit,-2.1412221789360046,1
17649,reek,-2.132127583026886,1
16033,watershed,-2.130638360977173,1
19615,align,-2.126427173614502,1
17519,dirtiest,-2.1151641607284546,1
21662,otthappiness,-2.107673704624176,1
23117,interim,-2.101762294769287,1
3444,ltc,-2.100854456424713,1
7757,fellas,-2.0963900089263916,3
22986,secondthoughts,-2.095010221004486,1
21788,resources,-2.0876195430755615,1
11959,resume,-2.0858357548713684,2
18398,fatal,-2.0855031609535217,2
4929,rides,-2.0840266048908234,4
17473,savin,-2.081523358821869,1
14594,organising,-2.0698275566101074,1
21948,butiloveit,-2.0678043961524963,1
7499,spear,-2.065686732530594,2
2093,cubbies,-2.064124345779419,1
15508,strapping,-2.064050316810608,1
1212,feeing,-2.0599478483200073,1
16726,cuisine,-2.0587947368621826,1
10517,courageous,-2.0545101165771484,1
9401,brutal,-2.047844648361206,2
11460,arcade,-2.046339750289917,1
8244,helpin,-2.04302716255188,1
23410,gillian,-2.039433002471924,1
17685,600,-2.029658079147339,1
15271,lover,-2.0210262537002563,2
6172,fs,-2.0189064741134644,1
2083,gohome,-2.017728249231974,1
4791,iced,-2.01767365137736,3
14772,daybreak,-2.01466166973114,1
