,Word,Value,Freq
18299,degraded,-5.082927703857422,2
17523,trampled/,-4.1136555671691895,1
21610,thorns,-3.5403964519500732,1
1665,deviant,-2.8379833698272705,1
13690,thoughtless,-2.795323431491852,1
12253,flexibility,-2.7146544456481934,2
14438,disregard,-2.420058329900106,3
18431,speechless,-2.4045698642730713,2
6548,inconsistent,-1.9915735721588135,3
20442,amend,-1.811324119567871,3
7341,unreliable,-1.6981156667073567,3
21231,representing,-1.643971562385559,3
19054,vexed,-1.6423038244247437,4
13485,peeved,-1.5366162061691284,1
14899,ruins,-1.5173688668471117,13
21063,inacceptable,-1.4533329904079437,4
11865,dilemma,-1.4069652557373047,1
18790,cappuccino,-1.1889575719833374,1
1833,comparing,-1.1157383918762207,3
8413,letters,-0.9765766859054565,5
21596,jostling,-0.9507498741149902,2
1773,dated,-0.9498253762722015,12
17637,inherently,-0.9208953380584717,1
14173,favorable,-0.9155212640762329,2
22104,spender,-0.8332803249359131,1
20325,terminals,-0.8330742120742798,1
22009,schnell,-0.7754166126251221,1
10051,composure,-0.7601282596588135,1
2764,slowest,-0.7532475590705872,20
11197,distinctions,-0.7447787523269653,1
331,success,-0.7217617034912109,19
11198,emphasizes,-0.708734393119812,2
12865,skeptic,-0.6808364391326904,2
12128,climber,-0.6697059472401937,3
10849,thinner,-0.6624621748924255,2
13673,7$.,-0.6617904106775919,1
9786,hide,-0.6535751422246298,6
15648,sloppily,-0.6510269343852997,1
3306,noes,-0.6471307277679443,1
1772,lacking,-0.6302024931521029,74
447,decides,-0.629058301448822,1
15287,persisted,-0.6063843965530396,1
1673,equator,-0.6046687364578247,2
16682,uppity,-0.6016998688379923,3
12222,unsuccessful,-0.5766148567199707,2
5401,nightmare,-0.5712005008350719,22
1173,torn,-0.5617683331171671,6
22064,messiest,-0.5594102740287781,3
15662,purely,-0.5536806434392929,2
19034,struggled,-0.5492386221885681,4
20791,irks,-0.5387420654296875,1
20903,passé,-0.5271235704421997,1
12384,shmooze,-0.5159120559692383,1
9995,spark,-0.5037364959716797,7
18939,blandly,-0.5007802844047546,1
17252,piquant,-0.49783162275950116,3
114,disappointing,-0.4934205736889935,149
5125,exasperation,-0.4818388024965922,1
5141,compliant,-0.4787081480026245,1
11422,lord,-0.4787079095840454,7
5407,strangolapreti,-0.4488685131072998,1
20544,gosh--$400,-0.4449749191602071,1
21603,tougher,-0.43917301297187805,1
10297,fuck,-0.43605124322991623,19
10182,altering,-0.408987820148468,2
478,painfully,-0.4053982628716363,9
2947,unacceptable,-0.4044780409013903,37
21729,"me""",-0.4029245376586914,1
11852,invisalign,-0.4024029076099396,1
16860,wasteful,-0.400687038898468,1
16333,notably,-0.39492931962013245,1
3222,spectacle,-0.3843492269515991,2
1513,c'est,-0.3829451650381088,8
8707,inaccurate,-0.35940385858217877,24
21202,drapery,-0.358410120010376,1
18508,epa,-0.3530106544494629,4
11616,cryptic,-0.3467583656311035,1
20443,entangled,-0.33778807520866394,3
6546,emptying,-0.336925745010376,4
6545,custodian,-0.336925745010376,4
15107,specializes,-0.33631831407546997,4
13627,communicating,-0.3346595565478007,3
6952,weary,-0.3234602723802839,7
16332,characteristic,-0.3229186236858368,1
4115,neglected,-0.3220437467098236,8
12914,lies,-0.32178116696221487,14
8456,optional,-0.3203152656555176,5
11896,promo,-0.32015228271484375,13
16867,tt,-0.31686705350875854,4
19589,infraction,-0.3153606653213501,1
21715,sarde,-0.3140907287597656,3
7769,shitty,-0.3134815465836298,21
17119,mismatched,-0.3103982834588913,7
18184,commercials,-0.30586349964141846,1
8405,dread,-0.3027947247028351,4
6006,communication,-0.30141826612608774,28
1192,dismay,-0.3005227247873942,3
10909,lightweight,-0.299269437789917,1
20573,commit,-0.2900780439376831,1
14302,marginal,-0.28667031394110787,9
18348,sticklers,-0.2827885150909424,1
20819,eclipsed,-0.27243363857269287,1
13192,appreciation,-0.27177131175994873,2
19434,vapor,-0.2688148021697998,4
16773,cologne,-0.2666027545928955,7
3191,souper,-0.26335392395655316,3
11281,affiliated,-0.2630283832550049,1
11526,drab,-0.2621028423309326,1
8146,printing,-0.2595176510512829,8
191,horrible,-0.2537958629961525,448
5130,"""like",-0.25339367240667343,1
7005,flavourless,-0.2519899209340413,3
10002,stair,-0.2512640058994293,8
3872,suspicious,-0.2505607604980469,2
7737,giuseppe,-0.249472975730896,1
21066,fiable,-0.24828165769577026,4
11651,advertising,-0.24686226519671353,22
5865,[,-0.2456401507059733,30
11846,hillcrest,-0.24329113960266113,1
8529,eggs+potatoes,-0.23421168327331543,1
16121,goodlife,-0.2266138195991516,2
13980,logical,-0.22521352767944336,1
20190,sadden,-0.22404110431671143,1
15159,asking-,-0.21992802619934082,1
2612,onnnnn,-0.21868248780568442,2
15170,toki,-0.21801632642745972,1
20295,molester,-0.21796023845672607,2
21051,ridicule,-0.21786650021870932,4
16766,ought,-0.2178615927696228,2
12177,violations,-0.21771860122680664,2
15559,10:40pm,-0.21634265780448914,1
11436,distasteful,-0.21597561240196228,1
19646,alligator,-0.21571016311645508,1
6707,overdone,-0.2147339726939346,11
20851,concluded,-0.21410584449768066,1
5510,tight,-0.21387719969416774,43
18656,'bout,-0.21385827660560608,1
11991,somber,-0.20984697341918945,1
12521,ancient,-0.20900878310203552,8
19691,judgemental,-0.20744431018829346,2
17276,holdover,-0.2071363925933838,2
9834,swapping,-0.2067946195602417,2
7340,readers,-0.2066038449605306,3
7291,fragments,-0.20658397674560547,2
10343,speakers,-0.20624797344207763,5
6686,savagely,-0.20361769199371338,4
3307,oink,-0.2030586190521717,2
4178,wondering,-0.20303050109318324,14
7862,raining,-0.19853917757670084,3
5643,disclose,-0.1973576545715332,1
14032,chincey,-0.19719326496124268,2
19271,likevel,-0.19658517837524414,1
4916,horrendous,-0.19393876791000367,20
16422,inexperienced,-0.19318644205729166,6
15493,folly,-0.19249844551086426,1
18186,backs,-0.19165945053100586,1
13993,superhot,-0.19076180458068848,4
1777,90s,-0.18921264012654623,3
13006,aback,-0.18655896186828613,1
11576,surtout,-0.18613489468892416,2
4427,irritating,-0.18485942482948303,16
10231,dammit,-0.18384718894958496,1
11746,busted,-0.18316274881362915,2
4585,zero,-0.18277367378803008,94
8213,borderline,-0.18185054593616062,9
2381,hook,-0.1811927080154419,5
6322,evil,-0.18112501502037048,4
10195,stuffing,-0.18024098873138428,3
17053,confidently,-0.17925238609313965,1
9015,part-,-0.17864298820495605,1
11137,pricy,-0.17677262822786968,15
15015,exists,-0.17460131645202637,2
6062,fades,-0.17426574230194092,2
4933,overrated,-0.17404357024601527,21
11992,muffled,-0.17345356941223145,1
4100,editing,-0.17338899771372476,3
17012,dining-,-0.17300009727478027,3
18283,diameter,-0.17242844104766847,5
1169,unfortunate,-0.17213572108227274,23
15229,appetites,-0.1710546612739563,2
1032,frustrating,-0.1707193733830201,38
20259,sensed,-0.17034220695495605,1
11686,distinguish,-0.1695728302001953,1
18851,grimy,-0.1666577309370041,4
5127,"""uh",-0.1648837924003601,1
8416,inexplicably,-0.1644309401512146,1
8136,overs,-0.1634374459584554,6
15447,fonts,-0.16205883026123047,1
11386,advisors,-0.1619759202003479,2
4333,nobodys,-0.16104835271835327,2
1348,annoying,-0.16089562808766084,51
8685,depressed,-0.15986553827921549,3
3570,luck,-0.15845899746335787,58
4543,disappointment,-0.15818457843876688,119
18301,localized,-0.1566234827041626,2
597,servant,-0.15620779991149902,4
9237,agony,-0.15569448471069336,1
12145,atrocious,-0.15562207698822023,10
4775,ordinary,-0.15552099545796713,9
21358,decors,-0.15532541275024414,1
5533,smiley,-0.155140221118927,4
21787,discrimination,-0.1550447940826416,2
14461,authorized,-0.15329221884409586,6
740,jerk,-0.15269420717073523,46
7272,declining,-0.1520761251449585,4
16462,un-,-0.15201354026794434,1
1653,unexpectedly,-0.15176844596862793,2
11902,huuuuuge,-0.15156636238098145,5
17278,persist,-0.15021848678588867,2
4374,upset,-0.14994020030853597,47
735,poor,-0.14950011244841985,280
11609,tended,-0.1493169665336609,2
9863,pulling,-0.14910694360733032,5
9182,declined,-0.14815753156488592,22
524,bland,-0.14812104742926077,233
685,swung,-0.1478438377380371,1
1572,terrible,-0.14737173159917197,450
10552,argentina,-0.14732486009597778,1
1956,mixes,-0.1464835007985433,3
5867,],-0.1461632869861744,27
5886,dislike,-0.14572005612509592,7
7901,downed,-0.14291906356811523,1
22153,announcement,-0.1428532600402832,1
9000,moods,-0.14222288131713867,1
21734,tanginess,-0.14171499013900757,2
16861,deceptive,-0.1411487857500712,6
15642,does'nt,-0.14111590385437012,1
20214,hc,-0.1409924030303955,1
2270,selfish,-0.1409783810377121,2
12273,downs,-0.13983774185180664,1
17537,artley,-0.13918355479836464,1
11849,receding,-0.13842934370040894,1
12472,debt,-0.1383509635925293,1
12868,unhealthy,-0.13824219788823808,7
6513,miserable,-0.13822320103645325,12
7527,uneven,-0.13784320417203402,19
12763,involvement,-0.13739681243896484,1
3587,accurate,-0.13575916290283202,15
5943,belief,-0.13570988178253174,2
15634,lump,-0.13509106636047363,1
12968,junk,-0.13460905411664179,17
962,appealing,-0.13425597349802654,15
13033,slower,-0.13348283086504256,7
4329,jacqueline,-0.13337528705596924,1
15788,observed,-0.1332542896270752,1
17638,20-some,-0.1330341895421346,1
8018,scammers,-0.1323801742659675,6
16168,sucky,-0.13176047801971436,1
10233,emphasized,-0.13073110580444336,1
2275,awkward,-0.13008187128149945,46
2089,worst,-0.12953318428274588,564
11968,siu,-0.1292402148246765,4
1784,stale,-0.1283160970922102,57
19036,immature,-0.12829947471618652,2
9452,unremarkable,-0.12767664591471353,9
10768,tricky,-0.12704510348183767,7
15950,métro,-0.1267657544877794,9
12904,asshole,-0.12674713134765625,2
1669,wrong,-0.12671780131630977,472
17300,destruction,-0.1263108253479004,1
14959,childsplay,-0.12600537141164145,2
16507,powered,-0.12552777203646573,11
3367,opposite,-0.12551347414652506,30
21390,pained,-0.12542033195495605,1
418,missing,-0.12526281601116981,81
476,enrolled,-0.12421584129333496,1
431,nothing,-0.12310360562416815,775
7615,awkwardly,-0.1225137710571289,1
12115,overslept,-0.12182013193766277,2
20168,brushing,-0.12153053283691406,2
7726,consequence,-0.12070751190185547,1
10069,lunched,-0.12036474545796712,1
20583,weakest,-0.1200176477432251,1
4474,mis,-0.1199816068013509,3
10504,thee,-0.11926406621932983,4
556,curled,-0.11885499954223633,1
1545,overpriced,-0.11855656229088019,145
22164,rhetoric,-0.11817121505737305,3
6338,evaluated,-0.11767264604568481,5
1467,trouble,-0.11723555837358747,42
15441,hysterical,-0.11718567212422688,3
10341,geez,-0.11678196489810944,4
2479,justice,-0.11563622951507568,10
21933,sonny,-0.11336779594421387,1
11060,begging,-0.11328470706939697,1
1221,broth,-0.11267045784640957,74
15492,amends,-0.11249685287475586,1
12721,poultry,-0.11203670501708984,7
472,registering,-0.1118459701538086,3
21929,ethical,-0.11163520812988281,1
20160,employer,-0.11160510778427124,4
5303,hardest,-0.11159968376159668,4
20213,heartedly,-0.11049431562423706,1
9014,lasso-,-0.11043628056844075,1
8233,autumn,-0.11030817031860352,1
4050,undercooked,-0.1087217393264272,51
8377,interwebs,-0.10772824784119923,2
21200,carpeting,-0.10758674144744873,1
19332,atún,-0.10748946666717529,1
11853,hates,-0.10689357916514079,3
14593,ahhh,-0.10683686534563701,3
21916,eichenlaub,-0.10642886161804199,2
13419,disliked,-0.10636824369430542,4
4191,insane,-0.10629793008168538,18
12570,oversight,-0.1059103012084961,1
20743,mounds,-0.10574102401733398,1
11575,approaching,-0.10500475764274597,2
7578,bushes,-0.10482481122016907,2
13241,slacking,-0.10468524694442749,2
5350,acceptable,-0.10396485450940254,39
18224,reek,-0.10359728336334229,1
13704,unacceptable-,-0.10322904586791992,1
1645,cold,-0.10302666103206395,414
1233,dirty,-0.10271740087213363,187
22128,booby,-0.10270565748214722,1
1027,dead,-0.10264381899762509,67
5658,doubted,-0.10233283042907715,2
10619,implore,-0.10229766368865967,2
21571,palatable,-0.1022484302520752,5
14834,pacing,-0.10209006071090698,2
3423,bdubs,-0.10208829243977864,1
20888,extremelystrenuousandrewarding,-0.10203957557678223,1
17217,138,-0.10144710540771484,1
9453,password,-0.10130953788757324,1
21147,subscription,-0.10065031051635742,1
9227,anomaly,-0.1005086898803711,1
14144,g595,-0.10008060932159424,1
11235,ab,-0.09997344017028809,1
5815,scam,-0.09995166833202043,56
1629,heating,-0.09963488578796387,6
4590,frustration,-0.09948221842447917,18
21713,discordant,-0.09894879659016927,3
21133,proclaimed,-0.0984041690826416,1
15361,pout,-0.09837472438812256,2
14334,8/25,-0.09791254997253418,1
9518,horrific,-0.09768848949008518,9
14862,doomed,-0.0975949764251709,1
3930,research,-0.09680716786533594,32
9678,priced-,-0.09610283374786377,1
6142,insults,-0.09556007385253906,1
5258,mucha,-0.0953584611415863,2
12620,specifics,-0.09495253562927246,5
11188,invade,-0.09457874298095703,1
18307,rundown,-0.094486665725708,5
12416,dots,-0.09437966346740723,1
11618,stu,-0.09423339366912842,1
1881,measures,-0.09411239624023438,1
9378,icy,-0.09404540061950684,1
3091,none,-0.09376479132791583,89
4253,disapointed,-0.09316101670265198,4
2779,aging,-0.09307289123535156,3
15427,trippy,-0.09284520149230957,6
12248,1950s,-0.09259390830993652,1
681,pains,-0.09237727097102574,14
958,excess,-0.09211587905883789,2
9052,brie,-0.091733489717756,7
8411,bleached,-0.09150580565134685,1
1576,average,-0.09149449572843664,255
2288,couples,-0.09142051108421818,31
12937,classifies,-0.09098446369171143,1
20341,underrated,-0.09091067314147949,1
9151,advertisement,-0.09070106489317757,14
17639,negotiating,-0.09053635597229004,1
1944,weak,-0.09052128058213454,13
10011,reconsider,-0.09046520789464316,4
11158,nerves,-0.09029603004455566,2
3635,meeting,-0.0902944192653749,41
10357,poster,-0.08997207880020142,4
21764,permissible,-0.08929252624511719,6
21765,purchaser,-0.08929252624511719,6
2752,pointed,-0.08927638119175321,42
19146,companionable,-0.08918070793151855,1
18018,lawrenceville,-0.08904881477355957,5
2442,confused,-0.08891088822308708,51
5328,defense,-0.08874702453613281,1
19688,meg,-0.08854317665100098,1
16949,certainty,-0.0880364179611206,2
18849,chemistry,-0.0879746675491333,2
19790,coincidence,-0.08796477317810059,1
7897,smallest,-0.08784198760986328,2
10570,musicals,-0.08777594566345215,1
13668,smashburger,-0.08765488200717501,3
17062,stunned,-0.08751368522644043,1
20735,machinery,-0.08745360374450684,1
19526,concur,-0.08741986751556396,1
11866,therm,-0.08737099170684814,1
15247,hilariously,-0.0872645378112793,4
10571,puns,-0.0872049331665039,1
8454,nonsense,-0.08701378107070923,8
6086,wowed,-0.08699262142181396,2
33,not,-0.08695351029243138,7451
7745,foul,-0.0869052868623,13
1879,independents,-0.0866386890411377,1
13654,heatstroke,-0.08607975641886394,3
11823,hastily,-0.08574032783508301,1
6032,drooping,-0.08556441466013591,3
12146,dismissive,-0.08550339937210083,2
11724,profane,-0.08514177799224854,3
4060,poured,-0.08474033053328352,41
12286,delays,-0.08455678394862584,7
666,changing,-0.08440207518064059,26
11192,costed,-0.083673395216465,2
5655,scoffed,-0.08324289321899414,2
11637,inexperience,-0.08313676714897156,8
6299,impossible,-0.08256907952137482,39
1961,germany,-0.08250829577445984,2
10542,closes,-0.08240230878194173,12
20962,promoting,-0.08212709426879883,4
4426,poorly,-0.08191628281663103,82
11997,humans,-0.08190810680389404,2
5459,abandoning,-0.08172965049743652,1
6629,shouting,-0.08162146806716919,8
10358,coughed,-0.0815732479095459,1
17199,motivate,-0.0815447171529134,1
14145,g565,-0.08150474230448405,1
10270,slaves,-0.08039414882659912,1
1160,camper,-0.08036228020985921,6
16127,shouted,-0.07983136177062988,1
5335,nowhere,-0.07969733476638793,20
20838,year-,-0.07967996597290039,1
2806,vs,-0.0796109288930893,12
5942,recognizable,-0.0794033408164978,4
20514,appetizerwas,-0.07938861846923828,1
9733,disappearing,-0.07923674583435059,2
16681,-overall,-0.07923495769500732,3
11702,skater,-0.07914376258850098,1
16102,panicked,-0.07911479473114014,3
11121,seldom,-0.07903903722763062,4
19528,vacillating,-0.07886397838592529,1
2214,incorrect,-0.07859140237172445,30
16813,predictable,-0.07826995849609375,1
17150,snappy,-0.07810115814208984,2
2936,unsanitary,-0.0780689451429579,9
21489,gagged,-0.07804656028747559,2
16558,toni,-0.07760858535766602,1
3900,loss,-0.0775825868953358,11
17251,0100pm,-0.07748345534006755,1
16244,copa,-0.07734334468841553,1
9036,seam,-0.07723534107208252,4
9646,depends,-0.07713875987313011,11
19973,-we,-0.07693278789520264,1
4671,killing,-0.076895276705424,6
17250,incidentally,-0.07656694948673248,1
20343,buzzing,-0.07599568367004395,1
11057,buttons,-0.07590208450953166,6
4613,died,-0.07588692903518676,10
8628,draws,-0.07587957382202148,1
8186,letting,-0.0757281603636565,27
8296,ugh,-0.07563051496233258,35
1647,benedicts,-0.07561397552490234,1
21599,edward,-0.07552337646484375,1
1650,cacao,-0.07520681619644165,2
3065,popeye,-0.07497138447231716,9
261,inadequate,-0.07493853569030762,8
5965,lack,-0.07486327919434374,127
6792,crowns,-0.07485628128051758,6
13884,vary,-0.0747983455657959,1
375,slow,-0.0744226244581004,323
21492,wwf,-0.07381021976470947,1
18491,eileen,-0.07265925407409668,1
21638,divided,-0.07248497009277344,1
9710,yelpster,-0.07248091697692871,1
1146,unfortunately,-0.07220696591581974,191
7731,harsh,-0.07211379777817499,21
4520,validated,-0.07179296016693115,1
8762,simon,-0.07166576385498047,1
14050,services/,-0.07135355472564697,1
16750,www.malachihouse.org,-0.07123253175190516,1
11437,realization,-0.07120311260223389,1
2172,stepped,-0.07107223914219783,26
2686,menus,-0.0707899662355582,60
14560,robbery,-0.07078719139099121,4
5322,neither,-0.07016669981407397,33
14524,ganoush,-0.0700688362121582,1
21980,mit,-0.0699292818705241,3
21464,prick,-0.0698857307434082,1
7476,breakdown,-0.0697011947631836,3
19325,supertech,-0.06944411993026733,2
1050,weird,-0.06933747096495195,110
20322,alternator,-0.06886720657348633,1
18458,ciao,-0.06885325908660889,1
4257,rarely,-0.06882472038269043,35
3883,venture,-0.06882411241531372,2
16771,jackman,-0.06877017021179199,7
7051,listen,-0.06866680692743372,81
13281,jealous,-0.06843733787536621,3
5003,nuked,-0.0681149959564209,3
14525,kibbe,-0.06774365901947021,1
10559,amy,-0.06750742955641313,11
6918,upsetting,-0.067465345064799,3
21456,freaked,-0.0674264629681905,6
15289,demolished,-0.06742568016052246,5
13936,firstly,-0.06738301118214925,3
4910,dental,-0.06734384158078362,34
6468,randolph,-0.06732892990112305,1
16820,oozed,-0.0672296682993571,1
7937,exceptions,-0.06712500254313152,3
736,altogether,-0.06704057114464897,7
6697,outrageous,-0.0669614246913365,21
9280,prépare,-0.06687664985656738,2
14631,minority,-0.06683921813964844,1
20564,tiring,-0.06667709350585938,1
13236,degenerate,-0.06662241617838542,1
9229,distract,-0.06647205352783203,1
8359,homesick,-0.06637740135192871,1
16859,tossing,-0.06620447635650635,5
5309,beard,-0.06608849267164867,6
12706,storm,-0.0659862995147705,5
12967,alongside,-0.06595468521118164,4
12558,saucer,-0.06594206889470418,3
20380,outweigh,-0.06577658653259277,2
12171,sporadically,-0.06577006578445435,5
5424,quizzing,-0.06575655937194824,1
3339,uniquement,-0.06560707092285156,1
6969,hesitant,-0.06551813085873921,12
7646,bras,-0.06550423800945282,8
11756,congratulations,-0.06550389528274536,4
3710,chunk,-0.06544189982944065,9
1089,less,-0.06521912237517855,351
9517,sloppy,-0.06485560536384583,8
19366,sysco,-0.06481266021728516,1
7539,misleading,-0.06460285186767578,6
16909,kristen,-0.06456756591796875,1
8060,difficulty,-0.06443029642105103,4
11215,capstone,-0.06436435381571452,1
4335,veins,-0.06425487995147705,1
10680,syrah,-0.06420385837554932,1
22045,stil,-0.06419157981872559,2
3313,mistake,-0.06394452035427094,100
443,lanes,-0.0637968897819519,5
11726,diagonally,-0.06372308731079102,1
3161,owns,-0.06368000166756767,7
7150,verified,-0.06366801261901855,2
20843,warkentin,-0.06352818012237549,2
20674,{,-0.06343436241149902,1
7315,rapide,-0.06332898139953613,1
3816,toss,-0.0632330060005188,10
7805,hated,-0.06252388159434001,12
3591,disbelief,-0.062431931495666504,2
5849,contract,-0.06228029727935791,31
19893,georgie,-0.06227755546569824,1
7610,ruined,-0.06224239839089883,37
2082,barely,-0.06217946301043873,142
8608,thor,-0.06215500831604004,1
4972,silly,-0.06212589144706726,24
11629,intro,-0.06212499737739563,4
2408,nooooooo,-0.061799295246601105,1
10800,lettering,-0.061779141426086426,4
15134,erika,-0.06177496910095215,1
10831,lacks,-0.06171581961891868,22
18440,shortness,-0.06166708469390869,4
3411,diabetes,-0.06159740686416626,4
10638,potstickers,-0.061591035789913595,6
4059,tepid,-0.06124734878540039,2
16100,transmission,-0.06120744347572327,4
18800,skimped,-0.06116716066996256,3
6984,anywho,-0.06110787789026897,5
1666,europa,-0.06103217601776123,1
1844,worried,-0.061008291585104804,14
8139,passport,-0.06096771657466889,5
17647,litter,-0.06077289581298828,1
8190,buster,-0.0604701042175293,9
5853,f.,-0.06032113234202067,3
20031,conservative,-0.06029468774795532,1
20796,"she""s",-0.0602115790049235,1
18996,proprietor,-0.05996417999267578,2
19906,straightforward,-0.059940338134765625,1
9838,utility,-0.059745073318481445,3
21546,kimberly,-0.05957531929016113,1
15983,this⁉,-0.05916619300842285,1
8901,reckless,-0.059114898954119,7
11154,24hr,-0.059065401554107666,2
20101,nanny,-0.05892610549926758,1
13487,longed,-0.05881214141845703,1
18025,slabs,-0.05872154235839844,1
9835,skipping,-0.058626413345336914,6
20262,credibility,-0.058615684509277344,1
5564,brats,-0.0585968017578125,5
17126,gosh,-0.05838073790073395,10
7317,frais,-0.05836844444274902,1
12049,bizarre,-0.05821397304534912,5
12655,disappears,-0.0580672025680542,4
439,minding,-0.05799550414085388,5
4503,everybody,-0.057968364443097796,35
5229,..........,-0.057934292157491046,3
19648,n.h.,-0.05791677534580231,1
8652,drugs,-0.0578606923421224,3
1112,hate,-0.057513566315174104,120
20201,exemplary,-0.057411909103393555,1
11517,cinema,-0.05740182740347726,7
12510,prune,-0.05735886096954346,2
20044,coward,-0.057262420654296875,2
19899,li,-0.057187795639038086,1
14212,swearing,-0.057175795237223305,6
13307,politicians,-0.05704379081726074,1
12003,organizational,-0.056784629821777344,1
11615,mt.,-0.05677056312561035,1
7853,c4,-0.056755781173706055,1
20846,412,-0.05662238597869873,1
6757,frash,-0.056432366371154785,1
1979,step,-0.05614617173100861,71
16319,marsala,-0.05609941482543945,8
16341,asiatique,-0.05586385726928711,1
6594,amelie,-0.05579262971878052,4
