,Word,Value,Freq
21876,representing,-1.7974224090576172,1
15901,slamming,-1.3851624727249146,2
19765,thoughtless,-1.142156720161438,1
10188,nothin,-0.9840943813323975,1
15237,vexed,-0.9205960035324097,1
3662,declining,-0.8481483459472656,1
16007,swankiest,-0.8373242219289144,1
21603,vapor,-0.7544560432434082,1
14618,contempt,-0.7487648725509644,1
17519,epa,-0.7392565011978149,2
9529,spark,-0.7382477819919586,2
4612,infact,-0.7050097783406576,1
18648,dreadful,-0.6752629280090332,1
20688,sickest,-0.6747856140136719,1
12500,royally,-0.6734243631362915,1
10807,speechless,-0.6558418273925781,2
15053,sucky,-0.6470247507095337,1
18102,respiratory,-0.6423707008361816,1
18103,illness,-0.6423707008361816,1
8759,degraded,-0.6365103721618652,1
22305,bailed,-0.6263082027435303,1
19709,climber,-0.6065874099731445,1
7281,lord,-0.6013705134391785,2
15241,cup(s,-0.5786092281341553,1
14389,yikes,-0.5656767189502716,4
6500,unfortunate,-0.5438421765963236,12
11643,sopapillas,-0.5341746807098389,1
3850,nightmare,-0.5278398479734149,7
19319,rips,-0.4993168115615845,1
20957,messiest,-0.4943842887878418,1
4099,musty,-0.486112117767334,1
15456,tentative,-0.47859954833984375,2
4855,shitty,-0.47714506255255806,9
12959,skater,-0.474528431892395,1
17408,underrated,-0.4647029638290405,1
7432,taints,-0.45996904373168945,1
11586,thorns,-0.45615696907043457,1
2651,mismatched,-0.44853246212005615,2
14142,replies,-0.44766032695770264,1
4777,assholes,-0.4466369152069092,1
16630,handlers,-0.44264769554138184,1
19050,asshole,-0.4411665201187134,1
6372,strained,-0.43031811714172363,1
5381,bras,-0.4221046566963196,3
12841,abandoned,-0.41945338249206543,2
19760,blacktop,-0.4043421745300293,1
3085,worst,-0.4007912881275606,169
10202,landscaper,-0.39975500106811523,1
5546,horrid,-0.3841081592771742,3
16634,bust,-0.38341546058654785,1
20674,juggle,-0.3668327331542969,1
11973,fabricated,-0.36529111862182617,1
15874,upsetting,-0.3532272179921468,3
2700,refuses,-0.3418543338775635,2
10795,stinks,-0.3374751806259155,2
7753,poultry,-0.33649158477783203,2
20893,crudités,-0.3357301950454712,1
11377,specialists,-0.334267536799113,3
18054,mishtuh,-0.32321131229400635,1
10499,ruins,-0.3213754892349243,3
17396,drippy,-0.3211684226989746,1
3691,unacceptable,-0.320000521838665,16
15475,horrible-,-0.31762564182281494,1
18951,jostling,-0.3174581527709961,1
20812,skeptic,-0.3157924811045329,1
18623,sarde,-0.30485010147094727,1
10160,letters,-0.3022679090499878,4
13059,stair,-0.30165666341781616,2
20187,strongest,-0.2997276782989502,2
13058,poorer,-0.29276084899902344,1
