,Word,Value,Freq
21715,sarde,-2.7458536624908447,3
13690,thoughtless,-1.9587472081184387,1
21458,gasped,-1.8502161502838135,1
19054,vexed,-1.7469021677970886,4
18299,degraded,-1.6953622102737427,2
7341,unreliable,-1.6572646299997966,3
6548,inconsistent,-1.6094574928283691,3
16860,wasteful,-1.5032583475112915,1
5655,scoffed,-1.5006154775619507,2
21051,ridicule,-1.3321523666381836,4
14899,ruins,-1.2836170013134296,13
9227,anomaly,-1.2634902000427246,1
8707,inaccurate,-1.2016971707344055,24
17150,snappy,-1.1126869916915894,2
14438,disregard,-1.0695219834645588,3
1309,shortest,-1.066607117652893,2
12807,nightmares,-1.0137763977050782,5
22045,stil,-1.0078619718551636,2
22164,rhetoric,-0.9021234512329102,3
17523,trampled/,-0.8872599005699158,1
5194,steal,-0.8590542989618638,17
13302,charlies,-0.8563603162765503,1
3083,chaos,-0.84989994764328,4
9518,horrific,-0.8376050392786661,9
13993,superhot,-0.826278805732727,4
3920,downfall,-0.7875931978225708,10
11286,thug,-0.7467993895212809,6
2764,slowest,-0.7434921026229858,20
22104,spender,-0.7124378085136414,1
114,disappointing,-0.7101190474209369,149
9995,spark,-0.707562906401498,7
1513,c'est,-0.7075490156809489,8
9947,fought,-0.697629165649414,5
19058,cup(s,-0.6617027521133423,4
11902,huuuuuge,-0.6598614692687989,5
12115,overslept,-0.6426155169804891,2
18431,speechless,-0.6179542541503906,2
21489,gagged,-0.6150338053703308,2
9237,agony,-0.6097718477249146,1
6062,fades,-0.6067629456520081,2
8456,optional,-0.604035758972168,5
17062,stunned,-0.5907837152481079,1
1665,deviant,-0.5904858112335205,1
11060,begging,-0.576717734336853,1
11526,drab,-0.570215106010437,1
10297,fuck,-0.5522649539144415,19
14605,eliminated,-0.5487146377563477,4
1772,lacking,-0.5442534234072711,74
18224,reek,-0.5435211062431335,1
16450,polarized,-0.5219113826751709,1
3065,popeye,-0.5154318412144979,9
14855,hiding,-0.5102000832557678,2
21063,inacceptable,-0.5056923925876617,4
12253,flexibility,-0.5022686719894409,2
1169,unfortunate,-0.494435481403185,23
1032,frustrating,-0.4912117280458149,38
13535,lamp,-0.4862764615278978,13
8901,reckless,-0.47592088154384066,7
5643,disclose,-0.47479379177093506,1
7127,adverse,-0.47379934787750244,1
16102,panicked,-0.4728334943453471,3
6322,evil,-0.4723571836948395,4
20425,unnecessary,-0.454150915145874,2
10849,thinner,-0.45307716727256775,2
10831,lacks,-0.4431066458875483,22
20573,commit,-0.43846583366394043,1
15129,disappointed:/,-0.43597638607025146,3
16283,nonexistent,-0.4317658543586731,5
3591,disbelief,-0.43039995431900024,2
14161,snarled,-0.4231487512588501,4
4092,inappropriate,-0.4183348530814761,21
13624,know-,-0.40318475663661957,1
11907,fail,-0.39872214645147325,40
19589,infraction,-0.39213796456654865,1
4933,overrated,-0.38985962527138845,21
12354,cheated,-0.3877484401067098,3
20442,amend,-0.38358426094055176,3
7680,apologetic,-0.38264459597341943,33
7610,ruined,-0.3791859246589042,37
4775,ordinary,-0.37755608558654785,9
22165,democrat,-0.37366849184036255,3
8365,ill,-0.37143276631832123,24
9020,limp,-0.3687117099761963,3
16319,marsala,-0.36538922786712646,8
10158,contempt,-0.3647322654724121,1
10051,composure,-0.36070704460144043,1
8685,depressed,-0.35969098409016925,3
6686,savagely,-0.3535799980163574,4
11410,belong,-0.3534262577692668,6
8936,stinks,-0.35139211018880206,3
22167,bashing,-0.3505043089389801,3
20661,gag,-0.3493911425272624,3
17239,actors,-0.3386712074279785,1
6513,miserable,-0.33806731303532916,12
17035,pristine,-0.33543598651885986,6
11137,pricy,-0.33322422752777736,15
16682,uppity,-0.3294234201312065,3
12904,asshole,-0.3290901184082031,2
7769,shitty,-0.32612827845982145,21
12620,specifics,-0.3224529981613159,5
5350,acceptable,-0.31804529825846356,39
1773,dated,-0.3169404963652293,12
14173,favorable,-0.3166630268096924,2
5128,pause,-0.313261479139328,2
14560,robbery,-0.3111621141433716,4
1744,descriptive,-0.30948013067245483,2
191,horrible,-0.3086510192868965,448
16232,perception,-0.3081929683685303,2
22064,messiest,-0.3059172034263611,3
6741,ovens,-0.3053847551345825,8
13237,consumption,-0.304978609085083,1
2947,unacceptable,-0.30325323182183345,37
5459,abandoning,-0.3013267517089844,1
4374,upset,-0.2999493619228931,47
4543,disappointment,-0.29911004595395896,119
19036,immature,-0.29879701137542725,2
5634,talent,-0.29761884212493894,10
