,Word,Value,Freq
10807,speechless,-1.5326188504695892,2
19408,override,-1.5082790851593018,1
10188,nothin,-1.2965056896209717,1
15237,vexed,-1.0497486591339111,1
20688,sickest,-1.0214929580688477,1
12841,abandoned,-0.9866065979003906,2
8759,degraded,-0.9709651470184326,1
18623,sarde,-0.9382519721984863,1
3662,declining,-0.9331622123718262,1
17408,underrated,-0.9064997434616089,1
15901,slamming,-0.9027503728866577,2
2651,mismatched,-0.799084484577179,2
18635,rigid,-0.7613482475280762,1
11183,halted,-0.7317972183227539,1
18951,jostling,-0.7081396579742432,1
15456,tentative,-0.6803312301635742,2
19050,asshole,-0.6755919456481934,1
14618,contempt,-0.66538405418396,1
21082,moleskines,-0.6206569671630859,1
4606,disregard,-0.6147959232330322,2
13014,short-,-0.6071609258651733,1
10515,organised,-0.5543599128723145,1
15461,unreliable,-0.5481578707695007,2
4025,destruction,-0.5410556793212891,1
18205,inherently,-0.5197625160217285,1
3656,downfall,-0.5008888125419617,10
7373,slowest,-0.49593772292137145,5
12746,failure,-0.4911932547887166,3
11149,footwear,-0.4904211759567261,2
7432,taints,-0.48219263553619385,1
18054,mishtuh,-0.47972559928894043,1
22149,vaping,-0.4770209789276123,1
22256,futile,-0.4746129512786865,1
13141,tirade,-0.4627125859260559,1
21577,withdrew,-0.45308995246887207,1
4612,infact,-0.43539881706237793,1
4099,musty,-0.43388932943344116,1
13102,sewer,-0.41632771492004395,1
6500,unfortunate,-0.41040437420209247,12
19757,accosted,-0.4062344233194987,1
16762,vile,-0.40441203117370605,1
16026,payouts,-0.39788949489593506,2
15241,cup(s,-0.3933655023574829,1
19752,tragic,-0.39323973655700684,1
14671,jamal,-0.39090585708618164,1
20957,messiest,-0.38983917236328125,1
11973,fabricated,-0.38913488388061523,1
18439,proce,-0.38605618476867676,1
15874,upsetting,-0.3816869954268138,3
4785,seamless,-0.3736308415730794,3
1070,vain,-0.36659789085388184,1
13851,deviant,-0.36442625522613525,1
11860,cozied,-0.356273094813029,1
14736,lustre,-0.3550903797149658,1
4855,shitty,-0.3539200226465861,9
16460,hoagies,-0.34650365511576336,1
12991,stripped,-0.3409031629562378,2
9154,inconsistent,-0.3375975319317409,7
10803,eegees,-0.33684412638346356,1
18618,cacophony,-0.3350328803062439,1
685,lacking,-0.33494623452425004,40
16677,campers,-0.33357977867126465,1
5771,odds,-0.33148010571797687,3
18185,bolted,-0.32799339294433594,1
13639,pooled,-0.32407193382581073,3
22124,fragments,-0.3227248191833496,1
5492,pathetic,-0.3199905582836696,7
17975,unlikely,-0.31707534193992615,2
14442,gentrification,-0.3169616063435872,1
13135,shreaded,-0.30878448486328125,1
20187,strongest,-0.30824708938598633,2
19709,climber,-0.3069949150085449,1
9400,uneventful,-0.3056234121322632,1
2787,coarse,-0.3042106628417969,1
4777,assholes,-0.30386263132095337,1
20789,deliicious,-0.3007853825887044,1
10499,ruins,-0.29722360769907635,3
5550,miserable,-0.2899894714355469,4
14389,yikes,-0.28905269503593445,4
14775,cachet,-0.2863171100616455,1
6545,intentions,-0.28017616271972656,1
10877,brainer,-0.2793061137199402,2
16374,scoffed,-0.2785353660583496,2
8043,observed,-0.27663516998291016,1
16106,nauseating,-0.27642571926116943,1
11172,crapload,-0.27492237091064453,1
20220,confronting,-0.2741243839263916,1
8030,distinctions,-0.2723524570465088,1
6590,mis,-0.269504189491272,2
8364,irreparable,-0.26731204986572266,1
21616,cheesiest,-0.26571162541707355,1
17206,sleeze,-0.2650568087895711,1
17945,vomiting,-0.26432085037231445,1
5956,weak,-0.26402331315554106,13
18165,commit,-0.2638826370239258,1
15325,feathers,-0.2583789825439453,1
15436,slipping,-0.25135695934295654,2
15312,professioanlly,-0.2510845184326172,1
22049,dock,-0.24918556213378906,1
17036,bumping,-0.24817359447479248,1
18710,distasteful,-0.24533462524414062,1
1776,tattered,-0.24521970748901367,1
8906,dwindled,-0.23857410748799643,1
14167,averagely,-0.23664045333862305,1
15059,fatigue,-0.2342681884765625,1
17479,stupendous,-0.23260498046875,1
15039,masked,-0.2320263385772705,1
9350,subdued,-0.2312474250793457,1
7986,inferior,-0.22711853186289468,3
16610,robbery,-0.2267470359802246,1
10201,junk,-0.22469475865364075,4
19345,antsy,-0.2243715524673462,1
20321,horrified,-0.22310805320739746,1
9934,repetition,-0.22194671630859375,1
10821,slogan,-0.22069597244262695,1
17562,indicates,-0.21952706575393677,2
16402,freeze,-0.21883153915405273,1
14176,crutial,-0.2174860636393229,1
18585,absurd,-0.21585190296173096,2
14111,staggeringly,-0.21521532535552979,1
486,terrible,-0.2133398509794666,155
13040,muddy,-0.21244458357493082,3
1420,bland,-0.21133839804679155,128
13301,smacked,-0.209700345993042,1
21340,mulitple,-0.2073636849721273,1
4582,blows,-0.20633528232574463,5
14757,erratic,-0.20612168312072754,1
16347,option-,-0.2059478759765625,1
22148,shudder,-0.20493626594543457,1
19744,arid,-0.20485305786132812,1
4740,deelish,-0.2024397850036621,2
18230,cords,-0.201613187789917,1
12105,nonexistent,-0.20136940479278564,2
12418,wasteful,-0.20118431250254312,3
16944,ejected,-0.19919323921203613,1
3085,worst,-0.19788279794376984,169
21137,-awful,-0.19659149646759033,1
7696,acceptable,-0.19533223286271095,16
21323,shmooze,-0.19518184661865234,1
10850,zest,-0.19467604160308838,1
13191,mounds,-0.19152307510375977,1
10786,considers,-0.19021368026733398,1
4685,paled,-0.1887681484222412,1
4469,une,-0.1879675885041555,6
16668,outting,-0.18676209449768066,1
7789,flirt,-0.1862991452217102,2
5907,rustic,-0.18620544130151923,11
9297,prohibition,-0.1844571828842163,2
8024,vapiano,-0.18342159191767374,4
16782,pregnate,-0.18234634399414062,1
18915,complentary,-0.18195676803588867,1
19780,pummel,-0.17928534746170044,1
1539,sparse,-0.1772005796432495,10
18673,freakishly,-0.17678940296173096,1
6332,lacked,-0.17661665301573903,19
2018,neither,-0.17660077512264252,20
2291,coincidentally,-0.17642617225646973,1
8120,tastiness,-0.1762817700703939,2
7278,loose,-0.17625675882611955,7
15633,hinder,-0.17625117301940918,1
11586,thorns,-0.17607569694519043,1
14161,slop,-0.17552947998046875,2
12281,compatible,-0.17325258255004883,1
5620,courtious,-0.17270159721374512,1
6744,pricy,-0.1695559604300393,18
17188,proven,-0.1695251762866974,4
1925,deteriorated,-0.16925201813379923,3
16768,examples,-0.16909098625183105,2
12730,deserted,-0.16863254308700562,5
10766,unwind,-0.16807250181833902,3
9558,relaxation,-0.16712681452433267,6
16091,hotties,-0.16684401035308838,1
10957,applaud,-0.1667318344116211,1
7511,"""odd",-0.16553568840026855,1
21109,justified,-0.16549348831176758,1
11424,withholding,-0.1648244857788086,1
20893,crudités,-0.16259443759918213,1
17950,blur,-0.16111421585083008,2
16060,addible,-0.1607956886291504,1
2400,poor,-0.1594955510688278,106
6770,zero,-0.15902354436762192,34
9499,pathetically,-0.15853428840637207,1
14454,growling,-0.1585075855255127,1
10349,reused,-0.1578284502029419,2
10973,struggling,-0.1573812484741211,5
16334,forgettable,-0.15728610754013062,2
10928,intentional,-0.1569664478302002,1
10844,sensations,-0.15694427490234375,1
16865,descriptive,-0.15686142444610596,2
19753,literature,-0.1568148136138916,1
3701,poorly,-0.1567296494137157,22
18317,marriage,-0.1558361053466797,1
5644,frustrating,-0.1547678808371226,18
11150,twisted,-0.15452067057291666,3
11208,ht,-0.15429216623306274,1
543,horrible,-0.15347818614674263,147
2700,refuses,-0.1532377004623413,2
13059,stair,-0.15229716897010803,2
15324,peacock,-0.15211009979248047,1
10962,struggled,-0.15094292163848877,2
7738,sank,-0.1506003737449646,2
13520,tièdes,-0.15004992485046387,1
12987,soulless,-0.14994245767593384,1
8348,disliked,-0.14938437938690186,2
10491,wasgood,-0.1492915153503418,1
666,hated,-0.14897465705871582,9
8096,fought,-0.1486036777496338,3
1080,garbage,-0.1483710077073839,18
12243,decatur,-0.14775323867797852,1
9778,dump,-0.14768101572990416,10
8146,desanto,-0.14636611938476562,1
21979,626,-0.14580023288726807,1
