,Word,Value,Freq
2587,nightmare,-2.91151734308102,3
16306,pathetic,-2.0259312928696183,3
12576,unacceptable,-1.6314757594659965,17
15869,offensive,-1.3866747134511812,12
5461,cheated,-1.374337223566251,8
16846,deleted,-1.2918259859678174,8
9578,justice,-1.2813965214896537,7
14777,dumb,-1.274797558569964,6
7143,ruins,-1.0760143137795934,15
8672,prey,-0.8639389379187562,8
10633,gag,-0.8496855262326689,7
16979,shameful,-0.8056079187741491,5
7237,irritating,-0.7450165217519923,18
4524,=(,-0.7242513007686368,18
16117,repulsive,-0.6909362615574091,5
2667,steve,-0.6860918571090737,3
11191,small!!!the,-0.6483406083359532,6
544,disappointing,-0.609016100973232,202
3408,misleading,-0.6068839766449106,56
12632,ruined,-0.6009810614384442,23
20537,/>oddly,-0.5885823790184089,5
1386,nevertheless,-0.5844085104772683,12
568,disappointed,-0.5510533949879578,651
5604,lacks,-0.5309824910731504,52
3696,failed,-0.5303324779152729,21
14266,marginal,-0.5246107222953335,2
13267,cheaply,-0.5221329253223922,6
20080,"horrible""",-0.5133953607045559,6
4158,frightening,-0.5108160730572839,9
15303,holy,-0.5043713637676577,4
4941,unclear,-0.4933384589409724,4
10556,1.78,-0.47446673925208255,4
7366,grossly,-0.4744432472024829,1
7502,evidently,-0.4717629953537533,9
517,poorly,-0.4706988933946129,32
3568,burned,-0.4706336019094709,29
2553,ill,-0.47012037838850335,44
5542,confusing,-0.4691632879681321,21
2268,weak,-0.4643984094133091,378
7194,mister,-0.4578082374819454,2
13582,so.there,-0.4532499724685195,4
16948,/>horrible,-0.4522882445064287,5
11138,:-(,-0.4511127231226562,14
17317,sentence,-0.4221056380244689,1
19626,alters,-0.419454758563222,1
2231,disappointment,-0.41820430049668367,147
1461,terrible,-0.41794978080061895,261
18750,unpopular,-0.4127155425389441,6
3678,awful,-0.4062202915942763,268
1800,worst,-0.4032361944807994,300
12399,wrinkled,-0.39841703960347696,13
16220,executed,-0.39608886431936097,3
7180,annoying,-0.3948555707382115,39
14345,disliked,-0.3723325422953805,9
5047,horrible,-0.36715359526113217,271
9253,worthless,-0.3605612096209134,26
12054,announcement,-0.3502660387323038,1
5017,stinks,-0.3478916193942079,8
1618,spoil,-0.3446139851555492,9
903,messy,-0.33808292526927236,52
4846,missed,-0.33743501496416084,43
7442,damaged.<br,-0.334466446624321,8
2897,impress,-0.33030145284656925,27
9595,rash,-0.3293994745739678,14
5695,ohio,-0.32404342556087107,1
6695,.47,-0.32230725490672096,1
3651,bland,-0.31993652536707784,176
20044,o_o,-0.317247773583494,5
14860,resent,-0.3163164261056329,4
4820,nasty,-0.31545929911599985,217
16848,15.06,-0.31222759311521825,7
3704,tasteless,-0.31094509299339157,107
8585,sourness,-0.3101303871568498,4
9112,syrup???<br,-0.30632217201285855,6
11137,disputed,-0.3017763999766065,1
14624,destroy,-0.30032360222783727,6
3946,damage,-0.29911224794610625,53
4298,powdery,-0.29734081713066063,39
9583,wan,-0.29727295779707535,10
3167,poor,-0.29612019853713367,127
16850,ever!!!!!_totally,-0.2959027513418331,7
16571,deceiving,-0.2946715933719499,4
4100,gross,-0.287386250844145,89
16324,wholly,-0.28602031390981303,6
2546,ridiculous,-0.2839145417820851,71
9026,damning,-0.28271325767592276,4
2589,vomit,-0.28068102246487237,68
3561,boring,-0.2752529970663284,21
18115,sours,-0.27495280942202927,1
4890,clears,-0.27328181546883323,1
13128,spotless,-0.27154642484823854,1
3815,inferior,-0.27140752502051724,23
4007,rip,-0.26629110835013964,73
16310,hawt,-0.2623361823873655,3
11402,poppers,-0.25382705085574536,5
8259,disgusted,-0.25101852426986654,25
10879,/>n.y.,-0.2506698259984426,4
7378,yep,-0.24873141477574123,4
7279,triffle,-0.24768158347384928,1
13737,frustration,-0.24758568658699331,9
5384,warning,-0.24673620505676103,45
20574,defintely,-0.24594610920964977,6
3423,mild.<br,-0.2456815176861678,1
3776,watery,-0.24482824835372924,113
5707,torched,-0.24427712373337904,5
6926,dead,-0.24130779045054984,64
2062,fault,-0.2378845467739678,25
14534,"awful,",-0.23439038933634948,6
2042,yuck,-0.23438879800775725,78
5980,projectile,-0.23390943735597788,3
2779,unpleasant,-0.23107947895787675,75
10554,occuring,-0.22932078344710133,14
13175,mining,-0.22831036828424517,1
11578,yellowish,-0.22770493060268873,5
5974,uploaded,-0.22706641039326958,1
13265,/>too,-0.22644245261649054,4
7965,o.k,-0.22355956854929893,9
16749,/>#very,-0.22118970668299853,11
396,aggressive,-0.22114396016008123,6
1927,however.<br,-0.2208772036817337,1
20117,doses,-0.2201520846788509,7
11990,"jan.06,05",-0.2192094067128548,4
3067,understand,-0.21867257883856328,99
9009,dying,-0.21690283812407285,27
12381,/>terrible,-0.21568251874939592,4
9593,necessarily,-0.21408772291137823,10
12916,discarded,-0.21292123764458912,6
19864,spiteful,-0.21169284158147814,5
2575,blah,-0.21147967380095167,52
19059,home-,-0.21042644965369806,1
11401,scorched,-0.2076076505162484,8
12104,ea,-0.20746738168505638,5
11858,prolonged,-0.20625984400592787,8
1472,unfortunately,-0.2058631983700915,279
19532,3.3-ounce,-0.20583494522829068,4
1690,farts,-0.20357535993652479,7
1145,bitter,-0.20129288123645833,492
511,upset,-0.2010663626071615,33
9707,ghastly,-0.2002664455093555,3
10931,defective,-0.19752548209826154,40
8086,11.00,-0.19520565672529736,3
16907,giood,-0.19393598252540434,1
10429,receiver,-0.1939355302136141,1
16557,miserable,-0.19388821926112512,7
17653,varity,-0.19368553078846784,1
561,inconvenient,-0.1931761993844081,7
15856,forbidden,-0.1931549376985192,1
4304,neither,-0.1930903998417871,58
14693,goood,-0.19200232317795218,1
7756,nausea,-0.191911546305466,8
12900,however-,-0.1909971145278275,1
5408,13.00,-0.19096078255099094,6
6669,shocked,-0.1904590678060764,34
18279,unimpressive,-0.1901830449425154,8
5989,conclusion,-0.18974899965420097,15
6190,traits,-0.18902485380053793,3
1646,fake,-0.18865546490567034,66
19076,unethical,-0.18865271455207955,5
18074,what?!?).<br,-0.1875666329142439,1
17895,outcomes,-0.18738534224050904,7
15478,prompty,-0.18734774764319106,1
15002,salty!!!<br,-0.18717530258516427,3
20221,rant,-0.187015384983874,7
10503,hurts,-0.1867222680345006,9
13524,scattered,-0.18638505672844807,9
7481,tolerant,-0.18461898820162576,7
531,technical,-0.18386540161205728,2
13338,paranoid,-0.18382715624069268,15
2348,dreadful,-0.18247875514104175,6
4788,.......,-0.18225641858824634,12
11409,weak.<br,-0.18151065662356708,4
6465,crushed,-0.18105990721933168,29
10639,hi,-0.17973177386353878,13
4796,shipments,-0.17921298994920845,23
9753,bleh,-0.17901401815670456,5
1603,skip,-0.17877483372591518,39
8307,yucky,-0.1782736845203029,39
14578,drier,-0.17793166248248454,17
6377,frustrating,-0.17792585151166854,3
194,hated,-0.1777782354854816,65
12343,obligated,-0.17721138208843804,10
8878,realizing,-0.17597857141659326,30
8530,futher,-0.17587899675523788,1
1192,drugs,-0.1756023063411686,13
10064,incident,-0.17521637458599434,3
19011,vials,-0.17438607102584147,8
3584,hesitate,-0.1743464289799067,27
2367,leak,-0.17352377552099055,38
9148,marked,-0.17288238127812372,20
1951,warned,-0.17251005883659543,33
10451,delieved,-0.17148086934098536,1
11315,misprint,-0.17135263569835935,11
16885,neater,-0.17067678016518417,1
1820,trap,-0.170328737504817,14
5999,shoulda,-0.17028466238973683,6
17212,;-d,-0.17003011530494025,1
20536,fizzier,-0.16978899103726952,4
12390,reaction!<br,-0.16911140842428288,7
11663,disaster,-0.16905962002754957,6
11492,pliers,-0.1676820612319256,7
10934,badly,-0.16738969759889574,42
4657,yuk,-0.1659641861191421,19
18509,stinks.<br,-0.1658062141589812,1
17148,gravel,-0.1657212045716656,14
16522,stregnth,-0.1650072677855423,1
7408,ugh,-0.16457685664746788,38
4175,hates,-0.16451388057983005,22
3001,acidic,-0.1639492475689927,40
10461,miracles,-0.1631099099660975,6
16359,odering,-0.16165043386493919,7
16325,inadequate,-0.16160794292923567,12
15043,daunting,-0.1613012436239163,1
6285,disgusting,-0.1610581299542074,60
19501,uniformly,-0.16065916119008816,1
3041,worse,-0.16062986025323173,147
4966,stuck,-0.160109934139244,168
20967,disappointing.<br,-0.16008138148057763,6
15047,sufferer,-0.15917124210217137,8
17053,prepaired,-0.15873058229200065,7
2320,136,-0.1586378273334875,7
8011,shudder,-0.15812133116252228,14
18757,juvenile,-0.15779324000208472,1
19533,3)</a>.,-0.15774826059605246,4
11801,divulged,-0.15774228942547572,6
15035,advertised.<br,-0.15612593657750942,1
4063,coffiee,-0.1560474653418357,1
16398,meshing,-0.15525109191812528,4
13755,nurture,-0.1549304362179678,6
6117,moldy,-0.1548263669030728,58
2986,stale,-0.15477139615682267,208
4781,carabou,-0.1543322529446078,3
16215,useless.<br,-0.15431852493849854,7
2245,accident,-0.15383435928899472,14
15952,slop,-0.15376589719353262,5
529,bad,-0.15371991781538547,1118
4677,downright,-0.15343835901324265,8
6113,mold,-0.15180660554486106,58
20301,hav,-0.1511296269410241,1
11518,coastarican,-0.1499806995286129,1
16884,misnamed,-0.14997473999772482,8
15895,boo,-0.14936628115544304,16
15550,mr.,-0.14925526356110816,13
1302,greasy,-0.1490977299761143,66
12631,"fine,<br",-0.1490886266930527,6
10718,meatloaf,-0.14890775488235178,1
12326,45.44,-0.14880715709508682,1
19458,gooy,-0.1486701586463342,4
14659,pant,-0.1478422100683084,7
8566,planting,-0.14774065487119756,6
3810,harder,-0.14666151431330188,43
16724,celophane,-0.14655540134321687,1
9971,"again,<br",-0.1460341756736957,4
8847,toll,-0.14564809261065118,15
5555,practically,-0.14519914329789912,22
9403,calculating,-0.14512813563779375,1
7851,sinful,-0.14496462470789603,2
19219,-3,-0.1444059002589989,4
20728,hysterical,-0.1442306408646803,1
15264,empty-,-0.14260370214068063,5
1209,blown,-0.14202248458601271,18
6591,pricing,-0.14195392638829174,35
9108,sweetners.<br,-0.1419526172999433,4
18123,sssooooo,-0.14161717231939963,1
6355,spit,-0.14154143362122493,43
3306,cringed,-0.14148686641874988,7
16975,/>why,-0.14017478049020465,1
17843,lethal,-0.1397979363518447,6
17905,airbrushed,-0.13944049461572447,1
20675,runts,-0.13916678759385678,16
12703,ceramic,-0.13913079564977587,6
10863,bait,-0.13899550424698698,15
1154,purposes,-0.13834724327617218,38
20906,/>seem,-0.1376780024902522,1
14522,zapp,-0.1376574824328507,4
5753,ranks,-0.13733105824640884,10
11835,35-pack,-0.1372528213283759,2
14891,"people,<br",-0.13721424546241484,5
14350,variance,-0.1370054052158188,11
17523,unofficial,-0.13499593627610862,7
1330,unfortnately,-0.13467080834876516,5
10291,sinuses,-0.1346232983162339,6
20777,her.<br,-0.13451094836962257,1
18701,subsided,-0.13438013956872052,3
10605,fired,-0.13420022332719625,18
2269,subsitute,-0.13397402370252628,1
10413,angry,-0.13394998510098113,24
6260,blame,-0.13346761046783231,20
4633,disbelief,-0.13338719204792593,7
6816,subjective,-0.1333134740187145,32
11318,5.00,-0.13324268330271016,9
16938,varied,-0.1331758574486433,8
1195,conventionally,-0.1328326490327405,5
20917,malfunction,-0.13253687651496532,9
19078,/>few,-0.13239259258898686,5
17990,distorted,-0.13225820053797982,5
2539,pass,-0.1322191582383989,89
5972,happening,-0.1320000930115459,9
8558,g.sheph,-0.13192979802620222,3
14060,addendum,-0.13114008415289968,4
3002,hawaiian,-0.13109611294340792,33
2404,flat.<br,-0.1310835786877151,1
16987,soaps,-0.1308711280373522,10
7172,build,-0.13064543897326708,12
11497,sinue,-0.13063885274690945,6
1333,rock,-0.1303710663233785,55
15386,bizarre,-0.13020348179266697,1
9379,11/2,-0.130035919819803,4
8942,organization,-0.12955236534786976,7
3178,shelly,-0.12953191203378442,1
7167,month.<br,-0.12950676445285922,2
11189,/>tastes,-0.12930811869550604,7
3841,dislike,-0.1292085499184078,31
264,wrong,-0.1290546686163188,260
13266,micmate,-0.129024501173607,12
19043,irradiated,-0.1289817951625634,8
178,not,-0.128940642037408,9523
12923,annoyed,-0.12878258332399725,9
14548,excelent,-0.12864284751960475,1
13317,avatar,-0.12804734858845102,1
12074,recomment,-0.12765599862436947,8
9008,veterinarians,-0.1268558834448019,6
15415,profusly,-0.12656915453556034,4
3816,muddy,-0.12640738731833218,20
18532,tblsp,-0.12637162004999722,8
11736,streaked,-0.1261319454142154,3
18054,latter,-0.1259005666424744,5
9429,olvatine,-0.12533064651669906,4
16201,/>watery,-0.12526906744674396,5
3204,negative,-0.12461436395537931,73
11860,debate,-0.12458926978292606,8
3923,dissapointed,-0.12457646473285189,45
4589,jane,-0.12454362062593677,1
11141,substitution,-0.12443412276969991,17
9141,escapes,-0.12419419128859246,26
16313,fumes,-0.12412933922991039,1
16411,17.99,-0.12398829052241939,9
6925,claiming,-0.12378667583914733,25
17498,lied,-0.12366196431118853,9
10277,mounted,-0.12354987187918262,1
11046,amiss,-0.12345734755487299,7
2684,/>side,-0.12333255139175636,5
11308,vitalabs,-0.12300823238288235,1
9289,sandwitches,-0.12245627330289172,1
7369,planted,-0.12209792515483642,15
7866,stitch,-0.12203629757413181,7
12079,negated,-0.12157065303630407,2
2326,11.33,-0.1214804863234468,7
19788,almsot,-0.12096357344068347,1
5540,textured,-0.12088705874692389,9
7531,thawing,-0.12021149072449422,2
8879,hesitant,-0.12009078250681345,21
16710,wheats,-0.11986126936129315,1
6446,premise,-0.11952232376974778,1
2743,shame,-0.11938516148475771,81
2552,ashamed,-0.11925246331133829,5
19876,band.<br,-0.11912078514785479,1
13107,wakeup,-0.11899342958990583,2
1650,waste,-0.11873046044696951,336
4258,discontinue,-0.11872940135500851,14
14634,funds,-0.11852481840511381,9
20848,ripple,-0.11821953799166796,1
7413,wolfy,-0.11814978431889701,14
3353,flaw,-0.11805248612611849,8
9860,bid,-0.11780394609979032,1
7124,/>strangely,-0.11720415602865307,4
17542,kernal,-0.116833642212271,1
159,flynn,-0.11653210301402894,1
2038,tore,-0.11613789130327215,15
20288,superceded,-0.11589825370931583,1
14526,spiced,-0.11539397516061214,13
9426,blanched,-0.1150220828022214,4
1938,sorry,-0.11469149637550477,150
17835,awakened,-0.11463163207056802,6
13946,obnoxiously,-0.11458588313766999,2
9632,and1/2,-0.11456251951901347,1
6488,expiring,-0.11437496971438595,2
18225,unenjoyable.<br,-0.11434464491707273,2
13248,/>where,-0.11417345394094011,4
16308,da,-0.11411714047056136,14
15728,argh,-0.11382230132966524,5
13446,overtime,-0.11348978389402414,1
17231,offically,-0.11347216322136472,1
3277,respond,-0.11346441523768934,15
7173,damaging,-0.11319916578097927,9
4275,hardened,-0.11297616621449515,7
18003,wk,-0.11295633758932515,2
12257,14.80,-0.11280856776821413,4
5141,walked,-0.11277477618174218,25
2061,lousy,-0.11267912693370503,30
18780,yuck.<br,-0.11262957238976001,5
10555,manufactures,-0.11237725906080197,22
17565,dughter,-0.11230525582136093,1
17281,anthony,-0.11210544656947295,7
9254,wtf,-0.11184628137646549,14
261,salty,-0.11183003647409033,397
19567,fixx,-0.11127281081478498,1
11452,confused-,-0.11126540006865959,3
7987,chow,-0.11124216098138835,8
4104,hmmmm,-0.11109269305990954,2
199,refunded,-0.11084306903010677,40
15683,11.3,-0.11065115905563101,8
20175,definate,-0.11063198803254523,1
7856,pocus,-0.11058649645967346,2
4154,mrs.,-0.11044690391170504,23
4393,laying,-0.11024552327348841,13
18426,horrifying,-0.11014590604492713,7
14172,kobe,-0.1101382512178416,4
17298,believers,-0.11007906541499482,5
9582,rotate,-0.10997093997541903,13
20665,gfcfefsf,-0.10952333722542788,1
18579,wastes,-0.10930333599343242,5
16923,inced,-0.10929278243526103,1
17821,incorrectly,-0.10925431322762191,10
3483,mistake,-0.1092279608426459,128
1934,stopped,-0.10905938547767349,160
15340,ebay,-0.10896778314811079,2
2784,doubt,-0.10878622324138022,78
9500,spiked,-0.10875213855485999,2
3900,emailed,-0.10864522810437405,18
9701,gagging,-0.10856656089166856,8
18068,relating,-0.10829159850511716,1
17102,loosened,-0.108163109979382,2
10661,eligible,-0.10787815637515948,20
10417,indicator,-0.107749649477224,6
10022,enljoy,-0.10771995568091423,1
9020,false,-0.10767338633232078,28
8420,tapenade,-0.10727997202013277,1
11444,overflow,-0.10708327711499833,14
16561,g)</a,-0.10705065985481936,1
19439,sheep,-0.10703260880890442,1
11697,online.<br,-0.10666467083576847,3
6185,rinds.<br,-0.10665614067027869,12
6688,crappy,-0.10660761793912864,18
16862,pia,-0.10632638086349944,3
10263,persian,-0.1062843995075479,11
5383,unfair,-0.10616759189754822,4
4735,interest,-0.10615027206491445,48
7125,receives,-0.1060740092242839,8
2107,regreted,-0.10593087384913924,8
14267,conversion,-0.10572078632832631,2
4609,akin,-0.10524416341507827,35
1535,mess,-0.10493972999684212,173
7149,endorse,-0.10486554708477351,9
1583,ai,-0.10469004225201438,8
20684,mintiness,-0.10465642298628247,4
3095,resort,-0.10455082607999805,18
7095,unsatisfactory,-0.1045340336002309,5
5038,hassle,-0.10451844724662637,32
14946,3lbs,-0.1044189212142781,1
4392,figs,-0.10441029341824665,12
