,Word,Value,Freq
14675,destroy,-1.934435520073819,6
16921,deleted,-1.7274907968073676,8
16383,pathetic,-1.459531751294825,3
12686,ruined,-1.3177200321679272,23
17051,shameful,-0.9380105538455819,5
17588,unofficial,-0.9028635053963496,7
15946,offensive,-0.7354836588289594,12
19487,newt,-0.7182159812611011,1
13633,so.there,-0.685745756232873,4
21160,bomb.<br,-0.6709367828969413,1
10890,freaking,-0.6668232543782002,4
568,disappointed,-0.6616832762863558,651
2277,subsitute,-0.6138566846438845,1
17101,unfortunately.<br,-0.5989056013616989,5
1633,spoil,-0.5518318665124231,9
15445,nough,-0.5434683818951849,1
19107,irradiated,-0.5287443466616089,8
4970,unclear,-0.5255370688885832,4
7260,irritating,-0.5166161644151537,18
8576,futher,-0.5068838225746597,1
3795,watery,-0.5065929356092587,113
5629,lacks,-0.49605771520817066,52
19546,obnoxious,-0.49288601880473043,1
16958,producers,-0.49266220603525535,13
9622,wan,-0.4925924336855652,10
17195,consistantly,-0.48184056801869946,1
10679,gag,-0.478217891676541,7
18938,itchy,-0.47682952387484345,1
14251,hh,-0.4767542063331991,2
9696,incurred,-0.4739603746846859,1
2597,nightmare,-0.4654708350845749,3
3697,awful,-0.4651786834313098,268
9292,worthless,-0.4552234569995743,26
17715,relate,-0.45356836759664193,3
8954,responsibily,-0.4504208054544354,1
13598,deceitful,-0.4465079844651516,3
4176,frightening,-0.4411897635348366,9
10327,acknowledged,-0.4355507882281448,6
4103,fragrance,-0.4355205404033383,37
16957,cosco,-0.4306602125883091,1
8478,desirable,-0.42962717216836016,10
5796,crack.<br,-0.4279050841876323,1
8277,tails,-0.4252528206995224,2
19585,invert,-0.4219955770319723,1
8716,prey,-0.4208691381696298,8
7203,annoying,-0.4149587402407295,39
20849,apologized,-0.41383437941852036,1
17182,dies,-0.409201400405384,1
12822,wastefulness.<br,-0.4006907747599402,1
18179,trippy,-0.4001413236965823,1
18695,shoots,-0.3937960168762513,1
7372,sad,-0.39372987802761183,61
5995,happening,-0.3933646375861542,9
5075,horrible,-0.3914627270341074,271
2563,ill,-0.389625748167342,44
17464,tangelos,-0.38930049342355527,1
15993,blowing,-0.38829219126233844,3
517,poorly,-0.38690260115205144,32
13216,swill,-0.38112526368524147,7
14927,overview,-0.37643973339250913,8
9398,rigid,-0.3748869022125727,1
18476,laziness,-0.3732197216484923,1
6029,exceedingly,-0.37223546824857484,2
2239,disappointment,-0.37045096247430953,147
20179,wheatfree,-0.36945164545230785,2
1461,terrible,-0.36822157971386393,276
3769,aim,-0.3672378130212399,1
11713,disaster,-0.36541120985955694,6
17993,craw,-0.36133824019943517,2
4665,disbelief,-0.35707633652839904,7
19075,vials,-0.355527611848071,8
544,disappointing,-0.3553016640284993,208
16647,deceiving,-0.3511875241313798,4
14304,15.95,-0.3471620626023979,1
8111,salivate,-0.3460270215799143,1
1812,worst,-0.3456985480183133,306
5752,stingy,-0.34437382229541125,1
