,Word,Value,Freq
9572,flawed,-3.8114411011797635,19
20648,stink,-3.052497322169719,16
18420,furious,-1.5100737799099533,1
7657,hill!unfortunately,-1.3001563254476125,5
9775,brittle,-1.1343410744846483,2
14331,ouch,-1.1299334107577679,17
16259,frustrating!i,-0.9463057169428087,1
2526,regret,-0.9341696799982004,64
4238,dislike,-0.7345290511232015,44
8561,value!!add,-0.71119887879297,1
2885,quit,-0.5864430633077723,38
7865,compromised,-0.5625112765098892,16
3214,irritating,-0.5433726057922794,58
3474,disappointment,-0.5414750322726068,176
5944,outlandish,-0.5374149842694665,10
1179,inescapable,-0.48703302624917116,1
16874,disruption,-0.4832423976799194,1
13922,macabre,-0.4756640310092218,12
1742,maximus,-0.4631203314796988,1
14027,bx,-0.4301036183781906,3
14670,here.because,-0.41984256649555013,1
4541,lens,-0.4071127804521952,10
15140,downhill,-0.4020881763507601,16
13239,shapestill,-0.4002055091683303,12
2113,lousy,-0.3985876451944479,34
8212,fails,-0.3856760292701311,35
15127,thgomas,-0.371894534534199,1
9900,deplorable,-0.37153689662562356,10
11049,chi,-0.3682699569347801,1
2585,loses,-0.3681716416608176,81
4276,poor,-0.3626417197311521,222
18203,destined,-0.36117750966099404,2
20024,deflates,-0.3591040483677809,13
9081,isn't,-0.3589908934999665,30
8448,dunno,-0.35642759971660215,26
12547,devasted,-0.3468967960489747,14
1525,waste,-0.3468449288553638,527
4322,ruined,-0.34499760446968736,44
7094,rubbish,-0.34430353987807427,19
18614,padre,-0.3398479700617445,1
8850,scam,-0.3243047536062594,31
16347,disgusting,-0.32210787222515336,31
8882,disappointing,-0.3183878727425724,250
10883,annoyed,-0.3179481637723905,18
18267,sane,-0.31731249500329195,1
17146,start).as,-0.309529947022752,1
19706,buses,-0.30777875036077423,2
19115,foul,-0.30100722390522483,9
3498,uninterested,-0.30020270275363004,9
20158,mmm,-0.29856231270470857,1
836,boring,-0.297535242015685,305
6495,download,-0.2965943562064202,15
13931,scaring,-0.29508911128405957,1
12055,intensely,-0.29149453588858826,13
7488,melodies,-0.2914306253887901,13
7779,imitation,-0.28453702534883996,21
21539,cargreat,-0.2843355531761991,1
15501,foceps,-0.2831034807360471,1
20192,unbend,-0.28122200503261974,1
15590,c'mon,-0.2805540663041065,11
2947,tedious,-0.26900882515772967,60
1721,abused,-0.2654983831614492,7
6628,dumb,-0.26238996623088445,35
11883,disaster,-0.26225119957979376,25
8866,wantedto,-0.2518880595628286,6
3976,problem-,-0.24616356007907697,1
1317,poorly,-0.24237107648523426,287
8820,frustrates,-0.2400884478676081,49
6700,upsetting,-0.2376994519661735,2
16754,bd,-0.2350906670382219,1
11221,stinks,-0.23488321252660146,30
12616,bummed,-0.23236599993827878,27
14814,dissatisfied,-0.2303712632158221,17
10650,cringe,-0.22692071151865528,13
11279,remotely,-0.22560772549105726,16
5386,.i,-0.2251309097620595,1
16573,:-(,-0.22298495235079507,13
14228,grass-,-0.22265486888733613,1
14229,chompin,-0.22265486888733613,1
15879,stagger,-0.2221571287058126,1
815,missing,-0.2221137194136776,162
20743,cheap!&#34,-0.21777116410122271,1
7006,wasted,-0.21744185431311538,48
1686,disappointed,-0.21470412620161242,689
13222,dully,-0.2142617350234219,1
9956,struggled,-0.21284586715355067,4
10482,lackluster,-0.2127392747064537,19
13262,unfortunaty,-0.2105218744693902,1
20847,rechargable,-0.20894205716596992,1
18728,landfills,-0.20850944977836466,14
5530,drawbacks,-0.20805307938715403,19
6914,lol-,-0.20660565164686487,1
11089,lacks,-0.2053802385605835,13
4210,robbed,-0.20430766290508254,21
19167,thepound,-0.20154321314298165,1
12032,more!!the,-0.20045564600599186,1
4911,gross,-0.19861067707228985,31
1749,players).so,-0.19835920445813224,1
13863,chronic,-0.19763799754540068,1
1506,useless,-0.19659352769529867,152
9346,4year,-0.19643713662661805,1
11773,garbage!.,-0.19571232066654343,17
17795,rma,-0.19336662237038707,12
19353,spanking,-0.1910161003731844,1
14442,svm,-0.18993374223509654,14
14616,craps,-0.18955836857106353,16
8246,possessed,-0.1895302225964422,13
18067,28.99,-0.18867513857237042,12
3648,overnight,-0.18836712774363704,24
17796,smile.amazon.com,-0.18594544578732083,13
6951,resistance,-0.18340892587176064,61
6127,disappoints,-0.18254262132231347,17
20449,ripoff,-0.17834729374788072,17
11931,snoring,-0.17769685265452678,18
15239,vel,-0.17569735095732741,1
11050,temple,-0.1734762259605827,1
14213,freaky,-0.17286451916493992,28
19533,inputs,-0.17220007005935664,10
19958,chills,-0.17201639396058377,1
14589,dissipate,-0.17189801150035786,11
11694,fellah,-0.17178167630108837,1
5326,narrative,-0.17138412735974698,16
13957,zipped,-0.16832391717276485,1
10543,stuffs,-0.1660838203759974,12
15154,squealing,-0.1655258203240071,1
7365,terribly,-0.16398938303730085,51
19728,list-,-0.16367338558772948,1
7182,negatively,-0.16347332670418965,17
17502,dominos,-0.16261422965613825,1
12033,weaker,-0.16178181687453044,1
6683,pesky,-0.1616239532606123,19
5481,deploy,-0.1608669838113733,15
7237,dizy,-0.15897881928350702,1
12548,..........,-0.15856782712214113,14
15007,getogther,-0.1578391568452723,1
8502,targeted,-0.15730509976897064,17
16958,postive,-0.15717976000064388,15
15774,ouf,-0.15676872175533074,1
14518,luv,-0.1551819717786329,1
2735,extrinsic,-0.154644784989479,14
6698,negatives,-0.15354429763407465,41
1173,eternally,-0.15345142175126925,1
12004,madman,-0.15343024763939475,14
19524,crumbled,-0.15229133510845205,1
8106,creature,-0.15151156318546408,23
8108,intelligence,-0.1493933331777154,32
2884,adapters,-0.14848200361162006,21
7568,secondly,-0.14714687945181026,15
15507,scholastic,-0.145898260670962,1
11195,boys.slow,-0.14565652544567873,1
3479,flowed,-0.1448158665276532,16
12065,labor,-0.14448218096845508,14
9697,imply,-0.14430720637943278,28
13884,aheead,-0.1442093950826934,1
12726,mouthed,-0.14397836727021224,11
13850,differentiation,-0.1437856233011866,13
6634,nightmare,-0.1431623477074157,35
15172,bookshelf,-0.14265617401753355,2
5826,defective,-0.14252917428712292,124
2517,luckily,-0.1422611168671867,67
18035,critisize,-0.14164133669737242,1
15773,madei,-0.1411555632114262,1
16952,chickens,-0.1408505709221558,1
9618,crowded,-0.13967603973614343,14
11930,breathing,-0.1396102970203723,19
8534,misleading,-0.1392861602496381,94
7154,sac,-0.1388707338453123,2
12521,envolved,-0.13883630103129077,1
16888,doest,-0.13876861681502772,9
2083,awful,-0.13861227108267166,104
4542,awaya,-0.13793173605245684,10
11431,delays,-0.13742299038084446,21
3355,flaw,-0.137186731131614,23
11160,flop,-0.13630599382747952,20
8533,"""guess",-0.13614099483518768,17
8002,camera,-0.13607111801289679,22
19141,andtheir,-0.134154734688838,1
16781,buts,-0.13394289871176773,15
13782,mu,-0.1334054567492925,1
15287,qx,-0.13335919944910674,1
2733,intrinsic,-0.1319584942485123,14
13713,alternatives,-0.1317189842226399,12
12376,sploshes,-0.13128994862123006,15
