,Word,Value,Freq
8226,stink,-1.8680859597485049,1
14045,incompatible,-1.2018359608387374,1
11657,inadequate,-0.990353741147256,1
14644,negatively,-0.8372690785892091,2
12607,stunned,-0.7774209730684312,1
19123,decimated,-0.6293687618143932,1
7126,rubbish,-0.6054198011153653,2
7114,discontinued,-0.5771211863273666,2
8432,decreased,-0.5653743169943759,2
13140,hurled,-0.5295217440839399,1
10366,flawed,-0.499857533035077,4
17649,scam,-0.43442824546665504,2
17485,weirdest,-0.42504534299780683,1
2232,dysfunctional,-0.41085243762798174,1
13939,utter,-0.41021025610584705,2
6130,sucks,-0.4077004505122413,7
11527,ditch,-0.3875761505072438,1
17060,waning,-0.3609736632733118,1
18936,hill!unfortunately,-0.3597755249601424,1
16740,ambiguous,-0.34668689525026136,2
9831,fried,-0.34119493775941656,1
3144,disappointing,-0.3390002798393356,30
3263,annoyed,-0.32252966990613596,9
18626,tragic,-0.30123228275273006,1
7228,bummed,-0.2885038611362075,2
6503,worthless,-0.2861547979254027,3
9468,dissatisfied,-0.2798675391448653,2
8809,ruined,-0.27802262400015115,7
4841,awful,-0.270833426519111,20
11635,spoiled,-0.26894147803773105,1
8874,falsely,-0.26870055348566557,2
9983,disagree,-0.2621592818305142,4
13685,problem-,-0.26168142790941806,1
18111,handicapping,-0.2595099278417174,1
11940,upto,-0.2576396592237227,1
577,messed,-0.25629717049304757,7
14356,lousy,-0.24759176666521496,3
572,defective,-0.24698306102942832,14
11336,wanders,-0.24610067462530785,1
3838,disappointment,-0.24400795169437786,30
6938,compromised,-0.22871255870220925,4
17497,deflates,-0.22822420488704334,1
14436,emptied,-0.22730327915778276,2
1072,occuply,-0.2266514548588905,1
8378,heap,-0.2259118132275372,3
14204,mind.should,-0.2219137711654694,1
12304,stupor,-0.21601161308003441,1
2712,poorly,-0.2112331324779235,28
8343,quirkle.--not,-0.20166790330451403,1
18277,lackluster,-0.19568214235173556,2
13311,pup,-0.1946929354563134,1
13946,withing,-0.19403397783968948,1
14003,but:*is,-0.19261924386634074,1
2518,theoretically,-0.18918922791563464,3
3364,waste,-0.1869538481397656,48
4067,weakest,-0.18401041157787637,2
16662,stinks,-0.1727101496783877,4
7113,database,-0.17201130446933566,1
6443,melodies,-0.16733589010582778,1
13973,robbed,-0.16609378773823108,2
17233,ironically,-0.16354979540678236,1
2916,bad2,-0.16280599870853524,1
11496,lagged,-0.16175779045782915,1
11963,whopping,-0.1614741894727707,1
9110,years.-silly,-0.16142295214556926,1
7013,dumb,-0.16099253600268743,13
2222,disappointed,-0.158459898314348,144
9241,uncomfortable,-0.15600423655803863,3
14340,sploshes,-0.15420635884334902,1
8035,criticism,-0.15385532634294755,3
4656,batted,-0.15365359193213746,1
7785,uneven,-0.15174246895256904,5
15115,"this?"".anyways.this",-0.15124523440214854,1
11949,hazardous,-0.14739556156941033,1
8554,pales,-0.1473936116566809,4
6988,useless,-0.14456880615259315,27
17200,acutally,-0.14201312349392647,1
2147,"don""t",-0.14078253947047917,1
6905,shapestill,-0.14045018201174378,1
6999,adhensive,-0.13962815009775537,1
12636,biased,-0.1388804381198682,3
1909,horrible,-0.13527863923794795,29
13676,torture,-0.13286200633833767,3
13341,simulated,-0.1314120467234935,1
14010,disaapointed,-0.12665634144737264,1
11636,rotten,-0.12527622026044352,3
7327,untouched,-0.12492506510974181,3
8142,peeved,-0.12488411787551348,2
17787,marginally,-0.12446764693393758,1
19518,boys.slow,-0.12272540638141961,1
735,unfortunately,-0.12210940395191162,72
18894,flop:-it,-0.12072807913533083,1
20494,landfills,-0.11983995372847672,1
10258,slinkly,-0.1185712864388142,1
20289,deform,-0.11837383704964566,1
6519,sadly,-0.11768282189349578,24
11194,outlandish,-0.117681251209494,3
3926,dull,-0.1171432376050131,12
17061,subjective,-0.11578405812453404,2
4829,bleed,-0.11445412695292642,7
4506,vague,-0.1142891037239989,6
8460,terribly,-0.11333583248996036,13
8012,disupted,-0.11259347239220008,1
17965,disapointment,-0.11224272340416053,1
8138,worst,-0.11137363304896856,16
16183,headache,-0.10775866303598139,2
17024,dc,-0.10741242046017795,1
10561,aversion,-0.10620648063877196,1
5533,apparently).is,-0.10530707971022468,1
18619,isn't,-0.10530654933564215,3
9046,opaque,-0.10530500538421089,1
5842,strange,-0.1043843350601931,13
14550,laudable,-0.10295407576615993,1
11,frustrating,-0.10257929743880556,86
14294,swift,-0.1015596711351115,1
780,barely,-0.10004520744990689,44
10859,3.the,-0.10001840629040658,1
13175,affection,-0.09939946450120785,1
463,struggles,-0.09936386394694786,6
8927,unusable,-0.09920795323686772,6
13557,poorest,-0.09720100010902887,2
1618,painfully,-0.0954416556174383,4
12832,6!!!!!flight,-0.09543285347333476,1
19672,astounded,-0.09536539724792005,1
4076,leak,-0.0943878870395393,8
20442,predicting,-0.0943059812264142,1
4486,haven't,-0.09406754073636905,2
10116,jaw,-0.0938826201850493,2
11324,lingers,-0.09359950121890227,1
13726,it--,-0.0924426621471985,1
8111,topples,-0.09073020727790954,3
17120,like:-it,-0.09060842329181358,1
12625,lenient,-0.09009215558991998,2
1661,regret,-0.0897801353711029,30
13180,urine,-0.08855819901741895,3
19710,jimmy,-0.08828480667957589,1
12249,subtracted,-0.08766529990035139,2
18751,svm,-0.08753312180559601,1
12220,freaky,-0.0873563098737054,2
8893,first!pros:-solid,-0.08686688057252769,1
5825,irritating,-0.08539766545369619,9
16394,use.we,-0.0846515747480207,1
6556,fl,-0.08359618405217305,2
17959,willed,-0.0832655466538493,1
19676,abysmal,-0.0830248777607242,1
9041,slink,-0.08255493537558832,2
9192,redundant,-0.08243201630249423,4
6242,ratings,-0.08210255385717104,4
4199,returned,-0.08179916761189582,33
8126,unsafe,-0.08144811034895304,5
2447,dissapointment,-0.08130981032959601,3
11188,dissappointed,-0.08123191874483354,4
13945,jaws,-0.08101590246151116,2
10367,toppled,-0.08066242861079224,1
4379,madman,-0.07985424799925292,1
9892,artificially,-0.0787712562665612,2
8200,exclusionary,-0.07838260357731375,1
2983,missing,-0.07837046481258125,73
10079,cease,-0.07817862001350377,3
11476,unthinkable,-0.07793691203540644,1
764,zero,-0.07682461550391056,16
18134,flimsy(kept,-0.07610922329535097,1
17985,shelved,-0.07542486979147821,1
18921,made.so,-0.0752734199313123,1
4587,disaster,-0.07522500245256193,6
3123,forced,-0.0748081601574812,8
17849,salvage,-0.07404907841470719,3
4594,lame,-0.07387163803301405,9
2711,junk,-0.07329005710743933,29
13063,followup,-0.07320429804997566,1
6865,preposterous,-0.07317118096931721,1
718,negative,-0.073099704002915,58
7164,dusty,-0.07302295268377804,2
8786,trash,-0.07299001608251807,21
11078,quit,-0.07225884322684181,10
8137,paranoid,-0.07217091319372458,3
1863,worse,-0.07168500250526268,29
11764,sore,-0.07151541306843712,3
11831,redo,-0.07129349564349269,1
1431,firstly,-0.07009316513988446,7
1714,poor,-0.0698182466951287,55
8448,crawls,-0.06973222506145062,4
2230,eggshells,-0.0695776731025287,1
2780,noisey,-0.06885543307759735,2
6131,crappy,-0.06857313875120959,4
15199,frusterated,-0.06831849171349913,1
10257,wtf,-0.06831569858785747,1
18117,int,-0.0682552839735031,1
9264,grammar,-0.06804095020626333,1
8945,duh,-0.06802649248855769,1
6211,mistake,-0.0680239993860659,29
926,bored,-0.06797561837592951,96
13594,burnt,-0.0675592063777788,1
7450,watered,-0.06708108142814387,1
14779,okld,-0.0666775621954198,1
9370,torn,-0.06644468714850003,12
7557,flaws,-0.06629059086367199,11
19112,drawbacks:1,-0.06622761090988794,1
10722,portfolio,-0.06587503085178865,3
7938,nonsensical,-0.06573408868210703,1
17606,sweaty,-0.06549733960431613,1
8249,depictions,-0.06521252436437791,1
15269,oppoent,-0.06492979319667776,1
6778,stupid,-0.06454142110032302,19
11130,flowed,-0.06452825030394926,1
4190,refused,-0.06392017226152427,5
14553,insulting,-0.06376430343559351,2
5446,economical,-0.06335510086410535,3
1025,returning,-0.06328940090035101,18
8668,imitation,-0.06321706034251563,3
7942,creepy,-0.06304635103349236,10
1220,annoying,-0.06262799094655173,110
8211,fails,-0.06231784036536754,15
7532,awkward,-0.06195766920023116,16
12019,sharpened,-0.06172439116018791,1
4102,macabre,-0.06146538012362539,4
7010,sucked,-0.06113519734557125,6
11168,savings,-0.06099710929270687,2
17566,operational,-0.06060234915524115,1
986,boring,-0.060586412045100145,96
12610,plagiarism,-0.06057379615410944,1
15659,toppels,-0.06041752752149232,1
5150,ripped,-0.060377913229432104,8
10326,untangled,-0.060359841929250466,1
7746,bland,-0.060329785741637186,6
18603,maiden,-0.0602522941747416,1
3548,disapointed,-0.060029528706957165,9
15957,prying,-0.05970548436931224,1
19407,creasing,-0.0597012454904246,1
5535,it!save,-0.059113550985281045,1
18047,instuctions,-0.05885389928459558,1
15482,shrank,-0.058543425408941724,1
18439,healer,-0.058354588675561786,1
8640,wantedto,-0.058168692973555716,1
17523,inhaling,-0.05764978057509741,1
11104,completely!the,-0.05748567120945305,1
7162,vauge,-0.05712236918500353,1
17960,unreliable,-0.0569481409531657,1
6135,terrible,-0.056828048271359594,24
17910,lax,-0.05679688343887326,1
4766,abigail,-0.05665741582475453,1
1083,frustrated,-0.05662872463172954,71
8490,unfortunate,-0.05657331392270857,6
13626,horribly,-0.05627141878077887,3
6063,january,-0.055853671258793036,5
12159,goggles,-0.05580283014821422,1
2092,drastically,-0.05571820828557982,4
17543,clicky,-0.05566245579641507,1
7748,17.99,-0.05528008873545592,1
15448,perplexed,-0.055266606803974105,1
4739,shortcomings,-0.05493117620284468,4
18173,stating,-0.05481281278313018,2
14946,auction,-0.054725891898348436,4
9203,inability,-0.05467688357052596,1
11007,do.).the,-0.05438675679744039,1
14879,28lbs,-0.05426446853278034,1
16141,extrinsic,-0.05423244519140956,1
7984,insult,-0.05420983318894295,3
1489,frustrates,-0.054024715798312285,8
17092,tediously,-0.053912758803839535,1
1641,stiff,-0.05387719221938312,14
8672,continuation,-0.05369626738628342,1
8473,utilizing,-0.05333164699216293,4
10031,retired,-0.05332179159776805,5
15116,good-,-0.05313567081800488,1
9547,cares,-0.05295747070511499,5
6441,reverts,-0.05295378205325618,1
981,skewed,-0.052626297261319226,4
19624,shinier,-0.05261864423870982,1
9693,all-,-0.052547492319097354,2
7260,nostalgic,-0.052503419641770216,8
11684,pesky,-0.05242515168941437,3
1302,dust,-0.052336408777109746,22
4671,repetitive,-0.05223706572307305,14
