,Word,Value,Freq
20429,stink,-2.75717980864236,16
10782,annoyed,-2.2176548313644395,18
9504,flawed,-2.2084483911398567,19
4354,ruined,-1.5749614297812329,32
7119,fails,-1.4158817480303414,36
6616,dumb,-1.2537025786414138,34
7346,terribly,-1.2535972106831577,40
7161,negatively,-1.1117404094129,17
9406,heap,-1.0863663021190242,13
16772,disruption,-1.052039251999712,1
7627,hill!unfortunately,-1.0458175422234646,5
20167,handicapping,-0.9935235778859236,11
7835,compromised,-0.9416137174036011,16
13803,differentiation,-0.930381115583133,12
19703,slumped,-0.8847179252465657,1
4240,robbed,-0.8626110853817741,21
3512,disappointment,-0.8601811780004451,177
11749,disaster,-0.8570073855992802,25
10395,lackluster,-0.8410761993317426,19
6442,awkward,-0.8218959670962197,66
18962,foul,-0.7704163996249411,9
5928,outlandish,-0.7664068653911654,10
1712,lack,-0.696488664766008,76
18864,bad2,-0.6948642909013195,16
21200,dissolved,-0.689644680650909,1
14222,ouch,-0.6837416071473507,17
14726,dissatisfied,-0.589160526307646,17
1357,poorly,-0.5872758261001237,274
18884,hastily,-0.5859577693879764,1
2548,regret,-0.5594683592676455,64
8868,disappointing,-0.5594467817594962,249
3263,irritating,-0.5555139502350085,58
8156,forgotten,-0.5422051380334171,17
437,sadly,-0.5173171951588561,181
2127,lousy,-0.5168441103132374,34
806,boring,-0.5069698493224375,296
1726,disappointed,-0.4889461440738706,686
1546,useless,-0.4389719903267543,140
19295,opaque,-0.4341559284227248,11
7069,rubbish,-0.433858172919767,19
3536,uninterested,-0.4191411960763819,9
9825,deplorable,-0.4056645988397973,10
11104,stinks,-0.4053653122543518,30
3404,flaw,-0.39564937594499433,21
1564,waste,-0.3949344475031444,526
8423,ignores,-0.3926739545560219,2
19162,spanking,-0.3903081884845756,1
6108,disappoints,-0.3817004971444102,17
11871,madman,-0.37609569853615193,14
2097,awful,-0.3742571730877234,104
15445,wanders,-0.3632449782159212,17
18070,dizzying,-0.3592063862299247,12
10211,numbing,-0.3566818516474339,23
1376,unfortunately,-0.3537228103013082,246
14521,craps,-0.3526958723638606,16
10543,cringe,-0.34739996918037436,13
2607,loses,-0.3462177033152869,81
12576,discontinued,-0.3430651659244084,4
2063,confusing,-0.32276260675369933,100
3700,dies,-0.31751801102527666,30
9053,isn't,-0.31354582543023457,30
8438,unthinkable,-0.30100354135696566,13
13609,alternatives,-0.29736198029746175,12
4567,lens,-0.2937742633124193,10
13123,shapestill,-0.29064902515771485,12
5589,weak,-0.2895578181910478,59
6966,frantic,-0.2883193722998143,1
15051,downhill,-0.28554202139458984,16
16465,:-(,-0.281601014978981,13
4269,dislike,-0.27802948401803523,42
7484,irritated,-0.27547193591085534,14
2945,quit,-0.27162046309238913,38
1134,frustrating,-0.26813213163034194,413
7823,brutal,-0.2674494002359241,7
18032,apologized,-0.25714179523520514,1
7628,predictable,-0.2564239357408762,46
15039,thgomas,-0.25432371784197655,1
4307,poor,-0.2534345588756016,221
19019,entertrain,-0.2506525069538854,1
17928,chomps,-0.2504894727472364,14
7074,unable,-0.24892521015813285,48
8836,scam,-0.24466596359055118,31
812,nothing,-0.23314901476572658,623
16231,disgusting,-0.23059162231775093,31
9658,appearances,-0.22765803121033393,17
547,complex,-0.22405881458603943,150
18593,landfills,-0.22087947247285517,14
4477,worst,-0.21660895030873387,95
785,missing,-0.21607148345924151,165
3116,hardly,-0.21571368860535464,118
4029,faded,-0.2121825859462489,30
9408,ducked,-0.21166334412968357,12
198,too,-0.20843622264675804,3119
8809,frustrates,-0.20819917920852526,49
16232,dashed,-0.20706896452714024,15
18731,34;cheap&#34,-0.20423709948108637,13
3007,tedious,-0.20152205743803436,60
12415,devasted,-0.1960038694132003,14
1628,trash,-0.19435680000941807,80
8679,negatives,-0.19109552560936627,38
17266,noiseand,-0.1870170256710039,1
8440,dunno,-0.18685940440164078,26
2692,horrible,-0.18676738006622468,184
18309,dad!).sadly,-0.1841003370906957,1
9661,appearance,-0.18364610413043658,22
13898,crushed,-0.1832029592986878,2
16604,diy,-0.18201186699282704,2
