,Word,Value,Freq
14163,incompatible,-1.8039742401476377,1
11997,hazardous,-1.2793082811084429,1
11710,inadequate,-1.0018148415789625,1
18183,handicapping,-0.943928718337114,1
14810,negatively,-0.5385302099713165,2
6965,rubbish,-0.5057025676452523,2
8442,weirdest,-0.4498328573963458,2
19549,spanking,-0.4277632986393787,1
14950,curses,-0.3805488860322089,1
12887,disabled,-0.36851249494168997,1
8159,stink,-0.3582890127508188,1
14514,lousy,-0.342302962029728,2
10340,flawed,-0.3337896230184253,4
8662,compromised,-0.32621862441360916,3
8530,doesnt,-0.3182146148477776,1
11791,moderately,-0.31341109918309495,1
8453,radical,-0.2693241533135975,1
12009,whopping,-0.2570951111210811,1
17140,reg,-0.2385791050970293,1
15932,prying,-0.23268456884115774,1
10812,disagree,-0.23041912130764886,4
1076,overloads,-0.21791464356057957,1
3809,disappointment,-0.21137034722419454,30
2708,poorly,-0.2103462604179705,29
3115,disappointing,-0.20376394250504867,30
594,defective,-0.20091874423547043,15
10285,grossly,-0.19664868561811344,1
6119,sucks,-0.19598433713426067,6
11535,unthinkable,-0.18250140981347646,1
9817,repeats,-0.1761596161189188,2
4353,madman,-0.17605275837184797,1
15412,sunscreen,-0.1755963844078326,1
11279,macabre,-0.16910872295950374,2
6461,worthless,-0.16735685253932178,3
8614,michaels,-0.16046019401225325,1
17659,scam,-0.1600000766857488,2
9498,chaotic,-0.15735750487779207,6
6899,dumb,-0.15479355562961802,15
4050,leak,-0.15233792332060725,7
4678,repetitive,-0.15177376114738675,12
4829,awful,-0.14992295793285468,23
14134,notoriously,-0.14930525709318546,2
19537,zipped,-0.14631070583894512,1
6621,irritated,-0.13378434115612672,3
3235,annoyed,-0.13337531464682037,10
6477,sadly,-0.13089830234779504,26
14326,mind.should,-0.1273066987265352,1
15506,programing,-0.12670650010296394,1
2502,theoretically,-0.12300271170985662,2
17294,chills,-0.12287414345529768,1
11226,outlandish,-0.11961869431372602,3
20232,hometown,-0.119120079486727,1
20231,unbelievable,-0.119120079486727,1
18532,skid,-0.1186194007530873,1
13230,giver,-0.11784473902843623,1
8539,false,-0.11714281938666625,3
8144,fails,-0.11699090508588064,13
20481,predicting,-0.11606658702659955,1
3250,dams,-0.11549191998523045,1
19491,skyrocketed,-0.11448569681622307,1
15196,moneycons,-0.11379358568474662,1
19273,staggered,-0.11085550314726911,1
12425,doesnst,-0.11055174888049543,1
6952,database,-0.10656503368337805,1
8392,terribly,-0.10568818348306953,13
4653,batted,-0.10471266697107012,1
19376,propeler,-0.1022837132928474,1
8486,pales,-0.10209502309937096,3
18057,weakly,-0.10102873954660402,1
19806,bedazzled,-0.10055595321731542,1
11446,horribly,-0.0999611994921411,5
6874,useless,-0.09959545636451031,27
19998,amc,-0.09862203997697178,1
16534,exited,-0.09830037351824546,3
9909,artificially,-0.09700305412805789,2
17857,thatwas,-0.09682091115814062,1
17886,cluttering,-0.09662237133497599,1
8503,razor,-0.0966130324822525,1
8202,washer,-0.0947659467682031,1
14145,excepted,-0.09462623263561971,1
12289,freaky,-0.09419380107665337,2
16097,cleen,-0.09386435222812467,1
15863,thgomas,-0.0936571851870988,1
18770,vac,-0.09349044573535159,1
19661,fischer,-0.09221776366233825,1
9011,lol-,-0.09177039603165382,1
18690,25.00,-0.090853212297838,1
8494,rotted,-0.0900555383977919,1
11749,recipients,-0.08905992001808927,1
18991,momma,-0.08722341428038537,1
14128,sromp,-0.08682237414483271,1
8805,falsely,-0.08667385764673942,2
9197,fluxxpirate,-0.08479309231311405,1
2189,outrageous,-0.08166394937538733,5
2329,hardly,-0.07965166226494734,27
7146,nostalgic,-0.07934976247745862,8
18243,stating,-0.07921515324308007,2
16636,stinks,-0.07914875314017943,5
7216,decidedwe,-0.07795174979138461,1
7371,overprices,-0.07763877001955828,1
7011,vauge,-0.07696406032704034,1
9152,indecision,-0.07677581550796136,1
14142,decribed,-0.07613128302287782,1
10671,expected-,-0.07602442973243295,1
17649,ruckus,-0.0752497848036986,1
11331,mushed,-0.07504020044785387,1
6044,banished,-0.07449879454507319,1
18992,hill!unfortunately,-0.07409479113991595,1
8735,trash,-0.07274030315047691,18
20198,thearkham,-0.07216179560387283,1
12782,robbed,-0.0721219318388888,3
8687,meshing,-0.07181595906639997,1
2146,disappointed,-0.07119654981227778,140
12593,downfall,-0.07086396238547313,5
18940,flop:-it,-0.07076891155433887,1
8964,unplayable!this,-0.0707403083460881,1
15014,scraped,-0.07036038462334349,1
13211,followup,-0.06967496602963175,1
9385,100-piece,-0.06911941545247531,1
