,Word,Value,Freq
9275,lacking,-4.962946150100054,1
12503,skeptical,-3.9422535016026425,1
6799,hacker,-3.9125549958811865,1
6086,termination,-3.751768848617802,1
6652,bruce,-3.73660963312501,1
5725,awful,-3.7119089372810863,1
2881,embarrassing,-3.655242463430549,3
8211,nightmares,-3.63315493948441,1
11134,fools,-3.5888916278878846,1
10903,hepatitis,-3.557206658281461,1
4817,cornered,-3.5325685212106417,1
6654,upset,-3.5183198107849982,1
10100,denies,-3.4521176020304365,1
9140,debated,-3.375859636553943,1
12484,lacked,-3.361025900281722,1
11192,idiots,-3.2020387570063273,1
11058,stalk,-3.171919568568941,1
3540,dreadful,-3.1542549747441497,1
7535,fails,-3.111061536334817,2
1853,suck,-3.108127380741967,3
9992,manipulating,-3.051447405882201,1
10871,dismay,-3.038720320409164,1
9137,nah,-2.95134849101305,1
7410,disrupted,-2.9458399094893655,1
10271,idiot,-2.915044512067522,1
4881,bleak,-2.9127865894293095,4
4818,grimaced,-2.90591394097086,1
10866,swear,-2.880679546793302,1
8485,rejection,-2.833748759032586,1
7778,beg,-2.8304191895962107,1
8146,restrict,-2.8272190514538025,1
3081,queer,-2.794654157615001,1
11631,questionable,-2.7879157558083536,1
8451,discontinued,-2.6782264415311645,3
9085,frowned,-2.6547239537040395,2
3142,slips,-2.652840701951867,1
7113,sue,-2.6514151307680303,2
5739,charred,-2.639635400152674,1
10395,tensions,-2.625961577608472,1
6367,conscription,-2.594860762563979,1
8750,slave,-2.579134081533727,4
11494,appalled,-2.5466052114963533,1
4545,danger,-2.533500616060455,4
11702,suspicious,-2.5210142946513248,4
11331,worries,-2.508490245501426,1
1377,sorry,-2.504669118577677,14
7013,canceled,-2.496020230166023,2
5834,plea,-2.4841561778552004,1
7943,misses,-2.4522003219714237,3
6409,loses,-2.450192423626071,1
10092,speechless,-2.4396697421868643,1
1687,massacre,-2.4280420955082382,2
9470,denied,-2.4230178137203637,2
657,shallow,-2.4165822952082663,1
12519,defaulted,-2.4121868692570665,1
2882,cancellation,-2.3931143354801905,1
5712,damn,-2.384496791649103,2
3045,narrowed,-2.3707996038647994,1
3308,costly,-2.361111752387132,4
5651,shooter,-2.3495869726415664,1
8930,corrupt,-2.328007831405487,2
8418,reluctance,-2.314974674525947,1
5898,uncomfortable,-2.2751260393503885,3
3715,illusions,-2.2741381460988914,1
6514,rarely,-2.2675313108159934,3
1689,declined,-2.254886494551063,5
8846,doubts,-2.2258520906320314,1
9822,unsuccessfully,-2.2060743444968782,1
7513,stab,-2.2044898419980967,1
6491,fired,-2.197583852931032,1
5682,scrutiny,-2.189511103688971,3
6850,tossing,-2.1687479195948502,1
12548,scoffed,-2.1650718813141188,1
8316,outraged,-2.1557233217689724,1
9966,trash,-2.13950031750045,1
1055,frozen,-2.1335430640098334,2
11396,stealing,-2.131242650484805,2
9364,irks,-2.114564065569705,1
4241,bully,-2.110153449364383,1
4986,stupid,-2.1049342012667625,4
6498,dumb,-2.0973488412042416,7
6273,annoyance,-2.0902158738293184,1
9335,tuition,-2.0758971583797234,2
12224,melting,-2.0604777111775343,1
3209,smuggling,-2.052433979112413,4
6482,riots,-2.0494049594500887,2
3671,worried,-2.0403419541579586,2
4374,considers,-2.0334913318178485,1
11006,goddamn,-1.9909640411401655,1
6640,dies,-1.978452334621448,8
9510,sob,-1.9707571253773164,1
3138,screamed,-1.9663217036466176,2
4208,dislike,-1.9643875010478529,1
7922,protest,-1.9586758373087207,4
9159,unsafe,-1.9518462782282204,1
10826,migrate,-1.9460204196118174,1
9382,slams,-1.9446329282877581,2
2087,dull,-1.9384681279945237,2
2936,retreat,-1.9343307289812302,1
12587,crises,-1.9212089944926518,1
1672,fault,-1.9121479507257142,4
9389,flags,-1.9110614850407555,1
8178,stays,-1.9054187607197535,1
6994,obscene,-1.8987616479177758,1
6996,insulted,-1.886053121053357,2
4902,abuses,-1.884162427381509,2
10201,needle,-1.876290252237093,1
2980,wreck,-1.8677308035289613,3
2518,rage,-1.86475074731404,1
3077,unlikely,-1.8607829490560865,3
11399,freak,-1.8600676866632604,1
8449,dem,-1.8594491287071633,1
8394,torture,-1.850202233131443,2
4994,storage,-1.8460917487326596,1
9586,faded,-1.8396552667667536,1
5947,misery,-1.837101323263986,2
4965,glared,-1.8306895929027827,2
12153,blur,-1.8265871812006111,1
6452,fuck,-1.8258457329834639,2
7797,lags,-1.814948969748285,1
11890,apology,-1.8072164355278604,1
11305,apathy,-1.8058920931958018,1
5597,offensive,-1.8049136883323822,2
1669,bombs,-1.7948472195870515,5
5294,criticized,-1.7938494893425776,4
9806,threw,-1.7889537270816547,1
10597,jealous,-1.7854283374362376,2
362,shootings,-1.7687541882197062,1
10409,ash,-1.7681182410330454,2
3687,bites,-1.7631825814223934,2
8361,freezing,-1.7582501420617267,1
10341,grimace,-1.7554546665709516,1
3439,ugly,-1.7458813964195383,4
12404,frustration,-1.738956521368689,1
3943,boring,-1.7370425544587995,5
7327,confusion,-1.736283975813812,4
2805,shrugged,-1.7299581998622815,6
7710,clone,-1.7287428956929145,1
7586,questioning,-1.7241681377263436,1
11622,dangerously,-1.7236761924386887,1
5269,nobody,-1.711186303853118,2
5202,drops,-1.6996493450905148,2
12061,abortions,-1.6836532576689645,1
5582,complication,-1.6767109941767382,1
1990,rebels,-1.663461664342691,2
2032,corrected,-1.6624071796580921,2
9523,criticises,-1.6520965053212076,1
9532,starved,-1.6513334396230572,1
3987,rigid,-1.6477565969870893,1
9160,losers,-1.6359366030152236,1
4871,confused,-1.6323827032490108,2
2725,shame,-1.6273086954267544,3
11429,decreased,-1.619456977373448,1
9737,stranded,-1.602178442603969,1
11184,tsunami,-1.5991435837178003,1
9257,underarm,-1.5974056287890388,1
10832,ejected,-1.5892311841959046,1
8724,slain,-1.589206277298721,3
4869,hated,-1.5880796791025704,3
6905,reverse,-1.5747946800493495,1
10302,hanged,-1.5673513299889035,1
8193,snarled,-1.5537858110335139,1
1140,resigned,-1.5482460259681656,1
5320,burnt,-1.5471513382040152,1
11051,snorted,-1.5457660162169224,2
2234,refused,-1.5447070623654504,2
12495,bothersome,-1.5409963515929845,1
4939,prisoner,-1.5386716249740506,4
7469,snoops,-1.5370756165375785,1
8041,accidental,-1.5274510061665039,2
7096,fortunate,-1.523706978158644,1
1683,faulty,-1.5219770908606574,3
7265,curtailed,-1.5210144240293655,2
7957,detained,-1.5180768616615778,1
2506,hell,-1.5161778098493757,7
2339,loss,-1.5125814056111904,15
11334,nightmare,-1.5071429383187067,1
3013,clash,-1.4949393307878858,1
2851,worse,-1.4913137478460288,13
12135,dangers,-1.4673833050454657,1
12316,bombers,-1.4649429410696029,1
4470,indicted,-1.4587516925355672,1
1964,siren,-1.4587107708056768,1
5710,slashes,-1.4528589057586925,1
7004,eliminating,-1.4519398899581655,4
2852,hissed,-1.448582790295283,1
6576,offenders,-1.4462373923510312,1
3286,prowl,-1.4307072508902776,1
5056,embarrassment,-1.4302777412025511,2
5770,grimaces,-1.4266262272993724,1
1685,chrysler,-1.4254429119328658,2
9742,explosions,-1.4247558079068623,1
6975,fake,-1.4232655909614067,4
7935,leak,-1.4167928725481034,1
6508,deserted,-1.414290714528069,2
9224,regret,-1.4114749992209854,1
