,Word,Value,Freq
3689,baseball,-0.16114622983447735,1
8447,absurd,-0.15564518572895655,1
6933,outraged,-0.15331395945720863,1
3472,solar,-0.14819241949809256,1
6097,murderous,-0.1407423899438148,1
4720,stink,-0.12428797835862682,2
3665,arrogance,-0.12341264106499243,1
7125,istanbul,-0.12275742558291652,1
5005,secondly,-0.11788324443916999,1
2360,altered,-0.11669618874782642,1
6836,yo,-0.11569517817908684,1
7223,jeez,-0.11554072525030301,1
3600,£,-0.11440278262828746,1
2853,lies,-0.11393972471372693,5
6358,conspiracy,-0.11092456208823775,1
7576,eggs,-0.1103782269997256,1
7892,pleasure,-0.10733505132876361,1
2934,lawsuits,-0.10320689121908523,2
8025,brining,-0.10091838136681885,1
6468,chavez,-0.09808892967142219,1
8086,apocalypse,-0.09627513026388984,1
6041,coco,-0.09311208847224986,1
8167,tar,-0.09198715098837551,1
7769,occasions,-0.09067603400668439,1
3028,assistant,-0.08855155657285772,1
7319,blowing,-0.08822657312856044,1
6881,primal,-0.08630478918685297,2
8852,snack,-0.08567422782035439,1
6584,holy,-0.0853685990218008,4
2778,donations,-0.08509736179163557,1
7786,omg,-0.08449951829179884,1
1637,fracture,-0.08413225775791539,1
5399,compensated,-0.07844464934379126,2
2295,.........,-0.07830337187772257,1
4871,landlord,-0.07826837932823386,1
1886,pride,-0.0776380327329024,1
2250,sham,-0.07701147378618312,1
2197,stem,-0.07633468714622176,2
6752,99.9,-0.07588140499303028,1
8168,feather,-0.07562252440193828,1
5270,unlimited,-0.07556826716112483,1
3552,broadband,-0.07524554964334672,1
8842,cake,-0.07434986867945792,1
8157,copyright,-0.07396943121250199,1
8401,gross,-0.07194530989111053,2
8697,prematurely,-0.07092067021643002,1
4196,nope,-0.07015926833073867,2
7247,realistically,-0.07012216988671582,2
2304,hell,-0.0696682028882898,12
7165,overseas,-0.06961745769970132,2
4709,suck,-0.06831067364958655,4
7042,winners,-0.06796858542932366,1
3377,gash,-0.06669451158173871,1
8280,tennessee,-0.0659313214246478,1
5868,annoying,-0.06548902965305639,2
7424,operator,-0.06466609950843655,1
2660,privacy,-0.06383749555920347,2
2488,declaring,-0.06366314047539129,1
3412,.....,-0.06363733241366239,3
7286,scrutiny,-0.0632781695740472,1
2292,.......,-0.06296451893297687,1
8183,swarming,-0.06287714934225565,1
8064,feminism,-0.06179060131408176,1
6899,extremes,-0.06150905326174108,1
8859,fraudulent,-0.06034942432528448,1
7635,pitch,-0.06033291346803832,1
2027,1947,-0.06028404227590662,2
3043,wisconsin,-0.06025889642718796,1
2977,garbage,-0.05994832405712826,5
2504,fantastic,-0.05991916675362495,2
6368,aesthetics,-0.059915589038868365,1
7680,necrotizing,-0.059774702500511756,1
6265,colonialism,-0.05915072572047579,1
1283,environmentalism,-0.0588190356968078,1
5267,amazement,-0.05720047427295612,1
5382,patrolling,-0.05701554802815631,1
1455,breach,-0.05664983440545343,1
5671,defective,-0.05657306157912594,2
6816,kidding,-0.056453849497216886,2
7482,characters,-0.05597194959600765,1
4091,situtation,-0.055893823717321656,1
5846,possession,-0.055833855629042944,1
4982,inc.,-0.05566713859952156,1
8879,brewing,-0.05512898132587091,1
4873,inspections,-0.05484267730265216,1
3980,passwords,-0.05427926087012708,1
7211,hacking,-0.05416566522170705,2
5947,wielding,-0.05402647536043086,1
6896,carelessness,-0.054024442068766186,1
1024,anyway,-0.053670574585424825,23
7545,editorializing,-0.05362568303679982,1
8797,praise,-0.05357336766566291,1
2689,amusing,-0.053388565678977484,2
7459,spate,-0.05330921419867962,1
909,fund,-0.05310509665608892,2
8718,anchorage,-0.05278887700920687,1
6171,demeaned,-0.052737255992469166,1
6810,floyd,-0.05272939283988395,1
8585,secretary,-0.052160191005208315,1
8584,banging,-0.052160191005208315,1
1706,gosh,-0.051962124637009,4
3459,aggressive,-0.051956311299638264,4
2876,simpsons,-0.05154115717283714,1
4949,losers,-0.05128258342417419,1
2487,apparel,-0.050491964842069206,2
7149,intruders,-0.05025155064262624,1
7148,invite,-0.05025155064262624,1
