,Word,Value,Freq
4402,drake,-2.609067127651531,1
7777,andrea,-2.3724309367574614,1
3269,e,-2.0655397574561056,2
7929,centery,-1.3046376373963455,1
5006,khloe,-1.0956857044783206,1
4463,karzai,-1.0847828815780247,1
4090,messy,-0.9443732122580211,1
7476,couch,-0.8752421239633954,1
5758,clue,-0.7540157958980678,1
7477,potatoes,-0.728425870301286,1
6433,horny,-0.7179862502183907,1
8124,soft,-0.5359575239193165,2
2000,wasting,-0.51504245324836,4
3003,rember,-0.5030852665642759,1
8703,creeped,-0.4599841546540765,1
7808,reciprocating,-0.4584094900260451,1
6185,prompt,-0.4417996444251925,1
7928,21st,-0.44058118428755794,1
7407,hindsight,-0.43127571929248226,1
4948,appearances,-0.40956562274117386,1
4743,creeps,-0.39764028961459796,1
8172,rash,-0.38777558296722114,1
6267,formal,-0.3877006013527109,1
7965,agendas,-0.3870148583247258,1
8446,absurd,-0.3744742484053685,1
6945,civilization,-0.36435707780827326,1
5996,sucker,-0.3516466819716437,1
7433,foreseeable,-0.3508717215825095,3
5869,tricky,-0.35083513339798006,1
7782,insecure,-0.3467992035178799,1
6829,pence,-0.34292621521356487,2
6440,sooooo,-0.3398810599429103,1
8524,consistency,-0.3391511938202728,1
6218,opiod,-0.32866196277143517,1
5220,halloweed,-0.32443333591342033,1
6437,reaches,-0.31933414168048585,3
7174,mishap,-0.3189617754743607,1
760,feared,-0.31631684299728885,2
5429,sums,-0.3160604085505332,1
2393,fences,-0.3146591926246033,1
8526,attribute,-0.3130107423889984,1
8525,greatest,-0.3130107423889984,1
6922,possibilities,-0.3036001094267423,1
6750,vegan,-0.3018949734943982,1
255,disorder,-0.3012727181899438,6
1049,ughhh,-0.3005306929455256,1
1679,ridiculous,-0.297875791904185,26
1719,monster,-0.29177794010469077,2
2991,leaning,-0.28909299235491903,1
905,missed,-0.2871197962658141,10
4087,file,-0.28449731849771837,3
7735,gripe,-0.28166466237275634,1
7163,kidnappings,-0.2784269499465579,1
7831,fading,-0.2779013716099352,1
4088,suite,-0.2752166956663132,1
290,adjusting,-0.26983339064343076,1
6100,cricket,-0.2650852543897456,2
5614,slang,-0.26445398177700596,1
4769,fiction,-0.26429394253380745,2
5868,annoying,-0.2642876701307379,2
2950,angered,-0.2636452580753126,1
5328,jeeze,-0.26290185745136424,1
718,cautious,-0.25698425467408237,2
2056,tired,-0.256886679436173,12
5757,altering,-0.2567746538453847,1
7427,appalachia,-0.2561810886940366,2
1826,kylie,-0.2548516450932891,3
6930,outraged,-0.25182845451368263,1
5150,neighborhood,-0.25065995361972765,1
6032,historic,-0.2451908367748496,1
1395,unused,-0.2433687626553611,1
6717,scam,-0.24004571757128237,3
1914,romantic,-0.23508458059149095,1
8119,batters,-0.23489903906545956,1
6381,fathom,-0.23451871621338585,1
6468,chavez,-0.231846966730651,1
4576,forgot,-0.2316937436512954,2
2575,punch,-0.22953055956519025,1
3988,jokes,-0.22933739622479912,3
7194,disruption,-0.2267996153669777,1
4929,tabs,-0.22601824292452002,1
5934,intelligence,-0.22596309332673686,2
3976,reasonable,-0.22249981016539927,4
474,moron,-0.2215896786788642,2
5596,propblems,-0.22066052655046733,1
1128,heating,-0.21704925370871456,1
3075,rubble,-0.21681272120173378,1
2584,executives,-0.21643464147353203,1
6766,ships,-0.21628056044379868,1
7634,pitch,-0.21600842585762373,1
6130,museums,-0.21500460481992162,1
7489,billowing,-0.2119418158322136,1
8424,nicholas,-0.2116805706138933,2
7475,labelled,-0.21144732829129662,1
1497,days,-0.21093425059707496,43
8858,fraudulent,-0.20893878205901098,1
6847,dc,-0.20863095250394606,1
3709,statistics,-0.2082131611914782,4
5721,gentlemen,-0.20767856005067917,1
7192,usable,-0.20682086031674238,1
7193,farmland,-0.20682086031674238,1
5775,backers,-0.20653701188345241,1
2641,measles,-0.2052659725754884,1
7659,meaningless,-0.20430392464802674,3
1187,mess,-0.20338495224190703,15
5361,protested,-0.2018980618667614,1
5115,occasional,-0.20097984914218667,1
7620,trivial,-0.20094612489579664,2
5845,booked,-0.2000313589657638,1
1624,bags,-0.19906690871599347,1
8353,brunt,-0.19841575700014963,1
2990,presumably,-0.1982795598886772,3
8279,tennessee,-0.19700909940802416,1
6033,depressing,-0.19682513329683135,2
4085,rented,-0.1944198806337218,1
2683,smoke,-0.19428145940587369,3
3671,fuck,-0.19386379964231065,7
7994,intention,-0.1935301151882063,1
3365,shameful,-0.19336743198059222,1
5139,psychopath,-0.19310825294423328,1
8741,shaming,-0.1930332707034217,1
5691,boon,-0.19211503057652482,1
6549,wishes,-0.19169383475911395,6
4626,smile,-0.1914752644370801,1
4157,barbecue,-0.19126628876781185,1
2299,silence,-0.1911710717797094,1
5326,z,-0.19069223467723218,1
6582,delaware,-0.19064258475505888,2
7954,trails,-0.1896114752718121,1
6271,subhuman,-0.1890427135947076,1
8780,plaintiffs,-0.1883424317761486,1
7838,confuses,-0.18811336509310284,1
7282,bike,-0.18808905779509322,1
1621,pisses,-0.18671614512259227,1
8768,guests,-0.1865488085111146,1
3617,intrigued,-0.1864560359261102,2
1827,jenner,-0.18635098434173153,2
8343,vice,-0.18619577643602286,1
3981,precedent,-0.18607832908983124,1
7287,rocky,-0.18559982373303807,1
3473,arkansas,-0.1855795973823184,1
8426,mouthed,-0.1854899541327828,1
7776,deems,-0.18440744673237075,1
5789,boycott,-0.18395603868160765,1
2798,york,-0.1829954296579502,8
6001,ideals,-0.18243611846535535,1
3710,dangerously,-0.18048033991485632,1
5937,naturally,-0.1803072346018435,1
3491,debates,-0.1799832376235193,1
2401,compromising,-0.17992547266121217,1
2874,bull,-0.1794534909717418,1
3314,dumbass,-0.17771361278035702,1
4412,teeth,-0.17684792863689497,1
1938,ceding,-0.17672101606244447,1
3695,gandhi,-0.17669086637929896,1
7227,rotten,-0.17624309751368153,1
5702,invoke,-0.17604018068602625,1
3005,kardashian,-0.17600958521315024,6
8167,feather,-0.17581290560738408,1
3040,bail,-0.1754611326556801,3
8847,visitor,-0.1745912163116485,1
5116,mis,-0.17432250623142007,1
4880,spike,-0.17345708531392362,1
2587,polish,-0.17319010277837552,2
2689,amusing,-0.17280766487271998,2
3814,bag,-0.1727848375242543,2
5488,balanced,-0.1723813365588243,1
5846,possession,-0.17213433310811085,1
5772,screwing,-0.17206765429602755,1
3716,billions,-0.17195302735363413,4
7790,vultures,-0.17141801539007548,1
3802,stunning,-0.17136682995144575,1
5371,efficient,-0.17093856039123403,1
2250,sham,-0.1707416052739787,1
3417,urine,-0.17049512214273715,1
4261,reporter,-0.16951293842394458,1
2323,coutries,-0.16926152352549292,1
5032,afterwards,-0.1690138848657805,1
1420,leveling,-0.16889045782372264,1
2777,archaic,-0.16858927585008676,2
8075,longtime,-0.1684893953546023,1
4717,brits,-0.1679244263984585,1
6903,generic,-0.1678219780864475,1
5223,didn;t,-0.16740029564406236,1
3508,college,-0.16683152562460465,9
666,sacrifice,-0.16639533188548022,1
7800,vein,-0.1661427033062486,1
8822,we'e,-0.16536166491863777,1
2122,docs,-0.16466270053192827,2
6778,accounted,-0.1643151515889187,1
6454,predictable,-0.1642467550866969,2
4709,suck,-0.1641991800952013,4
8017,discussing,-0.16390235322322885,3
1135,messed,-0.1637703360776729,11
8290,kevin,-0.16356307712855928,1
8853,waking,-0.16306618954892305,1
8029,incompetence,-0.1628212669708257,1
8668,restraining,-0.16186003431705775,1
7660,idiotic,-0.1611522746744094,1
686,accustomed,-0.16114327907312992,2
4997,unfitting,-0.16077866349028144,1
4657,hypocrisy,-0.16029431717615714,1
935,radicals,-0.1596546348637101,1
7149,easterners,-0.15934606768562495,1
6228,hazard,-0.1590196214712831,2
6059,trashy,-0.1588546220504905,1
8111,unfounded,-0.1583576443315553,1
51,ego,-0.15808029651479832,2
5176,unrelated,-0.15784290062786088,2
5890,headline,-0.15613722113906875,1
7964,oppressive,-0.15598443388879238,1
7638,naked,-0.15587516137431126,2
6864,unhealthy,-0.15586967071628777,3
6604,overuse,-0.1557654321935426,1
8040,diminishing,-0.15556919758523086,1
4718,weasels,-0.154709122977438,1
7927,cooperation,-0.15448069222526098,1
5847,stays,-0.15446942443274855,4
7487,spanish,-0.15438448171175662,1
1637,fracture,-0.15361590238081085,1
3689,baseball,-0.15283523320065853,1
5370,monitored,-0.1527745326885232,2
4625,tackle,-0.15209534983543624,1
8598,sexism,-0.15200062325304742,2
506,situations,-0.15149455837040737,18
6196,bline,-0.15140508087986407,1
6410,useful,-0.1512165899595376,1
7891,pleasure,-0.15118554101951012,1
4979,colloquially,-0.15026882390560914,1
8191,bore,-0.14953224472233084,1
1623,scum,-0.1494396816824832,4
8344,versa,-0.1490921234819213,1
5725,sawtooth,-0.1490161971445938,1
873,sanctioned,-0.14880533297059562,2
4440,fucker,-0.14879989122859158,2
8156,copyright,-0.14874256722658108,1
8282,jenners,-0.14815300947699167,1
1930,hen,-0.14754708649389237,1
6923,monkey,-0.1471020365239322,2
8465,canonsburg,-0.14691127676146862,1
2517,misinformation,-0.14665184683874194,2
7019,deniers,-0.14652531464555862,1
5146,disgusted,-0.1447792707279613,6
8255,bounce,-0.14451748530504402,1
8254,meaningfully,-0.144517485305044,1
7736,airsoft,-0.14437470828944987,1
3076,ash,-0.14436985113214199,2
7890,iis,-0.1443463881800614,1
6046,closure,-0.1442009126213199,4
6983,lingo,-0.14380710531714086,1
3739,orchestrated,-0.143687878843744,1
3360,ulterior,-0.14321812019329658,1
846,catastrophic,-0.1429502276980278,3
1838,crap,-0.1420920094476282,10
4120,obeying,-0.14194820730431115,1
8012,kesha,-0.14159433397081883,1
8699,enclosed,-0.14151375267353855,1
5560,cognizant,-0.1414777162620972,1
5229,infested,-0.14074696313429494,2
8076,semiretired,-0.1402660000070071,1
8541,hose,-0.13972787158657807,1
2633,cheaper,-0.139160672176158,3
3674,betray,-0.13883162022613973,1
3740,bs,-0.13844456307023528,2
8404,silent,-0.13839542313478354,1
3771,expanding,-0.13835947486604339,3
6957,lifes,-0.13810686528048388,1
4130,typical,-0.13790422316659262,4
5253,brilliant,-0.13773603536825887,1
1127,starving,-0.1373681800188786,9
4449,complain,-0.1371900072442945,5
1702,devoted,-0.13714561855157795,1
3670,complaint,-0.13643537775585146,1
3669,psychiatric,-0.13643537775585146,1
8161,prisoner,-0.1363801017758392,1
7662,surrounded,-0.13602580887907967,1
8605,booted,-0.13568236010024393,1
1891,tolerant,-0.13553062781264236,2
6855,quote,-0.1354270365220957,2
1273,speculation,-0.13473757715341864,1
4407,newspapers,-0.134669476811193,1
7529,governmental,-0.1346006093068776,1
4928,solved,-0.13454971391435036,2
5747,plain,-0.13411992109675253,2
5953,purposely,-0.13326314248659038,4
1712,whoever,-0.13308741777550717,5
4322,homeowners,-0.1328923288694684,1
7799,wise,-0.13271438601346003,2
3755,condoms,-0.1319357808918959,2
7270,blm,-0.13184325138837727,1
1678,summers,-0.1316001608237832,1
5288,mainstream,-0.13116441252506694,3
8068,rebel,-0.13114065097105254,1
1797,parties,-0.1308047931026906,5
908,participating,-0.13046648997345128,1
3162,cogent,-0.13038714836295853,1
6754,ridiculously,-0.13022921751301483,3
5888,plantiff,-0.13012160410199844,1
266,hopefully,-0.12990815679002227,27
8604,stream,-0.12965376808138987,1
8876,imply,-0.12943439104301402,1
3978,phishing,-0.12938382644981816,1
8617,planets,-0.12898061066454453,1
4624,bravely,-0.12888249974159469,1
8039,underdeveloped,-0.12862812428779544,1
8523,contradicts,-0.12826911349650447,1
669,sucks,-0.1275604962704958,12
7323,houston,-0.12724857647509402,2
6175,misogyny,-0.12709601708302523,1
2688,score,-0.12677114545609092,1
1792,rangers,-0.12669167007048884,2
7480,characters,-0.12656947617443884,1
7580,theat,-0.12643655645098661,1
7966,solider,-0.12638196230629686,1
8264,construction,-0.12632385592294645,1
8077,halstead,-0.1263092446073031,1
8078,vanish,-0.1263092446073031,1
6265,colonialism,-0.12604938484681943,1
3002,nightly,-0.12593443983247665,2
7963,intentionally,-0.1259174271418645,1
8795,fart,-0.12582518041972476,1
4949,losers,-0.12571245717791735,1
6266,repeat,-0.12492115824991691,1
5519,blindly,-0.12485319642711253,1
5450,preven,-0.12483703319599482,1
4662,daytime,-0.12449480399513169,1
3279,spiraling,-0.12431100688939478,1
4195,silly,-0.12418535126850859,7
8732,screen,-0.12417154541934092,1
5445,breaches,-0.12407540294802051,1
6827,seasons,-0.1239693700359948,1
6640,psychotherapy,-0.12364515868979586,1
1370,reward,-0.12349746201304775,2
7398,roam,-0.12302856427573021,1
5521,reporters,-0.12269116415948594,1
8731,shittiest,-0.12266100080137014,1
4784,collar,-0.12229245863541834,1
4439,gulf,-0.12223907740848342,2
6178,average,-0.12172945813424173,3
1890,radar,-0.12159357330176708,1
2842,manual,-0.12120007290180296,1
991,'d,-0.12112654659186356,33
1810,map,-0.12056644793712731,1
8466,increasingly,-0.12051754911007459,1
6431,apply,-0.12026932464958731,2
50,bounds,-0.12026499043386461,1
3565,oklahoma,-0.12014614431694592,3
8747,flaunt,-0.11998628648145804,1
3312,obsurb,-0.11980483115858143,1
5763,nevada,-0.11970668110360252,4
886,hesitation,-0.1195302364169453,2
8164,nuts,-0.11951590884205147,1
8020,lightening,-0.11945730845605416,1
7655,conveyed,-0.11918577189246814,1
7284,scrutiny,-0.11915742548013797,1
3773,robbers,-0.11909529538746373,3
8417,quarters,-0.11867194775897325,1
6856,mercutio,-0.11867027588340699,1
4000,caged,-0.11857821785451911,1
4004,penalty,-0.11821004668979118,4
7779,ethnicity,-0.11808027343849109,1
1882,empty,-0.11792836303847028,3
