,Word,Value,Freq
1599,flower.~s.c.,-3.160971610793187,10
18920,hopeyoulikeit,-3.100432911726379,1
15574,"""#islam",-2.8214460023395396,1
6189,@toria_renae,-2.7942658792401946,1
9093,happyyy,-2.722204958645622,1
22444,î,-2.6990335988201837,1
11932,o.m.f.g.,-2.687242959015398,1
15662,iam:)blessed,-2.67517563241608,1
23239,ilovemyjob,-2.652585857427649,1
3462,"nonsense,,i",-2.6196938730846275,1
9669,backtotrainers,-2.598205982802207,1
16020,whathasmylifecometo,-2.577959937969713,1
21459,@ayyo_kyle,-2.5309843785835033,1
8811,._.,-2.4963070299207124,3
21295,tomorrow.î€¶,-2.485612079052757,1
15458,lovemylife-___-,-2.4677072770903385,1
21439,@heidihoganson,-2.4624877736754556,1
21963,itsnevermoney,-2.4575711008771277,1
7301,@katiemargolles,-2.4317971040006907,1
13971,christmasshopping,-2.402851603638101,1
8964,divide.â€•,-2.3671216060545057,1
20088,more!!!!.,-2.365398079527792,1
2361,@blogdramedy,-2.3609826297763,1
12484,hbcdenver,-2.3465269244634186,1
1154,letsforgetthiseverhappened,-2.330519955566055,1
17699,kpele!!!rt,-2.3246914420903217,1
14548,me.#learntheart,-2.311083003800983,1
19243,o!god,-2.297627223855307,1
11586,ms.groths,-2.2971688425612227,2
3643,boardwalkempire,-2.290379045083163,1
4120,@jackiiehanhan,-2.2885371980580587,1
3579,so.excited,-2.282247989607933,1
6980,ilovebabies,-2.2777781102002836,1
7845,helloagain,-2.2633325572006084,1
13900,@love_awaken,-2.258654321140993,2
13517,waytogoamerica,-2.2477127773370715,1
7046,smoovebaritone,-2.2401874230378285,1
11864,backontheroad,-2.236734958756114,1
18103,.............,-2.233428888146067,1
13384,shuttleride,-2.227201946133201,1
11921,happyplace,-2.221034521540105,1
7267,._____.,-2.216016075941055,1
12665,thankfulforwine,-2.214824274385016,1
20721,loveofmylife,-2.214453721870651,1
3812,kids?!?,-2.2096158483404813,1
17590,@_alm,-2.20514464907927,1
16844,@_caitlinohh,-2.1979482439738924,1
16653,it.~shug,-2.1934404601201867,1
3671,ourfuturejourney,-2.1916535834427884,1
23127,mylifeisaverage,-2.183923444117022,1
4037,hiya,-2.1734895688220224,1
22789,@b_notay,-2.170044842763589,1
20460,@stephlowther,-2.1641555372990817,1
9631,@jessica_smelly,-2.162303338045362,1
17651,"gospel!""<----",-2.160792097644058,1
16849,holidayinthepark,-2.1434108419503213,1
19123,growgrowgrow,-2.1414954948659037,1
8008,canitbedecember3rdalready,-2.1403358093009524,1
16346,happyaccidents,-2.1385231970975047,1
19204,@mzjessy2you,-2.1382883839516005,1
20577,@spongebobsqhead,-2.1317340414102817,1
18589,amsleepy,-2.1304540860156216,1
6026,itsmybirthday,-2.118995775921425,1
17643,@kerlynlesmes,-2.115135040722396,1
23274,#pleasedontleaveme,-2.113213364658903,1
9786,@jon1093,-2.1089198822413273,1
9858,topless,-2.1033433817681813,1
15932,@sourcelessons,-2.094769320652271,1
15212,fvck,-2.077586056004491,1
3606,8-),-2.0761423081071246,1
12705,@cluman011,-2.064757251378262,1
5343,@nyshababi,-2.0634749206908785,1
22483,threeohwonderfullife,-2.0632205597483195,1
19406,prepared!.,-2.0403986850232,1
19391,@melissatrunzo,-2.028789589092845,1
21192,@firstdogonmoon,-2.022375250490088,1
15394,@boohoofashion,-2.0112762332003515,1
16879,lovemylife,-2.005965806274862,1
19664,9.05am,-2.005391632735511,1
15940,truestory,-2.0032102315486053,1
18894,appreciative,-2.0006590599879557,1
12065,happyhousewarming,-1.9991302728652953,1
7429,favoritesweaters,-1.9947198383668376,1
7958,@hmusa,-1.9899429054100277,1
11136,@valrayjor,-1.974675059912891,1
16776,@v1sh4l,-1.9731031737759426,1
18759,ineedalife,-1.9652179333207371,1
9060,@babyheavy_101,-1.95868396898591,1
12737,then!off,-1.953964445278758,1
10549,@shineadhusband,-1.9463012070972059,1
8992,@bkangel1617,-1.944156193117068,1
9642,iam:)blessedâ,-1.942499943164612,1
9390,enjoywhatyouhave,-1.9423559628283193,1
2914,19.97,-1.9301453725764093,1
10600,ok?:)<33,-1.9258472696288713,1
11733,@valenciaray,-1.923490554856178,1
10269,isitbecauseidontmakeyoucupcakes,-1.9210568058320967,1
8244,helpin,-1.9192878442280221,1
5849,~ps.111:10,-1.916057859621246,1
11599,@annie_frame,-1.9149304972366439,1
21039,bestbeawesome,-1.9124301677399311,1
18221,@aebee25,-1.9097116646140515,1
16261,slightlyracist,-1.9057120769950782,1
19931,let.s,-1.8957060407912345,1
19584,readyyy,-1.8938132515798012,1
8328,spontaniousplanning,-1.8925994080595667,1
5681,theregoesmyplan,-1.8861963407844031,1
