,Word,Value,Freq
3620,outlook,-1.601708362271127,1
22971,sundays,-1.4443314278808734,1
4797,frightening,-1.3526616029702703,15
15687,devotion,-1.285717536517907,1
23137,naã¯ve,-1.2227269190821857,1
23163,fiesta,-1.2016920764872339,1
21266,applause,-1.2010052419507935,2
22566,simplicity,-1.1963832302424753,2
2248,kennedy,-1.195793822180066,1
5835,whisky,-1.1888187189699346,1
5792,beck,-1.150316758524804,4
15579,lacrosse,-1.0994840310886502,1
18941,homer,-1.078847962554152,1
8535,luxury,-1.0571644582682187,1
14284,sweetness,-1.0571366373035642,1
17340,eagle,-1.053417776297364,1
16404,herb,-1.0440171882604259,1
12734,outstanding,-1.0224632853642106,1
20080,torch,-1.017747077675641,1
2894,jacksonville,-1.0039280489087103,1
22283,spontaneous,-0.9902095517883187,1
2139,susan,-0.9828682471377155,1
22706,asthma,-0.9823398283527542,1
5364,sponsorship,-0.9788489738794,1
10748,indifferent,-0.9672324784263805,1
554,gathering,-0.9642705316034457,1
16814,convertible,-0.957503233033304,1
15372,optimistic,-0.9409366402631769,1
22454,charity,-0.9177009587343303,1
22165,today/,-0.9161812647313734,1
18360,nickelodeon,-0.913156067719683,1
4695,awareness,-0.9109559598230259,16
2564,dawn,-0.9081870309276737,12
5399,impromptu,-0.9036054061725736,1
16028,licked,-0.9000952791927073,1
7380,glorious,-0.8932784316338933,2
19243,o!god,-0.8907402573930892,1
13173,consisting,-0.8868303333874792,1
20786,helicopter,-0.872002332351662,1
12729,liberty,-0.8689301272388548,1
14015,tent,-0.8601477822670952,1
14967,initiation,-0.8599239281278729,1
8625,adventures,-0.857946267755574,1
19070,geese,-0.8505883933532805,1
6514,joy!,-0.8501484989483628,1
19201,evelyn,-0.8488273780955988,1
6188,mesa,-0.829448843773069,1
22222,vulnerable,-0.829069286344968,1
10932,hugs,-0.8217207390675775,3
17130,bombay,-0.8183067823604991,1
13832,cindy,-0.8180349704809486,1
13178,outfits,-0.8160061745578026,1
13159,invites,-0.8135526994952844,1
15631,desserts,-0.8134846157874123,1
4933,refreshing,-0.8002746509530396,2
11749,hopes,-0.7990923477193299,4
19098,riches,-0.7936707456481291,1
17500,begins),-0.7929999060781713,1
576,relief,-0.7894413468456397,10
12024,17th,-0.7885947213818629,1
21954,clap,-0.7824331554185067,1
8102,daylight,-0.7720457284766085,1
1457,scared,-0.7629912451261529,99
830,therapeutics,-0.7556701178352039,1
14119,awes,-0.7526846168097109,1
14900,hopeful,-0.7522584038801531,1
18784,~david,-0.7517577138773741,1
4483,illusion,-0.7483149908555019,5
5897,youngsters,-0.7439677966758609,1
9109,rogers,-0.7416495873725839,1
12115,exercises,-0.74109547600771,1
10800,2)march,-0.7394323162585615,1
1800,excellence,-0.7389366865633715,2
8032,unpredictable,-0.7303460801020265,1
7690,cheers,-0.7289789486225378,5
4984,graduation,-0.7258515197690292,9
21696,pleasures,-0.7217096093453859,1
7558,dragons,-0.7215758783784288,1
22151,situated,-0.719684299197677,1
17569,dora,-0.7184160440348281,1
12823,bryan,-0.7181835658848286,1
851,dale,-0.7180591250459354,1
5456,certainty,-0.7142370691005193,1
20640,showers,-0.7136335145475137,1
6723,lactose,-0.7131484875428504,1
12828,exploring,-0.708227148776253,1
1394,winged,-0.7042931705713272,1
19997,hamlet,-0.703697583275406,1
5053,expectations,-0.7025577845026157,7
7925,gray,-0.6960278319727097,1
19443,courtney,-0.6951543529589589,1
12681,archway,-0.693856120614232,1
1741,lehigh,-0.6910577723756433,1
17798,elk,-0.6910564233051928,1
4424,camping,-0.6906590308725895,2
6825,p.j.,-0.6889842117231133,1
13136,imagination,-0.6877745439886407,4
13240,buffet,-0.6827169663073248,1
5228,banquet,-0.6763886549012526,6
15933,cherokee,-0.6760445410401855,1
20229,earthquake,-0.6750878604319998,1
19052,aching,-0.6737192431859897,1
3089,republicans,-0.6725421203190028,1
10507,gasp,-0.6719009636414907,2
4175,promising,-0.6713739794102453,1
4391,13th,-0.6698362152144586,1
21060,gracefully,-0.668973260514793,1
19332,emory,-0.6613151096561478,1
21747,arbor,-0.6591460937944551,1
13696,crow,-0.6584326710685022,1
21118,skipping,-0.6563520797838767,1
20079,reassuring,-0.6558438137304364,1
13146,sherry,-0.6554429517304967,1
15669,relieved,-0.6537391666705028,2
11713,ruth,-0.6529426758111909,2
12778,nicklaus,-0.6504844998260244,1
603,surprise,-0.6485675716197856,121
9337,cotton,-0.647943882170855,1
19833,calculations,-0.6472195938342448,1
12189,joyness,-0.6468223401920989,2
19809,hymns,-0.646644321276216,1
21522,fortunately,-0.6462588487793841,1
9739,familiarity,-0.6426433548710688,2
18025,otter,-0.6398163226743538,1
22681,vespers,-0.6376314504013862,1
5184,visitors,-0.6356748393219378,1
20774,infinite,-0.634545163259653,1
11959,resume,-0.6343543104207243,2
23355,fiancee,-0.6337901575122183,1
12018,foiled,-0.6315284451400791,1
3561,iris,-0.631152966736544,1
16500,colin,-0.6307158088311553,1
10123,gasped,-0.6272922341327927,1
8403,opportunities,-0.6257475220760422,3
5703,smiling,-0.6256966337897057,18
13885,augustus,-0.6248912151869653,1
18496,joan,-0.624710164933155,1
16094,mosquito,-0.6238399697467685,1
21212,westbound,-0.6220710626456375,1
14344,103,-0.6207618110758416,1
16073,realizes,-0.6187331843662438,1
8959,excerpt,-0.6186169344274437,1
12601,astronomy,-0.6166323460706433,1
16003,guiding,-0.6129410923372403,1
13560,conner,-0.6117463478818536,1
16317,dolls,-0.6103955315134953,1
3442,sickness,-0.6096370570114116,7
12460,faded,-0.6080839158967137,2
14733,curry,-0.6069807028397918,2
13285,530,-0.6064241045634403,3
6037,existing,-0.6060960374458075,1
18489,whistling,-0.6040650034633775,1
17501,knight),-0.6037638809739609,1
4010,crown,-0.6035330783285338,5
18306,martini,-0.6027474271577028,1
721,whisper,-0.6010403606051113,1
15743,bandits,-0.6006418506118323,1
14763,khalifa,-0.6001601132253805,1
15528,disneyland,-0.5996354588343725,3
7480,entertaining,-0.59903641631436,2
9746,snowboarding,-0.5973612536210566,1
22712,daring,-0.5964069540745446,1
13412,sally,-0.5959032962381496,1
2227,goodbye,-0.5952583354417579,14
18567,scouting,-0.5944500987635071,1
17236,brushing,-0.5943785523374876,1
16197,debut,-0.5939318608349332,2
13838,homecoming,-0.593652129101741,3
15213,default,-0.5924902287956613,1
16387,sandwiches,-0.5916731209430115,1
2119,phantom,-0.5897047211874051,1
22531,ducks,-0.5870124960365968,1
17698,sixth,-0.5860305417671628,1
17890,villain,-0.5848109134381876,1
23327,gemma,-0.5840381050482393,1
21581,skeleton,-0.583551904953578,1
6310,gospel,-0.5808096726656875,9
140,joy,-0.5805922444713321,251
11748,memorial,-0.5767017550386025,1
7333,inaugural,-0.5758545886820707,1
5616,ceremonial,-0.5718801621113806,1
19205,pictureee,-0.5713159490877422,1
17823,eagerly,-0.5704302421775022,1
22444,î,-0.5699019771726692,1
680,evening,-0.5696054884827005,43
13682,nowadays,-0.5688979016935788,3
17325,arrival,-0.5668651926415887,1
11833,distracted,-0.5668077640814082,3
1224,expectation,-0.5660632206127048,1
5598,casually,-0.5644541639556692,3
12402,:>,-0.5643254423602706,1
2218,appearing,-0.5640083043554295,20
22582,officers,-0.5630839456014497,1
6228,purdue,-0.5621872799188802,1
18295,colombia,-0.5609751809631882,1
10586,~george,-0.5582209508283995,1
17357,experiences,-0.5577537722468752,3
20616,thursdays,-0.5570568540857898,1
13971,christmasshopping,-0.5557429786948931,1
5927,supernatural,-0.5529165990942834,1
15210,mexicans,-0.5529155405647643,2
14907,skies,-0.5527662394154402,1
22451,hc,-0.551934338633366,1
7229,punjabi,-0.551724420229976,1
15931,vibrant,-0.5516731155954309,2
16927,malcolm,-0.5497887987057092,1
6849,flirt,-0.5475524347876348,1
20832,thanking,-0.5474155348810282,1
11367,jackie,-0.5470654525120485,2
3448,welcome,-0.5455441380161429,14
23160,morrow,-0.5454687181328024,1
19351,rainbow,-0.5440938622107074,2
12862,aqua,-0.5435837850033938,1
18469,floats,-0.5434758804945482,1
9961,gen,-0.5434011469434371,1
2562,senses,-0.5422731508870446,1
726,thanksgiving,-0.5411891404786903,171
17644,ev,-0.5391855819884265,2
4633,hooray,-0.5381423406605349,4
14389,ultrasound,-0.5368482286465894,1
11127,sunny,-0.5368467664521226,8
7399,hug,-0.5368126624612869,11
7954,enjoyable,-0.5361833147305463,2
13895,215,-0.5360546665774151,1
14310,penguin,-0.5358932124233091,2
10728,worldly,-0.5358740902350594,1
3205,dawns,-0.5355243454613383,2
2432,dream,-0.5352292077802656,54
23301,muted,-0.533997467594842,1
108,tomorrow,-0.5332659025267831,915
21288,entering,-0.5332142596634535,1
18089,willy,-0.5296434189814084,2
17519,dirtiest,-0.52943384394389,1
10852,46,-0.5287794430883885,1
5787,spotting,-0.5280133423587632,4
15989,centennial,-0.5259857573395683,1
11383,hem,-0.5259817541668228,1
15303,simpsons,-0.5258806625950252,1
