,Word,Value,Freq
22448,î,-2.30234191347571,1
9191,huff,-2.2381904226248013,1
16351,outrage,-1.7157709712369575,1
10733,divine,-1.582338526006788,2
1549,bitterness,-1.463475311924859,5
13932,festivities,-1.4541082192551007,1
23167,fiesta,-1.3971761551996071,1
12118,exercises,-1.3869441822171211,1
21700,pleasures,-1.3846751184839952,1
1134,detention,-1.3337929733156686,3
7670,sacked,-1.3324504494667053,1
15581,lacrosse,-1.3150105041762192,1
2273,concerts,-1.3091733567416668,1
14217,dumped,-1.3050901248341515,1
15170,midsummer,-1.2880406861121838,1
23331,gemma,-1.2689200310926072,1
7631,connie,-1.2508563208083312,1
21459,fracture,-1.2401636301305814,1
22975,sundays,-1.2336009899775187,1
13314,happier,-1.2089351521870757,5
20643,showers,-1.2046740730603536,1
7014,giggled,-1.187732354303201,1
16217,engineer,-1.1620372487514308,1
1184,104,-1.1496840687064858,1
5948,bitter,-1.1470314645892667,5
22008,fundraiser,-1.1329484222080612,1
16062,transportation,-1.1207062775890033,1
12555,bonding,-1.1185545037793452,2
7139,governance,-1.0889693372177354,1
1520,cheered,-1.0755472707458669,1
13075,showered,-1.0667875551173343,2
4637,100th,-1.0571775495323592,11
7473,separation,-1.056041346494477,1
4790,iced,-1.051791551552876,3
15934,vibrant,-1.0514105051431966,2
7733,trafford,-1.0490725861231232,1
12020,plot,-1.0443209041133166,9
14511,braid,-1.0426387490347178,3
12027,17th,-1.0396037445300155,1
16555,pastry,-1.0378851925806394,1
12601,bothered,-1.0362783374951265,1
14670,discussion,-1.028236500434927,4
5834,whisky,-1.0191961702128705,1
16346,goodwill,-1.018446309498815,1
7713,calculus,-1.015389385272618,5
18044,retiring,-1.0144149613204516,1
8844,textbooks,-1.0115354724936356,1
9707,vain,-1.002791110546358,1
21660,christmas=,-0.9975528498840891,1
16964,exiled,-0.9901248125093324,1
3313,deficiency,-0.9880792640977436,1
21751,arbor,-0.9793653059129914,1
13835,cindy,-0.9689057817216963,1
10102,damage,-0.9688788021293778,1
11070,behave,-0.9654859494417906,1
9988,delight,-0.9634218805716823,8
6513,joy!,-0.9624734679873317,1
12075,eleven,-0.9573672543324175,1
8836,lames,-0.9539238129030255,1
20756,customs,-0.9533912126548015,1
12160,converting,-0.9530119657516479,1
21325,remake,-0.9497220888979487,2
22287,spontaneous,-0.9492053087143337,1
7666,mayhem,-0.9484063078813693,2
5291,dismissal,-0.9469320787133012,1
23249,quilt,-0.9469158243105719,1
22910,poke,-0.9430876305217252,1
22570,simplicity,-0.9358514793086471,2
16667,counseling,-0.9353579332431157,1
2248,kennedy,-0.9336090597841473,1
16977,chewing,-0.9310323651880026,1
13288,530,-0.930667641726934,3
23187,creamer,-0.9219036961595217,1
8784,bruise,-0.9190026290714741,1
7695,naomi,-0.9137882133324942,1
14206,lazyday,-0.9131179895156469,1
16849,cooper,-0.9125336731473606,1
10201,lt,-0.9104590196089418,3
17642,sucker,-0.896127350628376,1
13387,shuttleride,-0.8908287413418293,1
