,Word,Value,Freq
7016,giggled,-2.4507479219533104,1
7843,stunned,-1.9035940383709655,1
14214,dumped,-1.8163516465005616,1
9191,huff,-1.8068964396688072,1
4791,iced,-1.6944510406810451,3
21696,pleasures,-1.6924427954580419,1
18041,retiring,-1.675072645051786,1
16348,outrage,-1.6642606387187167,1
8535,luxury,-1.6395092873475252,1
5621,coordinator,-1.6329960724904988,1
10031,frustrated,-1.601205101027252,2
5835,whisky,-1.592029201852414,1
11097,denny,-1.5837124859586853,1
18775,healing,-1.5614633283236727,1
15902,teenager,-1.5516497191704495,1
16052,appreciated,-1.5516252417577592,1
6767,spokesperson,-1.529328854216554,1
21656,christmas=,-1.4785791203288658,1
9985,delight,-1.4426421215302037,8
4607,dime,-1.4290928732935702,2
5949,bitter,-1.4221727947926883,5
12810,noodles,-1.4122413624850114,2
12565,congratulations,-1.4068913085765171,3
19608,temptation,-1.3894012314253463,1
18593,acacia,-1.3889373727820136,1
15579,lacrosse,-1.3866727905614036,1
6806,appreciation,-1.380862954913757,2
16552,pastry,-1.3718860090644371,1
22916,conclude,-1.3621299474904114,1
20692,mba,-1.3604125080028553,1
22971,sundays,-1.3576067385348407,1
10872,brandy,-1.3558411289553933,1
16742,apologetic,-1.3538887666030364,1
2328,grief,-1.3528747891708894,5
17929,chicks,-1.3447798073926922,1
6439,mug,-1.3332138151449164,3
13727,.i,-1.3296656545652417,1
15931,vibrant,-1.3269989811372507,2
1549,bitterness,-1.313156763152359,5
12189,joyness,-1.3096555932233205,2
11218,recover,-1.2969678945735013,1
2433,disappointed,-1.2899699002652638,15
16399,transplant,-1.285012001660518,1
12090,honored,-1.2847902114556555,1
1743,rented,-1.2838913618054462,1
22004,fundraiser,-1.2752552075727404,1
19168,gloss,-1.2475586708945294,1
6219,caring,-1.2196548752813667,1
20582,louise,-1.2193048365282537,1
8298,wireless,-1.2120765352154117,1
23163,fiesta,-1.2083018224065503,1
20504,reunited,-1.2072252713168368,1
20753,customs,-1.207003114473328,1
16974,chewing,-1.203089739713404,1
11230,vegetarian,-1.1954193586639583,1
19465,breaktime,-1.1851333235546273,1
21774,tap,-1.177715969100745,1
17245,auditorium,-1.1745447058084548,1
20640,showers,-1.1729599997852789,1
2248,kennedy,-1.1595466005079675,1
21747,arbor,-1.1340908082822958,1
21060,gracefully,-1.1220190709671707,1
2027,benefit,-1.1211259657340449,2
3530,sham,-1.1132680470362688,1
18653,rag,-1.1104554891763698,1
17553,goodone,-1.0888372520692864,1
16123,afro,-1.0885364540834344,1
13311,happier,-1.0850557904335218,5
16495,seasons,-1.0833523353222263,1
2416,bouquet,-1.0761427723781278,1
2497,disgust,-1.0622540337131714,9
1677,happiness,-1.0574897436538515,145
20523,mugs,-1.0563996845984593,1
1520,cheered,-1.0557024729628433,1
6928,barley,-1.055656991544224,1
15039,ads,-1.0465452041041357,2
961,nostalgia,-1.0451364499025277,3
13146,sherry,-1.0446746092338066,1
16134,hallmark,-1.0323181101452048,2
20167,seventh,-1.0298622577773824,1
13580,journals,-1.0265436517476325,1
9371,airlines,-1.0225790427982524,1
16404,herb,-1.0214735878097427,1
21266,applause,-1.0190457911059863,2
18967,loaned,-1.0179143611061219,1
12024,17th,-1.0138612803722185,1
11198,comedian,-1.007105460190641,2
11971,mr.carter,-1.0053265324075717,1
6021,activities,-1.003584791517958,3
8853,vanity,-0.9981493269914223,1
23429,pond,-0.9972165270407398,1
13072,showered,-0.9966760847979232,2
22283,spontaneous,-0.9936913489106187,1
17296,boiling,-0.9904872713817491,1
12420,softball,-0.9873995839534287,3
11984,fountains,-0.9869291669054581,1
17178,workshops,-0.9817379589976318,1
7950,vomit,-0.9775448236572941,4
17000,shrink,-0.9775224038137076,1
464,scrambling,-0.9761643864345332,1
140,joy,-0.9754617541336584,271
22082,functioning,-0.9661397525014819,1
8791,retirement,-0.9656400725954519,3
5897,youngsters,-0.9538615182751701,1
11519,louie,-0.9508230422683366,1
2332,hiatus,-0.9477498952258379,1
10114,northbound,-0.9445979122588517,1
15751,route.slowly,-0.9433685841644964,1
18333,lecturer,-0.9427174267213406,2
21806,vi,-0.93736820692381,1
7784,rent,-0.9371483782388053,8
14093,vegetables,-0.9363514250667757,1
1083,sponge,-0.935522071140956,2
13384,shuttleride,-0.935407023002833,1
8660,enraged,-0.932531320339597,3
16022,establishments,-0.928121157294939,1
379,wow,-0.9268829079650154,86
18488,receptionist,-0.9247171434489163,1
9179,charged,-0.92051009370357,1
8845,textbooks,-0.9187461333785794,1
20967,randy,-0.9169622407968233,2
15293,overnight,-0.9165619079242734,1
11434,attic,-0.9153101521144348,1
20104,martha,-0.9095976991095484,1
7985,-horace,-0.9079173040531932,2
21218,waist,-0.9065881374068019,1
6825,p.j.,-0.9065110213989227,1
7682,contentment,-0.9034423634676895,5
7668,mayhem,-0.9030922006440695,2
6298,foolish,-0.9003793514167728,1
17456,yobs,-0.8981390983796012,1
19696,hustle,-0.8960865494750795,1
14733,curry,-0.8863011069595814,2
690,homework,-0.8858625617463683,138
23327,gemma,-0.8841386326721736,1
3127,condom,-0.883638578470409,1
13838,homecoming,-0.8827461742373037,3
7924,kneel,-0.8789532784456597,1
15267,irritating,-0.8788930648177848,2
8817,suspension,-0.874890660150693,1
20299,pinto,-0.8739975012010998,1
12681,archway,-0.8730519606103324,1
2890,marathon,-0.8727005276352511,5
7633,connie,-0.872318553695312,1
20704,bubba,-0.8720388702220387,1
18226,concession,-0.8711499269261505,1
16510,accused,-0.8706899353159347,2
3967,premiere,-0.8688054062845387,1
10099,damage,-0.867150051014558,1
20160,sucked,-0.8667453569916144,1
21570,laughed,-0.8649717621113768,1
