,Word,Value,Freq
12264,sergio,-2.878440180650124,1
1641,rejects,-2.190376295575074,1
1505,hesitant,-2.121727153092312,1
6981,kidnap,-2.063402191845257,1
6963,luckily,-1.9154918795318032,2
22222,vulnerable,-1.8557940426614734,1
12461,finest,-1.824006303978654,2
9694,unaware,-1.7578263939260381,2
8032,unpredictable,-1.7210381258988665,1
7668,mayhem,-1.6226739025212684,2
7148,unmarked,-1.6216235691551435,1
15581,degraded,-1.620861667484948,1
21015,solitude,-1.6012200602702873,1
1224,expectation,-1.5970486839612326,1
22473,spartans,-1.5721127012120264,1
8962,mathematics,-1.557185977049826,1
20547,defeated,-1.495024833879294,1
711,hybrid,-1.4819289720072997,1
7955,curses,-1.481561681149728,1
3366,qaeda,-1.4765756495394828,1
17433,harden,-1.4563567503799801,1
12449,ashamed,-1.4544143629949566,3
17424,conservation,-1.418375532735478,1
18525,pronouns,-1.4143074119374868,1
10856,@jesus,-1.3999037329257458,1
10682,decency,-1.3815930300227992,4
19272,lacking,-1.373202482753932,2
6225,bile,-1.3542772986201776,1
3654,maintains,-1.3115180238854205,1
22082,functioning,-1.3025499802073441,1
22712,daring,-1.295105463241871,1
17883,ruthless,-1.2808005148237878,1
12497,afb,-1.2771008110733009,1
10883,distress,-1.2667115714611152,1
12809,envisioned,-1.2629279274465426,1
21775,prick,-1.258273883617588,2
12734,outstanding,-1.2361653563500656,1
547,nixon,-1.2265737411587627,15
16348,outrage,-1.2183609674771845,1
20112,ily,-1.2073225701019465,1
23158,mls,-1.1996011206546198,1
9191,huff,-1.1789894536318202,1
18171,tempting,-1.1644802886099495,1
14231,springer,-1.1629016033240727,1
4796,strictly,-1.16129732646104,15
23137,naã¯ve,-1.1600589966450734,1
19238,responds,-1.1589622685324141,1
9076,improper,-1.1533736833698485,1
19188,odessa,-1.1482251979526312,1
21522,fortunately,-1.1439251248139382,1
15906,deteriorated,-1.1410932551246342,1
23027,declined,-1.1357489069343814,1
19101,didn,-1.1335742626980057,2
22531,ducks,-1.1287073821135056,1
5668,explains,-1.1277670780640956,1
4667,sirius,-1.1170282825742057,1
1706,checkit,-1.1106510293020895,1
22451,hc,-1.1096295113642733,1
5412,ruins,-1.0971674696408165,5
2445,improves,-1.0894514103243553,1
15228,bordering,-1.0811989088832696,1
3332,diaries,-1.0751806644657145,2
6339,cocky,-1.0718593772678149,1
20855,discretion,-1.0708974209243336,1
17843,tomatoes,-1.0687006098459375,1
6926,christmasiscoming,-1.065316778132298,1
6148,brainwashed,-1.0630070591147565,1
18452,gage,-1.0493192675894771,1
16687,financially,-1.0325611109337063,1
13159,invites,-1.0304560372162435,1
20253,frankly,-1.0289455655764796,1
17056,premature,-1.0235343961160452,2
20597,fll,-1.0233638726666079,1
11602,terrified,-1.0163870206513923,8
9289,betrayal,-1.016210716928241,4
15836,culture,-1.0082126565029952,1
21527,broncos,-1.0077894503862581,1
16249,detrimental,-1.0020490269427018,1
19144,jordanian,-0.9971915315498006,1
11121,dalai,-0.9971657672783668,1
3746,bruno,-0.9964117919856852,1
11648,denial,-0.992364838708029,3
12933,lamps,-0.9915560630068444,1
12823,bryan,-0.99126105950218,1
2631,refusing,-0.9887284949355658,5
19819,juvenile,-0.9856696739874699,1
14144,blink,-0.9852988940070269,1
4887,dread,-0.9848201541870925,3
3638,surprises,-0.9831950552901402,7
12822,jennings,-0.982125694016035,1
23163,fiesta,-0.9771540774653353,1
23055,secretive,-0.9766015065213045,1
4797,frightening,-0.9712234065712301,15
11712,-babe,-0.9672381199541547,1
13936,loneliness,-0.9670097295555404,5
15266,rumors,-0.9648389902151108,3
15704,flashbacks,-0.9639977539182545,1
17611,smashing,-0.9632730769990672,1
13832,cindy,-0.9614933410988135,1
206,:(,-0.9602237138413676,341
18447,feb.,-0.9591368317330146,1
6274,exotic,-0.9582697003254156,2
18439,dddd,-0.9517619316553768,1
16944,venom,-0.9462700593097633,1
17998,illegal,-0.9462486337238865,1
22586,forrest,-0.9446351095529157,1
3757,installing,-0.9435184815238524,1
8498,remembrance,-0.9397227975472191,1
15339,reinforce,-0.9395824416292418,1
7392,pons,-0.939211980123091,1
11217,unlikely,-0.9372129588020995,1
4728,medication,-0.9340258873912282,1
10262,instrumental,-0.9302299360955866,1
15075,walden,-0.9278022121033924,1
11961,purposely,-0.9266123140570273,1
21639,transferred,-0.9258462466638198,1
1283,turing,-0.9249579362797016,1
5053,expectations,-0.9209196339831045,8
2832,vol,-0.9193563384024633,1
20661,usher,-0.9183149644993336,1
10378,diversified,-0.9157921434447518,1
22682,inquisition,-0.9119998659024308,1
6314,hardest,-0.9119309719290669,6
22510,fugitive,-0.9103964001147284,1
6469,jody,-0.9098107081922859,1
17564,qualifier,-0.9083637440116494,1
15725,fool!â€,-0.9026446987669513,1
11189,dislike,-0.9022096447205786,6
8319,shocking,-0.8998601464886257,5
12599,rotation,-0.8991397823721763,1
13799,eliminated,-0.8950274359478472,2
7587,browne,-0.8948998018048513,2
2021,appealing,-0.8935311502125455,2
8429,#surprise,-0.8901906945912248,2
15579,lacrosse,-0.8895894129361426,1
19638,chemicals,-0.8872073514668624,1
4055,stern,-0.8866019192644565,2
12082,scariest,-0.8846716559867027,2
3290,packers,-0.8835446872568994,3
9366,vicinity,-0.8805556005938425,2
9602,sans,-0.8784074607287015,3
12600,rotate,-0.8770154683123625,1
12015,nl,-0.8757812248812152,1
14306,vest,-0.8754985668592983,1
9950,junkie,-0.873117132482478,1
16123,afro,-0.8676643461354223,1
20849,woohooo,-0.8673358883654644,1
21367,respectful,-0.8645114036332869,1
23087,darrell,-0.858472897317774,1
8245,brandon,-0.856290379852892,2
3041,fury,-0.8560923613800081,4
9979,dn,-0.854477422394208,1
1740,availability,-0.8542743363957375,1
5423,contempt,-0.8517262398756293,1
14959,52,-0.8513601727823156,3
22288,stale,-0.8499451254804928,1
21060,gracefully,-0.8413384171384556,1
14376,shame-,-0.8371866098375289,1
16159,suitable,-0.8367395850342645,1
17639,sucker,-0.8332432880997658,1
17360,lean,-0.833097621946701,2
19388,brewer,-0.8329963848308927,1
18166,jv,-0.8319216690247966,1
6901,:((,-0.8307673706045506,5
5643,steelers,-0.8302684310739599,3
6185,incorrectly,-0.8290640664727482,2
17647,dayton,-0.8250521483294891,1
19269,#fact,-0.8246514531869047,1
10926,travis,-0.824205767658331,1
19018,mitch,-0.8237894967808359,1
3795,foil,-0.8237197940887624,1
17772,overtime,-0.8228613161075957,1
1223,false,-0.8228451343996604,25
4428,exhaustion,-0.8219190882904508,1
15574,"""#islam",-0.8195137022963782,1
11283,sank,-0.8192862141603257,1
14645,skater,-0.81862701156901,1
8433,zombies,-0.8162334527370039,2
10670,argh,-0.8134066496441641,1
12248,x2,-0.8112423115232763,1
9905,tennessee,-0.8108783787164426,2
16279,insecure,-0.8107608468923269,1
17954,classmate,-0.8092575587859058,1
11721,fights,-0.8086427674011452,2
16222,lonelyness,-0.8084001480442038,1
15414,see.his,-0.8070985612046009,1
2397,burger,-0.8062676728591339,4
9086,pricing,-0.8056997717049341,1
18380,breeds,-0.8013228683265492,1
18284,chandler,-0.7993928849933392,1
16500,colin,-0.793702578815547,1
15368,wacky,-0.7882295386244853,1
20299,pinto,-0.7881924863032902,1
13855,pbr,-0.7860577595375835,1
12275,bucketlist,-0.7855168205380334,2
13121,hotter,-0.784556240193008,1
17326,dddddd,-0.78377018977593,1
19757,kirk,-0.7836303071978223,2
1679,fearful,-0.7823297890024793,3
16220,jain,-0.7820728366154972,1
9620,sticking,-0.7818778781872945,3
23263,bye~,-0.7818327608551432,1
10664,heartbroken,-0.7813785771755887,2
14580,knives,-0.780329836806269,1
6445,rape,-0.7802308462253592,16
6094,sheffield,-0.77811258344778,1
16964,jew,-0.7776054425845507,2
16935,blues,-0.7761034668010776,1
10169,gov.,-0.7760857799420424,1
2497,disgust,-0.7752015526559562,9
6918,cosby,-0.7720986222366946,2
22900,flooding,-0.7704113197409445,1
18484,atlantic,-0.7685678774520519,1
16453,fm,-0.7684006990612022,4
18945,inadequate,-0.7680385533972869,1
17245,auditorium,-0.7670658624140556,1
1721,sad,-0.7668239870199292,140
6542,hurricanes,-0.7664562463317319,1
13302,vomitar,-0.7661579709836256,1
8990,shatter,-0.7654187474718042,2
9773,iowa,-0.7643656617467703,4
14729,maximus,-0.7641318387648367,1
11027,amir,-0.7634417772443607,1
16596,trembled,-0.7628880473416667,1
10473,boredom,-0.7616947506742493,3
20967,randy,-0.7613849649671887,2
8288,hostile,-0.7611789364491516,2
6810,areas,-0.7611493165253999,1
18024,skipped,-0.7607038832054689,1
2975,badly,-0.7591176335024823,6
14107,pity,-0.757461523835039,1
19656,runner,-0.7561730650705407,1
14263,joshi,-0.7558235306523233,1
15212,fvck,-0.7557934084133796,1
5946,jealousy,-0.7543217389543055,5
3215,humidifier,-0.753037315372364,1
15131,creativity,-0.7529615475533739,2
21747,arbor,-0.7519047588109968,1
11992,relocate,-0.751900915028701,1
4647,terrifying,-0.7515069275078907,4
11437,prohibit,-0.7509582762045138,2
16173,dx,-0.7500384106842718,3
3006,reaper,-0.7495308393083528,2
14889,uprising,-0.748122364803347,1
4232,pipes,-0.7470915601302537,1
14946,taunting,-0.7466297732722578,1
23341,fades,-0.7466010918219884,1
21165,astonishment,-0.7457641643543891,1
21587,edible,-0.745417284875205,1
10491,abbott,-0.7451875529838202,1
7992,mafia,-0.7443182569110032,1
5224,rebel,-0.7435616790020388,2
4808,unauthorized,-0.7433535402203102,2
13094,vanished,-0.742802217091242,1
249,generation,-0.7425858733968622,2
23073,auditioning,-0.7412421543993455,1
22680,solemn,-0.7401996821492582,1
19963,detest,-0.739557545693871,1
19421,gads,-0.7395507106676025,1
9866,novels,-0.738612861171325,1
17653,georgia,-0.732874972717342,1
4097,impressive,-0.7321991601725732,1
2560,resisting,-0.7308169679991752,1
10507,gasp,-0.7293547157949151,2
6872,day!!î,-0.7286807814932833,1
17702,wowzer,-0.7286397434786331,1
7843,stunned,-0.7274399859407883,1
7669,sunderland,-0.726741835763772,1
2414,judgment,-0.7264605852061665,1
18274,destroy,-0.7262245092402326,2
12178,bizarre,-0.725708189655992,2
10526,fatty,-0.7249029392297354,2
16440,peppers,-0.7245022653086461,1
4833,weapon!haha,-0.7230192109977437,1
14547,rappers,-0.7216650026832179,3
21755,abode,-0.7209860153711922,1
22497,promotional,-0.7201733237052728,1
5591,pennsylvania,-0.7201218711617199,1
12344,mutual,-0.718416304467993,2
12913,celine,-0.7178680870111536,1
12753,bisexual,-0.7164538970499328,1
5761,moodyme,-0.7146687824744541,1
17834,professors,-0.7146004767409058,1
18496,joan,-0.714469581300562,1
20246,soon.#sadness,-0.7143163161331881,1
11607,backgrounds,-0.7142278960498135,1
15446,geelong,-0.7141913660074402,1
18647,shanghai,-0.7140989621735774,1
2278,lonely,-0.7127446136564703,21
10106,heartbreak,-0.7098641846622289,5
3399,choosewisely,-0.706577140859559,1
3772,unstable,-0.7064201193439466,2
2773,published,-0.7053329253166964,1
17833,frustrating,-0.7050654674187081,2
5374,devils,-0.7039892333763638,2
19282,@patwell,-0.7039599521604917,2
16940,risking,-0.7036924509005794,1
9766,endings,-0.7023029587630716,1
12629,fuckyes,-0.7003967464097908,1
5988,exodus,-0.6994626460169252,1
3005,finale,-0.6991114360385292,9
8104,blindness,-0.6972269778491338,1
8988,fuse,-0.6972105235538699,1
22405,utrecht,-0.6968677837443367,1
5456,certainty,-0.696521447489086,1
17872,varied,-0.69553071296678,1
11333,disappointing,-0.6950634179573197,2
3487,resurgence,-0.6931555417720336,2
21045,donovan,-0.6917640867666938,1
11493,joel2,-0.6916167730912013,1
15187,:(((,-0.6911597136138707,2
12095,@bciatti,-0.690979337845093,1
9996,screenings,-0.6902565129593055,1
16431,49ers,-0.689987847554058,1
1298,monster,-0.6898955991952976,8
23146,:-(((,-0.6892203458269736,1
4795,frustration,-0.689137535710002,20
21357,fright,-0.6889968714396941,1
409,regrets,-0.6884016010269792,5
11770,secretsanta,-0.6882877991295657,1
10008,tragic,-0.6880546260237482,3
18233,copper,-0.6879404734970231,1
3813,hateit,-0.6870779776084487,1
18583,defiant,-0.6870651412225829,1
18698,cody,-0.6869301858253262,2
20090,destruction,-0.6868546123911332,1
13078,seething,-0.6861331474116092,1
11098,ska,-0.685995151397857,2
21858,scarborough,-0.6857868902007835,1
19931,let.s,-0.684875804345655,1
13329,butchering,-0.6840309969403527,1
16684,advisory,-0.6838212971176418,1
16863,greatday,-0.682121176426684,1
5231,liberia,-0.6812050734138315,1
17354,dissolved,-0.6809573975404057,1
20320,arresting,-0.6805990455110396,1
20197,secretary,-0.6804601327376268,1
20718,remembers,-0.6804303078044622,1
20599,amaze,-0.679654671013049,2
15557,aff,-0.6780980633854805,1
13411,surreal,-0.676352409349517,1
4206,rage,-0.6761877999543754,22
22179,marnier,-0.6749593134281542,1
3613,patriots,-0.6747247823127673,2
6372,exposed,-0.673689674769723,2
22147,anglican,-0.6736179641464606,1
23409,sinnita,-0.6733716102803942,1
17531,cnn,-0.6716621874249931,1
10221,dangerous,-0.6715787914677646,3
20635,xoxox,-0.6713602218075074,1
23002,politician,-0.6713149261326246,1
6247,hostility,-0.6703674813410393,1
17606,symbolism,-0.6697712486580903,1
8700,violations,-0.6695106254622432,1
7213,competitive,-0.6694617049568617,2
2696,#notgood,-0.668236409495257,1
20624,exiting,-0.6681760449670734,1
19755,fkkk,-0.6675950513495376,1
17011,vulture,-0.6674483657809116,1
603,surprise,-0.6673817437757475,125
9018,curious,-0.6671483841813439,4
1147,fearless,-0.6667224859581791,6
18067,du,-0.6660837643599622,1
15963,brooklyn,-0.6650883478986378,1
21211,sappy,-0.6626205895461288,1
20254,torino,-0.6619917975472552,1
12266,diving,-0.6613453625069632,2
13115,justify,-0.6612158772453927,1
846,fear,-0.6608715602875446,314
17264,huhot,-0.6607154997540456,1
10897,descends,-0.6598079290745421,1
13597,thompson,-0.6597884085140472,3
22382,stepping,-0.6588209247305281,1
17873,westboro,-0.6587353708879851,1
6891,loveyou,-0.6579692946685457,6
5207,scoff,-0.656364972461679,1
9998,2d,-0.6562172361401067,1
13466,beyonce,-0.6555841945468293,1
10937,marriages,-0.6549004369506335,1
13150,pakistan,-0.654443651085218,3
1233,hates,-0.6543759132116038,14
14763,khalifa,-0.6543610277721844,1
11942,fuckdiversion,-0.6542880465328951,1
16961,exiled,-0.652653997710773,1
10137,thebulge,-0.6525486197346956,1
8799,destroys,-0.6519063816766862,6
2227,goodbye,-0.6515190750721473,16
4865,pussy,-0.650506286217909,4
8975,kanye,-0.6499060728468252,3
20995,yeaaay,-0.6496560273801579,1
20062,decreased,-0.6493889348321064,1
6716,perceptions,-0.6492736439340747,1
11084,u.u,-0.6471290301188559,2
19608,temptation,-0.6464738906069694,1
12112,egyptian,-0.6454743759844218,3
17649,reek,-0.644904674815409,1
18886,2008,-0.6439447992273777,1
11230,vegetarian,-0.6436768007311271,1
17446,gaming,-0.6436735020884847,1
17244,ferguson,-0.6435755499609264,2
6504,doro,-0.6432013078108094,1
12577,stupidity,-0.6430375980049684,2
11401,banged,-0.642699795490817,1
1457,scared,-0.6426516498568594,99
2228,subjected,-0.6424741709780083,4
20835,petersen,-0.6415266835563895,1
12501,--babe,-0.6388950363924618,1
20237,addict,-0.6373780240526863,1
5872,fears,-0.6365691531192093,10
6111,cajuns,-0.6354004797932905,1
18290,wrecks,-0.6350714211738036,1
1202,@heidipilson,-0.6345874881073621,1
5158,urges,-0.6341915743201442,2
4713,avoiding,-0.6341253589315534,5
6053,jasam,-0.6341086032585456,1
592,gaaaah,-0.633465142133828,1
19831,afterthanksgiving,-0.6332550529213179,1
20431,posed,-0.6332427145939967,1
20729,danced,-0.632575127263586,1
5945,envy,-0.6291823556369264,3
5755,consume,-0.6288274016390021,1
691,:'(,-0.6280062927031099,53
10974,react,-0.626391839669998,4
9870,ryt!!!â˜¹â˜º,-0.626322262022099,1
11971,mr.carter,-0.6254734354290671,1
18222,sorrynotsorry,-0.6247616247904271,2
13146,sherry,-0.6246085400382678,1
3569,grading,-0.6244909377990112,2
12679,bathrooms,-0.6237310250219066,3
84,losing,-0.6235801238402019,37
17878,soundtrack,-0.6235782928690716,2
15449,waterfront,-0.6230132572320137,1
1828,ruined,-0.6218962250748135,9
4926,roosevelt,-0.6208483787348257,22
1422,miss,-0.6207904012702123,199
18152,owning,-0.6203612811687493,1
7330,fooled,-0.6170070641410499,2
13264,i.p,-0.6155263789562344,1
2833,comics,-0.6152643413730998,4
4664,vehicle,-0.6149047409694127,4
6880,kia,-0.6143606263748455,1
14625,santana,-0.613893491754368,3
11631,seriousness,-0.6137898368167829,1
8060,ruin,-0.6125444942394328,15
10760,@twitter,-0.6116875286799867,2
1758,depression,-0.6112666948802294,24
8229,tak,-0.610820927369261,1
4063,unexpected,-0.6102576254773483,16
14541,eliminate,-0.6097146971010269,3
12456,warped,-0.6094353998705297,1
15822,literature,-0.6086105129144842,2
2273,concerts,-0.608252793053786,1
1691,traumatic,-0.6070626255575117,1
4175,promising,-0.6069775833140363,1
17577,onli,-0.606774546040429,1
7965,rankings,-0.6062207175620843,1
3430,demons,-0.6059175933956084,1
11185,greed,-0.605616606422142,2
1302,terror,-0.6040326598083343,14
17172,passionate,-0.6039491417862122,1
12331,millionaire,-0.6037185521107236,1
8474,aimed,-0.6036006108929828,1
9704,vain,-0.6027027286340155,1
3766,surprising,-0.6025478981527128,8
16125,sd,-0.6023914777424746,1
6294,serenity,-0.6019772607159086,1
6425,shadows,-0.6016478405183748,2
13661,nhs,-0.6016271739517169,1
23035,weighed,-0.6014310954404729,1
23281,sacrifice,-0.5998602921876095,1
21767,retire,-0.5982481599064209,2
17355,transform,-0.5980666154110879,2
22283,spontaneous,-0.597215228195366,1
12604,botched,-0.5965369497026716,1
21291,trepidation,-0.5950679345299764,1
18360,nickelodeon,-0.5944629523635301,1
15632,youarenot,-0.59437938180544,1
10989,dorm,-0.5931528270911601,4
18517,41733,-0.5928916012495756,1
1370,assaulted,-0.5927592259303575,1
1912,aggressive,-0.5924533191159495,6
1121,hate,-0.5920899128994572,310
2794,memphis,-0.5919372443897277,5
