,Word,Value,Freq
6981,kidnap,-1.4095778677458526,1
7623,conflict,-0.8570996697992086,2
4808,unauthorized,-0.8229404895143301,2
9289,betrayal,-0.753764248298119,4
7668,mayhem,-0.7516743589214527,2
5412,ruins,-0.7142324436890575,5
9191,huff,-0.7108755291954534,1
1433,sabotage,-0.6693021797805638,1
22222,vulnerable,-0.6641930116352457,1
12453,feared,-0.659732076754084,2
16348,outrage,-0.6497837283686675,1
11602,terrified,-0.6229608524411885,8
5224,rebel,-0.6139926042115995,2
18274,destroy,-0.6107147471795153,2
12461,finest,-0.6052008371055126,2
17883,ruthless,-0.6051087978972377,1
22712,daring,-0.595041841954951,1
11648,denial,-0.5885294223946551,3
30,afraid,-0.5820567443705411,335
16249,detrimental,-0.5768892587430434,1
7410,shoved,-0.5722067446627638,1
8761,laundering,-0.5678960582336936,1
22457,rapper,-0.5666300134998299,1
206,:(,-0.5582579811306863,341
20062,decreased,-0.5533462256277419,1
4797,frightening,-0.5514291142002067,15
18041,retiring,-0.5496759631371463,1
547,nixon,-0.542974045748876,15
22283,spontaneous,-0.5357590558210475,1
23341,fades,-0.5335233991269511,1
7955,curses,-0.5332553160285816,1
15725,fool!â€,-0.5222764422916185,1
1679,fearful,-0.5222213489864457,3
11189,dislike,-0.5165338071671629,6
9076,improper,-0.5119451255149519,1
23137,naã¯ve,-0.5096751572909178,1
5872,fears,-0.5090535074863201,10
1595,protected,-0.5063804803771439,11
1641,rejects,-0.5043544863749827,1
3041,fury,-0.5021834117466781,4
4206,rage,-0.499922948093084,22
21015,solitude,-0.49902443462201174,1
12449,ashamed,-0.4941756600018796,3
9989,riot,-0.4930783757850941,3
2832,vol,-0.4910403576392436,1
12823,bryan,-0.49012927275102636,1
4647,terrifying,-0.4893488247837994,4
15579,lacrosse,-0.48733600739034866,1
6901,:((,-0.4808819386635643,5
19695,froze,-0.4774754682135638,1
13404,forbid,-0.476761187809533,3
8409,fear.#life,-0.4761118102410331,1
20814,cale,-0.4682445537387049,1
12822,jennings,-0.4660725997010996,1
17639,sucker,-0.4655107827857137,1
16940,risking,-0.4586655352202753,1
14214,dumped,-0.4534166548725322,2
14639,ruining,-0.44386836668276913,1
711,hybrid,-0.4436048023282608,1
846,fear,-0.44198866294901823,314
17060,bane,-0.441456839693932,1
1261,enemy,-0.43966644644789127,10
14922,wwe,-0.43953613826010407,1
13466,beyonce,-0.4374968172469883,1
12165,threat,-0.43746234825773317,5
2631,refusing,-0.4358933249396171,5
14610,sm,-0.4320683775486961,1
3047,lookout,-0.43119409425381977,2
8433,zombies,-0.4311837630155687,2
10481,vulnerable.-,-0.4286576059027711,1
16059,transportation,-0.4276322533686956,1
9203,>:(,-0.42367296766063395,2
10008,tragic,-0.42267656708513984,3
12107,inappropriate,-0.41966153560205394,2
6372,exposed,-0.41750374619950636,2
