,Word,Value,Freq
22448,î,-1.7552958909777132,1
22684,solemn,-1.3040875414959512,1
12825,jennings,-1.1391923178358254,1
10733,divine,-1.1047454315079437,2
10201,lt,-1.0919103345883803,3
9191,huff,-1.0307605993980433,1
7688,cheers,-1.0211578132418648,5
22482,cupboard,-0.9905351621748394,1
5834,whisky,-0.979543865131896,1
12118,exercises,-0.9472061326017692,1
1224,expectation,-0.9376213577886423,1
17299,boiling,-0.9038994864457184,1
17614,smashing,-0.8877969601953571,1
15689,devotion,-0.8814582056356205,1
15116,blending,-0.8798536387796901,1
21958,clap,-0.8481761680166316,1
18491,receptionist,-0.8320358176123013,1
3568,grading,-0.8202529336488451,5
1800,excellence,-0.8126852489393888,2
1370,assaulted,-0.8110475722178924,1
19065,harvest,-0.8086150747382272,1
17190,presenting,-0.8029292800385451,1
17303,shiny,-0.7913769526386727,1
9124,arising,-0.7868901768576357,1
17209,teachin,-0.7671668609453723,1
21862,scarborough,-0.7375641046746275,1
10995,production,-0.734818529165708,1
22080,testimony,-0.7337508711756862,1
4796,frightening,-0.7310656943055539,15
1043,responsibility,-0.7303921759128571,1
12916,celine,-0.7302346953244733,1
17321,broadcast,-0.725274375970218,1
1283,turing,-0.7252348932718473,1
23167,fiesta,-0.7187537481387456,1
21799,counselor,-0.7145074486798682,1
20083,torch,-0.6973043248017669,1
21491,mischief,-0.6971510486797448,2
22910,poke,-0.6955732429367408,1
1351,convergence,-0.693398651542475,2
21270,applause,-0.6914359774552894,2
13493,homework/,-0.6840467216713089,1
14788,peggy,-0.6830723795926932,1
16926,scraping,-0.680916061020936,1
19485,exits,-0.6800360121466609,1
20256,frankly,-0.6788095717331295,1
16093,intermittent,-0.6757253229593725,1
5982,bows,-0.6754973595341047,1
18944,homer,-0.6746381264170609,1
21700,pleasures,-0.6731390042916725,1
19171,gloss,-0.6712727700651113,1
21216,westbound,-0.6698878746318606,1
16687,advisory,-0.6682908444532327,1
16849,cooper,-0.6675479096670947,1
9861,topless,-0.665942638757683,1
15727,fool!â€,-0.6625633656374149,1
12737,outstanding,-0.6623186440216471,1
10987,foe,-0.6554845801395888,1
22182,crowned,-0.6439338625241655,1
16961,hazard,-0.6425411752917218,1
22975,sundays,-0.6425008992918513,1
20949,philip,-0.6352696327460692,1
16360,hail,-0.6333353536794668,1
8034,chief,-0.6323408708258083,3
11620,joseph,-0.632252577392924,2
20649,showin,-0.6303328334551124,1
14932,rhythm,-0.6302590653950733,1
1661,task,-0.6219167031855144,5
18526,grammar,-0.6210962182875792,2
15342,reinforce,-0.6207740267453083,1
6334,preaching,-0.6202236776827745,3
16226,entertainment,-0.6185761345117111,2
19836,calculations,-0.6165162504592983,1
9348,loyalty,-0.6138974978989716,2
21909,advocate,-0.6136614362019462,1
7195,thirds,-0.6116912782280928,1
20323,arresting,-0.6022294741530445,1
22287,spontaneous,-0.6002290126206664,1
16824,skiing,-0.5987470090367455,1
14235,sharting,-0.5968499309427682,1
13932,festivities,-0.5946576223124714,1
12881,constitution,-0.5939783724346286,1
16848,risked,-0.5927664510620025,1
20777,infinite,-0.5920741860231317,1
6224,bile,-0.5860124247769516,1
14018,tent,-0.5842577242994538,1
5270,nodding,-0.5819912397058191,1
5570,inspecting,-0.5819419610987997,1
4009,crown,-0.5815961024665607,5
11974,mr.carter,-0.5815140527352665,1
23234,taxis,-0.5776296282283777,1
10484,vulnerable.-,-0.577611207363346,1
13614,army,-0.5765245434866285,1
16351,outrage,-0.5753925244971342,1
8723,excellente,-0.5742755846421521,1
8232,presented,-0.5741815572167491,3
1969,avoid,-0.5732108183717389,24
15932,demonstrating,-0.5726850510278765,1
3168,buddha,-0.5673490348503923,8
6572,baking,-0.5655559556776216,12
3765,surprising,-0.5649592418503965,7
13458,neighbour,-0.5648843592388589,4
2205,inspections,-0.5607068007534894,1
21802,confess,-0.5603371654634549,1
1517,graphics,-0.5586670463283856,1
2575,consultation,-0.5579368765362435,1
17215,posing,-0.556342702581585,1
12952,tips,-0.5558552911275847,2
3241,prove,-0.5539568093291315,3
20897,diary,-0.5523690995357686,1
17427,conservation,-0.5517574780493636,1
22686,inquisition,-0.551341023725959,1
22806,extracted,-0.5494717911971589,1
20383,laborer,-0.5491053719073534,1
3578,so.excited,-0.5490237179480698,1
1163,commence,-0.5487052799409818,6
12646,designing,-0.5483169168835939,1
11272,assault,-0.5472041974423087,1
11692,custody,-0.5458742205194502,1
20574,careful,-0.5445821211030889,1
6183,oath,-0.5369896066259562,1
22716,daring,-0.536602298114411,1
7227,punjabi,-0.5364644048002419,1
10923,mare,-0.5352244878967617,1
17162,urgency,-0.5338376126677264,1
3756,installing,-0.5336292352160852,1
21510,plural,-0.5331028828097066,1
1478,inspect,-0.5325801481268989,1
547,nixon,-0.5310457611334521,15
20834,approve,-0.5310294905024302,1
17328,arrival,-0.5305763757972173,1
11124,dalai,-0.5297213286094532,1
8549,prof,-0.5284714847498138,1
8525,minimum,-0.5278350261740486,1
21693,edmond,-0.5275485166215319,1
21301,shirley,-0.5275183179190541,1
16482,scriptures,-0.5274504263583786,1
23331,gemma,-0.5274212450776659,1
11346,confronts,-0.5250804640977464,1
14881,screams,-0.5245221714730214,2
3637,surprises,-0.5241910504762678,7
8831,locking,-0.5210460923382366,1
16678,thoreau,-0.5207983685331723,1
3832,neighbours,-0.5198657891892139,5
11832,signalling,-0.5192646777074711,1
19477,algorithms,-0.5188361148856449,1
10027,anythings,-0.5172260684911677,1
12456,feared,-0.5165163995553235,2
8782,challenges,-0.5163813519901502,3
16977,chewing,-0.516355492381586,1
6167,violence,-0.5160391583653033,6
19812,hymns,-0.5145184948996485,1
18586,defiant,-0.5141131844140885,1
10453,unity,-0.5137046655106521,1
1134,detention,-0.5121553385149149,3
4089,nicely,-0.5120054037409142,1
18549,motorway,-0.5114184814972772,1
19927,keeper,-0.5113797433619973,1
3782,alfred,-0.5100474740477665,1
11255,centres,-0.5093815039518026,1
11642,rescues,-0.5090208480034464,1
6926,barley,-0.5089971235110646,1
4526,governed,-0.5080804347958625,1
11341,congressman,-0.5078349899890044,1
20756,customs,-0.5074964958075704,1
22352,abusive,-0.5057964499953185,1
8760,laundering,-0.5055249207228041,1
6659,bodies.~,-0.5040603956007427,1
7953,enjoyable,-0.503935739449664,2
13652,neat,-0.5022605326491447,1
10980,precedent,-0.4999517723099679,1
14736,curry,-0.49978733534614245,2
11370,jackie,-0.49855564151474985,2
9897,skinned,-0.49850114403995294,1
19342,functional,-0.49850027339175496,1
13664,nhs,-0.4983456939178449,1
10633,treasure,-0.49826968033694874,2
18455,gage,-0.497618613387245,1
21340,gp,-0.496515597814907,1
12751,accessory,-0.4955867417736273,1
3974,physiology,-0.49534726861332146,1
7786,prep,-0.4946486745077376,3
13656,overboard,-0.49364927529078706,3
12251,x2,-0.49218805343186167,1
10725,confluence,-0.4901422516796695,1
4612,sovereign,-0.4896326415899782,2
8993,warfare,-0.4885740445254599,2
6843,booming,-0.48669048245131047,2
5790,-martha,-0.48304783560527764,4
3806,clapping,-0.48206056093040406,1
1375,badminton,-0.481960095008916,1
6410,labor,-0.4816049009752579,1
7400,solution,-0.48139143771376675,3
23088,digestives,-0.48038736423007167,1
20139,cosmetic,-0.47885465183415377,1
6832,immense,-0.478581410138728,2
