,Word,Value,Freq
22444,î,-1.282423747377294,1
9191,huff,-0.879766355240609,1
22283,spontaneous,-0.7941446302021016,1
10730,divine,-0.7420654378359638,2
4797,frightening,-0.7012199105135648,15
22680,solemn,-0.6905890629428947,1
10198,lt,-0.6825533261915214,3
17424,conservation,-0.6752087828562114,1
18488,receptionist,-0.6697968850081617,1
21367,respectful,-0.6530962118878649,1
15113,blending,-0.6409647320707639,1
13050,stroll,-0.6374087462435248,1
6219,caring,-0.6157277774632701,1
1800,excellence,-0.6054068015504608,2
1556,tidy,-0.6051500491083128,2
11343,confronts,-0.6037130147276317,1
20594,yeaa,-0.6024371838214412,1
23163,fiesta,-0.5927528647085031,1
14321,seth,-0.583325077347703,1
20080,torch,-0.5757672195429806,1
14015,tent,-0.5716662377181152,1
10798,hesitation,-0.5681425687648727,1
21696,pleasures,-0.5630434793420136,1
12643,designing,-0.5601588363373521,1
18583,defiant,-0.5575978846733247,1
5271,nodding,-0.5573601959561811,1
20112,ily,-0.5564848523742634,1
16479,scriptures,-0.553945072514555,1
2575,consultation,-0.5533430791130722,1
19269,#fact,-0.5482846867661555,1
1224,expectation,-0.5410838760435581,1
22712,daring,-0.5395220078456363,1
3579,so.excited,-0.5372527312524711,1
15687,devotion,-0.5260191802722624,1
8338,confronted,-0.5253753236609237,1
17862,enjoyment,-0.5240639133903454,1
5835,whisky,-0.5238608659043179,1
20774,infinite,-0.522122062469595,1
16059,transportation,-0.5189991007248561,1
5768,ok.just,-0.5185661031074154,1
12483,improvement,-0.5167513189748639,1
22076,testimony,-0.5115334083469649,1
1163,commence,-0.5099970042783437,6
3638,surprises,-0.505779634532849,7
505,obedience,-0.5056196684791492,1
21486,mischief,-0.5040999292419132,2
11859,hysterical,-0.4991628568837484,1
12411,12th,-0.49649242760062856,1
6411,labor,-0.4933338167275483,1
5571,inspecting,-0.49123058647846063,1
12552,bonding,-0.4904796174306779,2
8157,commencing,-0.488723724050098,1
19120,enormous,-0.4851414019181081,1
14610,sm,-0.4850812962296024,1
14854,.-,-0.4838913734457646,1
20876,punished,-0.48367612055170606,1
1043,responsibility,-0.4802594336370627,1
17890,villain,-0.47793469085031887,1
22428,balancing,-0.47620031037257116,1
17159,urgency,-0.47362687795869973,1
7016,giggled,-0.4714702447547712,1
18489,whistling,-0.4708360458583092,1
11734,vox,-0.4705509834548335,1
14232,sharting,-0.4659632433028448,1
3367,insurrection,-0.46465765678328397,1
22107,crowds,-0.4634403430582845,1
10481,vulnerable.-,-0.4625543248837265,1
6061,suggestion,-0.4595582685902211,1
12336,highness,-0.4593570828914587,1
13614,practicing,-0.4534758708111733,3
16159,suitable,-0.4529767445633046,1
7985,-horace,-0.4509638742144618,2
15207,ms.,-0.45041680327114775,1
3766,surprising,-0.44880967086944373,7
13490,homework/,-0.4436124540333237,1
16958,hazard,-0.44357981043234496,1
17318,broadcast,-0.4370630353910625,1
16357,hail,-0.4358329666212753,1
18567,scouting,-0.43521563486011705,1
2357,responsible,-0.4349870770886149,2
14733,curry,-0.4347995731979609,2
1351,convergence,-0.4320720781115336,2
20771,pointing,-0.4295232393626127,1
21689,edmond,-0.42788664680727867,1
13465,dealing,-0.4275569188727058,3
15208,linda,-0.42681172108707144,1
10517,courageous,-0.4238452740925721,1
19279,reassure,-0.4222642083804174,1
17513,values,-0.4174186336843585,2
17212,posing,-0.41611755085451185,1
22906,poke,-0.4118368842976702,1
3606,8-),-0.4114615998372686,1
10482,wooden,-0.41111489769944054,1
20527,l0l,-0.4070446090184001,1
10932,hugs,-0.40432075187890576,3
3807,clapping,-0.4037804288864618,1
19243,o!god,-0.40233685162346955,1
12248,x2,-0.40197391352213263,1
19474,algorithms,-0.4017964257619055,1
15044,locks,-0.40157137806175136,1
15725,fool!â€,-0.40127575253899583,1
20635,xoxox,-0.40021801720062894,1
2787,islam,-0.4002131657536179,4
2139,susan,-0.39965783336117844,1
7954,enjoyable,-0.3994985327077675,2
7270,seriously!,-0.3991287133334107,1
8662,understand.â€,-0.39779058326316924,3
8724,excellente,-0.39734668210709,1
1147,fearless,-0.39650828130380217,6
22224,approaches,-0.39139477175879567,1
11252,centres,-0.39121217015290954,1
19809,hymns,-0.39037429752491465,1
10129,colorful,-0.38695026308185226,1
5854,hallway,-0.38574434006972064,2
13776,-merry,-0.3855627117479783,1
1113,supper,-0.38542902529313633,2
8783,challenges,-0.38533789947932556,3
23137,naã¯ve,-0.38522999122659995,1
19746,readings,-0.38509043509744173,1
8643,magnet,-0.38502888645615363,1
6335,preaching,-0.38466488252071973,3
13693,composition,-0.38430426532903184,1
18452,gage,-0.3841346945838845,1
11269,assault,-0.3833055647953685,1
2858,blessing,-0.3832396602250427,13
5669,everything*.,-0.38218440070302573,1
1394,winged,-0.3809327126520696,1
5792,beck,-0.3807552512766681,4
11617,joseph,-0.38027987057759216,2
21165,astonishment,-0.380085524984013,1
6872,day!!î,-0.3791732914407145,1
4613,sovereign,-0.37868549596892315,2
9118,emergency,-0.375469409598751,3
3756,bullying,-0.3750222786822688,11
19482,exits,-0.37449598562863856,1
16761,speaks,-0.37427396032391164,2
20229,earthquake,-0.37426815165049865,2
21954,clap,-0.3739526799513735,1
5053,expectations,-0.37385234059094413,7
14665,continuously,-0.37299046674217934,1
11712,-babe,-0.36816110511620836,1
17300,shiny,-0.36786299910601955,1
19652,#strength,-0.3676842360703561,1
2217,evidence,-0.36748262641472595,25
13146,sherry,-0.36709932530564926,1
22682,inquisition,-0.3660555977797334,1
8660,enraged,-0.3655508669441725,3
1784,mrs,-0.36546607630772016,11
16730,andre,-0.3645204696716209,2
12062,bitt,-0.363783508805292,1
20472,prosperity,-0.36333371541886383,1
8429,#surprise,-0.3630898035265866,2
6029,adventure,-0.36156327131138394,3
10586,~george,-0.3606332375395673,1
14594,organising,-0.360487096117164,1
10063,requirement,-0.3596994411761184,1
13292,department,-0.359590815453391,1
8718,forensic,-0.3591011111539918,1
10617,pageant,-0.3590475004594559,1
8811,._.,-0.35810376602899197,4
14125,detail,-0.358087068817991,1
23040,"-,-",-0.3577939724645354,1
18608,5a.m,-0.35718855142990813,1
15478,1.employee,-0.3564596413755594,1
4681,guests,-0.3562155102985891,3
17296,boiling,-0.3562083792355326,1
1283,turing,-0.3560150979702263,1
15593,lara,-0.3556937361717789,1
5659,topped,-0.3549042504959563,2
6272,foyer,-0.3548514020780946,1
4796,strictly,-0.35382750361085236,15
10679,mondaytherapy,-0.35329800340713874,1
3413,jar,-0.3532483378324752,2
12823,bryan,-0.3526364221749626,1
4201,â€,-0.3522547762354168,8
4114,travelling,-0.3519274759902138,2
9713,sincerely,-0.35124532860737057,4
18851,thankfulfor,-0.34942314763431964,1
6660,bodies.~,-0.3488049527488029,1
8994,warfare,-0.34876866348352675,2
16887,action.â€,-0.3478762117081455,1
1457,scared,-0.3478368958544539,106
16577,drakes,-0.3476755303252257,6
20814,cale,-0.34743790055645496,1
13971,christmasshopping,-0.347220715861743,1
19110,caribbean,-0.3472150006641944,1
1969,avoid,-0.34718717278494404,24
2856,excitement,-0.346980517451661,28
21235,simplest,-0.3465244923614793,1
4695,awareness,-0.3463456624456455,3
14900,hopeful,-0.34596512389148193,2
603,surprise,-0.34522078126984973,144
7728,experiencing,-0.34423109970249044,1
15648,meee,-0.34395868444368677,1
19406,prepared!.,-0.34292929721037363,1
8722,observe,-0.34189978212945993,2
22245,ptl,-0.3417944120074562,1
2762,yell,-0.34123604776711247,11
10856,@jesus,-0.34121031502000976,1
15141,go.â€,-0.340829647855851,1
14268,lml,-0.33964442897110414,1
23382,bart,-0.3391023798845708,1
16927,malcolm,-0.33823769722562746,1
12822,jennings,-0.33789893533566817,1
10301,involving,-0.33721617016515093,2
21330,-psalm,-0.33695556930766246,2
21393,clues,-0.33622252609469083,1
7690,cheers,-0.3361996712694026,5
10137,thebulge,-0.3357526400181941,1
16523,cabs,-0.33571816348981953,5
5096,delightful,-0.3350882923813189,2
16821,skiing,-0.3334300114406329,1
11971,mr.carter,-0.3331206315289859,1
10902,jean,-0.3324004408112471,1
10630,treasure,-0.33238430937195906,2
2320,sipping,-0.33227210524234124,2
14533,cheerful,-0.3322278570790571,3
19833,calculations,-0.3305668428451883,1
3757,installing,-0.330447974577407,1
13072,showered,-0.33013457395484036,2
11213,safely,-0.328933455345112,1
15615,speaker,-0.3287936202094413,4
7436,pledge,-0.32829110429068836,1
1661,task,-0.32821536022285874,5
1370,assaulted,-0.32755076856954457,1
20952,winter+christmas,-0.327521351672651,1
23307,gigantic,-0.3274500697678814,1
878,blessed,-0.32744012743762596,42
1387,angel,-0.3267473107383958,11
18941,homer,-0.3264010825322796,1
4312,:)),-0.3252439539995203,8
9031,îž,-0.32523991624377235,4
16751,flapjack,-0.3247626886249973,1
13821,chocolate~,-0.32440887772966,1
10024,anythings,-0.3242769708587482,1
21266,applause,-0.32379837226620206,2
15001,pain!â€,-0.3235320876178396,1
5243,accomplished,-0.32334741482567136,6
1009,formal,-0.3220223080291738,6
13570,crisis.â€,-0.32181005177012456,1
6271,rushed,-0.3187084375632789,2
18778,~notes,-0.3184378399251917,1
4010,crown,-0.318334974071793,5
6867,à²,-0.3182766102805248,2
9624,progress,-0.31786997467889233,3
13757,walks,-0.31786251489776446,5
9086,pricing,-0.31766620259455747,1
1829,inspiring,-0.317562885345884,5
16276,stations,-0.3170040183213214,1
21288,entering,-0.31685878016366587,1
15695,dosent,-0.31655739793648785,1
17939,heroes,-0.3160239727494235,1
6856,convenient,-0.3159372962218674,2
19764,alf,-0.315708873743999,1
16467,wahhh,-0.314756878806899,1
16726,cuisine,-0.31468380153001774,1
22430,hedge,-0.31462180401896833,1
8850,~psalm,-0.31449009081387835,2
11832,introduced,-0.314481707377036,3
17611,smashing,-0.3144079944175301,1
3215,humidifier,-0.31417667515057346,1
1869,questions,-0.3140357286077357,12
701,enjoying,-0.31373963202221283,17
8241,cautious,-0.3119282461162076,2
7787,prep,-0.3117732910003912,3
4664,vehicle,-0.311717305257793,4
16852,unlocked,-0.31167165536703445,2
16223,entertainment,-0.3112957272902711,2
17579,mandate,-0.3108541013821011,1
1679,fearful,-0.31077233112974506,3
893,introduce,-0.31005440366343096,2
6034,lunchtime,-0.30941050804250847,1
17639,sucker,-0.30910793966835454,1
15574,"""#islam",-0.30888399070224515,1
711,hybrid,-0.30839885972288994,1
17714,practical,-0.30819059999991866,2
22179,marnier,-0.30814173082217544,1
16060,infants,-0.3071139597636827,1
12737,then!off,-0.3071105817156247,1
23311,oneself,-0.3069355627411716,1
11878,needles,-0.30682043470587955,3
21133,you!!la,-0.30680957616084303,1
1052,required,-0.30636612231171195,5
9640,#god,-0.3050868909433492,2
5791,-martha,-0.3050338383795581,4
1472,prayer,-0.304608807252859,20
4933,refreshing,-0.30451706543058343,4
15406,tasks,-0.3043295530123732,2
852,carnegie,-0.3042645257221659,2
4205,witnessed,-0.3041416375988405,1
13078,seething,-0.30411886830153245,1
17343,spicy,-0.303666735235291,1
4482,infiltration,-0.30343614533780394,4
19917,district,-0.3029837490713466,4
