,Word,Value,Freq
20087,threatened,-8.29888796044296,1
16465,surgeon,-8.181365942938614,1
8567,punishment,-7.518665535452245,2
6219,caring,-7.397044579760214,1
16821,skiing,-7.332764243873167,1
23149,dilemma,-7.0140050038501816,1
19997,hamlet,-6.94819244967965,1
22082,functioning,-6.5501802184677365,1
1375,badminton,-6.424328124948509,1
22323,crippled,-6.350123210049374,1
17689,betting,-6.319385138374367,1
13661,nhs,-6.095595203828747,1
4746,tyres,-6.071498734936875,1
12530,sms,-6.033911815424467,1
17641,drained,-6.0022558774073405,1
21773,spinal,-5.91599741891177,1
11130,ranks,-5.864384513848272,1
11073,deaths,-5.657495186056616,2
8522,destroying,-5.479645532901613,2
6710,peanuts,-5.474700348088729,1
17748,petty,-5.4222831497645,1
21455,fracture,-5.377126768477622,1
4222,elimination,-5.321061165611371,1
13037,belize,-5.29345368661863,1
13877,stampede,-5.048358894720837,1
6122,useless,-4.952116475056264,6
16846,cooper,-4.8869971831639605,1
19758,eden,-4.850728982656519,1
13115,justify,-4.757148335253964,1
8628,leaks,-4.621673775939389,1
7184,fled,-4.544419553153755,1
14214,dumped,-4.5389196814256545,1
21820,conditional,-4.310353034422024,1
7931,unsure,-4.304562952580997,1
19151,mocktails,-4.280711068718093,1
13611,army,-4.269972945298209,1
21564,stung,-4.204385233477938,1
17329,itv,-4.189061225966183,1
15271,lover,-4.176807839697165,2
18496,joan,-4.171387443759224,1
15836,culture,-4.158861073487432,1
9651,spots,-4.115875558823999,1
20628,foul,-4.061939651558632,1
11992,relocate,-3.980767113856905,1
11135,needle,-3.9052823187368766,1
22444,î,-3.9029727811496775,1
6767,spokesperson,-3.842164093319393,1
9943,generations,-3.8036829419315072,2
19009,bowties,-3.784659916851548,1
12425,chaos,-3.7463833123773007,1
18029,indefinitely,-3.7295682260555587,1
7493,recruiting,-3.6659662333980427,1
9304,crops,-3.6327138337938267,1
8102,daylight,-3.6167108920541544,1
6491,nosedive,-3.5860071895853745,1
20136,cosmetic,-3.5598298190172404,1
2352,oblivion,-3.5421643581837805,1
6911,stabbed,-3.540329991890699,3
12643,designing,-3.523077052602112,1
16220,jain,-3.4938453527795117,1
14024,conscience,-3.4919211266682155,2
21464,annabelle,-3.4860092632248962,1
18313,repairs,-3.456044128914094,1
21333,blocking,-3.4339338133866,1
14875,executed,-3.4254250878222763,1
10683,crashed,-3.398655169706415,2
4059,junction,-3.3800343657151246,1
7395,bitchin,-3.2668297351782307,1
11437,prohibit,-3.244138294070604,2
13445,saritha,-3.241437479577619,1
15319,rival,-3.2372060218176526,2
11607,backgrounds,-3.2275083439875076,1
6342,torment,-3.214050906157984,1
7907,u2,-3.2132182963636966,1
3404,coal,-3.204429400441272,2
17519,dirtiest,-3.1554158869293163,1
11037,disappears,-3.136002595746234,1
8244,helpin,-3.1288677580428845,1
20241,troll,-3.113130189717074,1
20993,slump,-3.0839429742292515,1
12833,grump,-3.073808978826969,1
4428,exhaustion,-3.0205808614482397,1
9274,walnuts,-3.0154141742882192,1
9104,preach,-3.00970237565071,2
6287,rejected,-2.992580836755913,3
16053,arthritis,-2.9869595047213973,1
1150,jurassic,-2.986778005246682,1
5138,wanker,-2.98624424654426,1
14560,europeans,-2.9815617155276035,1
475,grounded,-2.9804657376244177,2
8977,genus,-2.977887567370716,1
1175,macro,-2.9705579522884284,2
18025,otter,-2.952073861161868,1
18978,kidney,-2.9494025999473155,1
9619,vomiting,-2.921253379486392,1
22160,render,-2.9171663247810606,1
3938,numbered,-2.914684409284334,3
5712,quest,-2.9137633316760914,2
