,Word,Value,Freq
20264,dreadful,-0.6234352750315546,1
16001,contempt,-0.5826354820966987,1
21530,thoughtless,-0.553272765426221,1
20704,asshole,-0.47955666045466516,1
9639,degraded,-0.47649189751414767,1
16636,vexed,-0.3987860588199907,1
11884,speechless,-0.3860808931915524,2
22846,messiest,-0.3263652303256588,1
4044,declining,-0.3123899551641136,2
16869,horrible-,-0.30973982046440435,1
6945,strained,-0.3031752472642656,1
3452,worst,-0.293856505579059,188
22552,sickest,-0.26581961528775416,1
18975,underrated,-0.2550493276732661,1
15177,déjeuner,-0.23513622079892443,1
8208,taints,-0.23410538034255376,1
7152,unfortunate,-0.23000106507312074,16
5153,obscene,-0.21978303456750242,1
8025,lord,-0.21366405789125614,2
22198,accidental,-0.2052344318395861,1
4274,nightmare,-0.2004584155792542,11
17305,upsetting,-0.19874574467863826,3
6766,horrific,-0.18306386213250941,4
22685,skeptic,-0.1818165189642549,1
8502,sank,-0.17950113903280518,2
17330,slamming,-0.176335491810215,2
21997,strongest,-0.17208095382092797,2
18233,rhetoric,-0.17005122566157183,1
8729,wives,-0.1699322472433472,2
11875,stinks,-0.16843014965885506,2
14256,muddy,-0.16030439270236302,3
14461,blandest,-0.16021371779509513,1
10943,immature,-0.15864835436847566,1
12165,lashing,-0.15764503277362818,1
15565,punched,-0.15579383048698633,1
502,terrible,-0.15555580983915585,183
557,horrible,-0.15244001820771452,181
4533,musty,-0.15027475824333963,1
9152,disliked,-0.14672441053652643,2
11521,ruins,-0.14558594560826904,4
3218,disgusting,-0.14480869970757052,39
22355,waster,-0.13873871094028198,1
3331,fuck,-0.13858543838234477,5
8003,sucks,-0.13556184582660744,50
4627,majorcontruction,-0.13180419998767573,1
18576,.only,-0.13117677754219473,1
7334,dealings,-0.13059274919430655,2
23279,infuriated,-0.12676090519938532,1
2916,mismatched,-0.12589111586113877,2
21736,verweilen,-0.12551947750338427,1
2688,quits,-0.12470984096113094,2
17405,unfollowed,-0.12334935061979023,1
5037,blows,-0.12014248423834908,5
4089,awful,-0.1195166687673193,93
22635,pretends,-0.11748738150765187,1
2779,demolished,-0.11641091277418833,1
5998,pathetic,-0.1147089370979832,10
16723,feathers,-0.11401911148908883,1
24270,bailed,-0.11328240736798156,1
19388,212pm,-0.11318408045030776,1
683,hated,-0.11202670960667427,11
1306,unacceptable,-0.11180509891967426,23
14916,atrocity,-0.11076829242891312,1
23242,propaganda,-0.11066735548658028,1
8761,condemn,-0.1098443771618,1
10305,yikes,-0.10925480379132908,5
19436,dud,-0.10830350418885548,1
11703,unacceptable-,-0.10663079633649353,3
9796,dwindled,-0.1063353866819552,1
22880,interuption,-0.10579179029456354,1
3769,lame,-0.10308747739106766,13
7128,hilariously,-0.10079648508778044,1
12311,resent,-0.10030228153503919,3
16511,tarnished,-0.09648271077076456,1
5004,upset,-0.09609169563476139,36
18775,identity,-0.0954841358396044,2
7944,bitch,-0.09466595758920647,4
4264,uneven,-0.09255430673866849,12
2907,hangs,-0.09040130928251325,4
8026,46,-0.08983525994672639,2
20241,overload,-0.08972457107069123,1
8345,sucked,-0.08820937366995939,16
13694,royally,-0.08793383178517533,1
13583,wasteful,-0.08723375299582166,3
6328,ignore,-0.08708645008588002,11
6567,disaster,-0.08670484556579369,15
14959,scammers,-0.08661060035648588,3
9167,insult,-0.08640957062955475,6
23732,antibiotics,-0.08571388062647399,1
5665,overrated,-0.0840551204710355,10
16808,decline,-0.08356815716116764,8
13823,vile,-0.08317529299675551,2
4090,ridiculous,-0.08282479411609027,65
20479,apologized(in,-0.08223306689318678,1
12860,lungs,-0.08167168526054484,2
22915,-incompetent,-0.08161117097388301,1
15596,destroyed,-0.08102635475940863,4
702,lacking,-0.08081329081565343,46
13936,moldy,-0.08076771085880195,1
12566,consequences,-0.08027393551290438,2
20970,skatepark,-0.07946263769405047,1
7801,income,-0.07866309696640404,3
5010,screwed,-0.07780295176458855,12
6105,disgusted,-0.07776092211643122,7
12357,back-,-0.07727651684233594,1
8138,suspended,-0.07700481244161728,1
9532,accountability,-0.07667059761069875,1
1281,downfall,-0.07663141502698322,13
19380,terrible--,-0.07619551095074521,1
10132,violently,-0.07575275300208158,3
16384,150.00service,-0.07500198174259863,1
9178,poorer,-0.07454612065812437,4
14288,fraud,-0.0744715372907905,1
3210,inedible,-0.07396481113355162,14
21733,aufmerksames,-0.07377800831116517,1
20011,priced.you,-0.07350136303783054,1
17599,unnoticed,-0.0729220102809146,2
12086,overslept,-0.07277172250484269,1
2893,rude,-0.07232422554823134,218
6868,dump,-0.07186284453822336,13
14322,sewer,-0.07170661543739634,1
3723,gross,-0.07059647768956362,43
23008,trashy,-0.07055490008734705,1
9953,jaded,-0.06951425271187096,2
20096,wilfred,-0.06947283130970777,1
22905,my.one,-0.06896746221389168,1
7820,unbearably,-0.06797127437567528,1
9740,snarky,-0.06764539937289392,1
5315,ruined,-0.06717514921339618,21
22282,theory,-0.06646759554665703,3
9297,early-20s,-0.06641574852908894,1
9295,mid-20s,-0.06641574852908894,1
20757,buffett,-0.06620023368260797,1
1098,poorly,-0.0658384312167128,26
15562,bullshit,-0.06581944617891133,2
5496,embarrassing,-0.06559454903459914,8
2650,poor,-0.06475420763523367,138
1554,bland,-0.06471657164293738,152
10451,coward,-0.06465800847634245,1
22096,reciept,-0.06458544374732034,1
6139,questionable,-0.0640203301735042,5
21529,intro,-0.06398544266659256,1
6310,torn,-0.06370312123694483,11
13932,deserted,-0.06370292034320947,5
6089,horrid,-0.06357960317520739,4
15180,sympathique,-0.0628262931760173,2
8888,idiot,-0.06281739899360089,8
15587,axed,-0.06259033782248487,1
721,distracted,-0.0624048010007587,5
5336,disarray,-0.062341810547301126,1
7628,shame,-0.06154785034813921,39
2781,hate,-0.061436869704233996,93
8907,irritating,-0.06117961017390406,6
684,meal-,-0.06098682028697311,1
19494,travesty,-0.060763022144854455,1
19792,bolted,-0.060647770242834284,1
7863,singled,-0.0604418869567755,3
16298,-outta,-0.060076211047653816,1
22333,commencé,-0.059875650763955346,1
15010,professionnel,-0.05978450246365468,1
15011,rapide,-0.05978450246365468,1
19079,hacen,-0.05956394019492782,1
19077,porque,-0.05956394019492782,1
19078,saben,-0.05956394019492782,1
7906,advertising,-0.05926823272345578,8
8554,stolen,-0.05913622154709128,6
24387,salter,-0.05892684517400918,1
16374,wholly,-0.05889941728104592,2
20481,crock,-0.05880313585017005,1
17963,huit,-0.058317134190383334,1
21500,arid,-0.05815316610893546,1
24111,ineptness,-0.05804319761019645,1
4305,declined,-0.057900356279515355,15
23948,decouverte,-0.05750112017362219,1
9782,unbalanced,-0.05745804284801,1
9898,ancient,-0.05716255187248902,5
303,disappointment,-0.05689311558034323,58
11339,unkind,-0.05686039854774026,2
2773,crappy,-0.05684050082061826,23
14210,stripped,-0.05676160906247851,2
12488,managers(a,-0.05672873157737435,1
15972,quotation,-0.056524724761644995,1
17965,placé,-0.05630984480689272,1
23768,ploy,-0.05623648025572099,1
8438,shock,-0.05603881631681394,13
11267,bumpy,-0.05598701139128609,2
18404,gooooood,-0.05556662743672347,1
10747,erratic,-0.054705201063792036,2
17968,assiettes,-0.054194237067207954,2
14414,glock,-0.05411940018178439,1
1860,lie,-0.05397434425823978,29
20506,dilemma,-0.05386757813486684,1
21979,unannounced,-0.05368136092607845,1
3592,iam,-0.05356658298656854,1
11198,nothin,-0.05352535640505397,2
13870,matches,-0.05341544382913621,5
7345,jerk,-0.05332178695588746,41
8142,convince,-0.05317739197362817,1
23950,delicieuse,-0.05273582220443995,1
6185,frustrating,-0.05271780582658505,19
23752,corrado,-0.052652511309853545,2
4113,incompetent,-0.05260989296132519,15
3001,refuses,-0.05221769915625982,3
15820,exhaustive,-0.05211372547923939,1
11566,reeked,-0.05196539103692177,3
17088,mcmurray,-0.05142050590822483,1
15452,staggeringly,-0.051297135592563214,1
23207,quelques,-0.05115974794632814,1
23206,faites,-0.05115974794632814,1
2638,disappointing,-0.051068657727328,79
10417,pathetically,-0.05098260008973978,1
5206,diminished,-0.05091925599469341,1
18070,survey,-0.050780522274892034,1
12321,insulted,-0.05063168053528412,4
18159,blamed,-0.050453799165656614,3
20400,laughably,-0.050386114447599474,1
8133,slowest,-0.05036215520552619,5
6503,weak,-0.04999811198090874,15
22169,shaming,-0.04994664640976106,1
12083,kicker,-0.049829868879539614,4
17060,prunes,-0.04964745029203448,1
21943,coincidence,-0.04957916563142381,1
7346,unimpressive,-0.04945997192173448,3
19660,tm,-0.04944163099960521,2
14044,abandoned,-0.049395747523121335,4
9699,nowhere,-0.04928508798246053,15
9529,applies,-0.04901554621826258,2
7548,pregnancy(which,-0.049008929796057525,1
19463,jerked,-0.04880991237133381,1
6361,mold,-0.048788518654353914,3
23760,truant,-0.04860475633267053,1
18750,douche,-0.04823892972934077,2
13062,impose,-0.04798695225282569,1
2453,crap,-0.04762554413644702,42
8887,worthless,-0.04757981909731335,3
7673,lied,-0.04755525508710209,13
21827,serveuse,-0.04744182934506506,1
9141,progressively,-0.04734623876109023,2
12046,childrens,-0.047289582098071804,1
4646,displeased,-0.047243642653858886,4
4091,apathetic,-0.04724160023976467,3
15786,unpatriotic,-0.0470576577984859,1
7083,l'un,-0.04683256086435924,1
7084,d'eux,-0.04683256086435924,1
7085,savait,-0.04683256086435923,1
7441,zero,-0.04671977827861588,43
7300,telephone,-0.04660668886942487,2
14203,offensive,-0.04645161710775769,3
2319,stank,-0.04587071872799712,2
17009,gradually,-0.04578622844316119,3
6806,phasing,-0.045427031985811876,1
12124,vendre,-0.04523562641134668,2
16802,violated,-0.045027976007100144,1
12960,sewage,-0.04492796112044111,2
19679,-somewhat,-0.044874090607313365,1
23733,misdiagnosis,-0.0446179944243884,1
19852,this⁉,-0.04461641576310086,1
19851,fkry,-0.04461641576310086,1
18971,wrongggg,-0.04452520061998968,1
15913,discernible,-0.04402310549405869,1
2315,disguising,-0.04400121461287589,1
24110,administrative,-0.04374488772771456,1
13253,exploited,-0.043523639826082754,1
18816,deteriorate,-0.04350217606413335,2
9813,calmly,-0.04342186483856933,3
14193,bickering,-0.04331447515114443,1
10148,dispatchers,-0.043254833243556744,1
22755,birffday,-0.042922118776192425,1
18234,democrat,-0.042879685212227264,1
18255,wobbly,-0.042814888182283226,2
12232,noel,-0.04273502625632023,1
14540,comcast,-0.04264177852797533,1
17446,flattering,-0.04259667405237517,3
6595,outrageous,-0.0423251255241955,10
5868,lousy,-0.04228667557005966,10
15264,stunk,-0.04188359776256759,2
4073,atrocious,-0.0417229753205614,6
21267,throws,-0.04171875287015828,3
22545,screening,-0.04169040334408094,1
3027,stale,-0.04166752989932065,31
2593,lacked,-0.041640259715591786,30
21660,visuals,-0.04148705385368712,1
22165,servimgs,-0.04132639905916097,1
21421,there.they,-0.040974280353630856,1
23798,otherside,-0.04097102603782343,1
10100,me(rather,-0.0409162577572877,1
22848,assister,-0.04090192906206597,1
22984,threaten,-0.040708488010207995,1
7132,scam,-0.040631056579874966,20
13065,charlotte?)fee,-0.04048166515653926,1
16106,irresponsible,-0.040423279040770185,2
293,average,-0.040325952663850737,206
15179,respectables,-0.04014177688918974,1
20677,ferme,-0.04008103647811634,1
22639,mica,-0.03984692792833904,1
14572,cec,-0.03980333145556767,1
9180,lies,-0.03975894203617124,4
7670,collusion,-0.03972816769468898,1
18728,emblazoned,-0.039692810361818334,1
18564,thise,-0.03962866857775741,1
9497,ghetto,-0.03953416433365512,6
21678,callback,-0.039418844532414794,1
1116,garbage,-0.03938909828180948,23
15942,irks,-0.03903229117679114,1
24000,and/,-0.03898233632355223,1
8202,processed,-0.03894396992606699,4
24336,barren,-0.03879718486290175,1
24102,shudder,-0.038717449587795105,1
17414,mt4,-0.0386069544375048,1
16371,sapporo,-0.03850835141854352,2
23148,malees,-0.038411148078063215,2
3593,satisfied.i,-0.03836259984304464,1
567,cobra,-0.03809937172465852,1
3433,blew,-0.03803812848731165,16
13035,defect,-0.0380114103998033,2
21727,surly,-0.03798563601459326,3
10942,chix,-0.0379753685723294,1
397,hazard,-0.03796717586096672,4
1934,straw,-0.03781561064595026,12
3576,dead,-0.037759938015506485,36
10035,inconsistent,-0.03754839943879372,9
1123,darkening,-0.03722781544218316,1
