,Word,Value,Freq
20282,degraded,-1.9393345756804377,2
21119,vexed,-1.0771976552436855,4
8249,unreliable,-0.9608642626994803,3
1593,shortest,-0.6915906126297982,2
22955,gag,-0.6768068284293993,4
16493,ruins,-0.671009609297762,14
15104,thoughtless,-0.6337493167076981,1
16740,disappointed:/,-0.604915675099454,3
23359,ridicule,-0.5604646278601375,4
3504,chaos,-0.5579362416956084,4
21358,kul,-0.5446905821424672,1
11942,lacks,-0.5389079946083513,22
11393,fuck,-0.5140992410398763,19
4501,downfall,-0.5023945805244896,13
10550,horrific,-0.465887870399583,10
17937,diminished,-0.4416904501604786,2
24666,rhetoric,-0.40331423421304297,3
3127,slowest,-0.40016902962608614,20
14150,nightmares,-0.3979288204737592,5
14249,asshole,-0.39730804617120424,2
114,disappointing,-0.3954600170531071,220
15075,uneventful,-0.3950453158741502,7
22543,molester,-0.39007292691005385,2
6424,scoffed,-0.3472569006707643,2
21842,meg,-0.32749844142337425,1
21359,litt,-0.31650622794923877,1
19089,purge,-0.3155221201750793,4
1229,frustrating,-0.31522088518117874,38
19109,kefir,-0.30736382093150366,1
15705,snarled,-0.30643263479670374,7
23370,inacceptable,-0.3050535652179768,4
11998,wobbly,-0.3024484155489741,1
8255,advertising,-0.30146619652534773,24
18204,claudia,-0.2950094492232005,1
4660,inappropriate,-0.29160023706192323,22
2070,dated,-0.28071761990031335,12
13454,violations,-0.27434441852844127,2
203,horrible,-0.27342597353285997,533
4542,pathetic,-0.27319382382458823,32
13002,hidey,-0.2704811797762845,1
3656,participation,-0.26352171713221845,2
18791,hod,-0.25631223087394794,1
9706,inaccurate,-0.24950435081237923,24
16121,robbery,-0.24854729011105475,4
18089,clerks,-0.24385256788391177,3
2395,worst,-0.2421877308270929,609
7358,inconsistent,-0.24016881204951568,11
5499,overrated,-0.23970361392814113,24
8814,identity,-0.23140683675766374,6
16000,disregard,-0.2303956431253919,8
13985,thirsty,-0.2300337943601229,7
21361,likevel,-0.2252717078715335,1
24553,messiest,-0.22176663585936415,3
1415,irreparable,-0.21928175615853168,2
8223,grillades,-0.21895105349689237,1
20216,desolate,-0.21861921949060129,3
21363,besøk,-0.21798828386496538,1
14926,repulsed,-0.21719086710097704,7
16931,demolished,-0.21480801877429254,5
940,poor,-0.2123606699987251,362
3329,unacceptable,-0.2110066473441277,52
2069,lacking,-0.20642592167729035,93
14790,assholes,-0.2047272635244762,3
4482,terribly,-0.2026118791395881,16
8797,dull,-0.19849029458736048,20
1298,terrible,-0.19777729987822817,521
21422,sinking,-0.1974445639245373,1
3125,dumbest,-0.1964958111239964,6
18033,nonexistent,-0.19418102732266873,5
2246,weak,-0.19414455292338714,17
16168,eliminated,-0.19379592720400557,4
4288,boo,-0.19339768484844463,14
21580,dud,-0.1930935816267112,1
20950,shaky,-0.19242504319261955,5
16803,doki,-0.18949236430837357,1
22778,overhyped,-0.18921546823178,2
1390,unfortunate,-0.1890171787933202,29
4975,poorly,-0.18725175871497207,93
643,bland,-0.18273038206752906,270
16140,.looks,-0.1816387470022526,2
16802,toki,-0.18087800302221024,1
13208,somber,-0.18043071798621635,1
22703,females,-0.17998910827140302,1
2142,awful,-0.17950926429970715,234
5144,problematic,-0.17900081566069173,3
7059,distracted,-0.17735421490726075,5
10220,anomaly,-0.17732704166855606,4
7081,struggling,-0.17732443475276655,8
15231,degrading,-0.17639151433400574,4
16825,eazer,-0.17591117003511492,1
16886,hilariously,-0.1741828472417148,4
8448,uneven,-0.17180564931541809,19
21707,infraction,-0.17125756104403542,1
2081,stale,-0.17105158576804955,68
8224,rapide,-0.16880336510806793,1
13123,fail,-0.16858814884795914,57
1509,false,-0.16792838601531027,53
6976,entirety,-0.1666228939373008,2
8577,ruined,-0.165413855548349,57
18805,marshal,-0.1650618776501431,6
18790,churos,-0.16501625344042548,1
19305,stirred,-0.16404996482326534,3
7504,savagely,-0.16303369806551132,4
16563,actors,-0.16264755328734024,2
23373,fiable,-0.16245291315889984,4
12221,locking,-0.1616435653168098,1
9821,suspended,-0.16078768219223433,2
8858,ewr,-0.1601348010853375,1
13447,coffeeee,-0.1599066396811265,1
10865,utility,-0.15974848924817237,3
10543,sloppy,-0.1594608446390626,12
23378,ferme,-0.15903600537733845,4
5128,zero,-0.1567350778557135,118
15030,today-,-0.15668849121792117,1
11280,gradually,-0.1556989338532147,12
13847,ancient,-0.1549307093001499,8
9361,ill,-0.15432435100739045,47
4379,awfully,-0.15348518886859058,8
5088,disappointment,-0.15342905412167465,137
21437,privilegiado,-0.15313076608255152,1
9471,optional,-0.15292368385201086,7
21362,verdt,-0.15100593411158547,1
17903,benefittdd,-0.14988295944851285,1
16210,peets,-0.14772141089197177,1
24250,sk,-0.14767101290323326,1
12551,belong,-0.1470922066434602,6
6096,nightmare,-0.14284767698339237,28
3830,useless,-0.1424047976738145,10
4583,sewage,-0.14217935627862185,5
7321,miserable,-0.13834320255353946,19
15634,contracted,-0.13829480945691652,2
14562,appreciation,-0.1374265557180719,2
13003,indifferent,-0.13695259321715558,4
14727,misinformed,-0.13683580768076137,1
9923,jerry,-0.13674611910803447,9
4015,boring,-0.13608040123681045,49
5133,frustration,-0.1356451976262382,24
8181,declining,-0.13445810467283545,5
20663,-outta,-0.13312021647798555,1
6042,acceptable,-0.1296739354316582,45
18549,jackman,-0.12922057379319254,7
16579,blurry,-0.12921073153080445,4
18556,jitb.,-0.1288943653082094,2
10609,hiding,-0.12866886766247634,4
16284,foodbag,-0.12796393330927813,3
2222,sucks,-0.12682101772769874,144
20496,tims,-0.1267205818600598,4
11216,contempt,-0.12636957309770386,3
191,disappointed,-0.12618418125913758,659
8184,bullshit,-0.12588299326182087,3
22839,gooooood,-0.12547088660498748,1
2400,worse,-0.12534548840234108,198
12789,apatite,-0.12489387693693359,1
4582,terminal,-0.12415089705779339,10
15535,musty,-0.12406109761195865,3
9162,kristin,-0.1239673323818568,1
23618,secret-,-0.12204855784395899,1
20934,nobel,-0.12124513743138976,2
1833,overpriced,-0.11916325723796607,164
23297,jarring,-0.11767316018435985,4
11981,online-,-0.11701889018319339,2
21436,fuentes,-0.11694184773042426,1
21001,spancy,-0.11642661341737925,1
17075,trippy,-0.11623728076656477,6
12159,lace,-0.11622726968239964,2
22588,buzzing,-0.1160506864185955,1
7450,bastard,-0.11528033060179643,10
20913,1-$2,-0.1152266982448923,1
3356,ordinary,-0.1147802977719482,16
23391,priced.you,-0.11450972293201371,3
10597,mare,-0.1142120294506235,4
19006,scraped,-0.11374634096226488,3
7104,rig,-0.1132699020962471,1
516,slow,-0.11262002328827811,351
8733,foul,-0.1126079675091837,17
15261,pricer,-0.11230421045723862,1
2388,barely,-0.11208070704052041,176
22258,idle,-0.11148867912539379,2
18640,wasteful,-0.11115694662343993,1
17709,infuriated,-0.11067341663881845,1
1784,mes,-0.10975760038631799,6
14794,downgrading,-0.10940832255800358,2
8039,improperly,-0.10913513887701849,5
17504,sleepy,-0.10789189058165716,1
7453,shouting,-0.10735894467551597,8
3655,inhibiting,-0.1067346196781474,2
16804,tokidoki,-0.10659543820270606,1
2075,lackluster,-0.1061658694920115,21
10240,agony,-0.10605067196607218,1
16285,ig,-0.10549199698753868,3
15386,cancelling,-0.10445108819486386,13
15856,marginal,-0.10440091387732581,9
8161,disguising,-0.10431934254666965,4
24422,actuality,-0.10331410877103808,3
20716,difficultly,-0.10293126660339175,1
16959,overprice,-0.10285236100678523,5
9014,scammers,-0.10250958055405907,6
5761,soggy,-0.10232260334206573,140
13750,muchca,-0.102148421305793,1
4593,overwhlemed,-0.10208972083660214,2
3487,okras,-0.10203634429554043,2
1128,disgusting,-0.1012752176151452,139
18107,horrible-,-0.10096783005979963,9
1429,rude,-0.10056128859940858,618
1197,messed,-0.1003488100760899,74
2660,thieves,-0.09922173195931006,13
9686,depressed,-0.09892760371353744,3
1321,hate,-0.09854913313364612,153
21432,cortes,-0.09682128285319269,1
9754,deteriorated,-0.09675002640287492,8
10038,bumpy,-0.09602677942925293,3
1528,dirty,-0.09527001110482283,219
17765,puke,-0.09479332075890763,1
3654,overcrowding,-0.09375539038686731,2
21445,penney,-0.09370869909165802,2
20343,offensive,-0.09247389438598734,3
5513,beware,-0.09238657414681083,92
7022,cancelled,-0.09223328177629454,40
4522,nobody,-0.0920631799365525,104
17173,misdiagnosis,-0.09193334272091178,4
3227,garbage,-0.09176740765469268,51
13299,disappointment.the,-0.09167499794558459,2
