,Word,Value,Freq
11732,speechless,-1.0308987031818642,2
9530,degraded,-0.550099553587359,1
3989,declining,-0.5378060394402469,1
20576,asshole,-0.502848765965323,1
15819,contempt,-0.5023854183165304,1
17214,slamming,-0.48105817173165905,2
18854,underrated,-0.4598434660105671,1
20119,rigid,-0.4591670753473981,1
5170,assholes,-0.4227903506899934,1
24058,futile,-0.42072644795757397,1
16460,vexed,-0.4114923200838157,1
12159,halted,-0.4037450937013408,1
22394,sickest,-0.3717246859628639,1
20932,override,-0.32353276799681063,2
14098,short-,-0.31925468142442776,1
15892,doki,-0.2730639281581555,1
4521,currents,-0.2672226921313035,1
13803,failure,-0.2672005424419528,4
4968,disregard,-0.23845088190925434,3
5994,hysterical,-0.2287417280250262,2
14079,stripped,-0.2165240992188288,2
7070,unfortunate,-0.2015827902169556,14
21381,thoughtless,-0.20011163927865383,1
1281,downfall,-0.19378498980132441,13
10180,uneventful,-0.19178553666283793,1
13913,abandoned,-0.1756181158426343,4
21849,strongest,-0.17502816338712118,2
15032,déjeuner,-0.17384486383219255,1
15004,deviant,-0.1681446685789621,1
23391,spreads,-0.16345642503983138,1
5246,shitty,-0.16274622247726597,12
12149,crapload,-0.15967619750746526,1
15366,averagely,-0.15723157899847406,1
8676,inferior,-0.15587075270526593,3
8058,slowest,-0.15276295797702882,5
11389,ruins,-0.15195340185332412,4
2853,mismatched,-0.14960131819855582,2
4251,marino,-0.14693050071942207,3
20876,antsy,-0.14436126423406076,1
702,lacking,-0.14341456616004852,47
18670,nobel,-0.14328538319125367,1
22681,messiest,-0.13725609853567886,1
6498,outrageous,-0.13373545933547484,9
14073,disdain,-0.1326773436572728,1
4974,infact,-0.1324364275764728,1
6193,odds,-0.1300520820726726,4
3028,coarse,-0.12952894806297838,2
20707,obliterated,-0.12849467572908602,1
4179,uneven,-0.1279402888484989,12
15891,toki,-0.1263138356517468,1
7733,income,-0.12549408860712064,3
13851,bdubs,-0.12363787323285402,1
12061,attorneys,-0.12207932263612746,1
14124,muddy,-0.12000106307851932,3
20775,coffeeee,-0.11899235096285699,1
6404,weak,-0.11726607598328706,15
16556,peacock,-0.11681683514777685,1
16557,feathers,-0.11555353985956707,1
17189,upsetting,-0.11545639639329029,3
6851,strained,-0.11453362893120217,1
11783,sensations,-0.11218140198041616,1
18843,drippy,-0.11092705595019585,1
19945,coutu,-0.11091695668774132,2
7504,tentative,-0.11039409085617864,3
23456,peracriptions,-0.10685154646704526,1
567,cobra,-0.1065312579459563,1
22750,-incompetent,-0.10449875856857704,1
5869,understatment,-0.10423411539097453,1
502,terrible,-0.10346084659131126,175
9927,inconsistent,-0.10311005416773851,8
7801,absurd,-0.10219186697683819,4
13076,nonexistent,-0.10203306540234415,2
5916,pathetic,-0.10104825306922206,11
23950,cainiac,-0.10047568048385408,1
15306,staggeringly,-0.09780396351261052,1
21998,horrified,-0.09738945483069004,2
21965,uppity,-0.09608756604009734,1
15987,cachet,-0.09604945775061419,1
11699,sweating,-0.09596241315626375,1
18995,claudia,-0.09596005950453312,1
14412,smacked,-0.09519190316225971,1
1522,bland,-0.09061174349720237,153
7834,advertising,-0.08870184806377876,8
11084,junk,-0.0881912601467328,4
3354,worst,-0.08485445349940547,186
15481,nowland,-0.08478973545864521,1
6344,rises,-0.08391852183767523,2
8757,observed,-0.0824760925253487,3
20170,unacceptably,-0.08213015387400681,1
14186,sewer,-0.08142120906465589,1
683,hated,-0.08081630737722799,11
18698,deteriorate,-0.08072121761722353,2
13591,naggy,-0.07911413210169609,1
1643,sparse,-0.07862907555970958,10
16205,150.00service,-0.07601507007441903,1
8231,exaggerates,-0.07579178820063988,1
8812,fought,-0.07556372254209523,3
10248,luc,-0.07468903107581609,1
22050,accidental,-0.07450325077246422,1
16319,thr,-0.07436561602883357,1
14314,blandest,-0.07421829676458186,1
23946,shudder,-0.07367039281216416,1
8132,dump,-0.0735927479539324,12
16106,sacked,-0.0720870897368908,1
23258,jp,-0.07155007699039306,1
557,horrible,-0.07148709159773811,180
16943,hinder,-0.07136164015796068,1
21804,suspects,-0.07125338184037214,1
14425,devalued,-0.07086097308781736,1
6076,frustrating,-0.07060550411910174,19
7862,dull,-0.07057967576585851,9
11072,nothin,-0.06908540636458459,2
5956,loose,-0.06906029241164444,9
10083,seperate,-0.06863715699538735,2
10833,immature,-0.06863663455479212,1
18278,rebellious,-0.06825114486521025,1
22683,assister,-0.0679902156877775,1
6796,308,-0.06760431281831474,1
6222,ignore,-0.06552128471051342,10
21527,callback,-0.06515433275109629,1
17042,osbourne,-0.06485334611330623,1
10285,pathetically,-0.06450178182737903,1
12691,lungs,-0.06397471250399579,2
3907,chilly,-0.06289237316409743,8
22661,secret-,-0.06265684973070587,1
1098,poorly,-0.06256868088085109,26
16671,slipping,-0.06240340466455307,2
4037,ridiculous,-0.061361220899183756,66
13639,uninvited,-0.061041338037270756,1
2583,poor,-0.06089250398731831,137
17254,sunglasses,-0.06068432029393541,3
17723,freeze,-0.0604128904731826,1
11937,overslept,-0.06016928865399077,1
18971,corroded,-0.06006686230592437,1
20802,online-,-0.059895497501369466,1
15034,respectables,-0.05976655301242001,1
19958,wilfred,-0.05962036577056398,1
7337,sleepers,-0.05838961882663054,1
17056,diff,-0.05794229490062464,2
13430,wasteful,-0.057774861219385854,3
23457,hand.which,-0.05769538880969172,1
5130,charts,-0.05758161382799899,5
9378,attributed,-0.05747409011256806,1
8838,commit,-0.057392381157769734,3
4036,awful,-0.05613318564426616,91
24141,belonged,-0.05569673250818126,1
13790,deserted,-0.054470723564248535,5
10786,stole,-0.05441887251382163,12
10346,relaxation,-0.05427937290892116,7
22955,noting,-0.054226506244609035,1
20041,overloading,-0.05362211920475151,1
4416,acceptable,-0.05348169764095652,20
6179,ditched,-0.05327313329632038,1
16615,moping,-0.05307638331358655,1
13406,arr,-0.05302290370501722,1
20110,grueling,-0.05301399728612011,1
15154,passais,-0.05269715129129193,1
19555,-somewhat,-0.052690689629191524,1
7350,zero,-0.05254784024898926,42
3654,repulsed,-0.05254527240699421,2
4452,musty,-0.05240317183229529,1
19366,travesty,-0.05239332641780212,1
7848,filipina,-0.05218525693372448,1
9630,wash--,-0.05158535612804067,1
6711,phasing,-0.05122675214653897,1
9962,useless,-0.050493665583957695,7
19698,inherently,-0.05042418979463123,1
18435,dumbest,-0.04994976118119916,2
20133,dreadful,-0.04964555506540541,1
14072,offensive,-0.04962632763934866,3
23602,truant,-0.04960161623063935,1
12661,punished,-0.049304450915896345,1
3222,ill,-0.04816760855918312,19
15374,crutial,-0.048044500118574196,1
22598,offensively,-0.04750868470951268,1
5229,ruined,-0.04746315318673732,22
5118,diminished,-0.04706816439468242,1
195,rebel,-0.0468780987852255,2
19661,-just,-0.04672989183860854,1
15647,gentrification,-0.045783686873401286,1
16366,sloppy,-0.04572979975593492,8
3194,vendian,-0.04571649509085337,1
24188,barren,-0.04544574014736269,1
7238,false,-0.045437931322962644,14
2570,disappointing,-0.04533717513630659,81
20266,utter,-0.04531367597515592,2
15865,legitimate,-0.04530476061445943,2
15760,irks,-0.04498941511575911,1
11940,struggling,-0.04494357780145468,5
8775,intelligence,-0.04493960175588645,1
9674,unbalanced,-0.04480483431219499,1
1507,fond,-0.044795193215525546,7
1115,hardened,-0.04468117734848152,1
17041,sparrow,-0.04412115072984834,3
19663,-odd,-0.04391926461654738,1
16952,prunes,-0.04383195807778841,1
22883,cigarettes,-0.04327646854419196,3
2830,rude,-0.04325222924735601,219
20345,wary-,-0.04270375135011728,1
3106,inedible,-0.04259964161682025,15
17267,collided,-0.04255136705927694,1
10090,hideaway,-0.0423879237951398,1
20274,preferred-,-0.04209250523048963,1
11201,reeks,-0.04187553074445197,2
12903,uninformed,-0.04168716584566973,1
2589,sad,-0.041625026994084886,76
8958,nibble,-0.04154515925954035,3
3596,fail,-0.04138210819978686,21
18634,sleeze,-0.04129911075558579,1
19419,vomiting,-0.04110482374818948,1
19269,underdog,-0.040947405256179015,1
17500,metric,-0.04079309540194378,1
18127,lastnight,-0.040694053929087676,1
16113,93,-0.04059457438054427,1
7010,suis,-0.0402196118048541,5
3355,nasty,-0.040122933530364224,35
6380,racist,-0.039765371810632825,3
12943,fabricated,-0.03972692251726736,1
20344,apologized(in,-0.03953534609195529,1
5832,stylisten,-0.039366597486584075,1
21852,nua,-0.03925091674159381,1
23860,intolerant,-0.0391154506907685,1
15542,katarina,-0.03904832737740649,1
3649,overcrowded,-0.03868227926342085,8
22716,eyecare,-0.03852452935258306,1
9390,ghetto,-0.038442767966247966,7
4221,declined,-0.03836328184192977,15
4000,lackluster,-0.03827196014551308,8
2048,danger,-0.03819097318051831,1
6341,rustic,-0.038139367677327014,11
21746,occa,-0.03794819047054598,1
17292,mt2,-0.03792403524317888,1
9739,ratty,-0.037893081352780314,1
23610,ploy,-0.037427850538231305,1
3115,disgusting,-0.03726401171575164,39
15651,quay,-0.037171208776163915,1
20564,mf,-0.037166877355410424,1
21532,meg,-0.03714020940024458,1
6237,cheesey,-0.037051072056623745,1
23521,lawrenceville,-0.03697483488516268,1
7776,-no,-0.036906236240443036,3
2085,burnt,-0.036711337025211496,49
15968,readily,-0.03667961239699656,4
24212,tue,-0.03624613987614742,1
24211,l8ke,-0.03624613987614742,1
