,Word,Value,Freq
4276,unclear,-0.12063885569105537,3
10889,altogether,-0.11525389040446044,1
10292,problematic,-0.0928560994510832,3
9597,competing,-0.08812138112432422,1
7530,wrongly,-0.08786792669161514,2
7107,alleged,-0.08618393282677062,1
13844,prematurely,-0.0857589015256508,4
9031,mistakenly,-0.07942866471927346,1
13054,tinged,-0.07248618436446108,10
11323,sandy,-0.0723657038638521,3
15313,/>dear,-0.0693590774881443,1
7688,stepped,-0.06915142772561467,1
15627,inability,-0.0681554159210691,1
12446,locations,-0.06707354448404601,1
16795,rodents,-0.06621373579181977,1
13461,traffic,-0.06597321863065275,1
13666,firms,-0.06443239452305605,1
16456,uncomfortable,-0.06304559420459555,1
7292,odds,-0.06292150720003065,1
9299,fascists,-0.06290739291802083,1
16391,noises,-0.06279229851423906,8
8363,remarks,-0.06259134376227848,1
13995,scraps,-0.06250262439536414,7
15331,tendencies,-0.062085160934827854,1
2860,cringed,-0.06168889164564462,7
3144,eliminated,-0.06168631149530057,2
16792,sickness,-0.060339397185771304,1
14515,consciousness,-0.059842332402809006,1
9488,misled,-0.059153664817273466,6
7433,possesses,-0.05912823663318534,1
17339,james,-0.05900661101861715,1
14165,clay,-0.058485721520504796,1
16937,suppression,-0.05789286554050932,1
7867,haters,-0.05783146774788328,1
15253,increasingly,-0.057703813136583904,1
7710,potting,-0.05630495668384583,1
16833,pasture,-0.0561660908522299,1
10427,attraction,-0.05596813954798874,8
16772,chalkiness,-0.05542469728528876,1
7268,occurance,-0.055161927106098574,1
11651,saltless,-0.05479488988623871,1
3191,failed,-0.05460430107686325,15
9389,mourning,-0.05388011157879191,1
13053,rust,-0.05325677426208131,10
17413,troll,-0.052692413205704725,6
15630,250ml,-0.052105099865642046,4
5115,differentiates,-0.05190677966055546,1
7782,undon,-0.05108536792937457,1
9065,briefly,-0.05094281507905407,6
14687,lied,-0.05047519803380851,9
10608,ruined,-0.049651160233048074,22
7854,attended,-0.049176176982484776,1
16947,completed,-0.04850291021875819,6
9725,yellowish,-0.04790633944210043,5
13108,discouraging,-0.04768405772522873,1
7985,busted,-0.047364391791930964,13
8266,scant,-0.047271264866134644,4
11369,found/,-0.04712116566071067,1
8385,todos,-0.04676244311957589,1
11909,scales,-0.046326057230430706,1
7314,cringe,-0.045486355932051484,5
14506,triggering,-0.04546820641039062,8
8579,vile,-0.04537029236611646,7
1756,fault,-0.04487536462872631,19
8997,ralph,-0.04467684771526592,1
9256,confusion,-0.04455303215812023,1
2532,phased,-0.04412623718303621,1
15562,distress,-0.04410276575429606,2
4566,unfair,-0.043757011094413656,4
14851,und,-0.043062989076759095,1
16711,kalamata,-0.04294162714364802,1
12644,counters,-0.04250754331678763,1
7729,encountered,-0.0423632335650523,17
14450,slated,-0.042309863168583206,1
7647,stigma,-0.04207100422291887,1
13031,instruction,-0.04183790923248765,8
13444,libby,-0.041783389698451856,2
11906,illegal,-0.040959285001385126,8
17257,atop,-0.04049791080862519,1
16899,subtleties,-0.040294519969990006,1
7512,02,-0.040233698001344465,1
7707,distract,-0.04021080742927552,1
17372,covering,-0.040185204434664,1
11653,financial,-0.04005033729083607,1
6046,unsatisfactory,-0.03983259495661784,5
7383,random,-0.03978669839100727,3
16963,regardles,-0.03977119733811918,1
2212,visible,-0.03976504850991899,9
13129,machete,-0.03967709731254487,1
17457,flavor].,-0.03959098224452381,1
15186,begged,-0.03959090124425302,1
9224,belong,-0.03920222635827031,6
