,Word,Value,Freq
13584,emptied,-0.03705181910818567,1
10725,flapping,-0.030108684683924025,1
3438,111,-0.028875261279011966,1
11980,hamburger,-0.02757464334874271,1
2461,33,-0.026221557709211096,19
11263,weed,-0.02588089762403456,1
7891,ruff,-0.02570068066948039,1
10188,razor,-0.02552077763526972,2
12481,circular,-0.024185014370013035,20
4137,calling,-0.022604380681406324,17
15157,spotting,-0.0213272521406509,1
12710,scifi,-0.01942361203828824,1
9161,madman,-0.019229051461596924,14
14697,nudge,-0.018811866734195066,12
15420,slumped,-0.018757126298710958,1
9691,embarrassed,-0.018537644005732545,11
6538,powder,-0.018095055525776615,1
14705,touches,-0.018087776550714807,1
12961,rhyme,-0.01787371840601251,18
7834,st,-0.01784358562835564,1
7210,crammed,-0.017457051672792545,1
8568,cords,-0.01741897749057406,31
7254,recruiting,-0.017402838071063798,1
15518,dummy,-0.017349268629381243,1
15092,hotpad,-0.017092440812529475,1
4712,spite,-0.017014698983129684,16
14722,ragged,-0.017013026000881837,1
5819,nipple,-0.01684116974205807,1
10855,mindware,-0.01681639572641913,10
11387,sufficient,-0.016767539003254228,1
4322,shovel,-0.01670205209825326,1
8474,oddly,-0.016659679607229805,2
12279,damaging,-0.016600528872782207,18
15833,mons,-0.01637417160677046,1
14576,chirp,-0.01636388265405042,1
12119,grips,-0.016354742639958175,6
10026,gaze,-0.016162105530639792,2
486,latch,-0.016143644511459533,28
11728,adulthood,-0.01607223647258138,1
14542,lifeand,-0.01605886959519154,1
6448,emerges,-0.016034779165304158,2
8041,stipulated,-0.015908641999672568,1
15520,16th,-0.015827513754814504,1
10558,sequels,-0.01574431827341982,18
16002,shocking,-0.015678487369875427,1
4777,tasting,-0.015440927437120777,1
4349,disgusted,-0.015429156099031616,27
4457,plumbing,-0.01537173449375473,1
3414,olds),-0.01529142676178008,1
10616,ballet,-0.01527283856060535,1
6731,ruckus,-0.015187752978286895,1
6788,cowboy,-0.015176811331297557,1
5448,scrambling,-0.015017453630633781,1
3435,deserved,-0.014951760821261928,1
9796,faulty,-0.014908145067880222,12
2545,variant,-0.014873428134767986,23
8805,domination,-0.014853951720866121,1
13458,ahold,-0.01485395168991932,1
7730,phillips,-0.014642759707200526,1
8916,fellah,-0.014624320640251653,1
11945,crow,-0.014587772591738712,1
3404,minni,-0.0145817340701484,1
15439,ignorant,-0.014557051935398135,1
10893,briefcase,-0.014395415020629798,1
8560,fiance,-0.014349432401838162,34
565,drawers,-0.014340466158361487,4
7176,sam,-0.01428884583562251,11
4599,slit,-0.014205407787748925,1
8531,exxtra,-0.01413809125808522,1
14863,imitation,-0.014137397449474065,18
16447,decay,-0.014126310786508611,1
3919,problemis,-0.01405874933271889,1
16009,illness,-0.01397518819612742,1
8314,recruit,-0.013958444636173795,2
5360,guided,-0.013955885426636172,2
10149,dock,-0.01393638812803033,1
3887,lore,-0.01392619435402125,10
12021,reprint,-0.013907190330932906,1
10509,wiggum,-0.013899789159791176,1
7840,louvre,-0.013738701936061304,1
9932,dean,-0.013694233228759067,1
4820,resembles,-0.013658579588820885,1
4766,detective,-0.013656889683701934,1
16146,nightstand,-0.01356513728407549,16
5859,mice,-0.013556552627822783,5
13074,chandler,-0.01352651764487689,1
540,ripped,-0.013478961336851425,40
14642,aug.,-0.013469571247618273,1
9407,woes,-0.013459254205500315,1
3550,washed,-0.013435961242395364,21
12390,offensive,-0.013403462731929494,1
10801,dodge,-0.01340167078160448,1
9022,caption,-0.013388839081687975,1
15193,bachelorette,-0.013382494348388008,1
13586,hesitated,-0.013284678719173826,1
11175,po,-0.013208203266181329,1
5841,alcoholic,-0.01318624687786496,1
11389,maintain,-0.01317765519230966,18
8448,lefty,-0.013151788380802998,1
14101,relized,-0.013133435896740764,1
12038,hell,-0.013047381125467439,1
15956,hurting,-0.013004858393045993,1
14825,ue,-0.012939991348248858,1
12822,pumpkin,-0.012880301852504772,1
14332,tympany,-0.012875064032310016,1
15811,relly,-0.012821531867845848,1
12737,sack,-0.012804510734131469,3
7805,balcony,-0.012768150960290825,2
11366,trickly,-0.012765380183013875,1
11850,thgomas,-0.012746400236388252,1
16203,booty,-0.012708059864447563,1
15885,twoof,-0.012687187848030135,1
8997,sooooo,-0.012679857410539638,10
10248,umm,-0.012659224039566652,1
15899,eureka,-0.012651225747333683,1
16385,markus,-0.012553650301960317,1
9074,exaption,-0.012357849540408713,1
9711,schooling,-0.012345858178903768,1
7253,kenny,-0.012345209441313898,1
15194,obscene,-0.012307137517922229,1
7422,parked,-0.012288329504407614,1
15301,dreaming,-0.012239238062647928,1
13241,interior,-0.012239189369135484,1
5759,tomorrow,-0.012230909009440946,35
13673,priorities,-0.012206570005456857,1
8784,stomach,-0.012193401722356612,1
11122,settle,-0.012161030462364053,2
942,pediatrician,-0.012160245378993295,1
8851,backup,-0.012090189881520885,2
6441,roundfirst,-0.012057896688087174,1
16375,framed,-0.01204211370981767,1
15974,carl,-0.012036499640828424,1
15345,lenses,-0.012001800839612997,1
1822,remembering,-0.011970962132678332,33
3480,robbed,-0.011961749179206648,20
8350,grease,-0.011944276693150005,13
14337,98,-0.011902526829260296,1
4879,tumbled,-0.011894282814822077,1
7327,lo,-0.011889403597844026,19
8737,premmie,-0.011863995284882023,1
13572,soup,-0.01186259390706823,1
12936,lobby,-0.011855014305055533,1
15130,throttel,-0.011756656633091705,10
9641,gif,-0.011575018523254599,1
3125,shoulders,-0.011555854396664955,2
9242,instructed,-0.011539836876065555,21
4372,horribly,-0.011539598884415908,25
8796,misplaced,-0.011528842181065832,15
11444,craps,-0.011518332851110813,16
1789,private,-0.011490806554177042,22
6784,envy,-0.011473127067191058,1
14022,substances,-0.01147007582835613,1
12620,parter,-0.011455708351770788,1
16590,fou,-0.011446284421824604,1
10455,sleepover,-0.011425568558880883,1
11475,1/4th,-0.01138782116404613,1
2841,hurt,-0.011345821891732898,44
9173,woth,-0.01134402629632092,1
6650,devil,-0.011330335919797818,2
13419,shouts,-0.01128795953890623,3
5545,horus,-0.011285738144891866,1
1095,wondered,-0.011267853479796011,6
14916,australian,-0.011170647330239092,1
3532,flavors,-0.011123303068970358,1
14073,1996,-0.011112604431161799,1
15980,hoo,-0.01107349530985502,1
11282,zingo,-0.011058592649170862,1
2273,stains,-0.011052475584031473,17
11482,37.just,-0.011040903046213893,1
16089,now2,-0.011032445149396608,1
14588,sleepless,-0.011002663565111703,1
1289,suffered,-0.010989907714714198,4
15486,chuts,-0.010977666582093093,1
6778,hmo,-0.010906248340706526,1
3386,shut,-0.010903273403796352,93
15771,hem,-0.010869040789869722,1
5926,irritated,-0.010844996938492153,14
6354,stupid,-0.010811748198379342,43
10680,incorporates,-0.010777773098084253,1
11738,forums,-0.010762387170958121,1
3464,concussion,-0.010746228747539277,1
3545,ruined,-0.010743957099570878,30
16293,demanding,-0.01072553284143396,1
16581,salvatore,-0.010709469023730378,1
8965,expectd,-0.010692713160917577,1
12402,decidedly,-0.010638449857978571,1
6641,wasen't,-0.010608279358285344,1
9966,decorative,-0.010600394741029362,1
14851,dressed,-0.010599703748740197,2
16253,carlos,-0.010560246030138387,1
6455,fascinate,-0.010540524166287923,1
15075,interst,-0.01053263266183091,1
5047,faceted,-0.010467584988877121,1
10798,fowards,-0.010435393311335398,1
11688,confrontation,-0.010408041744952357,1
6063,mistaken,-0.01040457408994655,10
3596,pit,-0.010397734128108665,80
12576,dumbed,-0.01039188377797906,2
10476,alan,-0.010375906915418565,2
11606,setis,-0.0103687839927602,1
6718,hmm,-0.010329528037897736,3
8868,anatomy,-0.010307630021363442,3
12044,attraction,-0.010287824281881797,1
3619,meanwhile,-0.010203261199659863,1
3311,proceeded,-0.010189506462557674,1
3382,fell,-0.010180351968965176,128
10698,wrapping,-0.010167733100895759,20
14425,bec,-0.010166936167792073,1
