,Word,Value,Freq
19224,stalker,-0.031173407836924127,3
7156,banning,-0.029204238255346127,2
10813,boooo,-0.026467010895352416,1
6909,hannibal,-0.02457218931826688,1
17678,assassin,-0.0234169308494252,1
22909,owner,-0.023260975390769545,1
11168,racist,-0.02279210101050433,4
21587,lurking,-0.022728481643753184,2
11798,fitzpatrick,-0.022711159057031693,1
12456,feared,-0.02251378645849389,2
1121,hate,-0.022367697042264493,310
11365,dawson,-0.02202551886405324,2
11590,kai,-0.021786048843614125,1
14610,qu,-0.02163204171762345,1
17449,gaming,-0.021478212476154113,1
18001,illegal,-0.021379249661919175,1
17721,ku,-0.02098357079598756,1
17892,hunt,-0.020910466293629693,2
11038,eater,-0.020860187580225897,1
18772,oversized,-0.02083716511953071,1
5362,wil,-0.020638526328209394,2
8659,enraged,-0.02060757888862952,3
9513,probable,-0.020502619538682154,1
14114,hoax,-0.02023275727738394,1
10224,dangerous,-0.020014303064082622,3
6089,violent,-0.019762525115273395,3
18071,du,-0.019581140201134772,1
18618,regina,-0.019354291546687996,1
2392,freak,-0.018994815285579225,8
14949,taunting,-0.018882952648016982,1
8999,destructive,-0.018870781500510247,2
8992,morden,-0.018842836223996073,1
20092,threatened,-0.01864805200280273,1
22230,vulnerable,-0.018383015408176107,1
18802,lã,-0.01827550482296303,1
15311,protective,-0.01813640492604285,2
17817,vu,-0.01802728617786542,1
16648,explosions,-0.018023117396808175,1
20165,sucked,-0.017942963901049325,3
11287,gina,-0.017864867311686794,3
17436,harden,-0.017794773792047636,1
19550,attempted,-0.0176690604409373,1
8312,harm,-0.017540487218067113,4
12490,rash,-0.017512607091058285,2
14566,unfortunate,-0.017185828071930587,1
9355,threaten,-0.017179430768219817,2
15231,bordering,-0.01714330359283167,1
2650,moore,-0.01705071420045101,1
23179,boooooooo,-0.017008078796248327,1
16351,outrage,-0.017005860691114094,1
8479,dom,-0.016894844829366207,2
16252,detrimental,-0.016885805408875854,1
4398,novak,-0.0168191559115769,1
5619,offensive,-0.016799570264936392,3
18961,controversial,-0.016761958454765136,2
18967,fort,-0.016632496106748107,1
5877,dickinson,-0.0166252072287989,1
6622,salmon,-0.016620763935705885,2
13005,dumbfounded,-0.016616433796476926,1
16262,conservative,-0.01651533227859403,1
1233,hates,-0.016486800033539924,14
5411,ruins,-0.016444163680728253,5
17432,damaging,-0.016336048576143014,2
13201,demã,-0.016307584518386875,1
8059,ruin,-0.016271585482899434,15
7791,gahh,-0.01626327444771647,1
6523,vince,-0.01621502796446066,5
7120,dump,-0.016191158151610985,10
7806,poisoning,-0.016132679290417506,4
13887,karl,-0.01612856316609168,1
9868,austen,-0.01612292268305282,1
7407,shoved,-0.016101096995079445,1
12198,newt,-0.01606603112819327,2
13308,voting,-0.016034378601659682,1
12564,ambrose,-0.01600465735898582,1
22269,cobalt,-0.015994469857748994,1
13740,closure,-0.015970164716417656,1
17528,undead,-0.015957135014431856,1
18468,expose,-0.015955438977154568,1
23434,oval,-0.015925161197557713,1
16748,ultimatum,-0.015882838323364012,1
17650,dayton,-0.01587230879195367,1
16849,cooper,-0.015819770203002292,2
18769,vile,-0.015778336347352706,1
20095,destruction,-0.01568885764248762,1
5931,aggressively,-0.015670834718861215,1
13880,stampede,-0.015670026162212025,1
6296,foolish,-0.015642257137365334,1
6069,southern,-0.015622150311692451,3
21798,valkyrie,-0.015607211125939102,1
19627,shooter,-0.015599180143752278,1
20552,defeated,-0.015581984603386445,1
5319,western,-0.015551991310234214,2
1321,teenage,-0.015534495268697176,6
8337,confronted,-0.015532320782210007,1
9264,protecting,-0.01549493456207358,5
12168,threat,-0.015492200316813864,5
20103,jaw,-0.0154520272454306,1
13032,vague,-0.015435527235230673,1
8354,grave,-0.015432226214965539,2
18278,destroy,-0.015428713146688366,2
10317,disgrace,-0.0153692502735856,2
8088,kills,-0.015325824907756469,8
20633,foul,-0.015275367386706762,1
1912,aggressive,-0.01523595097617599,6
16931,forbes,-0.01522836877019107,1
12710,choke,-0.015200785366744185,1
19988,null,-0.015145583606738455,1
12542,yuck,-0.015094501041573949,2
19042,spears,-0.015046139264370595,1
6740,cain,-0.014988047369399737,2
10082,terrorists,-0.01487239747660567,5
18688,badush,-0.01485027168829589,2
3848,carr,-0.014815908765787237,6
5356,bombed,-0.014814973986943869,3
1261,enemy,-0.014802804700765382,10
6321,victims,-0.014802802177960336,6
11347,badder,-0.014767896935161673,1
14583,knives,-0.014743524788940476,1
20978,favored,-0.014715887425514884,1
21320,zooey,-0.01469293487489054,2
4646,terrifying,-0.014689303608077964,4
327,fake,-0.014680193821003513,25
1465,twisted,-0.014667016250239584,2
18288,chandler,-0.014661387475136678,1
17406,nero,-0.014621147294466397,3
5225,hide,-0.014587751971743668,8
2560,resisting,-0.014482755605712327,1
