,Word,Value,Freq
15802,–,-0.036588550440441736,2
2480,-ë˜í,-0.030864412398216245,4
7735,1980,-0.02949608746973098,1
4092,’,-0.025734134727968358,9
8764,thus,-0.025252335048548957,1
15590,vida,-0.022131391032758074,1
6731,free--,-0.021708351715858647,1
6732,"lol""----",-0.020824322966741908,1
12247,nevertheless,-0.0201762293057115,1
10884,widely,-0.019794154248927498,5
9453,â˜†âˆ—â,-0.01916982507535181,1
5987,exodus,-0.01909294459665034,1
6212,evry1,-0.018843185798600004,1
9454,¥âˆ—â˜†,-0.018493554138046875,1
10914,---he,-0.018182376049906246,1
11021,350,-0.016168732256943485,1
23028,[:,-0.01610254291450275,1
13821,est,-0.01572789918044464,10
16182,lacrisis,-0.014579703595458682,1
16005,-ep,-0.014579295342226573,1
4990,”,-0.014213718529254571,12
19640,whatevaa,-0.013837460132382814,1
11086,fara7,-0.013693986473287604,1
15190,:(((,-0.013271042405237243,2
6555,extrinsic,-0.012980201954288617,1
12363,surprize,-0.012860705465138622,3
4174,particularly,-0.012816329704705254,1
7531,“,-0.012811496979870718,8
14140,zit,-0.012745522414356003,1
5482,thatuniverseiscrazy,-0.01266282795430256,1
12681,ofc,-0.012396825054921123,1
3953,however,-0.012279532725294869,18
14630,disparate,-0.012252513625876796,1
21874,yrz,-0.012012884300443005,1
5170,1992,-0.011727775217593717,1
21851,teverlasses,-0.011561445038650309,6
14288,urbanessment,-0.011473072782052895,1
14363,ino,-0.011408571957547409,1
3551,lesser,-0.011257108664665338,1
6986,lsd,-0.011180519507448139,7
8753,jmz,-0.011179061248708896,1
7065,compromise,-0.011027456299447902,4
15994,ephesians,-0.010960985007250143,1
20804,amazin,-0.010901003515845886,8
13118,justify,-0.010561276563436195,1
8017,censor,-0.010506067105733763,1
12793,whereas,-0.010492197843063877,1
6655,among,-0.010363714653562894,8
21137,wwhen,-0.01030133843599638,1
14343,naanislife,-0.010248959997120721,1
3303,615,-0.010021421798082741,1
5407,clinically,-0.009931683911077016,1
6871,invent,-0.009905393495991177,2
20558,scientology,-0.009876080505762275,1
852,carnegie,-0.009870481834374445,2
16952,ex-,-0.009745113969266583,1
15869,cutnoart,-0.009666394450871252,2
21334,roughly,-0.0096464616422125,1
12861,lankan,-0.009448546536646063,1
21341,exalted,-0.009313794773672631,1
22543,atb]-,-0.009190911784385136,1
10658,ont,-0.009168707300489132,1
9085,pricing,-0.00912419969760947,8
15302,thisistheday,-0.009078667767775883,1
11157,whheww,-0.009042960624149998,1
14014,opposition,-0.009041886867009907,1
16270,newness,-0.00903867088582544,1
14947,occupyla,-0.008994149592584488,1
13999,altogether,-0.008975263005376988,2
18802,lã,-0.00888982868605126,1
5081,ug,-0.008877542272537297,5
4148,tone,-0.008860046497712215,8
18047,theat,-0.008856815605071233,1
10776,munch,-0.008740536894869422,1
15927,-p.s,-0.008733617504947944,1
3717,von,-0.008430029550964946,1
31,of,-0.008396086472171686,5552
19154,xmas-,-0.008383027778952279,1
7054,rawr,-0.008342529044648828,1
8202,kstate,-0.008231808393567519,1
15591,ect,-0.008145289610123285,1
20718,thea,-0.00814023532780439,1
14903,hopeful,-0.008114988202009954,1
22018,â„³â,-0.008084514090120898,1
23033,diorhomme,-0.008060438067677644,1
8422,life:-p,-0.008059014062753889,1
17033,auspol,-0.008008514173169612,1
18082,involuntary,-0.007825155119874694,1
17954,reformat,-0.007773595905504749,1
21712,eleazar,-0.007738627966782967,1
7515,ëšâ¤â‹,-0.007715574955792152,1
12620,able2smile,-0.007704952104026219,1
12037,abu,-0.007592076526764302,2
14782,fundamentally,-0.007583119178917741,1
6120,bastyan,-0.00752593011931187,1
10980,precedent,-0.00751789515385326,1
4787,gradually,-0.007493371864484288,1
9343,onwards,-0.007492948089435458,1
16376,crucial,-0.00746135948003257,1
15908,rapidly,-0.007442365790950589,1
20981,overrules,-0.007439099095816933,1
3343,therefore,-0.007437706040506716,9
13352,oml,-0.0074274211770557486,1
16269,centers,-0.007314193057027296,1
12942,hiv-,-0.007238037660215468,1
21192,validly,-0.007222993588172244,1
5292,slowday,-0.007132969527336996,1
887,by,-0.007087419523411811,632
12905,tmwrrr,-0.00702987203585792,1
6444,suprise,-0.007020405641417247,12
22322,whyyyy,-0.006988349608782585,1
2510,unfold,-0.006916143416363596,1
16954,on-,-0.006818770489624981,1
7058,rule5,-0.006749485621838858,1
18524,throughout,-0.006738439201484425,4
8371,resolutions,-0.006724269086952006,1
9645,iam:)blessedâ,-0.0066582120475615625,1
12298,twitt,-0.006657535415141543,1
19914,îƒîœîšîˆ,-0.006641538668262115,1
17935,patethic,-0.006590963486679868,1
3628,pr:8:13,-0.006589297646706882,1
7574,2nite,-0.006585602382294553,5
820,af,-0.006561010808088241,6
22371,breakers--,-0.006514886609949144,1
14703,-professor,-0.006453656185499312,1
15393,probly,-0.006444041073569329,1
18540,tethered,-0.0063924085757699105,1
22628,charlaran,-0.006281886652857338,1
23060,anthem,-0.006236210954014609,1
4904,merriment,-0.006198791562387858,1
17238,pro,-0.006160289412960651,9
18549,cirgury,-0.006136081246763088,1
59,to,-0.0060443729564182485,10523
16314,scabs,-0.006042527384288121,1
531,],-0.00599320432525754,29
10229,petra,-0.005929975578538915,1
11768,ofsted,-0.005790385857565639,6
14402,amisa,-0.00570960939893439,1
