,Word,Value,Freq
7929,proudly,-0.8997682868449824,6
9639,yourselftests,-0.8756915255936912,1
6074,warmly,-0.8559076432629893,2
10618,yearn,-0.8477433179805716,2
13870,why?best,-0.8397245399197985,3
14099,suspiciously,-0.7847576101204625,5
15803,reintroduced,-0.7688101046492276,2
11545,accentuates,-0.7628518689848759,1
8566,yuppie,-0.758471772811936,1
7683,horrible).in,-0.7392412622679687,1
10635,splintering,-0.7018667042948298,3
1825,overjoyed,-0.7004915925585822,6
17720,gambled,-0.6987686822444124,2
8498,hotdog,-0.6977743641233187,1
16022,magically,-0.680160023614534,2
11273,bab,-0.6665730063211329,1
7027,update!my,-0.6648326035805205,1
10314,collapsed,-0.6636458257876495,3
12415,farther,-0.6326556463816354,2
18135,decipher,-0.6285609524217888,2
15457,white)but,-0.6264947703701065,1
8209,beatiful,-0.6242508245753453,1
17847,maldon,-0.6228775269190492,2
12331,like!oh,-0.6186846252640864,1
11683,picturehowever,-0.6122399963648752,1
9761,notas,-0.6085924082761789,1
16293,kibble.all,-0.6080309142941714,1
3427,terrible!however,-0.6034815343732925,1
18108,islight,-0.6001031212434347,1
11623,rapid,-0.5921101015107202,6
9308,month!not,-0.5823883131548823,1
17689,shuffled,-0.5719031960827038,1
17983,tending,-0.5710313540695028,1
5172,so.there,-0.5595026081497363,1
17303,brutally,-0.5544367603079454,1
7397,roost,-0.5491346775670596,2
17265,nursed,-0.5487161153307686,4
13437,thing!!not,-0.5454084946246467,1
12898,imparts,-0.5450344237296941,5
11206,headline,-0.5423581136979867,2
7612,dominates,-0.540191691251301,6
11649,rework!!one,-0.5354535878716014,1
15161,jerky--,-0.5304784603955657,2
14768,tastely,-0.5283713915592765,1
11100,good.the,-0.5105350558469723,1
7348,sublime,-0.5092872611675905,3
9598,spotting,-0.5076506627392173,3
13260,:)),-0.5072568445259231,1
8553,eyeballing,-0.5065766302576344,1
8350,chocula,-0.5020477964324396,1
11370,patented,-0.5003781461785888,3
10821,imagined,-0.4996460178038048,7
15533,decreased,-0.49964073352425276,10
2096,gator,-0.493163292329753,2
2563,buries,-0.49171691811817675,1
10961,o%,-0.48951501383781243,1
7508,)i'm,-0.48763688513453707,1
16224,confiscate,-0.48639167880986445,1
14346,justified,-0.48616156686136247,3
8773,gimmick,-0.48402116765952996,7
11000,crispbreads,-0.4780308773646939,1
13902,surpass,-0.4669436273780534,2
14147,contemporary,-0.46300929051406176,2
1577,badi,-0.457577046161679,1
18089,facebook,-0.4548774245662553,3
17974,chunk?10,-0.4516256494367963,1
18344,negatives,-0.45066153372349155,4
17639,honeywhen,-0.44578054299671155,1
9581,burped,-0.44446653216075566,1
3922,analysis.that,-0.4444192595702456,1
1452,would!i,-0.44330872324985804,1
14827,why?because,-0.43880416206515616,1
10050,intereted,-0.4380515205902337,1
11314,sweating,-0.4378819946739951,6
14286,scaptic,-0.43457969404666674,1
4508,proportion,-0.43420158723943036,8
16590,decreases,-0.43293203533013436,2
10603,iconic,-0.4311702562932692,1
15094,cheereos,-0.4305820397133167,1
10688,40-plus,-0.4296432400300094,1
15394,staves,-0.4269885023596462,1
17666,containter,-0.4262709291862867,1
9089,fizzier,-0.4255272032749434,3
3968,tightly,-0.4217804608774818,14
10540,3)dogswell,-0.4216390555897481,2
13748,fanatical,-0.42100371284465177,2
18000,portion!only,-0.4182580798947869,1
15793,book)however,-0.41465483109029544,1
11689,diminishing,-0.4126020681973709,1
11059,fetish,-0.4094290288412341,1
15307,begin?the,-0.407350835990689,1
16832,yesterdy,-0.40671148591234074,1
16630,minslisted,-0.40428984187043915,2
6157,disintegrating,-0.40357712926728234,1
13954,suggestions:1,-0.4008415830219645,1
9065,abdominal,-0.40035675141657495,3
13214,gloppy,-0.3961837991124182,4
8491,locally-,-0.39506726325809477,1
16993,squish,-0.39307465949233633,4
8369,proposed,-0.39241804746496056,1
13343,romantic,-0.3896532595914945,3
7641,kitamu,-0.38923852465897324,1
16043,troubled,-0.388743600636747,2
8526,concede,-0.38857937276555177,3
12833,kennel,-0.3865645892979923,2
10579,tornado,-0.385512825051184,4
1962,reformulated,-0.38491546344364297,11
17077,applesauce;pi,-0.3826655153315629,1
8830,wears,-0.38205679141041493,10
9358,flatbread,-0.38141696810670883,3
10213,marinades,-0.38027011254614423,7
1423,7pm,-0.3791356858120534,1
14040,rectified,-0.37756408374758577,5
8038,enhancers,-0.3766599697599973,8
9960,interrupting,-0.37640928954906816,1
13535,chocohalic,-0.3762415991792104,1
7017,spurred,-0.37466473456252797,1
9106,features:12,-0.3693214118866803,1
8917,earthquakes,-0.36788131334988355,1
4118,typed,-0.367737932195104,4
12458,quiet,-0.36734162107401414,7
7593,dashed,-0.36665247099886555,1
