,Word,Value,Freq
1927,ransacked,-0.976351967532586,1
6469,kickingoff,-0.9262333678816106,1
2009,whining,-0.9242324221617437,1
4548,apologise,-0.8771365535741529,1
3621,joking,-0.8248099745841084,1
3317,dolphins,-0.8192602489858022,1
4115,irony,-0.8132560924403544,1
1282,suicidal,-0.8035616437220263,1
1650,face.~,-0.7861690889479618,1
3682,warfare,-0.7813118743687296,1
3938,failure,-0.770387329187362,1
6560,attacking,-0.7694998603393881,1
6065,ranting,-0.7618792717919288,1
4945,apathy,-0.7444087536571504,1
5746,puzzle!!#butnotreallybecauseshebirthedme,-0.741327922335694,1
5589,rihanna,-0.7367772669551212,1
4348,petty,-0.677647760925814,1
4359,brutal,-0.6740496546557808,1
2732,bombed,-0.6714796196729861,1
3713,hells,-0.6505230784815745,1
33,unfollow,-0.6477002319281882,1
5178,busted,-0.6376268561361089,1
4273,conformed,-0.6373517766485975,1
4598,madness,-0.6342600487415447,2
4235,–,-0.6217931558896067,1
851,rappers,-0.6072068285888808,1
1129,aback,-0.6041554324718704,1
5294,ugh--,-0.5988822741458761,1
393,rebellious,-0.5968608170220105,1
6379,weapon,-0.5860462277351755,1
3752,jacked,-0.5856936841064295,1
1861,despicable,-0.5835027180341932,1
3103,arsenal,-0.5784301697267326,1
4523,hotel,-0.5752335168471202,1
4955,classcounciness,-0.5649703895943559,1
3624,defending,-0.5569065363037757,1
4001,failed,-0.5541554038347993,1
4188,estudiantes,-0.5501631429266387,1
6605,shfuck,-0.5494506583576053,1
1419,heated,-0.5468508845588089,1
3697,subjected,-0.5427725688029241,1
1942,dilemma,-0.5378864988895188,1
1953,cynicism,-0.5303338108982463,1
6914,ostensibly,-0.5252300282825502,1
5931,pureanger,-0.5195054874439604,1
6539,--it,-0.5156295619121165,1
4938,shittiest,-0.5140283575114007,1
3982,realizes,-0.5098713703777571,1
1425,headache+1.5,-0.49600572381976255,1
683,@nancypelosi,-0.4921295674138809,1
2787,ruins,-0.4820123722607797,2
2811,anybody,-0.48167034334818887,1
978,dom,-0.4760344193784208,1
6223,spilled,-0.4730426746814595,1
5537,violationofaphysicslaw,-0.46550353276607975,1
5343,yaa,-0.4626652961601461,1
240,@zacharygc,-0.458463760562166,1
6435,ughh,-0.45819488758346005,1
1677,deal.â€,-0.45815038031662847,1
4156,unhappy,-0.4570724389541861,1
2859,culmitive,-0.45175747981930753,1
346,fila,-0.44908336750317557,1
1500,mtv,-0.4448574708829993,1
1832,handled,-0.44287267464533964,1
6882,@shondarhimes,-0.44214068626974495,1
6440,tmwrrr,-0.43515444398080183,1
1829,battles,-0.4346246896764706,1
7016,authentic,-0.4338150737322418,1
690,@bitchits_tee,-0.43279691849348445,1
3157,slept,-0.4326090351231108,2
1765,protocol,-0.4307461965796504,1
5332,shocking,-0.4301135960915221,1
442,knee,-0.4293223720124624,1
1595,messy,-0.42911689850700874,1
3394,lock,-0.42814724067629084,1
1774,depressing,-0.42647336887470666,2
692,hunched,-0.42517802774901736,1
1639,ruinedddd,-0.42075166348346266,1
1646,dropping,-0.420338869317912,2
12,bound,-0.41784568817414947,1
3229,stopped,-0.4162632677568092,1
1222,toss,-0.4127717515499262,1
5086,-@dgold10,-0.40866622878409675,1
2445,curved,-0.405299119847836,1
5526,kettle,-0.40317263553930305,1
1975,suit,-0.3960479393275582,1
2718,@radicaljoker,-0.3922342619012216,1
3357,@lindseyprobst,-0.39198407202900304,1
3218,tweets!can,-0.3905657398744279,1
7022,pinterest,-0.3899574335230102,1
6541,stingy,-0.38802892458467564,1
1917,attempt,-0.3879638729687252,1
5870,famous,-0.38505086094111046,1
2768,vibes,-0.38260381819815226,1
1276,@linzicurrie,-0.37835107642325994,1
6277,capitalists,-0.3780864219778006,1
6357,iran,-0.37228621985538135,1
6104,creeps,-0.37117223947971495,1
3104,@benforggiven,-0.3675144722633607,1
6276,vulture,-0.36707394328528764,1
5548,dontunderstand,-0.36509559034572586,1
6776,plural,-0.3648179589611747,1
416,have'em,-0.36391725339232517,1
6884,redeem,-0.3629672263273494,1
6671,sits,-0.36057720663101045,1
6838,moodyme,-0.3601710044428275,1
2286,reaction,-0.35974761681478534,2
3734,nipples,-0.3595194708234612,1
2482,hammering,-0.3594077016832633,1
3871,whoa,-0.35334581340216104,1
5335,stuuf,-0.35110969607749654,1
4216,vomiting,-0.35048058751158584,1
2697,guitars,-0.3497173370060451,1
4677,globeandmail,-0.3495326003647696,1
6247,vmail,-0.34745979717340514,1
2354,terrified,-0.34573559073982885,2
2431,strikes,-0.3432605075359406,1
4830,@michaelhortin,-0.33974642265532284,1
7008,password,-0.3376597216507572,1
4579,subway,-0.33656250353690126,1
2125,apocalypse,-0.3351371633020853,1
6820,lonelyness,-0.3331095822583071,1
3210,speed,-0.33198324394226925,1
5562,inn,-0.3316490127822033,1
3872,bargained,-0.33142256687938615,1
5590,sampling,-0.3310690078563802,1
5108,pronouns,-0.3306125667534838,1
3986,freakinh,-0.32879446406217866,1
5208,cancel,-0.3277185513237498,1
4576,board,-0.3256611286555681,1
4675,4000th,-0.323422125539202,1
4526,valdosta,-0.32253054871515036,1
5802,filling,-0.32184763937655464,1
4683,overcoming,-0.32068219052702723,1
6332,concertt,-0.31865961388710695,1
979,naked,-0.3178044293557436,2
1248,underlined,-0.3172250790606388,1
1231,endoftenancytweet,-0.3128584493665331,1
4445,futility,-0.312586138635205,1
1250,marked,-0.3112740204502108,1
3569,pseudo,-0.31062772415168205,1
4692,parody,-0.31044203415061655,1
6066,calender,-0.30916519773298595,1
5267,missedtweets,-0.30778224289277256,1
3555,openly,-0.3072523575741035,1
1878,awakening,-0.30554804626497306,1
5872,blogtv,-0.30401193544602667,1
5511,mediocre,-0.30375672569237183,1
2473,nope,-0.303497117332467,1
5513,hungered,-0.30228307205233046,1
3302,î–î€¢,-0.3021771797263474,1
5997,proud,-0.30047786971394536,1
5167,givemesnacks,-0.2989773861605687,1
4201,-karisse,-0.29879505420111735,1
2902,blasted,-0.29844098866533497,1
5742,@jessy_aviles,-0.297429657121298,1
2439,selling,-0.29635301580012435,1
6999,exhausted,-0.29601815706016466,1
5819,classes,-0.29426942751394836,2
5053,healing,-0.2934229012479886,1
135,blankets,-0.29230380189882305,2
1865,boozers,-0.2910595553435904,1
844,capcity,-0.2904282228841557,1
430,‘,-0.2885149801614632,1
3797,troopers,-0.28679846476461074,1
3911,wack,-0.28675271692050486,1
1849,scott,-0.28462624800823627,2
2834,positivechange,-0.2844820852122305,1
6170,eliot,-0.2843161701753007,1
5828,@miamor_diorx,-0.2829206123930634,1
4431,traps,-0.2815403898021636,1
2334,4year,-0.2811797728497267,1
2453,conditioning,-0.28084537156630246,1
2110,@lyons_head,-0.2807126069061288,1
4567,ohhh,-0.2796397339005124,1
6037,lip,-0.27951488121546814,1
5013,wolves,-0.2780175525306529,1
4898,cost,-0.2773808465148578,2
1405,spikes,-0.2747131766768082,1
2964,inquisition,-0.27384581119268564,1
4365,buried,-0.273304480812821,1
5882,boxers,-0.2720144604726214,1
5845,router,-0.27004379476923024,1
6474,mistrust,-0.26904466079412653,1
1137,blamebiosciandorgchem,-0.26889255618664304,1
2788,film,-0.26884794224537156,1
3336,shiftâ€â€¢â€¢â€¢haaay,-0.26849653866906764,1
6807,theives,-0.26791593124745366,1
6090,ikea,-0.2667368201879324,1
2434,offenses,-0.2656380707012868,1
5595,bailey,-0.26551789169555434,1
1644,postponed,-0.26506307136377183,1
5965,colour,-0.2626762466056466,1
3547,wrecked,-0.25931577701678726,1
2227,cancelled,-0.25833542991289077,3
2736,embarrassed,-0.25803238403851075,2
5604,eponine,-0.2578838768043208,1
187,lobby,-0.25592340110337486,1
2128,nutcracker,-0.254892052097765,1
2083,can't,-0.25399167805418393,1
4731,ltc,-0.25366962580388613,1
5017,staffing,-0.25276144395934663,1
1007,legal,-0.25194704378605154,1
4476,rant,-0.25114015970181625,2
712,chilton,-0.2510901905228498,1
1573,1.30am,-0.25073015410471816,1
2946,perception,-0.2497203848456812,1
1323,spikedcider,-0.24969322875951108,1
5645,posts,-0.24920152273472848,1
4630,monthly,-0.24858704154625452,1
1261,guns,-0.2485030626121629,1
5202,barry,-0.24688443532056342,1
3816,wilcox,-0.246370043426613,1
1088,stalls,-0.24574249031993006,1
3823,there?)â€,-0.24560399271805095,1
2838,gonnatakeforever,-0.2437435633522964,1
5646,unsure,-0.24135451922250403,1
5944,26th,-0.2411275979809069,1
5782,fluffy,-0.24062020989342833,1
2867,as.cortney,-0.24057639879646142,1
1745,disparity,-0.2403702830908801,1
5641,revengewillbemine,-0.2393043821774266,1
1947,firms,-0.239209573328525,1
2084,ruin,-0.23914005179026376,1
2581,tix,-0.23854410866760864,1
3364,wil,-0.23763250556646587,1
4850,lied,-0.23664031494092447,1
3689,tests,-0.23534077539064246,2
3913,mee,-0.23462078485680615,1
2804,’,-0.23410735100223085,1
6828,unavailable,-0.23387117501515794,1
1311,draining,-0.2336362241895878,1
5767,allergy,-0.23307364408839387,1
6073,¥x,-0.2323521895203467,1
152,xoxox,-0.23177883561490997,1
3237,logged,-0.23156694727991545,3
3098,debating,-0.23131303991849664,1
2061,rhinegraves,-0.2291605805206863,1
3279,loads,-0.22863172549011346,1
6813,takin,-0.2262294305261704,1
2461,@dividemebyzero,-0.22619512397964672,1
5435,healed,-0.22552714771189505,1
6259,ukulele,-0.22349540632674922,1
3961,setup,-0.22314627668107032,1
