,Word,Value,Freq
13703,grainey,-7.751750946044922,1
20655,aghast,-6.640997886657715,1
5642,ruined.the,-4.8503628969192505,1
17427,them).not,-4.3165852427482605,1
17781,nastiness!this,-3.858551561832428,1
9804,worste,-3.669616937637329,1
7943,yuck.i,-3.5579025745391846,1
16232,rarified,-3.4866714477539062,1
17707,awfulonly,-3.1807756423950195,1
20731,disappoited,-3.151827096939087,1
17556,disappointed.they,-3.0342975854873657,1
3062,thinnest,-2.984985113143921,1
10432,disconcerting,-2.9682650566101074,1
20659,waggy,-2.9510457515716553,1
14565,omission,-2.8568506091833115,2
20412,impacted,-2.73214054107666,1
19247,"gahhhhhhh""not",-2.7201173305511475,1
20039,wan,-2.6321728229522705,1
11081,but!~,-2.623869776725769,2
31003,them!but,-2.5825575590133667,1
13242,slimmy,-2.558364510536194,1
19669,resentfully,-2.528447687625885,1
9256,creepy.from,-2.4421101808547974,1
18210,molds,-2.3836523294448853,1
30315,gouge,-2.3762450218200684,1
7462,don't.,-2.3400936126708984,1
12580,wrong/.,-2.330360174179077,1
13370,disappointed!i,-2.288235604763031,1
9100,again.1,-2.273640424013138,1
13336,taste.pros,-2.2354776561260223,1
17359,-neither,-2.2098873257637024,2
30238,best.lipton,-2.186416268348694,1
12761,dreadful!later,-2.1775124073028564,1
5617,glut,-2.0905361771583557,1
28295,sweet!i,-2.0831990242004395,1
12611,relabel,-2.0641706784566245,3
26972,better.however,-2.0459039211273193,1
1693,panned,-2.0435431003570557,1
17212,yuck!quick,-2.0367598235607147,1
16332,away?this,-2.0002830624580383,1
15728,disapointing,-1.940842628479004,1
26580,"review""once",-1.9259437322616577,1
21514,1-800-flowers.com,-1.9125895500183105,1
13748,disgusting!fortunately,-1.9095319509506226,2
28537,underrated,-1.9072747230529785,1
3854,pineapple-,-1.8995097875595093,1
21363,"stale,,not",-1.8858084082603455,1
20607,~too~,-1.855807363986969,1
11471,poorer,-1.8488562107086182,1
22630,trashing,-1.7871568202972412,1
4140,retarded,-1.7804120182991028,1
21810,thief,-1.775747537612915,1
17874,taste.love,-1.770548939704895,2
18456,dring,-1.734137237071991,1
11786,festive,-1.7307851314544678,2
21941,yuck!joy,-1.712573528289795,1
16745,disapoint,-1.6981747150421143,1
9132,vanish,-1.6782156229019165,2
18657,lapse,-1.674852728843689,1
7226,offended,-1.6544134616851807,3
12907,vomitted,-1.6131787300109863,1
21120,up!terrible,-1.5891802310943604,1
16302,small!!!the,-1.562902182340622,2
15045,farted,-1.562673032283783,2
21932,debatable,-1.549751877784729,1
12506,chucked,-1.5246681571006775,2
21857,trickier,-1.510779857635498,2
31327,waivered,-1.510759949684143,1
21546,)however,-1.5103343725204468,1
4609,chagrin,-1.4947277307510376,2
16363,liars,-1.4933834075927734,1
22134,unusuable,-1.490360140800476,1
19024,downsizing,-1.4872165322303772,1
27856,greaseless,-1.4747052192687988,1
8446,experience.no,-1.4613546133041382,1
20588,sharp.what,-1.4529005289077759,1
15759,sour-,-1.4524221420288086,2
15422,pnw,-1.44389009475708,1
9941,37.95?this,-1.4421085119247437,1
13541,fragmentatized,-1.4365448653697968,2
17897,problems:1,-1.4352842569351196,1
15652,whatsover,-1.424959123134613,1
25053,clings,-1.4127832651138306,1
10327,ruff,-1.4100664854049683,2
18911,it.1,-1.3962758779525757,1
19490,distressing,-1.3724197149276733,1
2601,lurid,-1.359389305114746,1
8246,did'nt,-1.3433278401692708,3
29916,immitations,-1.3302623331546783,1
16298,disdain,-1.3235658407211304,1
22004,inaccurate,-1.3079224824905396,2
6493,deleted,-1.3076951503753662,1
16174,ghastly,-1.2904512286186218,4
21256,crazy!!!!!!!!!!!!!!!!!!!!!look,-1.285766251385212,1
21460,beleives,-1.275046706199646,1
19792,theacception,-1.258786916732788,1
20730,product!cumbersome,-1.2580941915512085,1
14343,nothing.i,-1.2565237283706665,2
4380,foolishly,-1.2340389490127563,1
24997,webpages,-1.2261420488357544,1
23316,amenable,-1.2241186648607254,2
16306,stores.)too,-1.214948058128357,1
4465,regretfully,-1.213313897450765,3
7656,revolting,-1.2105920314788818,3
792,mistake!more,-1.2032520771026611,1
23315,despaired,-1.2019569277763367,2
27072,white)but,-1.1990877389907837,1
13516,disadvantage,-1.1814038753509521,2
18755,jest,-1.168621301651001,1
19014,boycotting,-1.1615049839019775,1
18357,spacey,-1.146486759185791,1
25578,eccentric,-1.1365545988082886,1
29314,steal.if,-1.1311492919921875,1
16466,disbelief,-1.1310535669326782,2
16712,maltodextring,-1.1260852217674255,1
27333,broken.-,-1.124608337879181,1
30929,6gprotein,-1.1200536489486694,1
29457,sloppier,-1.103353500366211,1
27032,nosh,-1.0813323855400085,1
8004,hardier,-1.0775245825449626,3
21835,like!oh,-1.073471486568451,1
22813,guummy,-1.070888102054596,1
19025,products(as,-1.0610010623931885,1
17503,drink?--naw,-1.0533963441848755,2
6541,wrong!i,-1.0510962009429932,2
31385,rigors,-1.0475075244903564,1
5294,won'tbe,-1.0404263734817505,1
21425,this).this,-1.0400636196136475,1
21228,back.needs,-1.034950613975525,1
14583,disappointingly,-1.0348774592081706,3
9695,pity,-1.033475971221924,5
18103,bogus,-1.0331514279047649,3
31224,unrustled,-1.031186580657959,1
11672,insight?,-1.0206575393676758,1
11687,andconvenience,-1.0065707564353943,1
15194,markup?horrible,-1.0064473152160645,1
8020,shitty,-0.9990864992141724,1
10781,shrieked,-0.9964872598648071,1
16327,acidity!their,-0.9936462640762329,1
19009,treats)very,-0.9877880811691284,1
8282,them).cons,-0.983720064163208,1
16744,"items,,this",-0.9733722805976868,1
14690,sabotaging,-0.973293662071228,1
21276,much--,-0.972081869840622,1
11103,furious,-0.9716426372528076,5
16932,stinkiest,-0.9690508842468262,1
19793,tastiest,-0.9683588053050795,19
21357,ingredient)found,-0.9678099751472473,1
15912,discernable,-0.9570710261662801,6
21665,food--,-0.9483603239059448,1
14717,oknot,-0.9415874481201172,2
7105,gummy-,-0.9414384365081787,1
19866,pomonas,-0.9397720098495483,1
18109,grout,-0.9317605495452881,1
8125,chalked,-0.9309965372085571,1
31441,chunk?10,-0.9271744787693024,1
22399,deconstituted,-0.926595151424408,1
31743,right?*edited,-0.9252111911773682,1
18598,right?wrong,-0.9252051413059235,1
22459,midst,-0.9222619533538818,1
13962,maggots,-0.9204129934310913,4
15562,buy!i,-0.9195990562438965,1
27335,volume.-,-0.9195864498615265,1
1924,expensivenot,-0.9192143678665161,1
18561,away!!!!not,-0.9017071723937988,1
9742,.88,-0.9000259041786194,1
27663,1800s,-0.8971951007843018,1
9697,meager,-0.8903273344039917,2
30701,seizure,-0.8884034156799316,1
23628,dissenters,-0.8881163597106934,1
6642,unscrupulous,-0.8870099782943726,1
21999,unctuousness,-0.8821614384651184,1
7530,broken.terrrible,-0.8808033466339111,1
21305,plastic!!!wretched,-0.8799703121185303,1
27146,weak.in,-0.8723453283309937,1
19741,pirated,-0.8689541816711426,1
10264,sickeningly,-0.8635670185089112,10
21534,downfall,-0.8577592372894287,2
17079,notas,-0.856937825679779,1
22812,'the,-0.8552282899618149,1
25028,that?i,-0.8498867154121399,1
13352,horrible).in,-0.848477840423584,1
20922,uniqueness.it,-0.8471873998641968,1
18953,products!make,-0.8465025424957275,1
7131,irritating,-0.8454301327466964,9
26024,parking,-0.8444622755050659,1
19347,crispbreads,-0.8432320654392242,1
23045,time).last,-0.8430240154266357,1
7783,inspire,-0.8426145315170288,2
16224,noticably,-0.8418838381767273,2
13097,tobias,-0.8388075828552246,1
23259,paring,-0.8357670307159424,1
8121,narrowed,-0.835733950138092,2
25141,problem!!i,-0.8337436020374298,1
15289,mellowed,-0.8313660621643066,1
21967,piece!they've,-0.8288916945457458,1
17062,floored,-0.8269953727722168,3
8472,defeated,-0.8256429433822632,1
14407,nuisance,-0.8235955476760864,5
19004,netrition,-0.8220092356204987,2
31444,pourer,-0.8174408674240112,1
27131,eek.(i,-0.816490113735199,1
11594,trashed,-0.8071776496039497,9
14400,inconvenient,-0.8003190517425537,5
24722,vegetables;but,-0.7938127517700195,1
30568,yech,-0.7905172109603882,1
31636,thingsreally,-0.7884029150009155,1
25340,turpentiney,-0.7878553867340088,1
8443,worrisome,-0.782413586974144,4
24421,this?the,-0.7812253832817078,1
17096,taping,-0.7723283767700195,1
31566,unfavorable,-0.7653334140777588,1
21033,all!if,-0.764678955078125,1
12355,"site:""it",-0.7640963494777679,1
3263,retched,-0.7555011510848999,1
22094,one!there,-0.7545857429504395,1
30354,panasonic,-0.7483065128326416,1
20177,down.2,-0.7481709718704224,1
15409,lifeless,-0.7477973699569702,1
17586,allllll,-0.7467309832572937,1
12627,charred,-0.7460807959238688,3
30485,only!pros-,-0.7457309365272522,1
12967,raiding,-0.7423207759857178,1
23188,marcs,-0.7420321702957153,1
23189,ollies,-0.7420321702957153,1
5557,but---,-0.7412434816360474,4
23361,dacshund,-0.7381397485733032,1
19158,10grams,-0.736047089099884,1
17530,"""but",-0.7305895090103149,2
28465,agonized,-0.72979336977005,2
15816,disolved,-0.7288714647293091,2
9274,aroun,-0.7250936031341553,1
16233,mistake.this,-0.7229619026184082,2
23444,crusting,-0.7177943587303162,1
11567,labaled,-0.7174900770187378,1
27442,earthborn!*update,-0.7155884504318237,1
18335,weakly,-0.714806318283081,1
26204,inconclusive,-0.7115683555603027,1
18658,distibution,-0.7064003944396973,1
12828,toughest,-0.7022198902236091,9
30903,"a-""blazin",-0.7010437250137329,1
15818,objection,-0.7002900044123331,3
6333,scorching,-0.6972624659538269,2
25644,insolable,-0.6968255043029785,1
13665,abnormal,-0.695224404335022,1
7838,a.taste,-0.6940280795097351,1
16532,cheapened,-0.693642795085907,2
7515,sickened,-0.6934464772542318,6
16896,sot,-0.6934026479721069,2
17215,parted,-0.6881073117256165,1
31789,folgers!shipped,-0.6875896453857422,1
27715,tulleys,-0.6861929893493652,1
22905,hacking,-0.6824482083320618,1
31478,exudes,-0.681673526763916,1
22738,t.he,-0.6801855564117432,1
7354,nightmare,-0.6796979010105133,12
12039,inappropriate,-0.6782944202423096,1
10258,trashes,-0.6768293380737305,1
15536,-we,-0.6767437160015106,1
25193,cheek,-0.6760152578353882,1
25020,slipping,-0.6755056977272034,2
14315,dissipate,-0.6733417510986328,1
13797,prounced,-0.6731487512588501,1
26169,vaccinations,-0.6718076467514038,1
21794,yuckky,-0.6704460382461548,1
30346,object)tastes,-0.6701947450637817,1
23545,incredible!i,-0.6695539951324463,1
24023,beckons,-0.6669999361038208,1
9139,rotted,-0.6611394882202148,2
521,disappointing,-0.660838778481284,259
16817,concentrate.(very,-0.6588490009307861,1
6043,spits,-0.6576711578028542,7
26939,-so,-0.6554293632507324,1
27228,size.)add,-0.6516323089599609,1
11750,awaited,-0.6516278982162476,2
5637,frightening,-0.6513113379478455,4
29899,expertise,-0.6511870622634888,1
9096,product[kind,-0.6476196050643921,1
12110,-?-,-0.6472644209861755,1
18958,what?at,-0.6469076871871948,1
16438,after.bad,-0.6463073492050171,1
20352,"product.""the",-0.6459603309631348,1
28040,price=,-0.6444649696350098,1
29244,"clusters""--but",-0.6414270401000977,1
378,yuck,-0.6407437166263317,132
29857,applesauce;pi,-0.6406536102294922,1
20879,sank,-0.6405767202377319,1
3593,disapointed,-0.6376941949129105,23
22983,pbj?her,-0.6363131999969482,1
12816,indescribable,-0.6349745293458303,6
20921,oily.the,-0.6319305896759033,1
9620,cardboard!i,-0.6298034191131592,1
16108,holic!i,-0.6276769638061523,1
30163,packwe've,-0.6264728307723999,1
9844,dumb,-0.6263009786605835,10
16876,scanning,-0.6262480616569519,1
8889,craigupdate,-0.6245976388454437,1
29155,ramped,-0.6228411197662354,1
29694,thanksmike,-0.6215324401855469,1
25258,wart).cons,-0.6187878251075745,1
23445,withpapertowel,-0.61818528175354,1
17948,it.40,-0.6174710392951965,1
11777,pulchritudinous,-0.6156468242406845,1
10342,said?i'd,-0.61500084400177,1
17801,unkind,-0.6149341464042664,1
15662,diappointing,-0.6140176057815552,1
15098,faker,-0.6133870482444763,1
22757,fluffed,-0.6127673387527466,2
27469,dimensionally,-0.6123373508453369,1
12548,worst!when,-0.6118557453155518,1
571,worst,-0.6113204209513925,391
19566,justifiable,-0.6106396913528442,1
20334,opposit,-0.6100960373878479,1
5488,metalic,-0.6095728874206543,1
5071,mmm,-0.609095033009847,11
21836,protein.i'd,-0.6060897558927536,1
31752,glennys,-0.6052875518798828,1
23240,discipline,-0.6043140888214111,1
29013,devastated,-0.5983471870422363,2
17696,reviewerfriskies,-0.5977246016263962,1
6262,unsafe,-0.5976123958826065,7
4516,sicker,-0.5970596571763357,3
13731,regretted,-0.5965017974376678,4
8850,thisone,-0.5959794521331787,1
14750,egnlish,-0.5958387851715088,1
9283,thought!the,-0.5946930646896362,1
9133,arnt,-0.5928037166595459,1
25873,breaskfast,-0.5918893814086914,1
25874,price!~~~~~,-0.5918893814086914,1
28023,crosswise,-0.5904736518859863,1
29309,complains:1,-0.5902156829833984,1
1462,supremely,-0.5895394086837769,1
31537,oil!!!i,-0.5887479186058044,1
15648,pains*rash*severe,-0.584820032119751,2
4696,poorest,-0.5846304893493652,1
21082,texture!mushy,-0.5846211910247803,1
11727,soups-,-0.5842933654785156,2
16564,flavor.store,-0.5839343070983887,1
27859,"""forget",-0.5829980373382568,1
11937,lackluster,-0.5817920863628387,4
19861,sogged,-0.5810888111591339,1
16760,displacing,-0.5784046053886414,1
5057,beachy,-0.5774704813957214,1
1243,disturbed,-0.5771200358867645,4
6516,msrp,-0.5771065950393677,1
22437,disolves,-0.5769422054290771,1
25947,ridculously,-0.576770007610321,1
11689,lookfor,-0.5735490322113037,2
28857,imprinted,-0.5729067325592041,1
24763,distort,-0.5702896118164062,1
17044,lubricant,-0.5692735910415649,1
10104,yuccky,-0.5680555105209351,1
10795,cipriani,-0.5651550889015198,1
1300,lacks,-0.5643583219102088,47
31064,pitfall,-0.564239501953125,1
21872,cylinders,-0.5641869306564331,1
13879,8)this,-0.5636919736862183,1
7788,resent,-0.5636884371439616,3
21904,cons:1,-0.5622960329055786,1
13601,plunged,-0.561646580696106,2
3071,lame,-0.5605941074235099,7
13553,smattering,-0.55948506295681,2
30837,owninspiring,-0.5594526529312134,1
31562,triangular,-0.5589953064918518,1
15725,sick.i've,-0.5579700469970703,2
20478,dissatifed,-0.5567936897277832,1
3301,valves,-0.5562270879745483,1
3302,unplug,-0.5562270879745483,1
7592,paused,-0.5556042790412903,2
4787,scam,-0.5549294451872507,10
25548,beware!!as,-0.5545440316200256,1
13893,right?but,-0.553095817565918,1
21327,rustle,-0.5528441071510315,1
7826,unforgettable,-0.5523635745048523,2
150,disappointed,-0.5521060506969137,1110
23868,night^^,-0.5510690212249756,1
10037,2012.i,-0.5481892824172974,1
8052,spoils,-0.547381579875946,4
19010,roofied,-0.5470080375671387,1
25244,woldn't,-0.546761155128479,1
20788,stomach(like,-0.5456736087799072,1
22068,6)these,-0.5455594062805176,2
8808,blandest,-0.5432414213816324,3
20011,index?well,-0.5419938564300537,1
14057,42gram,-0.5409301519393921,1
22195,preasure,-0.5387247204780579,1
8218,ignores,-0.538662334283193,3
32036,threesome).things,-0.5368995666503906,1
18760,poor!!!!!!why,-0.5328209400177002,1
21519,machine.yours,-0.5319176912307739,1
14723,pulse.cons,-0.5317667126655579,1
14402,disappointedleonathe,-0.531665563583374,1
19351,torturous,-0.5312926769256592,1
29638,curtailed,-0.5306491851806641,1
9661,junky,-0.5301394065221151,6
9280,nosed,-0.5299426317214966,2
27460,slob,-0.529008150100708,1
17653,beware.-------------update,-0.5277693271636963,1
4189,unacceptable,-0.5274302611748377,24
21841,soilent,-0.5248266458511353,1
12972,yeck,-0.5247659683227539,1
7173,uninstalling,-0.5233793258666992,1
13400,discontent,-0.5233218669891357,1
17682,crazier,-0.5230712890625,1
