,Word,Value,Freq
14111,deleted,-5.459981918334961,8
14715,unofficial,-5.358870983123779,7
13939,blowing,-3.1633121967315674,2
14411,exploited,-3.0717644691467285,1
12249,destroy,-3.064836025238037,6
11841,gag,-2.9445598125457764,5
5336,dogs.<br,-2.7844700813293457,1
13012,believes,-2.687347650527954,1
14584,stole,-2.63297176361084,1
11969,gouge,-2.617430806159973,1
9732,disturbing,-2.0868608951568604,1
8031,wan,-1.9991638660430908,10
10608,ruined,-1.993046912279996,22
4826,disappears,-1.9501413106918335,1
17484,curse(for,-1.9207204580307007,1
15041,whammy,-1.8147879044214885,1
9743,incapable,-1.803048849105835,1
9375,fearful,-1.7321724891662598,1
17236,raises,-1.706473469734192,1
12313,heinous,-1.6369809707005818,1
17238,dissapointing,-1.6020021438598633,1
15969,pricce,-1.577290654182434,1
12495,confess,-1.5464035272598267,2
16524,aggravating.<br,-1.4356188625097275,1
10477,confronted,-1.4224274158477783,1
5790,subjective,-1.3813513120015461,24
13519,youch,-1.343995377421379,1
2230,ill,-1.2344380957739693,28
4870,pages,-1.234389305114746,1
10735,soot,-1.2115802764892578,2
14797,stanky,-1.175093650817871,1
9741,offended,-1.1456384658813477,2
12014,happened.<br,-1.1425344944000244,1
10507,fate,-1.1259686946868896,1
9354,concoction,-1.0973828832308452,2
6116,annoying,-1.0932269657359404,34
16889,googly,-1.0088298320770264,1
15581,endorsements,-0.9928349256515503,1
11744,toxin,-0.9925889372825623,1
12191,superhots,-0.9140326976776123,1
6563,burns,-0.8798045158386231,5
459,poorly,-0.8568602164586385,30
5470,dishearting,-0.8553835948308309,1
5401,criteria,-0.8456921577453613,1
17482,bomb.<br,-0.8441196978092194,1
505,disappointed,-0.8323324140024269,571
11764,appreciative,-0.8311641290783882,2
7967,cheetos,-0.830212394396464,4
15583,occasions.<br,-0.821319192647934,1
6701,removes,-0.8189718723297119,1
5331,headed,-0.817287266254425,2
5428,frustrating,-0.7865036129951477,2
10725,wastefulness.<br,-0.7657167911529541,1
6731,weep,-0.6938445568084717,2
17081,gelid,-0.6906120777130127,1
13672,pathetic,-0.6883955001831055,3
4868,crack.<br,-0.6870761811733246,1
14236,shameful,-0.6778594255447388,5
11926,187,-0.6740210056304932,1
11979,marginal,-0.6709526777267456,2
5916,dead,-0.6667591138319535,55
3173,awful,-0.6542398473795723,204
8507,dont,-0.6520724594593048,4
1074,greasy,-0.613692310907073,59
13514,fattoush,-0.6037003364827898,3
8115,metropolitian,-0.5956463813781738,1
7959,spiked,-0.5815934538841248,2
4098,neither,-0.5814465248223507,33
9260,brutal,-0.5776152610778809,1
14572,.but,-0.572382926940918,1
14137,moreover,-0.5675220489501953,1
6242,sad,-0.5556094312667846,50
3278,watery,-0.5334243315075515,109
4276,unclear,-0.5298576354980469,3
9331,disputed,-0.5221784114837646,1
11708,specialize,-0.5169205963611603,1
16289,pgpr,-0.5149143636226654,2
3300,unpleasant,-0.5046604106675333,67
5062,uploaded,-0.5032734870910645,1
9090,freaking,-0.5005879998207092,4
14262,ridculously,-0.4973718672990799,1
11706,2009,-0.4968484044075012,2
14147,cosco,-0.48743903636932373,1
2211,symbol,-0.48449090123176575,2
6646,straightforward,-0.4830894470214844,1
11071,treating,-0.47447335720062256,2
16523,why?<br,-0.4733579158782959,1
15434,swept,-0.46801114082336426,1
11712,piece.<br,-0.46477825939655304,1
16480,pissed,-0.4579956829547882,1
14277,unfortunately.<br,-0.4574818015098572,5
7329,doctors,-0.45630908012390137,3
9761,detected,-0.45557117462158203,2
2206,descent,-0.44963333010673523,8
7635,chloe,-0.4459540843963623,1
10957,sugar.(strain,-0.44466668367385864,1
11883,satisfactory,-0.44339418411254883,4
1208,terrible,-0.44236400234165474,201
9510,emitted,-0.44138360023498535,1
4339,enemy,-0.4388169050216675,1
4873,lol.<br,-0.4377712607383728,1
14463,discription,-0.4312456448872884,1
4116,interest,-0.4307434117352521,27
11360,similarity,-0.4270493686199188,1
10274,happening,-0.4204405943552653,6
5841,designs,-0.41733014583587646,1
9910,vote,-0.40803277492523193,4
4355,horrible,-0.405412826497676,236
12287,metaphor,-0.40346646308898926,1
8434,bloats,-0.40233226617177326,1
17389,friggin,-0.39887698491414386,1
4905,leaks,-0.39788916281291414,7
15303,sheets,-0.3956434428691864,2
7850,rigid,-0.3949141502380371,1
4834,stingy,-0.3948237895965576,1
8315,cuts,-0.39482231573625043,11
4013,disbelief,-0.3941075801849365,7
13720,sodastream,-0.39099492505192757,2
7113,desirable,-0.3902292728424072,10
5097,exceedingly,-0.3868667185306549,2
3575,changed,-0.3866046239744942,106
6482,proflowers,-0.38458783285958426,7
2697,interferes,-0.384555459022522,1
14886,ahmed,-0.3838684558868408,1
9438,embarrassing,-0.377157062292099,8
6673,ought,-0.37513041496276855,1
3590,host,-0.3745446999867757,3
4515,yahoo,-0.3737855553627014,2
8506,thats,-0.3712800145149231,1
5365,biryani,-0.3704346815745036,1
15967,anaheim,-0.3685101270675659,1
1345,spoil,-0.3669857084751129,8
6671,heaped,-0.36444246768951416,1
16808,guys.<br,-0.3558368533849716,1
4997,bang,-0.3515754699707031,5
14762,vague,-0.3465921878814697,1
10629,direction,-0.34652090072631836,1
1517,worst,-0.3462227741022691,279
11934,34.99,-0.3450472354888916,2
11204,elastic,-0.3436927795410156,1
6203,crying,-0.34053237097603933,7
7285,crumbles,-0.33988968531290686,18
9745,classless,-0.3348429948091507,1
13426,-4,-0.33483028411865234,1
11751,fedexing,-0.3347488244374593,1
12460,resent,-0.32471585273742676,4
3275,splurge,-0.3241093158721924,7
4207,obscene,-0.31544718742370603,5
6506,boring,-0.30960477590560914,20
1363,prepares,-0.30829906463623047,1
8738,liege,-0.30697309970855713,1
3518,fragrance,-0.3051951835895407,29
12885,knockout,-0.30496835708618164,1
6158,irritating,-0.30414683288998073,18
1375,none,-0.30241483120830515,163
3650,license,-0.3002476692199707,1
9577,grittiness,-0.2964672565460205,5
6205,sixty,-0.29414594173431396,1
16740,colicky,-0.292025126516819,2
5969,promotion,-0.2857801914215088,4
4738,smidge,-0.27933263778686523,1
12604,tidier,-0.27924811840057373,1
6018,gram,-0.2766998943529631,19
1930,disappointment,-0.27420784415100974,139
4334,stinks,-0.2711819963795798,7
9622,screaming,-0.27029353380203247,4
8970,tolerablel,-0.2702562212944031,1
1972,weak,-0.27006483652405233,358
15577,a.,-0.2698022425174713,2
5844,prop,-0.26709020137786865,2
2898,effect,-0.2629912872063486,38
15047,abut,-0.262201189994812,1
7342,prey,-0.2615105424608503,7
4902,spurts,-0.26142725348472595,1
4830,unnatural,-0.25903537273406985,5
2574,resembles,-0.258905291557312,3
6878,insanity,-0.2584856033325195,5
10542,/>furthermore,-0.2575414578119914,1
1747,tore,-0.2554099162419637,12
13817,nicce,-0.25475144386291504,1
2640,steal,-0.2517847611623652,17
10193,snatched,-0.2505340576171875,1
2145,skeptical,-0.2497125744819641,20
3200,tasteless,-0.24711956159032958,99
12642,"/>""kick",-0.24705415964126587,1
11709,gatherings.<br,-0.24629416316747665,1
2865,/>not,-0.24379645513765744,44
2086,detroit,-0.242969810962677,2
14317,blur,-0.24164080619812012,1
6061,luck,-0.24085404607984756,45
7958,occurred,-0.24010821751185826,7
15040,desiring,-0.23936420679092407,1
