,Word,Value,Freq
7600,deleted,-2.90994930267334,1
8172,wan,-1.6654343605041504,2
12993,unofficial,-1.3543405532836914,1
16601,destroy,-1.3315904140472412,1
12458,breaker,-0.9496362209320068,1
10525,fleeting,-0.8850721716880798,1
12348,clueless,-0.8332648277282715,1
7911,"horrible""",-0.8149200677871704,1
2137,canceled,-0.807136669754982,4
14684,unclear,-0.8012375235557556,1
4211,baffled,-0.7910194396972656,1
10580,vague,-0.7805800437927246,1
13819,hearted,-0.7502939701080322,1
9941,paranoid,-0.7466938495635986,2
7602,cannot,-0.7038453817367554,1
4571,rant,-0.6800849437713623,1
16951,sustained,-0.6726174354553223,1
7183,irritating,-0.6667860597372055,4
3494,stupid,-0.626696785291036,9
10912,isolated,-0.6156401634216309,1
2090,poorly,-0.6136990904808044,10
8581,unacceptable,-0.603070005774498,4
1983,worst,-0.5955874274174372,60
15773,restarts,-0.5914750695228577,1
15774,ports,-0.5914750695228577,1
16981,nope,-0.5792473554611206,1
10293,horrifically,-0.5643137097358704,1
12268,disaster,-0.5605116486549377,1
10426,bugged,-0.5283827781677246,2
5311,ruins,-0.5231336653232574,4
8807,cheated,-0.5092447996139526,3
14285,poster,-0.5064680576324463,1
15139,proponent,-0.5004432201385498,1
15883,wold,-0.4938695430755615,1
5542,lied,-0.4910953938961029,2
8951,explore,-0.47833752632141113,1
3821,horribly,-0.4776857614517212,5
13962,overshadowed,-0.47298145294189453,1
9931,hiding,-0.44473397731781006,2
8737,detrimental,-0.43472657601038617,3
8034,subscriptions,-0.4313781261444092,1
5209,disgusted,-0.4045403957366943,5
1769,terrible,-0.40022252256220037,55
13977,forbidden,-0.39781248569488525,1
4259,dare,-0.39620327949523926,5
6535,ruined,-0.3858522517340524,7
9258,lame,-0.3807098865509033,2
8072,cancelled,-0.37894188506262644,7
444,disappointed,-0.37730148040428363,189
12833,"awful,",-0.36270344257354736,1
9656,tame,-0.3597151041030884,3
8457,fixing,-0.3566319942474365,1
6834,dumb,-0.355390727519989,1
9282,straightforward,-0.35419702529907227,1
14828,electing,-0.3514571189880371,1
770,disappointing,-0.35054546178773394,43
13531,specify,-0.3485025465488434,2
1512,dead,-0.3482155041261153,11
12043,stomache,-0.345653772354126,1
13312,too-,-0.34554338455200195,1
12757,shelled,-0.34439027309417725,2
17484,prefect,-0.34247851371765137,1
10034,cringed,-0.3419591188430786,1
14368,failed,-0.3376074433326721,4
4088,throws,-0.33714797099431354,3
1791,horrible,-0.33201273455136066,69
8376,ignites,-0.3294339179992676,2
8912,ghastly,-0.32916800181070965,1
8696,violent,-0.32876157760620117,1
13071,disclosure,-0.3263230323791504,1
15425,minct,-0.32515305280685425,1
1995,headline,-0.3220703601837158,1
5663,annoying,-0.31732450127601625,10
16261,setbacks,-0.3114042282104492,1
9371,pricy,-0.3111171764986856,7
421,a+,-0.30507659912109375,4
5168,flaw,-0.3042183518409729,4
15894,deceided,-0.3032814661661784,1
13983,decidedly,-0.30315446853637695,1
4958,character,-0.29670536518096924,6
1697,disgusting,-0.2966863087245396,14
17364,"ok.,but",-0.2929304242134094,1
1693,awful,-0.29218882997080964,53
8539,batteries,-0.2915000915527344,1
9125,vial,-0.2890799045562744,2
4850,government,-0.2876465320587158,1
15454,charms,-0.28605031967163086,1
1554,hurricane,-0.2851729393005371,1
7547,trippy,-0.28132498264312744,1
11732,twisted,-0.2804570198059082,1
15827,/>horrible,-0.27701954046885174,1
14176,ugly,-0.2764134407043457,1
13464,tormented,-0.26799750328063965,1
7163,board,-0.26658445596694946,3
15487,unimpressed,-0.26652979850769043,1
10163,beaten,-0.26440030336380005,2
14015,promising,-0.2617659568786621,2
9716,fleeting.<br,-0.26086586713790894,1
5111,boring,-0.25993200710841585,7
12994,producers,-0.25907379388809204,2
8913,offensive,-0.2546725074450175,6
8758,thisone,-0.2508201599121094,2
9389,disliked,-0.24720104535420737,3
11030,invisible,-0.24635738134384155,2
4147,tore,-0.2461125055948893,3
7514,leaked,-0.24447239107555813,9
11226,yuck,-0.24275889721783725,11
15038,murky,-0.2399446666240692,2
6950,misprint,-0.2384052276611328,1
13817,discourage,-0.23827427625656128,3
16148,appalled,-0.23649761080741882,2
6444,entitlement,-0.23375336329142252,1
15453,froze,-0.23248028755187988,2
14479,sourest,-0.22905302047729492,1
11272,discontent,-0.22835427522659302,1
5892,salty!!!<br,-0.22722317775090536,1
4532,nibbled,-0.2258974313735962,2
7481,loser.<br,-0.22516196966171265,1
11402,eliminated.<br,-0.22508227825164795,1
14669,pamphlet,-0.22484850883483887,1
13457,thoughts,-0.22409772872924805,3
4501,shocked,-0.22407066226005554,10
5309,utter,-0.22399449348449707,1
17281,misnomer,-0.22191480795542398,1
3997,gag,-0.2218200167020162,6
7351,defective,-0.21930338442325592,4
13877,realistic,-0.2177906036376953,1
4758,nevertheless,-0.21699540615081786,5
14768,thy,-0.2167961597442627,1
9017,acknowledged,-0.21579068899154663,1
11497,everyone.<br,-0.2155364453792572,1
11082,frightening,-0.21502038836479187,2
6714,starred,-0.21351146697998047,1
7451,/>preserved,-0.21061402559280396,1
7099,walks,-0.20974183082580566,4
9753,dh,-0.20815205574035645,1
9822,rash,-0.20739051699638367,4
14613,yuck.<br,-0.2050999641418457,1
13306,suckered,-0.20479625463485718,1
2155,sad,-0.20424003784473127,13
14847,overdose,-0.20371103286743164,1
3317,satisfactory,-0.20338022708892822,2
1266,interest,-0.20103666612080165,14
11105,hope!!<br,-0.20087093114852905,1
3018,disappointment,-0.2001689849673091,37
7573,mangled,-0.19925662875175476,2
6186,joke,-0.19892416894435883,4
8991,dependable,-0.19773356119791666,3
13409,pathetic,-0.19669771194458008,1
4781,deceiving,-0.19578632712364197,2
12386,uranium,-0.19494342803955078,1
1070,weak,-0.1941932805263213,137
4727,awful.<br,-0.19381793588399887,2
9522,objectively,-0.19380462169647217,1
3497,misleading,-0.1936071795575759,17
5465,unfortunate,-0.19212430715560913,4
15159,frustrating,-0.1914825439453125,2
10733,loser,-0.18930983543395996,1
4835,acceptable,-0.18926891684532166,14
16554,unpopular,-0.1890779733657837,1
14839,nonsense,-0.18858098983764648,1
15407,inundated,-0.18761126200358072,1
8526,desirable,-0.18719528118769327,3
10247,downward,-0.18632745742797852,1
10937,compromise,-0.18549007177352905,8
6247,roe,-0.18460750579833984,2
9193,distinguishes,-0.18385851383209229,1
6725,faced,-0.18372154235839844,1
14428,pervasive,-0.18323993682861328,1
5464,deceived,-0.1829652190208435,1
5687,wakeful,-0.18202555179595947,1
10982,strip,-0.18201847871144614,3
8667,void,-0.18126776814460754,4
13072,targeting,-0.18037289381027222,2
15484,repulsive,-0.18008515238761902,2
