,Word,Value,Freq
15943,stink,-4.717851161956787,16
11930,deplorable,-4.507379412651062,9
6061,hill!unfortunately,-4.220073938369751,5
1791,lousy,-4.083172678947449,21
10563,lackluster,-3.8926730155944824,18
15791,handicapping,-3.83077073097229,11
7765,dumb,-3.574568971991539,16
14178,flawed,-3.3224592208862305,17
4781,outlandish,-3.2948086619377137,10
3545,ruined,-3.2129993836085,30
8327,annoyed,-3.189970843932208,17
14814,this!&#8221,-2.9607160091400146,1
14815,stout,-2.9607160091400146,1
4674,fanatical,-2.4868478775024414,1
13185,disruption,-2.415156841278076,1
7396,heap,-2.4105124473571777,12
6465,fails,-2.21807324886322,31
6969,irritating,-2.190731167793274,24
1431,lack,-1.9983422066036023,38
6468,forgotten,-1.8626629480948815,13
11880,squealing,-1.7204111814498901,1
2892,uninterested,-1.7077410486009386,9
14139,dizzying,-1.583918144305547,12
4920,disappoints,-1.5397067964076996,16
7162,isn't,-1.534066179703022,29
4743,was'nt,-1.4754281044006348,2
5198,awkward,-1.4618370514067391,63
8442,terribly,-1.4082894855075412,36
7612,12-months,-1.3855171650648117,16
2867,disappointment,-1.36316072717309,160
6209,compromised,-1.3173362186976842,14
9814,districts,-1.3129899501800537,13
7613,3-years,-1.303288782344145,17
13482,ouch,-1.2993528842926025,16
2505,tedious,-1.2960730324620786,46
3929,regret,-1.2651443676072724,49
1016,inescapable,-1.2507213354110718,1
16496,dissolved,-1.2490935325622559,1
15420,slumped,-1.2226545810699463,1
8528,stinks,-1.1637376376560755,28
16050,lied,-1.1562438011169434,1
5718,negatively,-1.1414972469210625,16
12739,frustrating!i,-1.1291459798812866,1
2467,drawback,-1.1175940903750332,33
14375,impeccably,-1.0729360580444336,1
16228,pales,-1.0694046020507812,1
14691,34;cheap&#34,-1.0596882104873657,13
10125,slim,-1.0378795464833577,3
7399,playmat,-1.0174901485443115,12
11018,disaster,-1.013950655857722,24
1103,poorly,-1.0102848741023436,184
10788,differentiation,-0.9994276165962219,12
3881,compress,-0.991617931260003,9
5889,cheapest,-0.9876432763902765,38
16452,roll?&#8221;publisher,-0.9792431592941284,1
14816,grumbles,-0.9790034890174866,1
5481,patient,-0.9452716112136841,23
14798,bad2,-0.9221888780593872,16
15744,consumer,-0.9155939817428589,16
9784,discontinued,-0.8971877892812093,3
13166,sweeper,-0.8917583227157593,1
10873,crushed,-0.8814807832241058,2
11874,underwhelming,-0.8783383369445801,1
4316,sturdily,-0.8764947801828384,4
11445,craps,-0.866376519203186,16
672,boring,-0.8545132628432265,222
7928,numbing,-0.8401204503100851,23
16046,disclosed,-0.8286008834838867,1
5644,presumed,-0.8189200162887573,9
16064,upsetting,-0.8168370127677917,1
2176,careening,-0.7915197610855103,1
5642,rubbish,-0.7652091979980469,19
10002,u.s.,-0.7622644901275635,17
10251,poorer,-0.7448415756225586,1
12571,livid,-0.7408173084259033,1
14362,dad!).sadly,-0.7380164861679077,1
13165,dismays,-0.7345281839370728,1
1237,complex,-0.7310090869665146,120
3480,robbed,-0.7288434565067291,20
5212,april,-0.7274370278630938,14
4332,swift,-0.7247704267501831,2
382,sadly,-0.7136660612804789,142
1585,impossible,-0.7074938660762349,122
3469,instead.2,-0.695263147354126,1
8160,cringe,-0.6767151814240676,13
14849,foul,-0.6740031242370605,9
13997,generation?firstly,-0.6727638244628906,1
7037,scam,-0.6696121961839737,31
6062,predictable,-0.6664182401838756,42
2739,34;sorry&#34,-0.6656755606333414,3
1722,confusing,-0.6604898683170775,67
3620,"""oh",-0.6548954248428345,1
16449,tugging,-0.6520014405250549,1
5289,awfully,-0.6459451019763947,2
16446,dank,-0.6441494524478912,1
2227,waste,-0.6426069371618507,379
3618,glazed,-0.6397504806518555,1
11866,downhill,-0.6366524770855904,16
1446,disappointed,-0.6280188260934292,585
1124,unfortunately,-0.6273131809736553,152
1759,awful,-0.6220564195908695,83
12246,remortgage,-0.6206664741039276,1
10785,macabre,-0.6185797452926636,12
10252,it).yes,-0.61134272813797,1
6195,brutal,-0.6110035896301269,5
6897,negatives,-0.6071266984939575,25
8014,loses,-0.5921933849652609,36
20,cheaply,-0.5894996642531035,334
10259,unfortunaty,-0.5806246995925903,1
11541,shabby,-0.5742400884628296,1
13866,mikeps,-0.5689202547073364,12
4111,overpriced,-0.5687596312746769,82
9783,database,-0.5612214207649231,1
6192,thing.4,-0.555375337600708,1
7705,rollovers,-0.5538651943206787,1
12013,wreck,-0.5276169776916504,2
991,frustrating,-0.525533065199852,304
7074,disappointing,-0.52551383877275,201
16055,sopend,-0.518404483795166,1
2895,hands!however,-0.518247127532959,1
4742,dislike,-0.513147696852684,20
9627,trickier,-0.5054264068603516,1
16010,cheap!&#34,-0.4848358631134033,1
5251,stunk,-0.48416254800908703,17
11250,boredom,-0.4837043881416321,2
11613,dissatisfied,-0.4834536664626178,17
11574,precautions,-0.48282158374786377,1
13412,deflation,-0.479404091835022,1
3731,suspicion,-0.4730478525161743,1
3795,powerful,-0.46952041274025325,42
7398,ducked,-0.4686218500137329,12
5194,limited,-0.4668227005749941,64
4514,legible,-0.4662553071975708,12
11134,terrified,-0.4636707305908203,12
5929,incoveniences,-0.4604148864746094,21
11062,unreal,-0.45999646186828613,1
4500,weak,-0.45667948085686255,58
14725,disaapointed,-0.4479101896286011,14
14346,furious,-0.44669675827026367,1
489,otherwise,-0.44369589347465366,102
15902,"is,""it",-0.44127023220062256,1
678,nothing,-0.4397945610982067,530
5928,irritated,-0.4392263548714774,14
11350,quot;dumbing,-0.4379807710647583,13
3035,dies,-0.43749273907054553,22
14813,can&#8217;t,-0.43558192253112793,2
16113,regretting,-0.4330785274505615,20
1255,useless,-0.43005535350396085,104
10276,............,-0.4296990633010864,1
7604,deceiving,-0.4251425974071026,32
11229,shroud,-0.4213956296443939,1
138,not,-0.4189917425392773,8068
12569,either.-the,-0.40534400939941406,1
8282,unable,-0.40343909131156075,36
6668,ignores,-0.4023004174232483,2
11305,derails,-0.40076112747192383,2
9706,bummed,-0.3942184845606486,27
12395,year.wish,-0.39337217807769775,1
4853,ut,-0.3933185338973999,16
13613,cheap-,-0.39296817779541016,15
5942,discribe,-0.3920501470565796,1
9382,frustrates,-0.3912229201068049,46
7706,topled,-0.3895341157913208,1
