,Word,Value,Freq
3183,e,-2.593686819076538,2
7583,andrea,-1.7874319553375244,1
4299,drake,-1.4310767650604248,1
4880,khloe,-0.8999024232228597,1
4354,karzai,-0.6663254896799723,1
1935,wasting,-0.5985651612281799,4
5445,propblems,-0.5593791007995605,1
3832,calmly,-0.5158953666687012,1
735,feared,-0.5151004791259766,2
5021,neighborhood,-0.3826100826263428,1
870,missed,-0.3738561471303304,9
7919,soft,-0.3727334141731262,2
662,accustomed,-0.36627352237701416,2
7249,foreseeable,-0.336503545443217,3
1459,days,-0.33333045098839736,41
1982,tired,-0.3161001404126485,12
6792,wishes,-0.29140386581420896,5
4000,messy,-0.28196239471435547,1
8338,allege,-0.2366466522216797,1
1153,mess,-0.23372235664954552,13
8076,tennessee,-0.23008275032043457,1
4726,masochistic,-0.22718071937561035,1
1628,ridiculous,-0.2153237141095675,26
7968,rash,-0.1994643211364746,1
4340,packed,-0.18848776817321777,1
6891,dominated,-0.17535734176635742,1
7522,gilbert,-0.17077255249023438,1
8573,plaintiffs,-0.16863417625427246,1
7225,hindsight,-0.15400755405426025,1
8621,bolivia,-0.1384105682373047,1
1758,useless,-0.13323489824930826,3
7164,stressing,-0.1309070587158203,1
776,sheer,-0.13025403022766113,2
2991,lots,-0.12829136848449707,7
5712,tricky,-0.12695884704589844,1
3847,stands,-0.12645506858825684,3
4710,riddance,-0.12569808959960938,1
4709,instinct,-0.12569808959960938,1
7754,league,-0.12468624114990234,1
6893,troupe,-0.1240546703338623,1
7447,pro,-0.12317156791687012,1
5028,marea,-0.12311685085296631,1
4856,colloquially,-0.11834216117858887,1
6018,heals,-0.11359250545501709,1
5356,suggested,-0.11189746856689453,1
2760,shock,-0.11120206117630005,7
1257,majority,-0.10920140478346083,9
4559,shots,-0.10813188552856445,1
6098,formal,-0.10785150527954102,1
7088,1950,-0.10755085945129395,2
7878,sufficient,-0.10751152038574219,1
6017,monarchy,-0.10701370239257812,2
648,concerned,-0.10606962442398071,16
3858,wv,-0.10456979274749756,1
8507,strangers,-0.10402774810791016,1
5554,glaring,-0.1003427505493164,1
8671,pleading,-0.10014629364013672,1
6585,tapes,-0.09992504119873047,1
2753,shocked,-0.09917461020605904,7
8121,wrists,-0.09862923622131348,1
6463,maduro,-0.09837031364440918,1
3207,denied,-0.09790194034576416,4
2712,critics,-0.0928184986114502,1
6769,requires,-0.09140455722808838,2
7079,commonly,-0.09121513366699219,2
7760,hosue,-0.09118080139160156,1
4673,afrikaans,-0.09103941917419434,1
4593,miles,-0.08824079036712647,10
5723,pleased,-0.0867084264755249,2
5595,altering,-0.08617949485778809,1
3998,suite,-0.08551335334777832,1
7087,established,-0.08360433578491211,2
8070,surf,-0.08330810070037842,2
2545,lean,-0.08303594589233398,1
3363,yemeni,-0.08198118209838867,2
5285,sums,-0.08151626586914062,1
8470,acknowledged,-0.07943511009216309,1
8054,reversal,-0.07878541946411133,1
7524,conducted,-0.0783381462097168,1
1603,marshal,-0.07825088500976562,1
3611,gandhi,-0.07791638374328613,1
4627,gop,-0.0773305892944336,1
3774,louisiana,-0.07690072059631348,2
6556,descriptive,-0.07591831684112549,2
2407,ironically,-0.0741657018661499,2
7251,russell,-0.07392239570617676,2
7442,city.a,-0.07366784413655598,1
4949,active,-0.07348370552062988,1
4144,demonstrated,-0.07321405410766602,1
6116,moscow,-0.07204294204711914,1
