,Word,Value,Freq
15097,sprites,-18.929268836975098,1
3605,@cvickery615,-17.451406240463257,1
5250,screwjeans,-17.169827461242676,1
9432,ordeals,-15.388940811157227,1
20933,crucify,-15.084768056869507,1
5972,do.~judy,-14.797165513038635,1
22440,burped,-13.497649192810059,1
22454,@grrratlife,-13.459956645965576,1
20110,liq,-12.877384662628174,1
9760,@maryroseo,-12.446821689605713,1
11275,@_kaitlynsnyder,-11.944395542144775,1
17517,@shutupdude,-11.628242254257202,1
22243,@bimbolal,-11.540883302688599,1
650,throwbacks,-11.358936786651611,1
16781,anaconda,-11.349717378616333,1
9897,@mrut923,-11.317989826202393,1
13112,~milla,-11.302651405334473,1
5932,@lisapoisso,-11.098331451416016,1
20354,hatewinter,-10.99834156036377,1
14006,stonewall,-10.726619720458984,1
17596,quitfuckingaround,-10.703717947006226,1
9973,dessert,-10.055098056793213,2
18530,desserts,-10.043566226959229,1
1607,mybodyhashorribletiming,-10.029273629188538,2
5289,treck,-9.719253540039062,1
19911,@karla_isabella2,-9.6478111743927,1
8903,sadnessss,-9.60950756072998,1
20707,workagain,-9.600808143615723,1
18525,elbow,-9.491473197937012,1
18417,bittersweet,-9.461185932159424,1
1475,panicking,-9.459150314331055,1
21913,@sabahlalalala,-9.322504043579102,1
22449,shakes,-9.25609016418457,1
17613,@amitchell259,-9.198525190353394,1
18275,@jameswyl,-9.183451890945435,1
21541,cindy,-9.099534511566162,1
13996,corny,-8.894387006759644,1
15252,lover<3,-8.841950416564941,1
22815,@overstock,-8.682807207107544,1
2724,@gshockzz,-8.563779592514038,1
20149,@synkroofficial,-8.424695491790771,1
16687,autograph,-8.20117473602295,1
11587,@karlie_44,-8.158955574035645,1
17875,legion,-8.154104232788086,1
18485,bodies.~,-8.148740530014038,1
22020,@mzahmad,-8.132689237594604,1
21408,@sciullishoe,-8.077082633972168,1
22338,undefined,-8.071821928024292,1
10232,complimentary,-8.024066925048828,1
8578,@matthew_barker,-8.012624740600586,1
8994,thrive,-7.932400703430176,1
20646,bitchassness,-7.907316207885742,1
11843,@kelly_surfer,-7.863593578338623,1
22276,rioters,-7.846218585968018,1
18175,needhelpbadly,-7.8118836879730225,1
5109,audacity,-7.809748649597168,1
10347,@manmademoon,-7.702925205230713,1
15787,tme,-7.630946159362793,1
22237,sebastian,-7.531574249267578,1
15031,obsessedâ€,-7.515852451324463,1
8255,hurtsogood,-7.49957275390625,1
5784,@zardychess,-7.405872821807861,1
13296,gohome,-7.357012748718262,1
12496,disparity,-7.345674932003021,1
21972,reared,-7.299155235290527,1
14514,wharf,-7.265730857849121,1
7537,petticoat,-7.26128876209259,1
19010,harmed,-7.11309289932251,1
18340,@dswhite21,-7.080486059188843,1
12942,hateatt,-7.013806343078613,1
19992,@twentyonepilots,-6.98942756652832,1
10636,@zacharygc,-6.883403062820435,1
2575,someimes,-6.855988264083862,1
12387,@kristin0462,-6.738168239593506,1
1964,shareconomy,-6.688630819320679,1
14638,@misterftd,-6.640474081039429,1
21888,nocomplaints,-6.609800338745117,1
21519,giggs,-6.531618118286133,1
1603,@rafikij,-6.4406960010528564,1
4185,contagious,-6.434662580490112,2
17418,inwards,-6.427680492401123,1
12202,scarredforlife,-6.381051540374756,1
5236,@iamchrisneal,-6.364089012145996,1
18824,@jasona95,-6.356274425983429,1
11839,overweight,-6.319675445556641,1
18126,needadog,-6.301849126815796,1
9868,@vanessajmusic,-6.2812066078186035,1
10284,@biblicious,-6.197707176208496,1
5928,superbowl,-6.184943675994873,1
18990,@_serie_a,-6.180883407592773,1
5199,bandits,-6.128488540649414,1
9270,@kennyruffner,-6.090840578079224,1
16018,@ryan_corkles,-6.016612529754639,1
13598,fuckemall,-5.999829292297363,1
12607,n.a.,-5.917581796646118,1
11721,vibrating,-5.916320323944092,1
20193,chargeee,-5.881734848022461,1
13987,spawnkilled,-5.797613620758057,1
8901,buggie,-5.755285263061523,1
7541,theyearofourlord1665,-5.695931315422058,1
11842,redemption,-5.686448097229004,1
17876,larry,-5.649595379829407,2
12223,annoy,-5.64145290851593,4
19229,@flyboi_rob,-5.618646144866943,1
18994,bats,-5.586806297302246,1
16804,containing,-5.507907867431641,1
3729,ourfuturejourney,-5.491837978363037,1
21299,powerless-2,-5.476902484893799,1
14694,oreos,-5.4532634019851685,1
17402,do?:/,-5.3733696937561035,1
6863,hypnosis,-5.298657417297363,1
4888,@thenearlydeads,-5.289978504180908,1
8788,crave,-5.285641670227051,2
9469,naggins,-5.236584663391113,1
