,Word,Value,Freq
7014,giggled,-4.3843817710876465,1
2516,spirt,-3.5690550009409585,1
8534,luxury,-3.3349013328552246,1
16513,accused,-3.2679636478424072,2
3313,deficiency,-3.2660434246063232,1
21778,tap,-3.1395187377929688,1
15934,vibrant,-3.097641706466675,2
6766,spokesperson,-3.09666109085083,1
22549,covo,-3.021823525428772,1
10388,sliders,-2.997706413269043,1
14437,elation,-2.993975043296814,1
20691,kurds,-2.9845802783966064,1
3662,whereabouts,-2.982940435409546,2
18931,insult,-2.901957333087921,2
17003,shrink,-2.8649027347564697,1
18044,retiring,-2.781538248062134,1
3529,sham,-2.76491641998291,1
19913,îƒîœîšîˆ,-2.738840341567993,1
20575,cheater,-2.670807123184204,1
5948,bitter,-2.656608819961548,5
16055,appreciated,-2.618415355682373,1
9674,wonderfull,-2.5941816568374634,1
22408,neglect,-2.5753393173217773,1
7208,dedication,-2.55898380279541,2
177,vase,-2.5540084838867188,1
1351,convergence,-2.5361297130584717,2
20633,novembers,-2.5162856578826904,1
11233,vegetarian,-2.505465507507324,1
6619,cara,-2.4980015754699707,1
6942,beetle,-2.466012716293335,1
16048,bec,-2.4629393815994263,1
19611,temptation,-2.433797836303711,1
348,fresher,-2.3887078166007996,1
8807,compare,-2.3664252360661826,3
19335,emory,-2.358464002609253,1
16225,lonelyness,-2.353254556655884,1
17932,chicks,-2.3344223499298096,1
16498,seasons,-2.32259464263916,1
21328,guna,-2.319108724594116,1
10020,facetious,-2.31833553314209,1
13373,athletic,-2.3117856979370117,1
17399,converted,-2.29549241065979,1
9148,rhyme/,-2.295332431793213,1
16291,toungue,-2.2825557390848794,1
21660,christmas=,-2.2812339067459106,1
11100,denny,-2.252728223800659,1
21391,reggae,-2.2498278617858887,1
12192,joyness,-2.224935233592987,2
10034,frustrated,-2.223051905632019,2
8297,wireless,-2.178532123565674,1
22678,inheritance,-2.1575570106506348,1
6293,serenity,-2.154576063156128,1
7915,prez,-2.1538286209106445,1
3343,desist,-2.149095058441162,1
17161,cynicism,-2.129391352335612,1
21047,improvements,-2.1211905479431152,1
18596,acacia,-2.1170291900634766,1
3539,vhs,-2.095998764038086,1
7619,empathy,-2.0917844772338867,2
17343,eagle,-2.0852084159851074,1
15792,counterfeit,-2.0676190853118896,1
3749,seduced,-2.0638206005096436,1
8511,poodle,-2.059422552585602,1
20756,customs,-2.04573392868042,1
14965,tiredness,-1.9994617104530334,1
23066,tablet,-1.9901556968688965,1
18548,cirgury,-1.986903429031372,1
22733,paced,-1.9608230590820312,1
7949,vomit,-1.9569587707519531,4
5620,coordinator,-1.9517335891723633,1
6875,complain,-1.930226723353068,3
14971,hazing,-1.9288805723190308,1
2328,grief,-1.9259578943252564,5
14913,encouragement,-1.9174455404281616,1
10875,brandy,-1.9108071327209473,1
19967,detest,-1.9064890146255493,1
14235,sharting,-1.9062862594922383,1
4249,noodle,-1.8717825412750244,1
11201,comedian,-1.8657155632972717,2
1083,sponge,-1.847518801689148,2
21325,remake,-1.8434405326843262,2
13463,vowed,-1.8341938257217407,1
14781,coldness,-1.8305695056915283,1
20806,paddy,-1.8181588649749756,1
6067,hometown,-1.7785134315490723,1
6677,counts,-1.7665969133377075,1
8970,dragonsong,-1.7622370719909668,1
18825,greaser,-1.7621889114379883,1
16351,outrage,-1.7562098503112793,1
20054,@charlottefoot,-1.7528618971506755,1
9272,arrogant,-1.752321481704712,1
12813,noodles,-1.730387806892395,2
15625,breakingnews,-1.7291754086812336,1
4239,punkass,-1.7245798707008362,1
