,Word,Value,Freq
19905,@pottyplant,-14.141398191452026,1
17551,doggie,-14.12148666381836,1
17983,symptom,-12.916595458984375,1
18914,@k_schaffernoth,-12.341664791107178,1
13446,detest,-12.052230834960938,1
18694,@lil_hammock,-10.244034677743912,1
18576,notreadytogrowup,-9.843022108078003,1
19493,wakeupcall,-9.770191431045532,1
13147,ohmypotato,-9.283179998397827,1
13235,twinnys,-9.066080093383789,1
14526,ruinseverything,-8.770769119262695,1
21136,@chrisbsharp,-8.319119215011597,1
16416,@malstott1,-7.966068506240845,1
21646,liars,-7.639833450317383,1
9524,annoyances,-7.588748455047607,1
433,tomorrow!=/,-7.538945198059082,1
17463,spoils,-7.510420322418213,1
3660,fear.#life,-7.328148126602173,1
8432,kidnap,-7.295374870300293,1
14168,unauthorized,-7.222524642944336,2
21908,@mariahsaysrawrr,-7.028233885765076,1
10769,bane,-6.718087196350098,1
18558,detrimental,-6.695456027984619,1
8373,fuckit,-6.658384442329407,1
22187,@mermaidmccall,-6.630215406417847,1
22229,@sarahweissy,-6.5402727127075195,1
18664,@holly_berry10,-6.4384377002716064,1
18264,@madbec42,-6.390491724014282,1
21779,@rantingrhanna,-6.376745700836182,1
16247,@mandiliciousdef,-6.3712286949157715,1
21778,@mklabelle,-6.366096317768097,1
6529,skipped,-6.322664260864258,1
10543,gradschoolproblems,-6.292407512664795,1
8853,cossie,-6.175544023513794,1
22121,wrecks,-6.135480880737305,1
19137,starves,-5.994732618331909,1
15894,dontwannathinkaboutit,-5.961963176727295,1
2026,vicinity,-5.94606876373291,1
21761,@mackenz_e,-5.913612127304077,1
13570,happinessis,-5.890052437782288,2
19653,stumbled,-5.798460960388184,1
12118,@laviede_kerrie,-5.765340566635132,1
21500,underachieving,-5.745535850524902,1
14899,lazyday,-5.7406394481658936,1
18573,@court_shaw,-5.681610107421875,1
14249,@brianyarvual,-5.671879887580872,1
3781,hesitant,-5.472105979919434,1
9460,@patkush24,-5.4352126121521,1
6123,@jacobeaton1,-5.382847309112549,1
5544,peoplepleasing,-5.369091987609863,1
12981,opening-,-5.341214656829834,1
18083,itspayday,-5.2883970737457275,1
3247,worstdayever,-5.2664594650268555,1
17987,@tinaschicchi,-5.202750027179718,1
20582,@mgcat,-5.140059232711792,1
16667,funerals,-5.133961200714111,1
15415,wastetimetweetingaboutit,-5.130662202835083,1
19892,@siktouch,-5.091629266738892,1
20354,hatewinter,-4.990476608276367,1
21593,battered,-4.990262508392334,1
7002,spilled,-4.965641736984253,2
9246,sappy,-4.959338188171387,1
19065,@saintbles,-4.952500820159912,1
22599,lect,-4.8751208782196045,1
8701,unpredictable,-4.866505146026611,1
6214,sabotage,-4.855069637298584,2
20480,@criminally,-4.8265016078948975,1
11334,@tanner_law,-4.733838796615601,1
6481,krul,-4.695289134979248,1
7135,dicaprio,-4.686016321182251,1
13461,@mryu90,-4.615706920623779,1
19108,bye~,-4.58735990524292,1
19938,@eleanorrsboots,-4.526743412017822,1
818,cuss,-4.503212292989095,3
19073,@hjharwood,-4.501900553703308,1
11086,#surprise,-4.476067543029785,2
14995,shutup,-4.4704121351242065,2
11067,oy,-4.42731499671936,1
15893,@tbisek,-4.361664414405823,1
5903,cunts,-4.346072673797607,5
4815,frequently,-4.319934844970703,1
8203,joel2,-4.318682909011841,1
18353,@ammunition4god,-4.304879903793335,1
4816,wiiiiiide,-4.298419952392578,1
19945,work+hungry=,-4.252137541770935,1
15764,getwellsoonlucas,-4.233757257461548,1
17255,buys,-4.209511756896973,1
7954,explodes,-4.190345406532288,2
10943,bsnl,-4.183865070343018,1
22840,@diremanofficial,-4.178477764129639,1
20600,rappers,-4.1535162925720215,1
17977,operationshoebox,-4.125213146209717,1
8674,@joeyribbens,-4.07828950881958,1
14497,@thesammcatee,-4.0274622440338135,1
20990,ginter,-4.00298810005188,1
19950,goddamn,-3.981963634490967,1
9385,nola,-3.974369525909424,1
18510,messin,-3.7916722297668457,2
18749,feelingpukey,-3.771845817565918,1
23056,authorship,-3.7496094703674316,1
1306,~jg,-3.749422788619995,1
6057,inshallah,-3.709347367286682,2
9802,angst,-3.693446636199951,2
5625,breed,-3.6754236221313477,1
5059,missin,-3.6700915098190308,2
2777,@sarcastic_viper,-3.666696310043335,1
6056,regrets,-3.659791946411133,5
566,reaaal,-3.646428346633911,1
6812,yippee,-3.6420068740844727,2
16771,declined,-3.6208488941192627,1
12234,inevitable,-3.6061441898345947,1
2374,denial,-3.524209141731262,2
19336,mayhem,-3.5069968700408936,1
10699,besties,-3.505666732788086,2
11742,addiction,-3.472321391105652,2
4814,@aleahruth,-3.435426950454712,1
15332,escaped,-3.4140713214874268,1
14723,unaware,-3.3792694807052612,2
9527,conned,-3.302030324935913,1
16623,flow3,-3.2872148752212524,1
18123,obstacles,-3.2763068675994873,1
22549,freezes,-3.2704570293426514,1
7232,drako,-3.269289970397949,1
17438,@aimeetweets4u,-3.256742477416992,1
15225,fear-,-3.2267041206359863,1
8201,slow2,-3.211205005645752,1
12138,goodbyes,-3.1972001791000366,2
6594,shrooommmsrt,-3.1708950996398926,1
4893,@logankellams,-3.165926456451416,1
13890,@lindsay_mathers,-3.165130853652954,1
13779,coords,-3.1281614303588867,1
9501,unavailable,-3.125935912132263,2
15576,ruining,-3.11087167263031,2
2986,spoilt,-3.1042373180389404,1
18899,thss,-3.0777134895324707,1
9374,gettinold,-3.054206371307373,1
6931,justtryingtoupliftthisboringconvosation,-3.0529978275299072,1
5050,subjected,-3.0496699810028076,2
13186,recklessestimations,-3.0394880771636963,1
2968,asp.net,-3.0014147758483887,1
8481,@slowgrind_pusha,-2.9707309007644653,1
17964,poorly,-2.9645466804504395,1
15888,prof,-2.955652117729187,2
22459,eastcoastproblems,-2.9535404443740845,1
18961,fairytale,-2.94563364982605,1
9333,@viiicckkyyl,-2.9341299533843994,1
15230,@masontheswamper,-2.9254183769226074,1
15219,bestgirlfriendever,-2.898321211338043,2
8264,@@,-2.8686487674713135,1
9988,trepidation,-2.8636600971221924,1
13021,@rallyandrepeat,-2.847187876701355,1
21206,/.,-2.840378761291504,1
8488,d/,-2.8394638299942017,1
22199,@ericgreen4,-2.8345539569854736,1
18080,scouring,-2.8157981634140015,1
21175,@insaneserenade,-2.8148592710494995,1
16135,@goddesspharo,-2.800488233566284,1
17340,spill,-2.792820930480957,2
19303,fron,-2.7787961959838867,1
4838,punishment,-2.774360179901123,2
2361,clippers,-2.762024998664856,2
16792,chewys,-2.7594510316848755,1
9841,start.truth,-2.7447028160095215,1
4300,aaaannnddd,-2.7308133840560913,1
3945,thissucks,-2.7255191802978516,1
16190,flashbacks,-2.715409994125366,2
19685,disturbingly,-2.7120048999786377,1
15279,)-:,-2.704843521118164,1
11430,uncomfortable,-2.6913311958312987,5
18675,@rchow7,-2.667868137359619,1
9101,importantly,-2.6580557823181152,1
18724,lostening,-2.6490230560302734,1
6855,selfloathing,-2.638668179512024,2
13773,@bopptimusprime,-2.6001144647598267,1
6179,spends,-2.594980001449585,2
13741,@ashlee_yrigoyen,-2.593060612678528,1
18081,@lookbookdotnu,-2.590235471725464,1
18747,sank,-2.5860246419906616,2
8765,contradiction,-2.5854814052581787,2
3637,munchies,-2.566002130508423,1
11429,@laurenliscio,-2.5392141342163086,1
9508,tooo,-2.5378806591033936,2
21363,costas,-2.527619957923889,1
9346,zombies,-2.5208933353424072,2
15556,overtime,-2.5061593055725098,1
7500,voidwatch,-2.49783718585968,2
6576,@karenstivali,-2.4863617420196533,1
4139,ruin,-2.4837225437164308,15
13363,@durrty_diana,-2.476586103439331,1
23279,rejects,-2.463667154312134,1
4324,surprising,-2.456380469458444,7
16102,births,-2.44511342048645,1
15052,@henry_hobson,-2.435462713241577,1
11355,crushing,-2.4344483613967896,3
1964,shareconomy,-2.4328019618988037,1
17076,holidayplans,-2.424030065536499,1
2419,frustrating,-2.413939634958903,3
22012,notsoperfectteethafterall,-2.413672924041748,1
21493,have'em,-2.387827754020691,1
16418,soundtrack,-2.376051187515259,1
6016,somtimes,-2.3525431156158447,1
18662,librarydate,-2.3364343643188477,1
9901,@benstratton1,-2.313009262084961,1
13990,@jenmai,-2.30586576461792,1
18638,microwaves,-2.3026087284088135,1
15317,feds,-2.2925983667373657,1
9200,goodholidayanyway,-2.2902259826660156,1
18996,@gracie_dehaven,-2.285224199295044,1
2574,paper(s,-2.282958507537842,1
2025,aspirin,-2.2790788412094116,1
9315,unloved,-2.2716081142425537,1
18660,@brittneeyyxo,-2.2704217433929443,1
18342,gourmette,-2.269392251968384,1
21098,@a_decrane10,-2.26652193069458,1
13015,deadline,-2.2333790063858032,2
20248,hopecompletesme,-2.2239673137664795,1
2949,hime,-2.21535861492157,1
14878,aerobics,-2.2089062333106995,1
9660,reveal,-2.2088475227355957,3
20530,oldpeoplesuck,-2.2078588008880615,1
10423,itstheaftershaveprobably,-2.2040176391601562,1
14615,@hannahjscarr,-2.1972973346710205,1
17834,pajama,-2.184579372406006,3
8485,carl,-2.1771013736724854,1
11712,jolo,-2.1758736968040466,1
22611,competing,-2.163553476333618,1
9042,@yankeecremoso,-2.1596171855926514,1
15195,endlessly,-2.1560781002044678,1
21346,@shineadhusband,-2.1553690433502197,1
17625,cyah,-2.145707845687866,1
11959,firstworldproblems,-2.144876400629679,3
928,@patricia_j,-2.140581488609314,1
6419,stupidity,-2.129913330078125,2
1690,abandoned,-2.116943120956421,1
22606,@niccxxo,-2.1144989728927612,1
18647,@jabbahut6,-2.111126184463501,1
9229,@ally_herrera,-2.1081677675247192,1
16294,@wesleywes16,-2.0980615615844727,1
5508,seldom,-2.0900405248006186,3
9263,spencer,-2.089613199234009,1
6405,2ma,-2.0855462551116943,1
3404,@msmonigutierrez,-2.0817880630493164,1
19075,moodle,-2.0813448429107666,1
17251,eyed,-2.080147624015808,2
5134,@vilma_rodrigues,-2.0733659267425537,1
21261,bleh,-2.071855068206787,1
17443,â€œ@domdevries,-2.069177508354187,1
18501,notfair,-2.067903518676758,1
20337,sugas,-2.0677642822265625,1
5268,complicated,-2.0457226435343423,3
15295,packers,-2.0378661155700684,1
