,Word,Value,Freq
7507,îœ¨îœ­,-2.1133404076099396,1
22701,impress,-1.9639859199523926,1
14408,-never,-1.7813780307769775,1
20495,foxandfriends,-1.513369619846344,1
5598,readying,-1.4609972536563873,1
22103,â€œ@calebsmith41,-1.4607512950897217,1
17179,misfortune,-1.448818951845169,1
6174,iam:)blessed,-1.4244985580444336,1
21938,so.excited,-1.420497179031372,1
23028,resonating,-1.4179181158542633,1
3781,hesitant,-1.3092570304870605,1
14716,fireworks,-1.3012648820877075,1
15988,hallelujahamen,-1.2858351469039917,1
18727,witnessed,-1.283064603805542,1
17641,bucketing,-1.2784129977226257,1
22920,pampered,-1.2611608505249023,1
12582,echelon,-1.2566175758838654,5
16200,strangle,-1.2406736016273499,1
14075,goodthing,-1.2288602590560913,1
18705,complicity,-1.227246642112732,1
20843,liberated,-1.2223957777023315,1
6675,refuel,-1.2212916016578674,1
18039,â€œ@mattmosley,-1.1641705334186554,1
20314,whipping,-1.161360263824463,1
22527,â€œ@kayls12390,-1.1464877128601074,1
3765,pinned,-1.1344492435455322,1
17596,quitfuckingaround,-1.0986425876617432,1
21759,fear.-copyrights,-1.0970900058746338,1
9385,nola,-1.0688905715942383,1
8821,stimulates,-1.0683704018592834,1
9450,infect,-1.0469905734062195,1
14709,punished,-1.040095329284668,1
23181,bitchin,-1.0380198061466217,1
22244,rudeness,-1.0364603400230408,1
6283,#pleasedontleaveme,-1.0293916016817093,1
3823,rioting,-1.025843784213066,1
7550,situated,-1.0172301083803177,2
12810,priories,-1.0094198882579803,1
20350,hostility,-1.0061675310134888,1
13489,incision,-1.0032388269901276,1
16136,thegoodwife,-1.0030245780944824,2
14185,refreshed,-0.9971372038125992,1
6986,exposed,-0.9944381713867188,1
21459,defuse,-0.9917330741882324,1
12294,boiling,-0.9755693078041077,1
10719,tiz,-0.97102952003479,1
10123,byonce.love,-0.9696328043937683,1
9110,therepointless,-0.9695339202880859,1
17864,recounting,-0.968764990568161,1
13772,infuriating,-0.9625579714775085,1
5109,audacity,-0.9564712941646576,1
16215,onerepublic,-0.9480797946453094,2
22171,11am,-0.9475809335708618,1
16356,imbeingsarcastic,-0.9453342221677303,1
18789,homework!-_-,-0.9380331858992577,1
8809,brie,-0.9377923011779785,1
2455,ironing,-0.9375344316164652,3
18891,bratty,-0.9365797638893127,1
16367,perfecting,-0.9360829591751099,1
11786,swooning,-0.9289727807044983,1
21598,fickle,-0.9247203171253204,1
4474,"""#islam",-0.9241487979888916,1
10956,accuser,-0.9216397404670715,1
20933,crucify,-0.9181470274925232,1
8744,â€œ@j_balla,-0.9151081740856171,1
16972,â€œ@drakellaj,-0.9147871136665344,1
22497,upâ€,-0.9131329953670502,1
9315,unloved,-0.9114086031913757,1
1094,downsize,-0.9108033776283264,1
5389,â€œ@prettyboiblaze,-0.9088771343231201,1
11086,#surprise,-0.9023025929927826,2
7743,retards,-0.9013393223285675,1
10266,outlook,-0.9000647068023682,1
16612,banish,-0.8993768095970154,1
19362,lawyer,-0.8973733186721802,1
17775,reenactor,-0.8942478895187378,1
20108,intermission,-0.8940965533256531,1
11207,pain!â€,-0.8921164870262146,1
15621,time!#freedom,-0.8917310237884521,1
21696,rejoices,-0.8904455304145813,1
8582,beaut,-0.8884391784667969,1
21597,involve,-0.8862121105194092,1
5940,justsaying,-0.8803441574176153,3
2332,squashed,-0.8795383870601654,1
12886,every.possible.stop,-0.8764349520206451,1
7900,can'twait,-0.8711774945259094,1
3563,christmasshopping,-0.8631357550621033,1
5215,horendous,-0.8627707809209824,1
13662,phenomenal,-0.8594768047332764,1
14287,bashing,-0.857793390750885,1
15968,asswhooping,-0.853677287697792,2
2470,venting,-0.8457129240036011,5
3422,overthink,-0.8296652436256409,1
21896,hateeverything,-0.8278803527355194,1
18495,molest,-0.8265646994113922,1
1260,daring,-0.8232055902481079,1
5939,notcomplaining,-0.8175975978374481,1
7736,harsher,-0.8149179220199585,1
17603,thatslife,-0.8123027682304382,1
12951,~notes,-0.8122690916061401,1
13728,sadistic,-0.8101249933242798,1
23138,gloriousthanksgivingvacation,-0.8094100952148438,1
19537,sacred,-0.8069406673312187,2
15592,lookingridiculous,-0.804969847202301,1
22503,dismissive,-0.8037151098251343,1
17881,â€œ@missdanido,-0.8037033826112747,1
10578,pissin,-0.8033353686332703,1
10401,cherie,-0.8032337725162506,1
19163,â€œ@parris_larkin,-0.8024455308914185,1
5925,sharting,-0.8008323907852173,1
19573,highness,-0.7988303899765015,1
18349,channeling,-0.797271192073822,2
3249,dispatcher,-0.7947119921445847,1
17443,â€œ@domdevries,-0.7906166017055511,1
2478,ransacked,-0.7883976697921753,1
6419,stupidity,-0.7834821542104086,6
14974,cospiracies,-0.7797425463795662,1
6829,booming,-0.7765840888023376,2
17521,â€œ@lovelykbenjamin,-0.7762816995382309,1
14225,spontaniousplanning,-0.7762157917022705,1
5104,â€žâ€‹,-0.7758889645338058,1
8653,dislocate,-0.7719107270240784,1
11189,miserably,-0.7707215696573257,1
7020,risking,-0.7706214189529419,1
10486,threeohwonderfullife,-0.7699534744024277,1
17738,stoned,-0.7695973515510559,1
17405,botyled,-0.7661218047142029,1
18828,muffle,-0.766070544719696,1
8425,cocky,-0.763940155506134,1
12829,10pm,-0.7618769705295563,1
19380,whatsactuallyimportant,-0.7551121413707733,1
7980,congratulating,-0.7545934915542603,1
12437,dontunderstand,-0.7511711716651917,1
13158,testimony,-0.7490288615226746,1
18549,soul.â€,-0.7456058263778687,1
16973,madd,-0.7442519068717957,1
16330,honk,-0.7367024421691895,1
18825,conceding,-0.735105037689209,1
20267,â€œ@thewrightwingv2,-0.7306552529335022,1
15948,xmasbreak,-0.7300452589988708,1
13212,8),-0.7297224253416061,1
12262,confessiontweet,-0.7296197414398193,1
23092,earlyyy,-0.7212420105934143,1
10232,complimentary,-0.7186259627342224,1
22352,hallelujah,-0.7171779274940491,1
16368,leaping,-0.7156888842582703,1
10446,influencing,-0.7144621014595032,1
7854,imabaddaughter,-0.7134610265493393,1
9524,annoyances,-0.7133949995040894,1
22254,pierces,-0.709215521812439,1
13211,tutor,-0.7069077491760254,1
3886,â€œ@allisonrose3,-0.7052677273750305,1
5610,nipple,-0.7042971253395081,1
15618,clap,-0.6991990804672241,1
18016,jack]white,-0.6975277662277222,1
3354,judgment,-0.6965715885162354,7
22822,muhahahah,-0.6928743124008179,1
19650,whores,-0.6910778880119324,1
11001,fucker,-0.6906356811523438,1
18250,shakingmyfist,-0.6903345286846161,5
10694,terrifying,-0.6892827227711678,4
11598,brag,-0.6883703112602234,5
5231,licking,-0.6816277354955673,2
6947,loyalty,-0.6801056265830994,2
18938,pleasures,-0.6798011064529419,1
10802,â€œ@alisaatiree,-0.6769647598266602,1
8267,delivering,-0.6715124249458313,1
16436,distracted,-0.6698214809099833,6
6906,eugh,-0.6682358086109161,1
8476,worries,-0.6679539158940315,4
20563,patethic,-0.6674529910087585,1
23023,unhate,-0.6666853427886963,1
8596,soexcited,-0.666264533996582,1
20065,breakthrough,-0.6625290513038635,1
19486,idiot-,-0.6605600118637085,1
14221,â€œ@omgitstphat,-0.6602833271026611,1
12853,#nonsense,-0.6597770005464554,2
5964,treachery,-0.6589738130569458,1
14396,definately,-0.6545397639274597,1
13484,overflowing,-0.6524762809276581,2
2970,feelspower,-0.6507106423377991,2
7869,â€œ@swhs_tae,-0.6474331319332123,2
21644,animation,-0.6473811864852905,1
21325,safely,-0.6473698019981384,1
10360,excellente,-0.6468521356582642,1
3136,juggling,-0.6463845074176788,2
6144,shuck,-0.6441070735454559,1
15322,thanksgod,-0.6418210864067078,1
10697,courthouse,-0.6411013007164001,1
19750,sauces,-0.6404374688863754,1
13590,commencing,-0.6371716260910034,1
16709,cantwait,-0.6371337324380875,4
17928,myfridaynight,-0.6358007192611694,1
6990,pract,-0.6346509456634521,1
11806,jackass,-0.6336986273527145,1
9841,start.truth,-0.6305961310863495,1
22256,lieingfucker,-0.629854142665863,1
16027,overnight,-0.629601776599884,1
21907,spontaneous,-0.6291321516036987,1
18411,installing,-0.6280960440635681,1
19010,harmed,-0.6251794099807739,1
21181,mugs,-0.624625563621521,2
18792,appreciative,-0.6242461204528809,1
2867,orientated,-0.6241580247879028,1
7749,rudeawakening,-0.6224352419376373,1
18604,uneven,-0.6214805245399475,1
20604,luscious,-0.6213727444410324,2
13333,savecommunity,-0.6212561726570129,1
11434,â€œ@morr_ell6,-0.6204370856285095,1
5546,shaving,-0.6173987835645676,2
14011,findlay,-0.617341935634613,1
17804,circumcised,-0.6171308159828186,1
12324,galfriend,-0.6166275590658188,1
409,huwt,-0.615206241607666,1
9448,musicallyfullfilled,-0.6151086091995239,1
2759,condemning,-0.6148490905761719,1
12311,ideaa,-0.6141552329063416,1
15101,chanting,-0.6140950918197632,1
20310,solemn,-0.613381564617157,1
19162,ewah,-0.6130167841911316,1
8158,saved,-0.6128025352954865,3
17185,desist,-0.6118979454040527,1
19232,qute,-0.6116361618041992,1
12221,deconstructing,-0.6092168092727661,1
6837,shit.â€,-0.6092104762792587,1
19634,spreads,-0.6077339053153992,1
8764,thebulge,-0.6075894832611084,1
15081,weirdo,-0.606207013130188,1
18476,archway,-0.6058112382888794,1
22395,revelationsfromthetech,-0.6009745299816132,1
13221,mischief,-0.6002073884010315,2
6161,randomest,-0.6000910401344299,1
22861,cherub,-0.5982725620269775,1
4992,hungover,-0.5955479145050049,2
20199,tooexcited,-0.594659149646759,1
16907,""")",-0.5944536328315735,1
19834,mistrust,-0.5943939983844757,1
1600,traps,-0.5939658135175705,2
15800,:-o,-0.5936006903648376,1
6422,rime,-0.5927665829658508,1
16626,canitakeitback,-0.5924325585365295,1
3614,bonus,-0.5893805474042892,4
17111,psychiatry,-0.589268684387207,1
17951,taunting,-0.5880756378173828,4
22270,thismorning,-0.586897611618042,1
20277,virtues,-0.5864133834838867,1
3998,chaos,-0.5850784778594971,2
4069,cherish,-0.5849392754690987,7
13945,â€œ@travelligence,-0.5846012234687805,1
3407,misremembering,-0.5811594426631927,1
20711,improvement,-0.5808795690536499,1
19663,urgency,-0.5807269215583801,5
5337,rescuing,-0.5804555416107178,1
20113,tinkering,-0.5802546143531799,1
18667,â€œ@kickn_itwkam,-0.5784639120101929,1
6277,kristen,-0.5779895782470703,1
21688,40mins,-0.5775882005691528,1
12224,stupidest,-0.5772191286087036,1
1780,pisses,-0.5770214721560478,4
20034,flattens,-0.5765167474746704,1
2420,damnn,-0.5755546689033508,1
22461,frisked,-0.5754872858524323,1
15430,â€œ@rofldrg,-0.5744187831878662,1
15888,prof,-0.5741723626852036,2
12713,you?lmao,-0.5739995241165161,1
17803,varied,-0.5726158022880554,1
18429,izzy,-0.5669785737991333,1
10637,posed,-0.5666289329528809,8
16509,betrayed,-0.5663984417915344,1
20187,stalker,-0.566307544708252,1
7354,scouting,-0.5659243762493134,2
18331,hypocritical,-0.5657921507954597,1
10343,really??wow,-0.5653581134974957,1
3830,îœ¨,-0.5642260611057281,1
10950,pineapple,-0.5630405843257904,1
20781,boasting,-0.5621875524520874,1
8954,disrespect,-0.5610412955284119,1
13580,crazy!(:lmao,-0.5609956532716751,1
4470,tis,-0.5609412789344788,6
12464,â€œ@alwayys_smilee,-0.5590398907661438,1
19330,unplug,-0.557986855506897,6
1366,cracking,-0.5555727630853653,2
21300,tp,-0.5544384717941284,1
11206,â€œ@mrwestphilly35,-0.553581029176712,1
19413,hesitation,-0.5530878901481628,1
4090,argumentative,-0.5520817041397095,1
12331,defy,-0.5511106848716736,2
11725,calorie,-0.5505971312522888,1
19509,burglar,-0.548998087644577,2
6835,â€œ@crystalsimile,-0.5489255785942078,1
12069,behave,-0.5460415780544281,2
20276,extolling,-0.5459793359041214,1
9638,fuckfrench,-0.5455804094672203,1
15555,expose,-0.5447536110877991,1
1677,wontmissmetro,-0.5444088578224182,1
19766,pause,-0.543826051056385,4
16689,classy,-0.5431356032689413,3
9280,protesting,-0.542949914932251,1
3908,loev,-0.5428089499473572,1
2692,conditioning,-0.5426935508847237,5
12414,there?)â€,-0.5396700501441956,1
7696,hitler,-0.5383791923522949,1
15043,overcomes,-0.5372669100761414,1
12178,jazzy,-0.536880224943161,2
10296,mournful,-0.5365146994590759,1
22388,acrosss,-0.5357344597578049,3
3269,hatesnow,-0.5348767936229706,1
22864,vandy,-0.5348163843154907,1
284,heckle,-0.5345780849456787,1
5462,stressing,-0.5314414501190186,1
21755,cahumanity,-0.5302480459213257,1
20054,epl,-0.5301476716995239,1
18273,polystyrene,-0.52686607837677,1
15205,microbiology,-0.5253073573112488,1
12673,unify,-0.5248085260391235,1
