,Word,Value,Freq
6851,venting,-1.0241566896438599,1
2559,time!#freedom,-0.9432953596115112,1
2665,starve,-0.8915761709213257,1
6875,=(,-0.8614950478076935,1
1524,loneliness,-0.8265392780303955,1
8999,spontaniousplanning,-0.7646261155605316,1
2934,descripiton,-0.7598314881324768,1
9739,psychiatry,-0.755837082862854,1
1944,loathing,-0.7554061710834503,2
7179,meditating,-0.7391178607940674,1
2226,joys,-0.7263604402542114,1
2190,comfort,-0.7104938328266144,1
6837,@loving_my_years,-0.692230723798275,1
5834,meditation,-0.6698610782623291,1
5515,confined,-0.6613554358482361,1
2832,empowering,-0.6599927544593811,1
5930,unreal,-0.6424246430397034,1
3491,appriciating,-0.6367755383253098,1
7517,abode,-0.6246294677257538,1
6698,@insomniacfrieze,-0.6230645775794983,1
9188,axioms,-0.6106283366680145,1
3584,feasting,-0.6041430532932281,1
5034,gloriousthanksgivingvacation,-0.6039326041936874,1
7584,extrordinary,-0.5932467728853226,1
6060,dreamstream,-0.5841466188430786,1
2627,recitation,-0.561596691608429,1
10351,@llergoshine,-0.5614215135574341,1
5649,surgeon,-0.5566086173057556,1
4892,beaut,-0.5470175445079803,1
6259,=/,-0.540738970041275,1
6712,despise,-0.5404511541128159,2
3146,disturbed,-0.5393431782722473,1
8303,mustgoshopping,-0.5369863212108612,1
4437,premeditatively,-0.5305896103382111,1
8330,defines,-0.5274224281311035,1
4970,tomorrow!=/,-0.5247308611869812,1
6012,crucify,-0.5148568153381348,1
2198,"3,000",-0.4966162294149399,1
4888,nursing,-0.4964767098426819,1
5605,fuming,-0.4959835410118103,1
4992,idratherbesleeping,-0.49451468884944916,1
7884,tripping,-0.493780255317688,1
10522,grieve,-0.4927479773759842,1
4465,._.,-0.48950644582509995,1
1939,constsntly,-0.4871748387813568,1
4293,apathy,-0.4869898557662964,1
5966,deadpoetssociety,-0.48068079352378845,1
4397,hoodwinked2,-0.47756004333496094,1
350,apocalypse,-0.47571803629398346,2
6061,torment,-0.47399815917015076,1
9438,softer,-0.46849679946899414,1
9262,bullying,-0.46816539764404297,1
3200,reset,-0.4678698182106018,1
3790,madness,-0.46771204471588135,2
1617,judgment,-0.4664461314678192,1
2582,journals,-0.4632646143436432,1
2887,interpretations,-0.4595232307910919,1
1171,apocolypse,-0.45564812421798706,1
9439,snore,-0.45503103733062744,1
8732,children+water,-0.45385313034057617,1
4541,deactivated,-0.4519534409046173,1
2349,weeping,-0.44913119077682495,2
7731,vigilant,-0.4483557641506195,1
10449,hatewinter,-0.44280439242720604,1
7883,lsd,-0.4337673485279083,1
8225,corruption,-0.4302423596382141,1
5795,infect,-0.4299739599227905,1
2848,dying,-0.42962065764835905,7
1487,:((,-0.4295685961842537,2
9381,can't,-0.42840129137039185,1
11050,mymotherstartedjuicing,-0.428329162299633,1
5327,babysitting,-0.4238967001438141,1
3898,amish,-0.4230805039405823,1
9877,splurge,-0.4207752048969269,1
