,Word,Value,Freq
19872,plate-,-2.6272528171539307,3
13690,thoughtless,-2.0170897245407104,1
16860,wasteful,-1.7424855828285217,1
6548,inconsistent,-1.627636988957723,3
18299,degraded,-1.3423484563827515,2
14899,ruins,-1.3100354488079364,13
19054,vexed,-1.2716126441955566,4
7341,unreliable,-1.2218894958496094,3
18431,speechless,-1.2036099433898926,2
6300,struggling,-1.2011697441339493,8
21063,inacceptable,-1.164317399263382,4
20661,gag,-1.0953124364217122,3
21715,sarde,-1.060524344444275,3
11060,begging,-1.0584609508514404,1
14438,disregard,-1.0545241038004558,3
9995,spark,-1.0371886662074499,7
17062,stunned,-1.0370137691497803,1
5655,scoffed,-0.9431800842285156,2
20442,amend,-0.8510245084762573,3
18224,reek,-0.7993186712265015,1
12904,asshole,-0.7807579040527344,2
9227,anomaly,-0.7531052827835083,1
11823,hastily,-0.6834926605224609,1
16450,polarized,-0.6437175273895264,1
9237,agony,-0.615609884262085,1
17637,inherently,-0.5918983221054077,1
114,disappointing,-0.5848779198307319,149
22164,rhetoric,-0.5840088129043579,3
22045,stil,-0.5781168937683105,2
17035,pristine,-0.5518497228622437,6
1309,shortest,-0.5483627915382385,2
8707,inaccurate,-0.5399792492389679,24
1192,dismay,-0.5374791622161865,3
10831,lacks,-0.5361387404528531,22
7005,flavourless,-0.5196425120035807,3
1744,descriptive,-0.5150882601737976,2
1773,dated,-0.5132271299759547,12
17523,trampled/,-0.5127848982810974,1
12253,flexibility,-0.5051498413085938,2
1513,c'est,-0.49366494019826257,8
21458,gasped,-0.4890251159667969,1
3083,chaos,-0.4682582914829254,4
1665,deviant,-0.46645545959472656,1
22064,messiest,-0.4627944827079773,3
22167,bashing,-0.4625362902879715,3
6277,distracted,-0.45772544542948407,3
11286,thug,-0.4562677542368571,6
21489,gagged,-0.4486767649650574,2
10892,wobbly,-0.4435350298881531,1
1772,lacking,-0.4330023229122162,74
2764,slowest,-0.4314291477203369,20
13485,peeved,-0.42961007356643677,1
13458,terror,-0.4289628863334656,2
4520,validated,-0.42638182640075684,1
3872,suspicious,-0.4232276678085327,2
20190,sadden,-0.4202209711074829,1
13241,slacking,-0.41768405586481094,2
19058,cup(s,-0.41715312004089355,4
11526,drab,-0.40977710485458374,1
8456,optional,-0.40469632148742674,5
1032,frustrating,-0.40443956224541916,38
5128,pause,-0.3991660475730896,2
10909,lightweight,-0.3986027240753174,1
13302,charlies,-0.39676153659820557,1
13419,disliked,-0.39310726523399353,4
19589,infraction,-0.3917014201482137,1
9838,utility,-0.39100193977355957,3
8413,letters,-0.3901896238327026,5
19688,meg,-0.38910821080207825,1
7523,swollen,-0.38567063212394714,4
17875,totters,-0.38513538241386414,4
