,Word,Value,Freq
10807,speechless,-1.7104856669902802,2
10188,nothin,-1.1858198642730713,1
14671,jamal,-0.9169998168945312,1
15901,slamming,-0.9153393507003784,2
18623,sarde,-0.8313207626342773,1
12841,abandoned,-0.802890419960022,2
15456,tentative,-0.7825628519058228,2
19752,tragic,-0.782454252243042,1
16677,campers,-0.761415958404541,1
8759,degraded,-0.7261910438537598,1
14618,contempt,-0.7035555839538574,1
3662,declining,-0.7018899917602539,1
20688,sickest,-0.6650581359863281,1
5822,puckering,-0.6503403186798096,1
18635,rigid,-0.6078448295593262,1
19007,ridicule,-0.6003289620081583,1
20957,messiest,-0.49806737899780273,1
7373,slowest,-0.4926032483577728,5
22149,vaping,-0.485994815826416,1
17206,sleeze,-0.4837727944056193,1
4606,disregard,-0.4715545177459717,2
19408,override,-0.45916008949279785,1
10515,organised,-0.4520282745361328,1
16402,freeze,-0.4458937644958496,1
6500,unfortunate,-0.443035493294398,12
16762,vile,-0.4322035312652588,1
22049,dock,-0.42827939987182617,1
10499,ruins,-0.4249444007873535,3
19140,lowdown,-0.4233684539794922,1
1070,vain,-0.41900634765625,1
10803,eegees,-0.4159669876098633,1
4855,shitty,-0.39129050572713214,9
4777,assholes,-0.3708062767982483,1
21616,cheesiest,-0.3676322301228841,1
20789,deliicious,-0.3596738974253337,1
9154,inconsistent,-0.3423749804496765,7
15237,vexed,-0.3410515785217285,1
21577,withdrew,-0.3408079147338867,1
12991,stripped,-0.33650827407836914,2
10877,brainer,-0.3315380811691284,2
15874,upsetting,-0.33067943652470905,3
3656,downfall,-0.3249882936477661,10
4740,deelish,-0.3237727880477905,2
13014,short-,-0.32061517238616943,1
19765,thoughtless,-0.3135559558868408,1
4099,musty,-0.3107728958129883,1
20220,confronting,-0.31070852279663086,1
12418,wasteful,-0.30643709500630695,3
13678,scammers,-0.30538919236924916,3
20187,strongest,-0.2874314785003662,2
14442,gentrification,-0.28310227394104004,1
13879,argent,-0.2825500965118408,1
16611,greed,-0.2806675434112549,1
20540,frickin,-0.2805163860321045,1
17975,unlikely,-0.277809202671051,2
13639,pooled,-0.27510074774424237,3
8223,fantasy,-0.2682347297668457,2
15461,unreliable,-0.26643800735473633,2
18824,cream-,-0.2658069133758545,1
7432,taints,-0.2652440071105957,1
17408,underrated,-0.26514339447021484,1
11183,halted,-0.25987863540649414,1
9719,mb,-0.255049467086792,1
4025,destruction,-0.25169897079467773,1
19050,asshole,-0.24998784065246582,1
18185,bolted,-0.24951648712158203,1
3085,worst,-0.24426941229746893,169
13135,shreaded,-0.24332618713378906,1
18205,inherently,-0.24210548400878906,1
15241,cup(s,-0.24175596237182617,1
6770,zero,-0.24147650424171896,34
16610,robbery,-0.24018466472625732,1
11424,withholding,-0.23932182788848877,1
15790,gooood,-0.23907828330993652,1
4612,infact,-0.2388643423716227,1
4435,colourful,-0.23872661590576172,1
11535,reduction,-0.23398852348327637,1
20387,juvenile,-0.233839750289917,1
19744,arid,-0.23076820373535156,1
13102,sewer,-0.2262568473815918,1
20321,horrified,-0.2196052074432373,1
21340,mulitple,-0.21919027964274088,1
9530,idle,-0.216993510723114,2
486,terrible,-0.21536920762831166,155
10821,slogan,-0.21494674682617188,1
14483,bummbed,-0.21168883641560873,1
9484,debated,-0.21096909046173096,2
13316,notorious,-0.21039605140686035,2
10491,wasgood,-0.2100224494934082,1
11973,fabricated,-0.20822453498840332,1
16352,unwilling,-0.20618712902069092,2
10201,junk,-0.20429736375808716,4
21575,ln,-0.20416593551635742,1
13141,tirade,-0.2041100263595581,1
5492,pathetic,-0.20407319920403616,7
8146,desanto,-0.20371079444885254,1
8906,dwindled,-0.20357259114583334,1
18618,cacophony,-0.2003123164176941,1
6372,strained,-0.19971060752868652,1
21793,misdiagnosis,-0.19835084676742554,1
15744,diff,-0.1966545581817627,2
9400,uneventful,-0.1963824431101481,1
18439,proce,-0.1944270133972168,1
8811,hugely,-0.19441580772399902,1
22365,barren,-0.19354677200317383,1
21613,spreads,-0.19257903099060059,1
17562,indicates,-0.1924748420715332,2
8043,observed,-0.19205045700073242,1
666,hated,-0.19129624631669787,9
4785,seamless,-0.1900054613749186,3
7405,unmarked,-0.18809294700622559,1
10844,sensations,-0.18703961372375488,1
1420,bland,-0.18498035985976458,128
6790,trippy,-0.18455231189727783,1
16944,ejected,-0.18387603759765625,1
13233,ina,-0.18344926834106445,2
18230,cords,-0.18189001083374023,1
16183,niels,-0.18060302734375,1
20147,unplayable,-0.18002823988596597,1
21581,shockly,-0.17906832695007324,1
19599,peppis,-0.17818713188171387,1
685,lacking,-0.17778222858905793,40
9744,plate-,-0.17532682418823242,1
4469,une,-0.1740865707397461,6
1080,garbage,-0.17324356900321114,18
5620,courtious,-0.17045116424560547,1
7511,"""odd",-0.1687028408050537,1
20521,uncumbersome,-0.16867339611053467,1
13040,muddy,-0.1679582198460897,3
9441,tolerated,-0.16785907745361328,1
13831,proportion,-0.16784882545471191,1
