,Word,Value,Freq
21160,bomb.<br,-2.683747131587765,1
17101,unfortunately.<br,-2.3956224054467956,5
8954,responsibily,-2.252104027272177,1
13633,so.there,-2.057237268698619,4
12822,wastefulness.<br,-2.003453873799701,1
14675,destroy,-1.934435520073819,6
17051,shameful,-1.8760211076911637,5
2277,subsitute,-1.8415700539316537,1
16921,deleted,-1.7274907968073676,8
5796,crack.<br,-1.7116203367505292,1
16623,7/11/07,-1.7078168033043852,1
19107,irradiated,-1.586233039984827,8
19546,obnoxious,-1.4786580564141913,1
16383,pathetic,-1.459531751294825,3
16799,celophane,-1.349615380930923,1
13598,deceitful,-1.3395239533954548,3
12686,ruined,-1.3177200321679272,23
11245,small!!!the,-1.3007376941720155,6
7847,diappointed,-1.1719882175537175,10
17464,tangelos,-1.1679014802706658,1
18476,laziness,-1.119659164945477,1
15445,nough,-1.0869367637903697,1
16647,deceiving,-1.0535625723941395,4
14304,15.95,-1.0414861878071937,1
18724,"b000cmhmuc"">genisoy",-1.041245284642309,1
18722,occasions.<br,-1.040262823811957,1
8576,futher,-1.0137676451493194,1
19536,2.69,-0.964417475931572,4
17195,consistantly,-0.9636811360373989,1
18938,itchy,-0.9536590477496869,1
14251,hh,-0.9535084126663982,2
16925,ever!!!!!_totally,-0.9257487018910774,7
17588,unofficial,-0.9028635053963496,7
16957,cosco,-0.8613204251766182,1
19585,invert,-0.8439911540639446,1
15061,salty!!!<br,-0.826730219580701,3
16345,wrong!!!<br,-0.8175846908020099,3
4428,unspreadable,-0.8108687082756141,4
18179,trippy,-0.8002826473931646,1
17005,7bucks,-0.7936773336143674,1
6075,sweet(men,-0.7928352298399763,1
9149,glutten,-0.7842891609763667,1
4818,.......,-0.7694838212544051,12
6761,"b003vxfl1q"">wolfgang",-0.7655126575321679,2
9151,syrup???<br,-0.7635192569943429,6
13216,swill,-0.7622505273704829,7
6029,exceedingly,-0.7444709364971497,2
12826,chicharrones,-0.7436243118817117,3
20179,wheatfree,-0.7389032909046157,2
4086,nitrates.<br,-0.7356307972462744,5
15946,offensive,-0.7354836588289594,12
16801,undamaged,-0.733093818285148,2
17048,connivence,-0.7301673306726273,1
17993,craw,-0.7226764803988703,2
19487,newt,-0.7182159812611011,1
19075,vials,-0.711055223696142,8
7405,indulging,-0.6996625253292483,2
8111,salivate,-0.6920540431598285,1
5752,stingy,-0.6887476445908225,1
9551,cheddery,-0.6873907610980471,1
14376,perspiration,-0.684565489532714,1
11455,scorched,-0.6806194293989869,8
12040,"jan.06,05",-0.6761164446814281,4
14444,formula!!<br,-0.6686904356135783,6
10890,freaking,-0.6668232543782002,4
16950,/>edible,-0.6664146717623736,5
11995,hotdog,-0.6656360184351825,13
568,disappointed,-0.6616832762476409,651
13560,diets.<br,-0.6579675536075821,1
15590,yogert,-0.6565691458516134,1
10394,troubling,-0.6546332809715623,1
20691,defintely,-0.6495761337800552,6
8663,crumbles,-0.6451264035908528,28
18178,sours,-0.6406608958202438,1
7633,proflowers,-0.6375815648859395,7
16549,nicce,-0.6375368173097976,1
16211,gastroenterologo,-0.6370447005499891,1
15039,"b001viy9kw"">royal",-0.6357960595974089,1
17081,180snacks.com,-0.6315633722667174,1
4556,=(,-0.6286100142318402,18
18827,/>than,-0.6283198950936305,2
17302,discription,-0.6260234983010498,1
7709,gas!!<br,-0.6205834129861018,1
14916,resent,-0.6204882531143722,4
15072,tidier,-0.6176112175201297,1
19422,"these?"".<br",-0.6126266907929003,1
19077,/>c-1,-0.6118959931843833,1
19489,redbull,-0.6110691212226302,1
20809,snot,-0.6097944609702128,4
11571,coastarican,-0.6095136908749565,1
7817,3.5-ounces,-0.6001225668648427,4
5045,stinks,-0.5898418692790582,8
20920,dissapointing,-0.5894479649246956,1
17080,ridculously,-0.5884415857185417,1
11466,clubs.<br,-0.5878629313506367,1
16219,causaban,-0.5850740097353135,1
20162,4/5,-0.5833913774154181,1
11055,goodly,-0.5801116929803432,9
16194,repulsive,-0.5769842071828445,5
8634,stated:<br,-0.5748085757230571,7
11192,:-(,-0.5739822864506425,14
9671,and1/2,-0.5720386756886828,1
3593,kettle.<br,-0.5691491600622378,1
14775,dring,-0.5660832600909137,1
6021,shoulda,-0.5622614332562349,6
18639,unscrupulous,-0.5621221270015133,9
12436,wheezing,-0.5587918344794768,7
11994,promises.<br,-0.5564514543208333,1
17638,furthered,-0.5563038052468406,4
10465,germs.<br,-0.5552479005861406,1
1633,spoil,-0.5518318665124231,9
19317,/>los,-0.5509116936576179,1
20693,reason-,-0.5506299600866509,1
14047,appreciative,-0.5505474818815537,2
18343,unimpressive,-0.5420499951266113,8
9886,lychee,-0.5404357607119713,2
19563,subsitutes,-0.5383958012868881,1
12051,"b0012bzghs"">stash",-0.5378512610028252,1
12100,/>o.n.e.,-0.5354001826380176,1
11073,horrendous,-0.5307896450981003,18
14305,6.95,-0.5278060405802706,1
4970,unclear,-0.5255370688885832,4
19545,chocolate(s,-0.523586219704215,1
7260,irritating,-0.5166161644151537,18
10267,margherita,-0.5101903885486427,1
3795,watery,-0.5065929356540141,113
14585,"awful,",-0.5053080243746025,6
16323,thisone,-0.5020247338122679,8
14824,teeccino,-0.5004225128173053,1
15036,/>didn't,-0.5003660392475876,1
4880,/>*********************<br,-0.4981499619210336,1
5629,lacks,-0.49605771520817066,52
7815,3.5-ounce,-0.4957071960961514,4
16958,producers,-0.49266220603525535,13
9622,wan,-0.4925924336855652,10
5129,smokiness.<br,-0.48725865611967806,1
7276,/>+not,-0.48672656107765744,1
11962,"b0012bsmjm"">stash",-0.4860518816589977,1
20654,/>oddly,-0.4857695672307384,5
13532,crunchiness.<br,-0.4856266395339899,1
8502,undrinkable,-0.48341077099152807,14
6019,marginally,-0.4821087828756972,19
20944,gluttony,-0.4789863716815699,1
10679,gag,-0.478217891676541,7
10017,ordeed,-0.4774399821095505,1
9696,incurred,-0.4739603746846859,1
19467,/>square,-0.47329948319358184,1
4793,partygoers,-0.47160660525649334,1
6336,biryani,-0.47112164715771954,3
13090,sugar.(strain,-0.4698704514765385,1
2597,nightmare,-0.4654708350845749,3
3697,awful,-0.4651786833671165,268
10790,chivetta,-0.4647749467805834,1
2969,triscuits,-0.4631486919440723,5
10751,tolerablel,-0.46309947405370355,1
21085,discernable,-0.4623286617773502,1
11425,"b00474or8g"">caribou",-0.46222139896115266,1
21109,this-,-0.4620783949692595,2
12429,/>terrible,-0.4620296708850793,4
18169,oz.</a,-0.45946955346848717,1
16102,matzah!~<br,-0.4593910961124047,1
9292,worthless,-0.4552234569995743,26
17715,relate,-0.45356836759664193,3
17991,gouged,-0.45251185967830987,2
18490,horrifying,-0.4518434608878223,7
10719,"b000ll0r8i"">vita",-0.44922715918179645,1
11725,goos,-0.4459954802127748,1
9579,annihilated,-0.44562849256010845,1
10270,liek,-0.44445360626184416,1
4176,frightening,-0.4411897635348366,9
16959,misnamed,-0.44050136689974617,8
19860,almsot,-0.4395552443354602,1
12634,amount.<br,-0.4390007955986287,2
21088,diluted!<br,-0.43851857429256613,6
3723,tasteless,-0.4379284630831384,107
7229,"b001eq5ejq"">la",-0.43677632818145945,1
18016,lantchips,-0.4361000673308384,2
4969,tocopherol,-0.4357194148699966,4
10327,acknowledged,-0.4355507882281448,6
4103,fragrance,-0.43552054054978717,37
16165,.............,-0.4327626817029474,8
19655,responable,-0.42996198221246607,1
8478,desirable,-0.42962717216836016,10
12614,diverticulitis,-0.42942989113210944,1
21026,/>seem,-0.42915149782072515,1
17717,varity,-0.42580970415830577,1
8277,tails,-0.4252528206995224,2
12375,1.3,-0.4243195184960774,1
8716,prey,-0.4208691381696298,8
15987,permuatations,-0.42032743210770335,1
5709,starchy,-0.4195482370397828,11
12599,nuisance,-0.41952915277411235,2
15143,celiac-,-0.41620678806126604,1
17265,furbaby,-0.4158744544143009,1
7203,annoying,-0.4149587402407295,39
7890,sinful,-0.414218029378826,2
20849,apologized,-0.41383437941852036,1
20455,"b000e5ao8o"">bit",-0.4137534728975256,1
16824,/>#very,-0.4135363097919212,11
10243,grayish,-0.413307039977051,5
17182,dies,-0.409201400405384,1
9675,jacks,-0.40774793072282733,5
1320,glase,-0.4065368663412048,1
16625,/>6/16/09,-0.40564225546794874,1
16048,/>downside-,-0.40531553160074224,1
3319,/>not,-0.40528284296855155,56
14356,m&ms,-0.4026382728036932,2
7313,triffle,-0.39985677988735047,1
12521,beartoothjoe,-0.3967340971704869,3
12300,trashcan,-0.39405133036168305,2
18695,shoots,-0.3937960168762513,1
7372,sad,-0.39372987815789523,61
5995,happening,-0.39336463722639403,9
5075,horrible,-0.3914627273849481,271
2563,ill,-0.389625748167342,44
15993,blowing,-0.38829219041589297,3
8661,indistinguishable,-0.3876177191562285,1
517,poorly,-0.38690260115205144,32
7816,"b000fnex8m"">nana",-0.3843658212664229,4
13004,probaly,-0.3801570556505741,2
19637,eukanauba,-0.37935032821841935,1
13096,/>wal,-0.37764105233536066,1
14927,overview,-0.37643973339250913,8
9398,rigid,-0.3748869022125727,1
20305,micriwave,-0.37240774207314886,1
12539,funyuns,-0.3706573812358829,2
2239,disappointment,-0.3704509625501876,147
19940,12/24/11,-0.3699838811652624,1
10935,trip.<br,-0.36936576647818853,1
4579,jamaicamecrazy,-0.36874714499452066,13
20924,uncontrollable,-0.36857521321156084,8
4642,mouthfeel,-0.3684434888779929,3
20768,"b001bxm2lu"">waring",-0.3684086853483487,1
1461,terrible,-0.3682215798000512,276
13403,potasium,-0.36776667050659795,1
3769,aim,-0.3672378130212399,1
14710,pant,-0.36585755919310675,7
11713,disaster,-0.36541120985955694,6
13385,arive,-0.3647481328338062,6
15790,scaly,-0.3633552042968181,1
19401,unloaded,-0.3604848984451051,5
6714,crappy,-0.35896728398885336,18
16292,useless.<br,-0.3589395531650546,7
11177,freakin,-0.35786875502959353,2
4665,disbelief,-0.35707633652839904,7
8326,unfortunatley,-0.35576148843661715,1
2180,acrid,-0.35574519282069245,11
544,disappointing,-0.35530166407577046,208
10616,altogther.<br,-0.35326051155437144,1
18716,hole.<br,-0.3525226641383363,11
3942,dissapointed,-0.35184830195133904,45
9147,sweetners.<br,-0.3490202468140444,4
2116,regreted,-0.34740673729575156,8
8567,flavoring.<br,-0.34681523979954454,17
20339,rant,-0.34583237960040064,7
1812,worst,-0.34569854814947815,306
7883,flabbergasted,-0.3456157619707334,2
4555,pencils,-0.34515058339075755,6
767,nutrigrain,-0.34448729081810936,8
9746,ghastly,-0.34336157760656155,3
9520,od,-0.34254559424282244,1
11033,destroyed,-0.34231453171627124,3
6139,moldy,-0.34130975291033033,58
18288,unenjoyable.<br,-0.34117818994381477,2
10291,rethink,-0.3404012540606705,2
17279,;-d,-0.33941107897610484,1
4689,yuk,-0.3368708374825685,19
20350,naniboujou,-0.33678856623767284,1
7015,temporarily,-0.33658115921968396,4
9468,olvatine,-0.33609180189227855,4
4270,citymade,-0.3356327420986027,1
17145,littlt,-0.3352526419607851,1
1824,inflamation,-0.335221170965579,1
8353,yucky,-0.33398512087683935,39
17969,airbrushed,-0.33395160069506125,1
4435,minct,-0.33336949749111083,6
4121,16.25,-0.3331420968753739,2
17694,antioxidants.<br,-0.33303217762494314,1
7274,/>+sold,-0.33192266777895885,1
1330,unfortnately,-0.33186197957220887,5
3581,boring,-0.33024931119604717,21
1705,farts,-0.32879731976844484,7
14165,program.<br,-0.32830909668394476,3
8961,frothing,-0.32805073864953005,2
11550,sinue,-0.3267708352241941,6
11476,loa,-0.3257637637321773,1
21087,disappointing.<br,-0.32485761382233086,6
6010,dense.<br,-0.32476978231629616,8
20846,hysterical,-0.3229198632407451,1
7841,heaped,-0.32223238556387107,1
12645,salumeria,-0.3209073845993657,1
12707,supposta,-0.31950120224795353,2
10922,/>dont,-0.3185489068170646,2
1348,bummer,-0.31838716051122345,13
16487,17.99,-0.31779280710036184,9
18210,diarrhea.<br,-0.3176401999855775,4
12616,oddness,-0.31747198357686945,1
14744,goood,-0.31725936858916337,1
14396,disliked,-0.31717038858790436,9
11614,12-pack.<br,-0.3163050678785642,6
14921,compressed,-0.314556087314382,1
21122,cakeing,-0.31453037735195066,1
16486,robbery.<br,-0.31335440947039095,9
13483,overwhelms,-0.3130769313312992,7
199,refunded,-0.31296712244612274,40
6145,viinegret,-0.31252647958585866,1
432,gouging,-0.3116192937685147,8
903,messy,-0.310648831490373,52
2276,weak,-0.3096171842962217,378
21135,/>sprouting,-0.3093604485256109,1
5801,lol.<br,-0.30926785654491595,1
20382,"b001e6kbsk"">kellogg",-0.30871322738939766,1
18475,10-pack,-0.3070087526243861,1
7111,underwhelming,-0.30658889382518467,2
4118,gross,-0.3061296898965304,89
3639,bionaturae,-0.30596217968173633,2
15520,boooooooooooo,-0.30555676732101167,1
6521,old??<br,-0.30408494133943703,6
14374,kickin,-0.3039596867099569,2
19921,gluttonous,-0.3039461698799043,1
19905,stomache,-0.3031067019670333,1
20705,gelid,-0.3024676153727549,1
21035,interpreter,-0.30244749600135573,7
16810,efectively,-0.3010830922618737,1
9067,damning,-0.2998032686226605,4
13629,flavorless,-0.2992383160620788,44
9399,upright,-0.29903289133257904,1
14247,pharma,-0.2988684144297153,1
19721,bariloche,-0.2988209338714952,1
7275,boxes)<br,-0.29879712574871126,1
6939,restocked,-0.29879071382808553,4
16923,15.06,-0.2984728303345015,7
4859,sickly,-0.29764675328483353,21
6967,"usual""<br",-0.2975614590528335,7
10328,sinuses,-0.2965147194497674,6
14592,/>seriously,-0.2954121786193787,2
18730,drak,-0.29529115259900474,1
19521,gooy,-0.29509849803331617,4
18009,extruded,-0.2943749982950806,5
2339,overpriced,-0.2937587593275671,65
5564,longevity,-0.2933093392263031,8
20475,reguarding,-0.29278714987915544,1
20477,unanswered,-0.2927871498791554,1
21090,/>libbie,-0.29141125329124945,6
16236,herb.<br,-0.29130984416217254,1
12128,unpalatable.<br,-0.29063252943366724,2
18885,resue,-0.29006782490948807,1
5109,theri,-0.2900138809711599,1
17089,/>-packaging,-0.2899198092000968,1
18477,disintegrates,-0.28989283522432374,3
18833,thirst.<br,-0.28927730744360236,1
19070,manuever,-0.28905031162989797,6
10602,1.78,-0.28894040313307223,4
14904,meltaways,-0.28885198962887576,1
18573,stinks.<br,-0.2886073681003697,1
10889,/>point,-0.2860121611099057,1
7478,damaged.<br,-0.2859999220649049,8
10217,pds,-0.28561215928862094,1
5721,sassafrass,-0.283915637230516,2
14227,untested,-0.2832536470674765,7
16739,gioven,-0.28249170172323806,1
20045,dingo,-0.28120087693459805,5
11851,divulged,-0.2811594512135516,6
17196,calamares,-0.2806999620622479,1
19384,"b000zsz5pw"">blue",-0.28023849107418847,5
15695,/>crunchy,-0.27963989641249737,1
16537,shape.<br,-0.2794275129807695,1
19466,/>crazy,-0.2793805236533139,1
17004,sogo,-0.279123651782049,1
15095,"b001gvisjm"">twizzlers",-0.27869520916250745,2
19850,oolong.<br,-0.2785072636074374,1
12988,syrup.<br,-0.2780288602822633,2
9328,sandwitches,-0.2770492396692834,1
19001,tropicana,-0.2759539887790515,1
17124,9.50,-0.2747677241449403,1
13940,issued,-0.27464030167480336,6
7891,perpetuated,-0.27460593985506937,2
7323,sixty,-0.27452769536210303,2
5487,cheated,-0.27442027941453323,8
4026,rip,-0.27428783633353837,73
2789,unpleasant,-0.2740832349008273,75
13301,name.<br,-0.2738884517057643,4
21045,30mins,-0.2733805098770295,1
18126,canister</a,-0.2726157107047324,1
20408,air-,-0.27255132208847244,1
14369,expense!<br,-0.2724248677024089,4
17816,indgredients,-0.27160736064781493,1
15297,pamelas,-0.2711910426425825,2
16738,whoop,-0.2711068234868441,4
3588,burned,-0.26995291195189386,29
12099,concentrate.<br,-0.26770009131900874,1
15289,"b003vxjj28"">wolfgang",-0.2669368640330451,2
11191,disputed,-0.2667050416171963,1
19596,3)</a>.,-0.26663618364260006,4
7147,/>strangely,-0.26463671078663753,4
8579,rinsed,-0.26455903778202255,15
12064,cornsyup,-0.2642471657344756,1
10287,heat.<br,-0.26422024666535254,5
3745,poisoning,-0.2641937521184826,11
18116,14.83,-0.2639629492643378,4
5591,/>regular,-0.26328649192986747,4
9336,8/5/11,-0.2628960211245609,3
4866,peeing,-0.2624148926925418,1
20315,"b000hd0peq"">swiss",-0.26226929497812224,4
6280,foul,-0.2619480182718005,21
17502,lots.<br,-0.2617447460005462,1
17031,intolerant.<br,-0.2613730265901126,4
10361,concoction,-0.2611788494580448,3
5074,truffle.<br,-0.260676416956489,7
16627,applications,-0.2600382441389435,1
6950,dead,-0.26003000067430865,73
17041,chewy.<br,-0.2598243061432641,6
8668,/>joyce,-0.25877411805409056,1
17481,cinamin,-0.25854838674241193,1
19883,aggravating.<br,-0.25793377148387747,1
19539,recipients,-0.25694553107824375,1
15600,splatter,-0.25665241049935983,1
18509,"b001d0gv68"">timothy",-0.25656717787944555,2
13665,laddoos,-0.2559029036502425,3
14259,indicums,-0.25563693489112305,4
17628,alaska,-0.2545218708543911,1
12258,energized,-0.25437969390518655,11
7879,unedible,-0.25405886452981213,7
6357,5-star!).<br,-0.2536906370856941,3
7990,/>s,-0.25281568619673656,1
9406,stashed,-0.2526931013363075,1
7118,unsatisfactory,-0.2524652057824018,5
12920,for)d.o.p.,-0.25199804735613274,2
15869,site.<br,-0.25198563438020205,9
21067,oh.).<br,-0.2517632095705377,1
12721,add)chips,-0.25138629834008386,1
7273,/>+packaging,-0.2510667926414342,1
20661,healthy!)i,-0.2507551898913723,1
1302,greasy,-0.2506824219290375,66
8059,misshapen,-0.2506562693320761,16
815,equally,-0.24988986420328116,28
15327,bothersome.<br,-0.24960186613447272,4
14459,"solvents"".<br",-0.24957952480304393,6
10121,together.<br,-0.24955647242165388,6
1183,accidently,-0.24925459710110776,6
14043,kebob,-0.24914966966054353,1
3114,interferes,-0.24903854935628456,1
16029,slop,-0.24880338094007431,5
13391,stinky.<br,-0.24798510084962136,8
425,gouge,-0.24738781680287314,4
4193,hates,-0.24734113528135812,22
354,president,-0.2471434887040005,1
15858,depressant,-0.24695051195879297,1
16502,ceasar,-0.24644468067209568,1
6163,indigestion,-0.24640906682107946,11
20482,acknowledgement,-0.24637504076999045,5
18828,manufacturerer,-0.24623182085706277,2
20703,sesmark,-0.24575784403438505,1
20410,majorly.<br,-0.24564497607640717,1
20706,fart,-0.24553960920103685,5
16248,uninitiated,-0.245367991980987,4
20031,robertsons,-0.24501973722976444,1
318,slicked,-0.2440698424485962,1
16471,baught,-0.24387584590926556,6
