,Word,Value,Freq
9216,"horrible""",-0.8001832316265072,1
11756,paranoid,-0.7417570412855026,2
9531,wan,-0.7334631546209256,2
12536,vague,-0.6874615706320891,1
12222,horrifically,-0.6314556783241068,1
19865,destroy,-0.5925657132200578,1
12465,fleeting,-0.5562668828181803,1
20379,nope,-0.476066134814963,1
2350,worst,-0.4257223272540686,66
6498,lied,-0.39291767716546466,2
15397,"awful,",-0.38778657302698716,1
5346,rant,-0.3383583863478596,1
6200,ruins,-0.33302597465151756,4
4412,horribly,-0.3257778816282089,5
7806,marshal,-0.3123907186818009,1
8859,deleted,-0.30017144208426005,1
6490,disaster,-0.2955892946664567,2
4698,throws,-0.2764643697972532,4
21144,puked,-0.27627776284303035,1
13472,discontent,-0.2728385085245116,1
16809,forbidden,-0.267839917043198,1
8355,irritating,-0.26379726740214454,5
4090,stupid,-0.24590480051013755,11
5576,deceiving,-0.23973187518580308,2
10111,unacceptable,-0.23822724574493562,5
12368,bugged,-0.23419786023653952,2
2135,terrible,-0.23274598211087943,73
11860,cringed,-0.22616474539010314,1
8676,explore,-0.2188769534687976,2
16845,promising,-0.21524805856547813,2
10691,deceitful,-0.21212690711721982,1
2156,horrible,-0.210327131535676,84
10682,acknowledged,-0.20938648901214565,1
18181,embarrassing,-0.2077838856851903,1
13788,incurred,-0.20700565225085224,1
18557,minct,-0.19952119627297338,1
7910,dumb,-0.19860966024891477,2
12081,beaten,-0.19543652886329813,2
897,disappointing,-0.19217989275798417,48
19084,wold,-0.19113178692445557,1
11476,fleeting.<br,-0.18877530860832098,1
18232,proponent,-0.18837113450440285,1
10403,cheated,-0.18728962354454087,4
7374,disliked,-0.18626320732258742,5
1738,dead,-0.18035295213874997,14
8317,regreted,-0.18009690047319632,1
11411,tame,-0.17627295309527838,3
472,disappointed,-0.17571781907478548,220
13220,frightening,-0.1735610627175572,2
10539,offensive,-0.17150313141900358,7
20595,paticular,-0.16353151936335297,1
16025,suckered,-0.16349664280811946,1
14097,/>pissed,-0.1621979634250398,1
19005,/>horrible,-0.1601225243557387,1
7551,cancelled,-0.15966256042611524,8
2494,poorly,-0.15945480792285652,12
8558,defective,-0.1510876178693853,5
20102,crushing,-0.15054247067088178,1
7664,aggressive,-0.15031068328721547,4
19520,setbacks,-0.1498278304665085,1
14045,twisted,-0.14690268115048566,1
18379,tangible,-0.14652006910038606,1
13609,eliminated.<br,-0.14288973200789332,1
8723,tingling,-0.1409865837166055,1
1963,awful,-0.1403044798760421,62
4911,baffled,-0.1384212331509541,1
12073,assiciated,-0.1363877319065884,1
2569,canceled,-0.13621794268554355,7
13316,guts,-0.13579581043064734,1
21105,progressive,-0.13022915266062085,1
10879,distinguishes,-0.12841157612403561,1
6094,disgusted,-0.12624031663989496,6
14841,uranium,-0.12563929942460478,1
2840,dangerous,-0.12432281947691934,5
14609,pry,-0.12355173649910135,1
6648,prey,-0.12305872334046399,4
16627,hearted,-0.12126420765787693,1
15650,/>seem,-0.11988254487637089,1
17695,applications,-0.11645847713792484,1
11515,dh,-0.11559012889520812,1
4982,dare,-0.11547550545669373,6
10417,fragments,-0.11544230351081258,1
13874,useless.<br,-0.11532745313091386,1
12094,googling,-0.11429536316350702,2
16750,demos,-0.11419414555176952,1
3008,defeats,-0.11329299514627492,4
7244,awarding,-0.11258145213666357,1
13729,everyone.<br,-0.1114654690116987,1
8715,loser.<br,-0.1104143512441075,1
20374,buisness,-0.10898340355872488,1
1966,disgusting,-0.1076627351946593,19
23,unpleasant,-0.10705619073840557,28
5677,inconsistent,-0.10660399608404494,2
10326,thisone,-0.10630527129502104,2
4894,glutten,-0.10523601127275524,1
6598,celophane,-0.10444221242429463,1
3496,stumped,-0.10439512144458324,1
8534,resulted,-0.10342601739180934,3
14578,failed,-0.10189670959152682,7
10190,hav,-0.10165636741865289,1
18446,.54,-0.10011084055845498,1
17271,vor,-0.09910906054537194,1
4125,canes,-0.0986357770860195,1
6346,deceived,-0.09801886439811018,1
18705,1-,-0.09624599427047231,1
12788,unfair,-0.09620976847433449,2
20856,misnomer,-0.09594996657844664,1
13147,invisible,-0.09518395381734739,2
13473,slimed,-0.09505059217807198,1
13857,clueless,-0.09504555957266009,2
12808,stuffy,-0.0938370051471782,3
15378,tidier,-0.09280071835900017,1
1597,sad,-0.09243594191389715,17
15259,shelled,-0.09225382228805486,2
10128,void,-0.09220735865926027,5
2466,annoying,-0.09015342087479364,17
8096,leaked,-0.08915285999239574,12
14057,substitution,-0.08830094508626032,5
14856,sickened,-0.0864803692192828,1
1589,tasteless,-0.08597129506441711,33
19890,gunking,-0.08578070768832924,1
1988,false,-0.08563679806533096,7
4544,throwing,-0.08460722413995252,29
6533,obnoxious,-0.08345589141722147,1
18871,17.44,-0.08141076057712673,1
4591,nastiest,-0.08072467963003381,3
5505,awful.<br,-0.08017081459365417,4
16283,7.89,-0.0798560463652866,1
11154,drink.34,-0.07883576136234455,1
6004,goo,-0.07873223495193467,5
17108,encouraging,-0.07812038185751827,1
8318,board,-0.07786348208032046,4
19429,hungery,-0.07724788243728224,1
1717,fake,-0.07677195148990627,25
8919,possibility,-0.07624022587942726,3
6347,unfortunate,-0.0760504997500165,7
6315,issued,-0.07583951987236415,2
14987,eith,-0.07548597453857168,1
1839,threw,-0.0750227852971172,36
5642,acceptable,-0.07498325697218634,21
18590,froze,-0.07390434414729592,2
8252,frustration,-0.0736668122027605,5
17166,poster,-0.07163045456116879,4
3755,blame,-0.07131540543606635,10
1754,strange,-0.07119916254453419,38
15727,targeting,-0.07092099285141486,2
3420,m2,-0.07088029436585319,1
7976,gooy,-0.07078821889031578,1
7805,scorched,-0.07057069323888758,2
17700,horrifying,-0.07031349492168312,1
2102,yuck,-0.07024019263987066,15
12916,ir,-0.06956834782784027,2
5232,shocked,-0.06754515307702301,13
19679,reyes,-0.06709409091258442,1
1733,scary,-0.06680184887391019,4
5958,obligated,-0.06677748167453511,1
17479,horrible.<br,-0.06623733217642884,1
19895,disproportional,-0.06597829595496695,1
18605,contends,-0.06573972426945177,1
2233,gross,-0.06443627848041455,33
17637,misrepresentation,-0.06420503267316749,1
16186,scape,-0.06393240236100695,1
6812,reflect,-0.06384351631927537,3
6057,flaw,-0.06300439253573387,6
5670,unhappy,-0.06211135681480215,8
8082,misprint,-0.0619813981056905,3
7096,vomit,-0.06172924858158977,17
8983,powderized,-0.06054943304888468,1
11428,cultures,-0.06007705613355516,1
2614,35.00,-0.059889095200143454,1
4091,writings,-0.05965274926315869,1
17326,envelopes,-0.05955540237734652,1
12267,inflated,-0.059352680670859075,4
11520,dissipated,-0.05934648245678148,1
5545,delayed,-0.0592307282469179,1
13299,forgotten,-0.05917930741403987,2
10012,ruining,-0.0588966514799972,2
7235,reason-,-0.05871976971292364,1
6584,=(,-0.05868458867656969,5
4696,subpar,-0.05840836117172435,1
7275,roe,-0.057842284253227,2
17770,acknowledgement,-0.057426799076383844,1
596,nasty,-0.05730983168661689,63
11788,overtone,-0.05681383154299977,6
7710,4.49,-0.05680625530681118,1
3184,premise,-0.05636215351876758,1
18622,repulsive,-0.05583078155370689,2
19899,eukanauba,-0.05563358507092411,1
19815,id.,-0.055116861342740284,1
18820,bad:<br,-0.0547979297855401,1
13056,compromise,-0.05468084657323442,9
16748,bleeding,-0.054653280277085374,2
18631,questionable,-0.054566672300201166,1
20531,scratches,-0.05450095765819298,1
14295,kneading,-0.053772185838817196,2
17265,extremly,-0.053622657714111656,1
3524,disappointment,-0.053424800087168794,42
1544,fakeness,-0.053041445094883934,1
11979,seperate,-0.05242456541382301,3
5997,boring,-0.051842052077108174,14
11429,collectors,-0.05156309887151597,1
20418,connivence,-0.051309260835005865,1
1769,tore,-0.05130417280498384,6
14156,multicolored,-0.0505230271284709,1
12566,detest,-0.049779399589777756,2
19241,defintely,-0.04976841804932575,1
20619,interns,-0.049540581954738816,1
4316,confusing,-0.04928279164413591,7
7844,collects,-0.048423916292496205,1
2513,rip,-0.048361941591696635,21
8196,build,-0.04818408540225504,6
8463,goos,-0.04775044546611068,1
8111,loumidis,-0.047565734903891016,1
19540,pupose,-0.04725882987138769,1
18706,lucked,-0.0472094234646199,1
14116,constapation,-0.04640373017770098,1
20284,blighty,-0.0462926656987522,1
1190,weak,-0.04614375812024797,154
13792,/>rescues,-0.046055738961024384,1
320,yucky,-0.04598830843079019,6
16028,product-,-0.0457160928158815,1
1562,negative,-0.04533609449997097,35
14471,rips,-0.045270828377568025,3
6660,tacky,-0.04504491812714145,1
8300,intimate,-0.04481186386460094,1
16905,toby,-0.044684118518409616,1
6349,deceptive,-0.044590804714051614,6
4466,gram,-0.04452096084411166,14
9450,confirmation,-0.04422270242888939,2
6169,15.95,-0.043752761099424935,1
8054,gravel,-0.0436751528793689,3
13994,notoriously,-0.04356545388960001,1
20202,horrific.<br,-0.04348225469292447,1
19078,investigation,-0.04335144334563191,1
15387,deceased,-0.04292858879275425,1
1595,tossed,-0.042497485934330295,19
14346,amous,-0.04242258474472699,1
11582,rash,-0.04165314719927214,4
16635,untasty,-0.04132738826967414,1
11276,bordering,-0.04108046988883574,3
4117,poor,-0.040997062611027715,35
14968,mannered,-0.04095387320563505,1
16315,gulped,-0.04092643114752246,1
16061,/>watery,-0.040844270357726226,1
11510,compairing,-0.04067396088079973,1
11315,pissed,-0.040623018533061876,1
5323,/>seriously,-0.040597894956909054,3
6414,touched,-0.04034700405359612,3
19601,/>hershey,-0.040124749289425665,1
5046,mistaken,-0.04011421506857133,7
16031,too-,-0.03995442439940037,1
1380,soupy,-0.03945715062147674,1
13590,smelt,-0.03933962843988102,1
19514,unspreadable,-0.039164809875493985,1
4886,un,-0.03912706059711407,11
1291,detectable,-0.03897220377323028,3
9943,resemble,-0.03860002968953759,5
16150,grandeur,-0.038262916248470884,1
16148,pathetic,-0.03826291624847088,1
16149,imitators,-0.03826291624847088,1
6861,variance,-0.03806367056905885,2
11538,44.00,-0.03787369711879781,1
8432,spewed,-0.03784018654180425,2
12265,unsulphered,-0.03765981282634731,2
8851,disputed,-0.037497538638045357,1
15257,anthony,-0.03746455325755982,1
3642,horrid,-0.037122549398292744,5
6020,sickening,-0.0370445408839994,3
18926,brownish,-0.03698398488791835,2
5977,hull,-0.036860430756910464,7
3916,compressed,-0.03652861252809181,1
10296,detrimental,-0.0364367278289108,3
14496,puke,-0.036267312251100026,1
4547,lying,-0.03618835820536736,6
11430,shamelessly,-0.03616426190780944,1
7588,crumbled,-0.036116409511894564,12
13383,coastarican,-0.0359947053094705,1
16127,ed,-0.03595525672158479,3
11602,worthless,-0.035886871621689576,4
4310,supposta,-0.0352402968845824,2
14957,mounds,-0.03510004664221251,2
17670,unclear,-0.03484559557308425,1
4661,lesson,-0.034838833313850764,4
11552,/>pretty,-0.03475661238913434,1
10781,consistantly,-0.03470209541528124,1
17657,pamphlet,-0.03468780170646721,1
5282,whitish,-0.03462618144313397,1
19409,nurture,-0.03431526413098562,1
2234,wasted,-0.034080504021357406,25
6802,drew,-0.033775551502521234,2
16811,repeated,-0.033695185067568155,1
12746,loser,-0.033477859653504645,1
19014,represent,-0.03336165862676342,1
12046,slimy,-0.033205771652619724,6
2909,caused,-0.03315429719886969,26
4691,nowhere,-0.03305913914688632,12
13877,unethical,-0.03280105640607664,1
16220,gummies,-0.03265501476298244,2
16188,----,-0.03251953291037248,1
3320,scan,-0.03245403657266813,1
14689,misled,-0.0324433041684667,2
7089,satified,-0.03230588666042555,2
7216,joke,-0.03204026504688769,5
11578,overwhelmingly,-0.03185341720286095,3
766,disapppointed,-0.03174438849305527,2
5989,futher,-0.03171707272529603,1
14608,unwrapped,-0.031472997684526716,2
7615,wrinkled,-0.031212953463451137,4
3493,wrong!!!<br,-0.031183195549146236,1
315,unfortunately,-0.03115019715763849,115
1803,powdery,-0.031144961328794418,10
6899,secondary,-0.031011469091272306,2
15984,/>neither,-0.03099580253031946,1
17483,unedible,-0.030953007075447788,2
14373,woudl,-0.030695027710780115,3
6454,beneficial,-0.030675060938674437,7
16698,pasttime,-0.030673968036145905,1
16964,ascborbic,-0.030566927810982594,1
19697,matte,-0.030507961536323153,1
19921,pobox,-0.03019729699977357,1
6534,indescribable,-0.02999705125770944,1
13635,administration,-0.029992201665786956,1
11427,unscrupulous,-0.029974294566526644,1
10786,arive,-0.02971491172917893,1
20400,reinstating,-0.029495732003619306,1
8271,moldy,-0.029294550493579916,8
18222,shrugs,-0.029292511787901276,1
16147,zupas,-0.029290381982085723,1
4342,@#@zon,-0.029267499486875032,1
4652,undigestible,-0.029253436531121033,1
8747,tiring,-0.029024729470601498,1
19235,dumps,-0.029022397476950235,1
2181,lack,-0.028945942254610373,32
6728,heft,-0.028918696855109987,1
14610,it.<a,-0.028751276595805217,1
8507,vendor.<br,-0.028677319827036134,1
6107,7.95,-0.028549741752903122,2
20401,din't,-0.028493836867315936,1
12264,chilihead,-0.028462784127206854,1
12669,varity,-0.028323826159724008,1
13062,comments.<br,-0.028275211981976488,1
20998,azuki,-0.028256944886831392,1
16168,eleven,-0.028164845715363374,1
18534,illl,-0.028129626382020562,1
1986,misleading,-0.028083743765435758,21
20834,disappoined,-0.028080580898295272,1
4786,embarrassed,-0.028015634588730336,6
18269,deirectly,-0.027793092369651724,1
13988,mentioning,-0.027669963595484504,2
5673,error,-0.027574082481669787,8
7376,isn't,-0.027399365985968056,2
19093,water(i,-0.027297201684470657,1
19094,deceided,-0.027297201684470654,1
15379,scraping,-0.027217024924720775,2
20335,ants,-0.026953685448855763,1
16126,gun,-0.026951974524431113,1
11084,pricy,-0.026641539787312075,9
6081,syrup???<br,-0.026559468566103226,1
3202,ridiculous,-0.02652692972431449,21
6493,sucks,-0.026516245123100367,5
18326,uncontrollable,-0.026433905295776404,1
5707,resemblance,-0.026422276261474382,3
15596,descript,-0.026400994565268898,1
13728,indicative,-0.026223335369569282,2
11398,.but,-0.025694170457966417,1
8285,died,-0.02567693522894391,15
19496,newmansbon,-0.025673762408604417,1
6612,"b0012bsmjm"">stash",-0.025668498489146707,1
18544,355,-0.025555509032882864,1
16847,"""mandarin",-0.025462070618973487,1
19960,invaded,-0.02540767460091096,1
10495,pipe,-0.025212538930086015,2
5221,vomits,-0.025111491611734475,5
19922,wating,-0.02504876341429088,1
13766,gipped,-0.025025663889576923,1
14705,dissatified,-0.025008553934531018,1
19855,hame,-0.024933954078444648,1
6272,garbage,-0.024900251488945386,21
17598,jars.<br,-0.024882796352713815,2
14691,gagged,-0.02484254067175629,3
17908,untested,-0.02471145946667714,2
11529,donna,-0.024606467915622196,1
11530,phillips,-0.024606467915622196,1
5296,avoiding,-0.024569033230623594,10
19456,haw,-0.024523630945261082,1
12408,damson,-0.024512432102395704,1
6935,unsafe,-0.024229478657229964,3
8292,saaqin,-0.024075772151744265,1
17309,unfortnately,-0.024015607403101043,1
17635,haves,-0.02393761778778042,1
19048,risks,-0.023764363354418727,2
13801,ilness,-0.02363929742910184,1
852,fell,-0.02359189239822007,32
14503,mentos,-0.02358091445196242,1
15253,gds,-0.023538315997664733,1
14842,poisoning,-0.023474174866864362,3
4669,painful,-0.023465218506425006,9
15511,blagk,-0.023426667944027795,1
7708,vile,-0.023339213214543336,3
12823,percolated,-0.023293119695160496,1
11512,dissapointing,-0.023249562220139935,1
1725,worse,-0.023183850282695956,47
2362,situation.<br,-0.023179553072095054,1
16608,thi9s,-0.023165707684019265,1
13652,abnormally,-0.023120963531853,1
21158,oneanother,-0.023108796636696915,1
17463,puking,-0.022999823033112425,2
4390,formulation,-0.02295615672837746,5
14545,cheddery,-0.022921843061184527,1
3069,crumbles,-0.022703910072911573,11
16752,reboot,-0.022625200377110376,2
2654,impact,-0.022612682565104316,7
7547,occurred,-0.02252837114402824,5
20601,conglomerate,-0.022514692577057262,1
7579,sniffed,-0.022362828632579414,5
5412,rubber,-0.022323926161311042,6
10027,opener.<br,-0.022286621900026712,1
14411,3.36,-0.022220705834726955,2
15872,medically,-0.022052394987810357,2
2349,`,-0.02189435691933416,7
16345,projectile,-0.021873717639315532,1
17310,mayan,-0.021864784228939418,1
2959,task,-0.02174344715589624,4
5252,refunded,-0.021539867305672884,6
13482,consisted,-0.021447956953136657,1
4126,recipients,-0.021207250264428906,1
16125,rudolph,-0.021206955728091652,1
7656,chewy.<br,-0.021080411564275463,1
17107,zhena,-0.021058822727579363,1
10695,ur,-0.021012520707671373,3
11034,listened,-0.020934278000433813,4
13654,specifics,-0.020787111561583537,2
14613,blister,-0.020746019243112934,2
14647,genocide,-0.020668378121712665,1
18931,satisfied.<br,-0.020458390526771897,1
17360,lychees,-0.020449696094402767,1
12087,unappealing,-0.020441165969773616,4
16118,recipient,-0.020338839653407503,3
8936,claiming,-0.02033038838827198,5
9723,paint,-0.020251348807280047,2
10649,dependable,-0.020183876686994316,4
14347,warpings,-0.020181635216169114,1
8841,fairness,-0.02006082727263371,2
9318,receipt,-0.019884366971300887,7
18459,small!!!the,-0.019834748687163766,1
