,Word,Value,Freq
7759,hill!unfortunately,-3.1374558189158965,5
20937,stink,-2.7571814884532193,16
10633,lackluster,-2.523228149743584,19
6035,outlandish,-2.2992229736703793,10
9729,flawed,-2.2084516024954213,19
4868,annoyed,-2.1009346892450647,19
20665,handicapping,-1.9870474194166825,11
6222,disappoints,-1.9085001372944295,17
3578,uninterested,-1.6765656451665185,9
10049,deplorable,-1.6226565358761722,10
7235,fails,-1.4158815142325425,36
19275,bad2,-1.3897275926837929,16
14546,ouch,-1.3674816099924498,17
19128,34;cheap&#34,-1.2254178792960972,13
6724,dumb,-1.2178821044224206,35
8608,unthinkable,-1.2040149832490548,13
4399,ruined,-1.1454265045115901,44
7283,negatively,-1.1117387179857516,17
9631,heap,-1.0863666701254735,13
17121,disruption,-1.0520417821690802,1
2167,lousy,-1.0336889126582565,34
7469,terribly,-0.964305784918828,52
7976,compromised,-0.9416145746952329,16
9241,isn't,-0.9406382133724231,30
18695,dad!).sadly,-0.9205008787953013,1
20173,slumped,-0.8847206466467439,1
4288,robbed,-0.8626126486120944,21
14054,differentiation,-0.8588179698002372,13
12032,disaster,-0.8570085590974648,25
3554,disappointment,-0.8553483140224664,178
16816,:-(,-0.8448023884798259,13
11376,stinks,-0.8107313036490628,30
18971,air.http://www.amazon.com/nerf-n%252dstrike-magstrike-as%252d10/dp/b001q4bwpq/ref=sr_1_2?ie=utf8&qid;=1289942156&sr;=8-2,-0.7901455852498758,14
19613,spanking,-0.7806168044494806,1
19378,foul,-0.7704152114330439,9
15363,thgomas,-0.762969158169819,1
18449,dizzying,-0.7184136865435858,12
6551,awkward,-0.7137508883617711,76
10439,numbing,-0.7133615312195706,23
14841,craps,-0.7053921963029108,16
10801,cringe,-0.6948017551948011,13
21750,dissolved,-0.6896449247086193,1
15777,wanders,-0.6861296955261719,18
3039,34;lock&#34,-0.6819687117586565,1
1729,lack,-0.6786301591651176,78
15743,foceps,-0.6260112412600185,1
8978,frustrates,-0.6245965100041994,49
7608,incoveniences,-0.6175330273437728,21
20650,accross!!!!!there,-0.6140076928781586,18
15052,dissatisfied,-0.5891598739772949,17
12693,devasted,-0.5880125950018461,14
19295,hastily,-0.5859582919580308,1
13420,shapestill,-0.5812980652457344,12
12694,..........,-0.5758483420694988,14
1377,poorly,-0.5606745846948555,287
2578,regret,-0.5594685105637613,64
9040,disappointing,-0.5572088351207662,250
3295,irritating,-0.5555136102040812,58
11834,fluxxpirate,-0.5455124882110951,1
4414,......,-0.5451946471097021,24
14730,lt;3,-0.5177244928694664,1
19441,entertrain,-0.5013066307644976,1
18306,chomps,-0.5009780682261661,14
836,boring,-0.4904028157488888,306
9008,scam,-0.48933186878072926,31
475,sadly,-0.4876790213168994,192
1743,disappointed,-0.4861117254939718,690
8571,all).it,-0.47864367602450275,18
20366,made.so,-0.468171176962671,14
7009,lol-,-0.46804480601101683,1
14193,"i""m",-0.4667976139464049,23
7960,forgotten,-0.46087397792632556,20
20007,overindulged,-0.44465998441252574,1
18988,landfills,-0.44176026985096756,14
7186,rubbish,-0.4338578070648908,19
20757,unplayable!this,-0.4189204391130649,13
1565,useless,-0.404315805680302,152
3034,tedious,-0.4030447516531517,60
1583,waste,-0.39343858936011705,528
8594,ignores,-0.39267396592790493,2
14724,quot;dumbing,-0.37743361214579446,13
12151,madman,-0.3760983736203825,14
2137,awful,-0.37425696510926304,104
17643,noiseand,-0.3740339624107876,1
8609,dunno,-0.3737198001315961,26
9630,stars.http://www.amazon.com/fisher-price-songs-smiles-discovery-gym/dp/b000oonjbo/ref=cm_cr-mr-titleit,-0.3718332206679629,12
16953,diy,-0.3640243269477005,2
3436,flaw,-0.3612460267074405,23
16013,madei,-0.35709002007954954,1
8673,ruckus,-0.3570385074712761,1
20626,thatwas,-0.3547446087743147,1
6793,negatives,-0.3542262404510397,41
12482,start?first,-0.35331610528536,9
10077,.......,-0.35298767991849345,18
1396,unfortunately,-0.3494612316473431,249
2637,loses,-0.34621820307915985,81
12873,discontinued,-0.3430652644491714,4
11429,than$5,-0.34219020155832625,1
13446,unfortunaty,-0.34063026830000315,1
8726,sunscreen,-0.3376245538355478,1
