,Word,Value,Freq
5006,khloe,-3.287051581321377,1
4463,karzai,-3.2543481809686727,1
7930,centery,-2.609273377835334,1
4402,drake,-2.6090644633166393,1
7778,andrea,-2.3724343925587967,1
3269,e,-2.065539747728792,2
7809,reciprocating,-1.8336358355808995,1
6433,horny,-1.435975485406555,1
7435,foreseeable,-1.052617988917615,3
6440,sooooo,-1.0196454444709848,1
3003,rember,-1.006170412312989,1
6218,opiod,-0.9859876902608617,1
5220,halloweed,-0.973300561662419,1
7177,mishap,-0.9568840578779018,1
4090,messy,-0.9443720388172285,1
8704,creeped,-0.9199689551089629,1
1049,ughhh,-0.9015870342904444,1
7478,couch,-0.8752410001183711,1
7409,hindsight,-0.8625510064571079,1
4657,hypocrisy,-0.8014718998433069,1
4743,creeps,-0.7952804663759636,1
5328,jeeze,-0.7887052238862455,1
7966,agendas,-0.7740293572722725,1
7429,appalachia,-0.7685439155799714,2
5758,clue,-0.754015472306326,1
7479,potatoes,-0.7284264153863155,1
3005,kardashian,-0.7040390566907706,6
7783,insecure,-0.6935977653363778,1
6832,pence,-0.685852150303005,2
5596,propblems,-0.6619815997008748,1
8030,incompetence,-0.6512844741334151,1
6867,unhealthy,-0.6234773508658952,3
2641,measles,-0.615799893320929,1
6753,vegan,-0.6037887745812125,1
2517,misinformation,-0.5866088519472046,2
7657,misanthropy,-0.5771775434748263,1
6271,subhuman,-0.5671289400713487,1
5560,cognizant,-0.5659115701028926,1
7736,gripe,-0.5633301186774713,1
7166,kidnappings,-0.5568536044298209,1
8125,soft,-0.5359571712040225,2
5702,invoke,-0.5281210904821847,1
4861,woudln't,-0.5164335651229746,1
2000,wasting,-0.5150440393678052,4
8040,underdeveloped,-0.5145143898138668,1
2323,coutries,-0.507783827258327,1
5223,didn;t,-0.5022012905290814,1
8823,we'e,-0.4960854639105742,1
6720,scam,-0.48009108679211376,3
8120,batters,-0.4697983328382598,1
6381,fathom,-0.46903767178840544,1
8284,kardashians,-0.46812628034186565,1
8041,diminishing,-0.46670747063206053,1
8037,menstrual,-0.46536150158852496,1
8675,stagnates,-0.4649411778343249,1
4929,tabs,-0.4520357309393078,1
7499,unprepared,-0.451333351846185,1
3372,hooligans,-0.4440062575218279,1
474,moron,-0.44318018948474613,2
6185,prompt,-0.44179911959219964,1
7929,21st,-0.4405816216168706,1
5203,gazillion,-0.4377776751100359,1
3360,ulterior,-0.42965339181088547,1
7491,billowing,-0.42388324145503287,1
5229,infested,-0.42224146824158143,2
8077,semiretired,-0.4207987585215336,1
5775,backers,-0.4130734599068251,1
4948,appearances,-0.4095655060270575,1
3961,unsuspecting,-0.40479514066374733,1
6852,conducive,-0.4024484143060134,1
4322,homeowners,-0.398677292211529,1
8354,brunt,-0.3968327719948668,1
6033,depressing,-0.3936479580577046,2
265,presdienttrump,-0.3905422441140665,1
8173,rash,-0.38777654940028905,1
6267,formal,-0.38770322604989027,1
3365,shameful,-0.38673536007426845,1
5139,psychopath,-0.3862167977353892,1
8742,shaming,-0.3860660419331302,1
8524,contradicts,-0.3848067910280928,1
3168,manafucters,-0.3833980719682601,1
6175,misogyny,-0.3812884978251405,1
8488,homophobes,-0.37972262762002934,1
7839,confuses,-0.37622612734553346,1
8447,absurd,-0.3744738764473672,1
1621,pisses,-0.3734322045878412,1
1827,jenner,-0.37270217600954414,2
7777,deems,-0.36881662614277244,1
8732,shittiest,-0.36798529739118113,1
8430,misogynistic,-0.3649732984782952,1
6948,civilization,-0.3643570576526357,1
8748,flaunt,-0.3599586307321016,1
2401,compromising,-0.3598514652349907,1
3312,obsurb,-0.3594136370302764,1
5748,unsympathetic,-0.3576052735877454,1
6859,mercutio,-0.3560106766108704,1
3314,dumbass,-0.3554281742486532,1
1938,ceding,-0.35344425999317647,1
8487,adminstration,-0.35230331437699025,1
5996,sucker,-0.3516464413694736,1
5869,tricky,-0.35083536334466575,1
7791,vultures,-0.3428369476619523,1
8525,consistency,-0.3391512310230315,1
1420,leveling,-0.3377807730357084,1
4717,brits,-0.33584801338875836,1
5202,spews,-0.33541127383980757,1
8851,albatross,-0.3333560692607438,1
8080,arbovirus,-0.33286570590122067,1
8803,sensationalize,-0.33092056602481074,1
2122,docs,-0.32932500547230337,2
4156,uninvited,-0.32385267806132423,1
7661,idiotic,-0.3223030284761178,1
8757,scourge,-0.3217114139381698,1
4997,unfitting,-0.3215582534952842,1
6437,reaches,-0.3193331626235159,3
7152,easterners,-0.31869218372407976,1
6059,trashy,-0.3177087652298436,1
8112,unfounded,-0.3167160222211193,1
760,feared,-0.3163167341967448,2
5429,sums,-0.3160610575799396,1
2393,fences,-0.3146585406477942,1
8526,greatest,-0.3130110180103362,1
8527,attribute,-0.3130110180103362,1
8068,ineptitude,-0.31241387697285583,1
6607,overuse,-0.3115315672426009,1
5436,misogynist,-0.3110591985584786,1
4718,weasels,-0.30941859863961285,1
7533,wracking,-0.3057134453533112,1
8421,deformities,-0.3047087488615874,1
8599,sexism,-0.30400225273387016,2
6925,possibilities,-0.30360021431366757,1
6196,bline,-0.30281064464845026,1
255,disorder,-0.30127247714423705,6
7361,sheilds,-0.29932787362204577,1
1623,scum,-0.2988807184959961,4
5725,sawtooth,-0.29803370182743105,1
1801,supremacists,-0.2980087170312992,1
1679,ridiculous,-0.2978757404867269,26
4440,fucker,-0.29759986996780535,2
8106,hyperbole,-0.29710918043189133,1
8283,jenners,-0.29630587592770097,1
6093,discriminating,-0.2962049277954755,1
8351,interrogating,-0.2955973265531374,1
6710,wierd,-0.29478846025849836,1
8466,canonsburg,-0.29382245996922907,1
7022,deniers,-0.29305134385491655,1
1719,monster,-0.29177816431126274,2
3354,unsurpising,-0.2897929747010531,1
2991,leaning,-0.28909297940253853,1
8255,meaningfully,-0.2890350089559846,1
7737,airsoft,-0.2887498188231927,1
7891,iis,-0.28869304640374344,1
6986,lingo,-0.2876146090607923,1
905,missed,-0.287120154234711,10
8629,statisticis,-0.28557593176237783,1
2852,dishonesty,-0.2848750848504081,1
4087,file,-0.2844975568233062,3
4983,discontinue,-0.28430547163150965,1
4120,obeying,-0.28389632655591923,1
8013,kesha,-0.2831873239540955,1
7446,dissapointed,-0.28303898804390487,1
7832,fading,-0.27790123761338725,1
6960,lifes,-0.27621416577680563,1
4088,suite,-0.2752157684494699,1
8606,booted,-0.2713639442544601,1
8668,hefty,-0.27020497970787877,1
290,adjusting,-0.2698330346595028,1
7342,frothing,-0.26919271643561277,1
3982,recourse,-0.2664515696093651,2
6100,cricket,-0.26508523895712877,2
5614,slang,-0.2644541004717432,1
4769,fiction,-0.2642936507731094,2
5868,annoying,-0.2642877630890487,2
7272,blm,-0.26368862254936287,1
2950,angered,-0.26364330528368407,1
8001,timeshare,-0.26199388835103393,1
3162,cogent,-0.26077450484010495,1
6757,ridiculously,-0.260458355349328,3
5888,plantiff,-0.26024362422537617,1
8528,whims,-0.26012384927641025,1
3978,phishing,-0.2587674709324831,1
4624,bravely,-0.2577638751000022,1
718,cautious,-0.25698403933896297,2
2056,tired,-0.2568868060240599,12
5757,altering,-0.25677502764300897,1
1826,kylie,-0.25485141268945416,3
7454,unexplained,-0.25442798363120855,1
6189,arounf,-0.25401087168855396,1
6744,ww2,-0.2532422053809193,1
7581,theat,-0.25287220939222,1
7967,solider,-0.25276411536326193,1
8078,halstead,-0.2526188061335727,1
6265,colonialism,-0.2520988988273228,1
6933,outraged,-0.25182796741873337,1
8796,fart,-0.2516491424256916,1
8443,paychecks,-0.2511469835473129,1
5150,neighborhood,-0.2506575098046832,1
5450,preven,-0.24967393095127444,1
3279,spiraling,-0.2486213813046222,1
5445,breaches,-0.24815099742249067,1
8169,pedophilia,-0.24814670645559944,1
6643,psychotherapy,-0.24728968769894055,1
8008,despicably,-0.24643612816940003,1
6032,historic,-0.24519220144576181,1
4381,farsightedness,-0.2449138728995185,1
8414,neglience,-0.24459711957684965,1
8442,vloggers,-0.2438788408471177,1
1395,unused,-0.24336901293237087,1
991,'d,-0.24225302551609457,33
4849,masochistic,-0.24123990260965464,1
5345,futurw,-0.24100174555212522,1
2697,downplayed,-0.23980492138247222,1
5871,20-year,-0.23916719723352994,1
8021,lightening,-0.23891471851240453,1
4000,caged,-0.2371569832411577,1
5932,millenials,-0.2364379512037132,1
5049,patronize,-0.23528120446766077,1
1914,romantic,-0.23508444071567247,1
1846,legoslation,-0.23485100421899324,1
3066,relaying,-0.2340844778203163,1
7902,manslaughter,-0.23310481494774127,1
3025,packer,-0.23253826187999097,1
518,extremists,-0.23233606704252852,4
6468,chavez,-0.23184741149953084,1
4576,forgot,-0.23169377778325467,2
5401,videochat,-0.23135762977731322,1
2575,punch,-0.22952953741570567,1
912,pies,-0.22942985631517798,1
8646,disagreeing,-0.2293505646434153,1
3988,jokes,-0.22933756715653586,3
5341,bsi,-0.2290881185635405,1
8007,audacity,-0.22877411161870018,1
3685,haters,-0.22726648927103868,2
2632,unconsionable,-0.22704852755841748,1
7197,disruption,-0.22679925387263905,1
5934,intelligence,-0.22596388776134022,2
1706,gosh,-0.22586530567570923,4
5876,crucified,-0.22561441645498626,1
8716,euthanized,-0.2249286608013547,2
7679,unsubstantiated,-0.2245557483560298,1
5275,farsighted,-0.22422799996312004,1
2265,employees(who,-0.22291035831527967,1
7159,sicker,-0.2228096881258505,1
883,deceively,-0.22254212411933358,1
3976,reasonable,-0.2224993163536775,4
6724,escalates,-0.2216997757855952,1
6370,solipsism,-0.2201022214022263,1
6188,quireels,-0.2197961962620708,1
1962,blister,-0.2183654532843775,1
6366,criticize,-0.2175994543685379,1
1128,heating,-0.2170490461084142,1
3075,rubble,-0.21681284869878878,1
2584,executives,-0.21643496793306394,1
8722,nonsensical,-0.216430048636103,1
8507,critizice,-0.21639110444953208,1
6769,ships,-0.21628146642656834,1
7635,pitch,-0.2160072780242644,1
8114,partake,-0.21554150800478777,1
7447,snowflakes,-0.2155354107438825,1
6130,museums,-0.2150036521392878,1
6838,assholes,-0.21353821851286686,2
3356,lenient,-0.21337634139963124,1
3427,abiding,-0.21219036417572174,1
1718,troubling,-0.2120319486563372,10
8425,nicholas,-0.21168021799329162,2
7477,labelled,-0.2114462839191321,1
6210,brainwashed,-0.211344406768962,1
1497,days,-0.21093403571306768,43
5895,fundamentals,-0.20959916087289804,1
8004,inclement,-0.20906006922557202,1
8859,fraudulent,-0.20893881907472434,1
6850,dc,-0.20863089922571396,1
3709,statistics,-0.2082130641965534,4
8589,misdeeds,-0.20778968218590405,1
5721,gentlemen,-0.20767914587083983,1
5952,fascists,-0.20718848559029976,1
2179,smear,-0.20715329356532522,1
7196,farmland,-0.20682160481970124,1
7195,usable,-0.20682160481970124,1
8494,radicalized,-0.20599625799709342,1
7660,meaningless,-0.20430410838897617,3
6407,fo,-0.2037859392357218,2
5522,mongering,-0.20373990453901095,3
1187,mess,-0.2033849931594176,15
8412,stroller,-0.20220080251647152,1
7792,predicaments,-0.2021546272880159,1
5361,protested,-0.2018972837541374,1
7473,justifiable,-0.2013995824315994,1
4635,scamming,-0.20101366264419934,1
5115,occasional,-0.20097965982772154,1
