,Word,Value,Freq
6825,p.j.,-2.7559318419638474,1
19243,o!god,-2.672223787398241,1
10800,2)march,-2.2182970632453087,1
11297,"show,,he",-2.057430434946376,1
15999,@wellyourewrong,-2.0316365492081965,1
6189,@toria_renae,-2.0143773322902847,1
17477,@soulseedsforall,-1.9946260100670505,1
13337,@chrisfranjola,-1.9696877693128987,1
18161,@chris_radford,-1.9183012404310833,1
22681,vespers,-1.9128964136573383,1
23174,@olpoopshoe,-1.8681466749761826,1
7301,@katiemargolles,-1.8555447194182006,1
22165,today/,-1.8323611160138777,1
5347,@alicearnold1,-1.8174189972796588,1
22789,@b_notay,-1.8094780542863864,1
17439,@aloss4words,-1.7940944279059263,1
10430,@peymckenzie_13,-1.7767370951550023,1
21192,@firstdogonmoon,-1.7737318995425053,1
10328,@mikeroberts_2,-1.7712941602802783,1
3177,@pudsybear,-1.7663123103661533,1
6574,@nepeandunk,-1.740896671721542,1
13242,as.cortney,-1.7402306499700364,1
1771,@neffyblack,-1.7390303960441016,1
21459,@ayyo_kyle,-1.723004228204037,1
17032,@lumixgoals,-1.7125356137365495,1
18608,5a.m,-1.7038914013555062,1
6514,joy!,-1.7002960707707229,1
9500,@isiamonet,-1.6908691929790027,1
7029,@ashelysmashley,-1.6676262931546546,1
13971,christmasshopping,-1.6672315712090535,1
5544,@bash_lightyear,-1.6651390768267154,1
8574,@smileybasim,-1.6587281314659201,1
17792,@mellyanneflo,-1.6470710389962888,1
4248,@jannakannard,-1.6460898537740802,1
5762,@christfollowbac,-1.6444910020974663,3
4120,@jackiiehanhan,-1.641881521575929,1
23267,christmas.(sarcasm,-1.640408425289087,1
15631,desserts,-1.6269673851200315,1
13254,@jonathanrknight,-1.6248419844875892,1
4633,hooray,-1.6144274661770566,4
7125,@sachalan,-1.6068924664558533,1
3620,outlook,-1.6017077919067746,1
13566,@sarahschwind_10,-1.591828616921391,1
17123,@lilybriody,-1.5894880711851447,1
17500,begins),-1.585994453298185,1
13937,voldemort,-1.5802614241478896,1
4971,@rachcav,-1.5771890302174585,1
14822,@brokenhalo,-1.5742652515942657,1
22196,@phatbaysa,-1.5699930352089517,1
6305,@samiabazzi,-1.5617312372704737,1
12236,@rickysgotswag,-1.560065117589108,1
3579,so.excited,-1.5593737317431242,1
20947,@jastaace,-1.5532713651450145,1
19093,@ben_fothz_92,-1.5526932172542605,1
20374,@jerreond,-1.5474090641607936,1
10660,@lastnamebabyboy,-1.5463897831369562,1
8811,._.,-1.5429441504629988,3
19493,@mrmando_12,-1.5399305632516098,1
20569,u!!!â˜ºâ˜º,-1.5375828866380026,1
6393,@jamesmyth,-1.5345083286229844,2
13858,@tierraarmstrong,-1.5292986856793966,1
9046,@justinexclark,-1.5275134116090534,1
19923,@nathan_buchheits,-1.524572792923412,1
17488,@sarahweissy,-1.521791393931647,1
23045,@ctalley17,-1.5214005072309178,1
830,therapeutics,-1.5113408865540157,1
14119,awes,-1.5053685082372255,1
18784,~david,-1.5035142480802266,1
17412,@ana_exclusive,-1.4990962065970512,1
12836,@come_whit_it,-1.4966873016400981,1
16844,@_caitlinohh,-1.495565121253141,1
4730,@sammipie_123,-1.492272753404756,1
9631,@jessica_smelly,-1.4900870480357087,1
5897,youngsters,-1.487934803944968,1
5249,@suzeormanshow,-1.4878260199328281,1
19369,â€œ@vinnyguadagnino,-1.4877072438813639,1
3812,kids?!?,-1.4876142009284,1
15397,@ergish,-1.484858544148279,1
9814,@emyhellokitty,-1.4846031686209014,1
17640,@jullz_isa_chink,-1.482718442333288,1
6804,@afrosintrik,-1.4809594914739723,1
4589,@colingimblet,-1.4809049599173671,1
20088,more!!!!.,-1.4782544379529754,1
20314,@elliegoulding,-1.4730361826290288,1
2991,@laviede_kerrie,-1.472670140856097,1
19204,@mzjessy2you,-1.466652323037302,1
20827,@carasharko,-1.4646532743548353,1
20361,@mirre89,-1.4639676233055905,1
14246,@ayumamama,-1.4595415292966818,1
19406,prepared!.,-1.4562474209117722,1
20324,@ambermarieex3,-1.454161514633797,1
10966,@merej_192,-1.4537647985165418,1
18581,@thedailyshow,-1.4503935633895249,1
21239,@hacienda,-1.4489285740197873,1
22971,sundays,-1.4443314994219691,1
15660,today!!!!,-1.4401269007492206,1
22308,@mikemitchell_6,-1.4391310134995474,1
15574,"""#islam",-1.4362222724428526,1
6995,d<3,-1.4345322195851764,1
20321,@patr2012,-1.4332801111629465,1
19709,happen.i,-1.4323597843832845,1
21929,"1,104",-1.430712297592739,1
21711,@teekayy,-1.4301270213914095,1
17694,@victoriamembry,-1.4287623084395606,1
18527,@justiceyilek,-1.42836004420141,1
6723,lactose,-1.4262961565217247,1
17435,@alwaysme04,-1.4261933507733247,1
23058,@chazcalibur,-1.4237895795800033,1
14750,@minisouthafrica,-1.4232243398368798,1
12458,@i_am_hollywood,-1.422830030157106,1
2277,@thesammcatee,-1.4188790957555004,1
8951,@medusaindespair,-1.4184494078409862,1
17637,3weeks,-1.416843655535139,1
2845,@etupps,-1.4168111893476223,1
12874,@thegraduate,-1.4144867496603897,1
18116,@guttaceo,-1.4139645325745418,1
22233,â€œ@jesus_calling,-1.4120323657818226,1
21965,@sarahhhhh13,-1.411272695127298,1
13977,@jenmai,-1.4089897020390403,1
16887,action.â€,-1.4063191092763376,1
10850,@starcrunch23,-1.4027656323897342,1
14663,@joeyribbens,-1.4007847970485638,1
17505,@soveryawkward,-1.4003611725523957,1
12428,tomorrowat8,-1.3993407813099132,1
22355,@oh_miranda,-1.3956992191403481,1
9093,happyyy,-1.3945033062520182,1
17261,@kaleysays,-1.392812644179517,1
6521,@dark_barcelona,-1.3925260636443415,1
13528,@heeeeed,-1.3906453708612838,1
16169,@moegley_21,-1.3866377175699183,1
16676,@doodlesdaisy,-1.3866337208688,1
10160,fear.â€,-1.3839170368208105,2
2284,@chadkello,-1.3820782169971344,1
14489,@jharrison9292,-1.381939758289428,1
7435,@blueeyedshinobi,-1.380120266166286,1
15352,@dardenitaaa,-1.3784621017870022,1
22228,@thebishop7,-1.3775797650761974,1
21507,@danilic,-1.3761199116943008,1
18973,@thehumerus,-1.3752616849412467,1
17147,@mojamala2,-1.37452590896576,1
19329,@danyell53,-1.3689913654492964,1
21777,tomorrow:/,-1.365658893978612,1
18927,poll.pollcode.com/iv4t,-1.3627445529169309,1
23351,fear.-copyrights,-1.362143825382626,1
7374,@happy_geordie,-1.360176582505991,1
6048,@kingsleyyy,-1.3581318601542725,1
10903,@kyle_the_girl,-1.3569425811594586,1
19587,@unbrealievable1,-1.356836495896475,1
15761,@seneeshearer23,-1.354607210345161,1
4797,frightening,-1.3526600784560514,15
14836,shhhhhhh,-1.352080841463522,1
6591,@vennardrose,-1.3506728211282821,1
11087,@charquaouia,-1.3497834240801374,1
6318,@alliemarlin,-1.3497082745857958,1
12818,"is!""//lol",-1.3491885601704672,1
21563,@imawalkinglick,-1.3483747462402462,1
6026,itsmybirthday,-1.3429182026613804,1
3263,@renegal,-1.3422755564613444,1
7079,@leotobasco,-1.341909083298853,1
19414,@littledebbie,-1.3413156345525086,1
19391,@melissatrunzo,-1.3403310081629747,1
13552,@elliefinnerty,-1.335885645721622,1
6821,@cmichelleo321,-1.3353632514629799,1
17985,@robb_85,-1.3335511275438003,1
17376,@ellenclare47,-1.329878493398883,1
17291,@laurenncosgrove,-1.3296167288174654,1
19570,@todayshow,-1.3290504697224679,1
20910,@patriciadenise,-1.3277448359572945,1
16910,@bronwynhinz,-1.3273724233635034,1
17183,@revdroy,-1.3252712294822053,1
13871,myfridaynight,-1.321365579107309,1
8132,@theawesomepanda,-1.3209558889241833,1
13176,@keppler04,-1.318145716480501,1
20354,@ajsmiles12,-1.3178203868158052,1
18954,@igsmalls,-1.317736525901013,1
12233,@ultimateears,-1.3164441021232052,1
15662,iam:)blessed,-1.3149687591645316,1
8116,@nicholassauer,-1.3143872642614813,1
17546,@joannalgarcia,-1.3138882100522309,1
20836,myself.~muhammad,-1.3101096014225346,1
3289,@ronniefrown19,-1.308936014016526,1
20577,@spongebobsqhead,-1.306556367739699,1
13689,@barackobama,-1.3020861895148355,1
15225,wonderfulthings,-1.3020737180069664,1
12778,nicklaus,-1.3009688164341373,1
20790,@laikenbritt,-1.3007891531787874,1
3007,@palpitatingpaul,-1.3002612593030576,1
19876,@nadaa2124,-1.2994156553045122,1
7958,@hmusa,-1.2981047632156577,1
15533,@rob_moynihan,-1.2971250701530368,1
22539,@iain2008,-1.2962804632407485,1
17861,@thefpshow,-1.2958993246590422,1
19083,@terra_stenger,-1.2946556600083037,1
12189,joyness,-1.2936442578182155,2
19389,@btdubs_yes,-1.2932145021904211,1
8489,@thexfactor,-1.2915959756691338,2
19485,@luvvlivelife,-1.2901853639794325,1
15394,@boohoofashion,-1.289807241583591,1
20328,@maffica,-1.289625576459674,1
20801,applications-.-,-1.2894967619815783,1
2681,@kohesion10,-1.288832804630478,1
12212,every.possible.stop,-1.2886734589668256,1
5386,@barrygrantftm,-1.2881821354227685,1
7269,@luckymagazine,-1.2879207909795038,1
23292,â€œ@calebsmith41,-1.286965355773767,1
4995,@manderrids,-1.2867622200809605,1
15687,devotion,-1.2857187377056105,1
20672,@jmurph82,-1.2854662602720388,1
16744,@diego_orot,-1.2847524573317644,1
18932,-@escapethefate,-1.2843944680661408,1
13144,@harrywoodyy,-1.2818799632708027,1
757,@bellaprincipesa,-1.2812110898614517,1
14882,10years,-1.2799304875149904,1
3735,@alwaysagoodcall,-1.2797082646969047,1
16050,@codygerdeman,-1.2786302947883406,1
22248,@rileighashton,-1.277929723571257,1
12768,@josiahbeason,-1.2759177198553049,1
16287,"most,,brain",-1.2754506974990067,10
17278,@drewsdays,-1.275347501011808,1
19184,@rhoadswisdom,-1.2739910484039592,1
14987,@narcissebreed,-1.272889376840838,1
