,Word,Value,Freq
7014,giggled,-2.450748103139577,1
7842,stunned,-1.9035949182223153,1
14217,dumped,-1.816352905368521,1
9191,huff,-1.8068925524412682,1
4790,iced,-1.6944507712562034,3
21700,pleasures,-1.692443001907515,1
18044,retiring,-1.675073980457253,1
16351,outrage,-1.6642600840164556,1
8534,luxury,-1.6395098792182075,1
5620,coordinator,-1.6329981704498184,1
10034,frustrated,-1.6012052049665906,2
5834,whisky,-1.5920292139617782,1
11100,denny,-1.583715522270172,1
18778,healing,-1.5614610801117577,1
15905,teenager,-1.5516495382286006,1
16055,appreciated,-1.551622073758732,1
6766,spokesperson,-1.5293315970310437,1
21660,christmas=,-1.478576130184353,1
9988,delight,-1.4426422426575538,8
4606,dime,-1.4290939399542717,2
5948,bitter,-1.4221725095295088,5
12813,noodles,-1.4122412367370067,2
12568,congratulations,-1.406891802672036,3
19611,temptation,-1.389402070409102,1
18596,acacia,-1.3889371886849404,1
15581,lacrosse,-1.3866726805766423,1
6805,appreciation,-1.380863157278837,2
16555,pastry,-1.3718853160679814,1
22920,conclude,-1.3621218456936433,1
20695,mba,-1.3604125697598901,1
22975,sundays,-1.3576050261656443,1
10875,brandy,-1.3558423500762702,1
16745,apologetic,-1.3538883000612258,1
2328,grief,-1.3528744077696537,5
17932,chicks,-1.3447796629844921,1
6438,mug,-1.333214001518254,3
13730,.i,-1.3296668974061807,1
15934,vibrant,-1.3269990545857553,2
1549,bitterness,-1.313155697319329,5
12192,joyness,-1.309655485171799,2
11221,recover,-1.2969665130525283,1
2433,disappointed,-1.2899692930152427,15
16402,transplant,-1.285012908264152,1
12093,honored,-1.2847903021965132,1
1743,rented,-1.2838918415399698,1
22008,fundraiser,-1.2752558623481853,1
19171,gloss,-1.24755795848318,1
6218,caring,-1.2196549256997449,1
20585,louise,-1.2193073712927953,1
8297,wireless,-1.2120765614538238,1
23167,fiesta,-1.2083030802508195,1
20507,reunited,-1.2072245211425152,1
20756,customs,-1.20700550313578,1
16977,chewing,-1.2030904814600945,1
11233,vegetarian,-1.195420116895721,1
19468,breaktime,-1.185132834710117,1
21778,tap,-1.177717972960737,1
17248,auditorium,-1.174541678859128,1
20643,showers,-1.1729596634705861,1
2248,kennedy,-1.1595453706052568,1
21751,arbor,-1.134090285996596,1
21063,gracefully,-1.1220196602599963,1
2027,benefit,-1.121125062117152,2
3529,sham,-1.1132703006267548,1
18656,rag,-1.1104548509631837,1
17556,goodone,-1.0888374596834183,1
16126,afro,-1.0885343877598643,1
13314,happier,-1.0850554572554807,5
16498,seasons,-1.0833505063894249,1
2416,bouquet,-1.0761420058329785,1
2497,disgust,-1.0622543279578098,9
1677,happiness,-1.0574899484935067,145
20526,mugs,-1.0563995569946292,1
1520,cheered,-1.0557018682597175,1
6926,barley,-1.0556589365005493,1
15042,ads,-1.0465464744027013,2
961,nostalgia,-1.0451381751720654,3
13149,sherry,-1.0446747680505115,1
16137,hallmark,-1.0323188862686399,2
20170,seventh,-1.0298607024362145,1
13583,journals,-1.0265432243432961,1
9371,airlines,-1.022575072447459,1
16407,herb,-1.021473386823529,1
21270,applause,-1.0190458033594392,2
18970,loaned,-1.0179130680285968,1
12027,17th,-1.013862228807476,1
11201,comedian,-1.0071056426472171,2
11974,mr.carter,-1.0053253772677948,1
6020,activities,-1.00358618928219,3
8852,vanity,-0.9981493143872782,1
23433,pond,-0.9972160299843118,1
13075,showered,-0.9966762764416415,2
22287,spontaneous,-0.9936917161240297,1
17299,boiling,-0.9904880747199059,1
12423,softball,-0.9873997090786112,3
11987,fountains,-0.9869302660226822,1
17181,workshops,-0.9817365692588427,1
7949,vomit,-0.9775458308943403,4
17003,shrink,-0.9775221565117438,1
464,scrambling,-0.9761675699807062,1
140,joy,-0.9754616727273199,271
22086,functioning,-0.9661413160185411,1
8790,retirement,-0.9656380361635541,3
5896,youngsters,-0.9538612865975925,1
11522,louie,-0.9508226911847792,1
2332,hiatus,-0.9477488268543999,1
10117,northbound,-0.9445975719640651,1
15753,route.slowly,-0.9433692883102817,1
18336,lecturer,-0.9427191329750007,2
21810,vi,-0.9373682693600253,1
7783,rent,-0.9371479934588799,8
14096,vegetables,-0.9363499428544726,1
1083,sponge,-0.9355222401169495,2
13387,shuttleride,-0.9354075476527214,1
8659,enraged,-0.932530457911661,3
16025,establishments,-0.9281222156240152,1
379,wow,-0.9268830270906633,86
18491,receptionist,-0.9247171938419342,1
9179,charged,-0.9205084918066859,1
8844,textbooks,-0.9187468502299683,1
20970,randy,-0.9169618271498217,2
15296,overnight,-0.9165612846223358,1
11437,attic,-0.9153100086139545,1
20107,martha,-0.9095966026864268,1
7984,-horace,-0.9079173877835274,2
21222,waist,-0.9065845119286768,1
6824,p.j.,-0.9065116080972884,1
7680,contentment,-0.9034427051253475,5
7666,mayhem,-0.9030926018252092,2
6297,foolish,-0.9003797067650432,1
17459,yobs,-0.8981388843618333,1
19699,hustle,-0.8960867779595512,1
14736,curry,-0.8863003775477409,2
690,homework,-0.8858626632530858,138
23331,gemma,-0.8841377021410526,1
3126,condom,-0.8836395846472846,1
13841,homecoming,-0.8827456691268205,3
7923,kneel,-0.8789535152415435,1
15270,irritating,-0.8788929831040533,2
8816,suspension,-0.8748900178405973,1
20302,pinto,-0.8739970062787716,1
12684,archway,-0.8730512377465689,1
2890,marathon,-0.8727001900803536,5
7631,connie,-0.8723174192011356,1
20707,bubba,-0.8720382849375408,1
18229,concession,-0.8711492917077107,1
16513,accused,-0.8706905180825097,2
3966,premiere,-0.8688053482200031,1
10102,damage,-0.8671511222918828,1
20163,sucked,-0.8667453691745415,1
21575,laughed,-0.8649719336203167,1
14785,devoted,-0.8644418083131313,1
18700,213,-0.8601485320213267,1
21586,skeleton,-0.85853524758097,1
3313,deficiency,-0.8578432745403715,1
9148,rhyme/,-0.8574904686028582,1
8102,savings,-0.8551302994345771,2
377,cake,-0.8539733918194307,25
22036,arrives,-0.8498441402606918,1
14018,tent,-0.8454252775662985,1
22448,î,-0.8445444597917444,1
23066,tablet,-0.8443629713892664,1
14531,principal,-0.839244300421848,1
14913,encouragement,-0.836479482303063,1
10733,divine,-0.8337367791372041,2
6875,complain,-0.8311825454151599,3
7619,empathy,-0.8302594369108025,2
20644,panache,-0.8280574556639684,1
17644,drained,-0.8279961666180975,1
23187,creamer,-0.82654909706778,1
4877,jerk,-0.8254788612470623,4
3619,outlook,-0.8240708930319861,1
3129,psalms,-0.8237513556538895,3
13493,homework/,-0.8237177848815918,1
21925,-plato,-0.8221442744135856,1
8450,garbage,-0.8215313911318565,3
16364,#bored,-0.820035621760921,1
20073,vegan,-0.8187427627499454,3
21391,reggae,-0.8187417550539435,1
8723,excellente,-0.8179651153715033,1
10484,vulnerable.-,-0.8163286282709148,1
15306,simpsons,-0.8160813480615616,1
3079,sadness,-0.8151501339195296,28
15608,remark,-0.8149156607058528,1
529,upgraded,-0.8142765481685285,3
7128,dull,-0.8140769250761469,3
10768,orientation,-0.8111403783162434,1
7670,sacked,-0.8110343681441413,1
15595,lara,-0.8079474836315589,1
13824,chocolate~,-0.8059954643249512,1
18931,insult,-0.8054033552427884,2
23122,muffle,-0.8036420653973306,1
